SA2_NAME16	YearOfArrival.max	workers_born_overseas
Broulee - Tomakin	2005	5
Broulee - Tomakin	2010	6
Deua - Wadbilliga	1991	3
Eden	1991	74
Eden	1995	6
Eden	2000	3
Eden	2005	10
Eden	2010	13
Eden	2015	7
Eden	2016	4
Eden		3
Eurobodalla Hinterland	1991	39
Eurobodalla Hinterland	1995	3
Eurobodalla Hinterland	2000	3
Eurobodalla Hinterland	2005	12
Eurobodalla Hinterland	2010	12
Eurobodalla Hinterland	2015	9
Eurobodalla Hinterland		9
Merimbula - Tura Beach	1991	240
Merimbula - Tura Beach	1995	23
Merimbula - Tura Beach	2000	26
Merimbula - Tura Beach	2005	36
Merimbula - Tura Beach	2010	43
Merimbula - Tura Beach	2015	42
Merimbula - Tura Beach	2016	4
Merimbula - Tura Beach		31
Moruya - Tuross Head	1991	258
Moruya - Tuross Head	1995	16
Moruya - Tuross Head	2000	27
Moruya - Tuross Head	2005	26
Moruya - Tuross Head	2010	28
Moruya - Tuross Head	2015	28
Moruya - Tuross Head		23
Narooma - Bermagui	1991	192
Narooma - Bermagui	1995	18
Narooma - Bermagui	2000	23
Narooma - Bermagui	2005	21
Narooma - Bermagui	2010	22
Narooma - Bermagui	2015	21
Narooma - Bermagui	2016	5
Narooma - Bermagui		10
Goulburn	1991	408
Goulburn	1995	57
Goulburn	2000	56
Goulburn	2005	91
Goulburn	2010	218
Goulburn	2015	173
Goulburn	2016	27
Goulburn		43
Goulburn Region	1991	173
Goulburn Region	1995	10
Goulburn Region	2000	24
Goulburn Region	2005	15
Goulburn Region	2010	31
Goulburn Region	2015	36
Goulburn Region		13
Yass	1991	85
Yass	1995	10
Yass	2000	23
Yass	2005	28
Yass	2010	31
Yass	2015	41
Yass		7
Yass Region	1991	187
Yass Region	1995	24
Yass Region	2000	24
Yass Region	2005	24
Yass Region	2010	35
Yass Region	2015	44
Yass Region	2016	5
Yass Region		17
Young	1991	134
Young	1995	7
Young	2000	25
Young	2005	32
Young	2010	45
Young	2015	38
Young	2016	3
Young		7
Young Region	1991	79
Young Region	1995	6
Young Region	2000	6
Young Region	2005	12
Young Region	2010	12
Young Region	2015	24
Young Region		9
Avoca Beach - Copacabana	1991	111
Avoca Beach - Copacabana	1995	13
Avoca Beach - Copacabana	2000	32
Avoca Beach - Copacabana	2005	24
Avoca Beach - Copacabana	2010	53
Avoca Beach - Copacabana	2015	22
Avoca Beach - Copacabana		4
Box Head - MacMasters Beach	1991	118
Box Head - MacMasters Beach	1995	6
Box Head - MacMasters Beach	2000	19
Box Head - MacMasters Beach	2005	30
Box Head - MacMasters Beach	2010	21
Box Head - MacMasters Beach	2015	19
Box Head - MacMasters Beach		9
Calga - Kulnura	1991	449
Calga - Kulnura	1995	74
Calga - Kulnura	2000	101
Calga - Kulnura	2005	90
Calga - Kulnura	2010	104
Calga - Kulnura	2015	91
Calga - Kulnura	2016	15
Calga - Kulnura		25
Erina - Green Point	1991	708
Erina - Green Point	1995	101
Erina - Green Point	2000	150
Erina - Green Point	2005	196
Erina - Green Point	2010	233
Erina - Green Point	2015	183
Erina - Green Point	2016	17
Erina - Green Point		43
Gosford - Springfield	1991	1502
Gosford - Springfield	1995	254
Gosford - Springfield	2000	292
Gosford - Springfield	2005	402
Gosford - Springfield	2010	490
Gosford - Springfield	2015	354
Gosford - Springfield	2016	26
Gosford - Springfield		88
Kariong	1991	106
Kariong	1995	14
Kariong	2000	15
Kariong	2005	26
Kariong	2010	19
Kariong	2015	13
Kariong		15
Kincumber - Picketts Valley	1991	161
Kincumber - Picketts Valley	1995	29
Kincumber - Picketts Valley	2000	30
Kincumber - Picketts Valley	2005	44
Kincumber - Picketts Valley	2010	41
Kincumber - Picketts Valley	2015	29
Kincumber - Picketts Valley	2016	4
Kincumber - Picketts Valley		10
Narara	1991	67
Narara	1995	9
Narara	2000	13
Narara	2005	16
Narara	2010	9
Narara	2015	7
Niagara Park - Lisarow	1991	207
Niagara Park - Lisarow	1995	39
Niagara Park - Lisarow	2000	48
Niagara Park - Lisarow	2005	57
Niagara Park - Lisarow	2010	42
Niagara Park - Lisarow	2015	41
Niagara Park - Lisarow		9
Point Clare - Koolewong	1991	93
Point Clare - Koolewong	1995	9
Point Clare - Koolewong	2000	23
Point Clare - Koolewong	2005	19
Point Clare - Koolewong	2010	22
Point Clare - Koolewong	2015	12
Point Clare - Koolewong		3
Saratoga - Davistown	1991	48
Saratoga - Davistown	1995	8
Saratoga - Davistown	2000	9
Saratoga - Davistown	2005	12
Saratoga - Davistown	2010	16
Saratoga - Davistown	2015	3
Terrigal - North Avoca	1991	235
Terrigal - North Avoca	1995	36
Terrigal - North Avoca	2000	54
Terrigal - North Avoca	2005	73
Terrigal - North Avoca	2010	72
Terrigal - North Avoca	2015	53
Terrigal - North Avoca	2016	9
Terrigal - North Avoca		16
Umina - Booker Bay - Patonga	1991	294
Umina - Booker Bay - Patonga	1995	29
Umina - Booker Bay - Patonga	2000	77
Umina - Booker Bay - Patonga	2005	72
Umina - Booker Bay - Patonga	2010	106
Umina - Booker Bay - Patonga	2015	56
Umina - Booker Bay - Patonga	2016	3
Umina - Booker Bay - Patonga		12
Wamberal - Forresters Beach	1991	106
Wamberal - Forresters Beach	1995	23
Wamberal - Forresters Beach	2000	32
Wamberal - Forresters Beach	2005	26
Wamberal - Forresters Beach	2010	38
Wamberal - Forresters Beach	2015	23
Wamberal - Forresters Beach		7
Woy Woy - Blackwall	1991	256
Woy Woy - Blackwall	1995	43
Woy Woy - Blackwall	2000	45
Woy Woy - Blackwall	2005	57
Woy Woy - Blackwall	2010	62
Woy Woy - Blackwall	2015	64
Woy Woy - Blackwall	2016	3
Woy Woy - Blackwall		11
Wyoming	1991	198
Wyoming	1995	39
Wyoming	2000	47
Wyoming	2005	50
Wyoming	2010	78
Wyoming	2015	52
Wyoming	2016	3
Wyoming		12
Bateau Bay - Killarney Vale	1991	288
Bateau Bay - Killarney Vale	1995	35
Bateau Bay - Killarney Vale	2000	56
Bateau Bay - Killarney Vale	2005	41
Bateau Bay - Killarney Vale	2010	63
Bateau Bay - Killarney Vale	2015	65
Bateau Bay - Killarney Vale	2016	3
Bateau Bay - Killarney Vale		31
Blue Haven - San Remo	1991	64
Blue Haven - San Remo	1995	11
Blue Haven - San Remo	2000	17
Blue Haven - San Remo	2005	13
Blue Haven - San Remo	2010	18
Blue Haven - San Remo	2015	7
Blue Haven - San Remo		5
Budgewoi - Buff Point - Halekulani	1991	58
Budgewoi - Buff Point - Halekulani	1995	8
Budgewoi - Buff Point - Halekulani	2000	12
Budgewoi - Buff Point - Halekulani	2005	7
Budgewoi - Buff Point - Halekulani	2010	10
Budgewoi - Buff Point - Halekulani	2015	17
Budgewoi - Buff Point - Halekulani		9
Chittaway Bay - Tumbi Umbi	1991	328
Chittaway Bay - Tumbi Umbi	1995	58
Chittaway Bay - Tumbi Umbi	2000	97
Chittaway Bay - Tumbi Umbi	2005	73
Chittaway Bay - Tumbi Umbi	2010	105
Chittaway Bay - Tumbi Umbi	2015	75
Chittaway Bay - Tumbi Umbi	2016	3
Chittaway Bay - Tumbi Umbi		13
Gorokan - Kanwal - Charmhaven	1991	248
Gorokan - Kanwal - Charmhaven	1995	31
Gorokan - Kanwal - Charmhaven	2000	53
Gorokan - Kanwal - Charmhaven	2005	39
Gorokan - Kanwal - Charmhaven	2010	74
Gorokan - Kanwal - Charmhaven	2015	84
Gorokan - Kanwal - Charmhaven	2016	3
Gorokan - Kanwal - Charmhaven		12
Jilliby - Yarramalong	1991	59
Jilliby - Yarramalong	1995	6
Jilliby - Yarramalong	2000	3
Jilliby - Yarramalong	2005	7
Jilliby - Yarramalong	2010	9
Jilliby - Yarramalong	2015	7
Lake Munmorah - Mannering Park	1991	98
Lake Munmorah - Mannering Park	1995	20
Lake Munmorah - Mannering Park	2000	8
Lake Munmorah - Mannering Park	2005	17
Lake Munmorah - Mannering Park	2010	13
Lake Munmorah - Mannering Park	2015	17
Lake Munmorah - Mannering Park		7
Ourimbah - Fountaindale	1991	178
Ourimbah - Fountaindale	1995	20
Ourimbah - Fountaindale	2000	26
Ourimbah - Fountaindale	2005	23
Ourimbah - Fountaindale	2010	27
Ourimbah - Fountaindale	2015	17
Ourimbah - Fountaindale		9
Summerland Point - Gwandalan	1991	37
Summerland Point - Gwandalan	1995	7
Summerland Point - Gwandalan	2000	8
Summerland Point - Gwandalan	2005	3
Summerland Point - Gwandalan	2010	11
Summerland Point - Gwandalan	2015	4
Summerland Point - Gwandalan		4
The Entrance	1991	218
The Entrance	1995	25
The Entrance	2000	52
The Entrance	2005	44
The Entrance	2010	79
The Entrance	2015	55
The Entrance	2016	3
The Entrance		11
Toukley - Norah Head	1991	148
Toukley - Norah Head	1995	12
Toukley - Norah Head	2000	21
Toukley - Norah Head	2005	18
Toukley - Norah Head	2010	31
Toukley - Norah Head	2015	24
Toukley - Norah Head	2016	3
Toukley - Norah Head		12
Tuggerah - Kangy Angy	1991	564
Tuggerah - Kangy Angy	1995	88
Tuggerah - Kangy Angy	2000	128
Tuggerah - Kangy Angy	2005	145
Tuggerah - Kangy Angy	2010	168
Tuggerah - Kangy Angy	2015	125
Tuggerah - Kangy Angy	2016	9
Tuggerah - Kangy Angy		29
Warnervale - Wadalba	1991	421
Warnervale - Wadalba	1995	71
Warnervale - Wadalba	2000	74
Warnervale - Wadalba	2005	108
Warnervale - Wadalba	2010	116
Warnervale - Wadalba	2015	94
Warnervale - Wadalba	2016	3
Warnervale - Wadalba		26
Wyong	1991	353
Wyong	1995	40
Wyong	2000	66
Wyong	2005	65
Wyong	2010	66
Wyong	2015	60
Wyong		16
Bathurst	1991	533
Bathurst	1995	89
Bathurst	2000	105
Bathurst	2005	121
Bathurst	2010	214
Bathurst	2015	188
Bathurst	2016	17
Bathurst		37
Bathurst - East	1991	138
Bathurst - East	1995	24
Bathurst - East	2000	29
Bathurst - East	2005	24
Bathurst - East	2010	42
Bathurst - East	2015	49
Bathurst - East		7
Bathurst Region	1991	72
Bathurst Region	1995	3
Bathurst Region	2000	3
Bathurst Region	2005	9
Bathurst Region	2010	10
Bathurst Region	2015	12
Bathurst Region		7
Oberon	1991	101
Oberon	1995	9
Oberon	2000	31
Oberon	2005	18
Oberon	2010	28
Oberon	2015	30
Oberon	2016	9
Oberon		6
Condobolin	1991	40
Condobolin	1995	8
Condobolin	2000	23
Condobolin	2005	10
Condobolin	2010	28
Condobolin	2015	38
Condobolin	2016	3
Condobolin		4
Cowra	1991	90
Cowra	1995	11
Cowra	2000	25
Cowra	2005	30
Cowra	2010	31
Cowra	2015	19
Cowra		10
Cowra Region	1991	59
Cowra Region	1995	3
Cowra Region	2000	9
Cowra Region	2005	9
Cowra Region	2010	7
Cowra Region	2015	13
Cowra Region	2016	3
Forbes	1991	99
Forbes	1995	12
Forbes	2000	17
Forbes	2005	18
Forbes	2010	38
Forbes	2015	26
Forbes		4
Grenfell	1991	24
Grenfell	2000	3
Grenfell	2010	4
Grenfell	2015	14
Grenfell		3
Parkes (NSW)	1991	94
Parkes (NSW)	1995	13
Parkes (NSW)	2000	22
Parkes (NSW)	2005	24
Parkes (NSW)	2010	50
Parkes (NSW)	2015	47
Parkes (NSW)		7
Parkes Region	1991	32
Parkes Region	1995	3
Parkes Region	2000	7
Parkes Region	2005	18
Parkes Region	2010	26
Parkes Region	2015	27
Parkes Region		3
West Wyalong	1991	48
West Wyalong	1995	6
West Wyalong	2000	9
West Wyalong	2005	7
West Wyalong	2010	35
West Wyalong	2015	39
West Wyalong	2016	5
West Wyalong		4
Lithgow	1991	261
Lithgow	1995	32
Lithgow	2000	35
Lithgow	2005	51
Lithgow	2010	71
Lithgow	2015	43
Lithgow		13
Lithgow Region	1991	118
Lithgow Region	1995	12
Lithgow Region	2000	11
Lithgow Region	2005	22
Lithgow Region	2010	18
Lithgow Region	2015	30
Lithgow Region		10
Mudgee	1991	232
Mudgee	1995	15
Mudgee	2000	35
Mudgee	2005	43
Mudgee	2010	57
Mudgee	2015	43
Mudgee	2016	3
Mudgee		23
Mudgee Region - East	1991	65
Mudgee Region - East	1995	4
Mudgee Region - East	2000	9
Mudgee Region - East	2005	3
Mudgee Region - East	2010	11
Mudgee Region - East	2015	6
Mudgee Region - East		4
Mudgee Region - West	1991	128
Mudgee Region - West	1995	21
Mudgee Region - West	2000	19
Mudgee Region - West	2005	26
Mudgee Region - West	2010	51
Mudgee Region - West	2015	18
Mudgee Region - West		10
Blayney	1991	122
Blayney	1995	11
Blayney	2000	10
Blayney	2005	16
Blayney	2010	32
Blayney	2015	27
Blayney		5
Orange	1991	557
Orange	1995	95
Orange	2000	119
Orange	2005	173
Orange	2010	331
Orange	2015	332
Orange	2016	14
Orange		36
Orange - North	1991	134
Orange - North	1995	22
Orange - North	2000	26
Orange - North	2005	46
Orange - North	2010	77
Orange - North	2015	50
Orange - North		12
Orange Region	1991	152
Orange Region	1995	10
Orange Region	2000	33
Orange Region	2005	30
Orange Region	2010	46
Orange Region	2015	44
Orange Region	2016	4
Orange Region		10
Grafton	1991	379
Grafton	1995	38
Grafton	2000	40
Grafton	2005	55
Grafton	2010	81
Grafton	2015	75
Grafton	2016	3
Grafton		20
Grafton Region	1991	96
Grafton Region	1995	7
Grafton Region	2000	14
Grafton Region	2005	14
Grafton Region	2010	17
Grafton Region	2015	17
Grafton Region		7
Maclean - Yamba - Iluka	1991	232
Maclean - Yamba - Iluka	1995	16
Maclean - Yamba - Iluka	2000	28
Maclean - Yamba - Iluka	2005	36
Maclean - Yamba - Iluka	2010	55
Maclean - Yamba - Iluka	2015	48
Maclean - Yamba - Iluka	2016	3
Maclean - Yamba - Iluka		16
Bellingen	1991	155
Bellingen	1995	17
Bellingen	2000	26
Bellingen	2005	26
Bellingen	2010	23
Bellingen	2015	28
Bellingen		12
Coffs Harbour - North	1991	356
Coffs Harbour - North	1995	42
Coffs Harbour - North	2000	61
Coffs Harbour - North	2005	65
Coffs Harbour - North	2010	129
Coffs Harbour - North	2015	95
Coffs Harbour - North	2016	3
Coffs Harbour - North		23
Coffs Harbour - South	1991	841
Coffs Harbour - South	1995	112
Coffs Harbour - South	2000	156
Coffs Harbour - South	2005	188
Coffs Harbour - South	2010	304
Coffs Harbour - South	2015	231
Coffs Harbour - South	2016	8
Coffs Harbour - South		50
Coramba - Nana Glen - Bucca	1991	44
Coramba - Nana Glen - Bucca	1995	9
Coramba - Nana Glen - Bucca	2000	9
Coramba - Nana Glen - Bucca	2005	7
Coramba - Nana Glen - Bucca	2010	11
Coramba - Nana Glen - Bucca	2015	8
Dorrigo	1991	54
Dorrigo	1995	3
Dorrigo	2000	3
Dorrigo	2005	3
Dorrigo	2010	6
Dorrigo	2015	6
Dorrigo		5
Korora - Emerald Beach	1991	82
Korora - Emerald Beach	1995	15
Korora - Emerald Beach	2000	17
Korora - Emerald Beach	2005	18
Korora - Emerald Beach	2010	38
Korora - Emerald Beach	2015	31
Korora - Emerald Beach		3
Sawtell - Boambee	1991	260
Sawtell - Boambee	1995	26
Sawtell - Boambee	2000	54
Sawtell - Boambee	2005	44
Sawtell - Boambee	2010	82
Sawtell - Boambee	2015	50
Sawtell - Boambee	2016	9
Sawtell - Boambee		7
Urunga	1991	80
Urunga	1995	9
Urunga	2000	13
Urunga	2005	15
Urunga	2010	19
Urunga	2015	10
Urunga	2016	3
Urunga		5
Woolgoolga - Arrawarra	1991	214
Woolgoolga - Arrawarra	1995	39
Woolgoolga - Arrawarra	2000	40
Woolgoolga - Arrawarra	2005	54
Woolgoolga - Arrawarra	2010	213
Woolgoolga - Arrawarra	2015	318
Woolgoolga - Arrawarra	2016	40
Woolgoolga - Arrawarra		54
Bourke - Brewarrina	1991	34
Bourke - Brewarrina	1995	3
Bourke - Brewarrina	2000	7
Bourke - Brewarrina	2005	9
Bourke - Brewarrina	2010	28
Bourke - Brewarrina	2015	18
Bourke - Brewarrina	2016	3
Bourke - Brewarrina		4
Cobar	1991	67
Cobar	1995	10
Cobar	2000	17
Cobar	2005	22
Cobar	2010	61
Cobar	2015	50
Cobar		8
Coonamble	1991	25
Coonamble	1995	4
Coonamble	2000	3
Coonamble	2005	4
Coonamble	2010	12
Coonamble	2015	15
Nyngan - Warren	1991	49
Nyngan - Warren	1995	7
Nyngan - Warren	2000	6
Nyngan - Warren	2005	11
Nyngan - Warren	2010	39
Nyngan - Warren	2015	33
Nyngan - Warren		12
Walgett - Lightning Ridge	1991	88
Walgett - Lightning Ridge	1995	9
Walgett - Lightning Ridge	2000	14
Walgett - Lightning Ridge	2005	19
Walgett - Lightning Ridge	2010	46
Walgett - Lightning Ridge	2015	39
Walgett - Lightning Ridge	2016	3
Walgett - Lightning Ridge		10
Broken Hill	1991	152
Broken Hill	1995	18
Broken Hill	2000	19
Broken Hill	2005	33
Broken Hill	2010	85
Broken Hill	2015	75
Broken Hill	2016	4
Broken Hill		7
Far West	1991	25
Far West	1995	4
Far West	2000	4
Far West	2005	3
Far West	2010	10
Far West	2015	7
Far West		3
Coonabarabran	1991	103
Coonabarabran	1995	14
Coonabarabran	2000	13
Coonabarabran	2005	14
Coonabarabran	2010	16
Coonabarabran	2015	24
Coonabarabran		7
Dubbo - East	1991	153
Dubbo - East	1995	27
Dubbo - East	2000	30
Dubbo - East	2005	53
Dubbo - East	2010	222
Dubbo - East	2015	211
Dubbo - East	2016	20
Dubbo - East		9
Dubbo - South	1991	267
Dubbo - South	1995	42
Dubbo - South	2000	51
Dubbo - South	2005	72
Dubbo - South	2010	248
Dubbo - South	2015	181
Dubbo - South	2016	16
Dubbo - South		15
Dubbo - West	1991	67
Dubbo - West	1995	5
Dubbo - West	2000	9
Dubbo - West	2005	20
Dubbo - West	2010	64
Dubbo - West	2015	42
Dubbo - West	2016	6
Dubbo - West		7
Dubbo Region	1991	27
Dubbo Region	1995	4
Dubbo Region	2000	4
Dubbo Region	2005	5
Dubbo Region	2010	13
Dubbo Region	2015	3
Gilgandra	1991	27
Gilgandra	1995	3
Gilgandra	2000	6
Gilgandra	2005	12
Gilgandra	2010	13
Gilgandra	2015	11
Gilgandra		6
Narromine	1991	64
Narromine	1995	5
Narromine	2000	3
Narromine	2005	14
Narromine	2010	16
Narromine	2015	15
Narromine		6
Wellington	1991	87
Wellington	1995	3
Wellington	2000	14
Wellington	2005	14
Wellington	2010	20
Wellington	2015	14
Wellington		8
Branxton - Greta - Pokolbin	1991	203
Branxton - Greta - Pokolbin	1995	25
Branxton - Greta - Pokolbin	2000	48
Branxton - Greta - Pokolbin	2005	37
Branxton - Greta - Pokolbin	2010	66
Branxton - Greta - Pokolbin	2015	50
Branxton - Greta - Pokolbin	2016	3
Branxton - Greta - Pokolbin		17
Cessnock	1991	248
Cessnock	1995	27
Cessnock	2000	41
Cessnock	2005	59
Cessnock	2010	80
Cessnock	2015	58
Cessnock		20
Cessnock Region	1991	113
Cessnock Region	1995	14
Cessnock Region	2000	16
Cessnock Region	2005	18
Cessnock Region	2010	36
Cessnock Region	2015	20
Cessnock Region		3
Dungog	1991	74
Dungog	1995	3
Dungog	2000	8
Dungog	2005	11
Dungog	2010	8
Dungog	2015	6
Dungog		3
Kurri Kurri - Abermain	1991	128
Kurri Kurri - Abermain	1995	19
Kurri Kurri - Abermain	2000	17
Kurri Kurri - Abermain	2005	26
Kurri Kurri - Abermain	2010	26
Kurri Kurri - Abermain	2015	27
Kurri Kurri - Abermain		4
Singleton	1991	293
Singleton	1995	43
Singleton	2000	61
Singleton	2005	89
Singleton	2010	131
Singleton	2015	93
Singleton		21
Singleton Region	1991	234
Singleton Region	1995	29
Singleton Region	2000	43
Singleton Region	2005	52
Singleton Region	2010	90
Singleton Region	2015	40
Singleton Region		7
Maitland	1991	273
Maitland	1995	49
Maitland	2000	56
Maitland	2005	94
Maitland	2010	119
Maitland	2015	93
Maitland	2016	3
Maitland		18
Maitland - East	1991	307
Maitland - East	1995	48
Maitland - East	2000	66
Maitland - East	2005	77
Maitland - East	2010	144
Maitland - East	2015	102
Maitland - East	2016	3
Maitland - East		18
Maitland - North	1991	45
Maitland - North	1995	3
Maitland - North	2000	7
Maitland - North	2005	14
Maitland - North	2010	7
Maitland - North	2015	3
Maitland - West	1991	235
Maitland - West	1995	38
Maitland - West	2000	59
Maitland - West	2005	77
Maitland - West	2010	143
Maitland - West	2015	112
Maitland - West	2016	4
Maitland - West		11
Thornton - Millers Forest	1991	168
Thornton - Millers Forest	1995	19
Thornton - Millers Forest	2000	24
Thornton - Millers Forest	2005	34
Thornton - Millers Forest	2010	49
Thornton - Millers Forest	2015	40
Thornton - Millers Forest		3
Anna Bay	1991	42
Anna Bay	1995	6
Anna Bay	2000	3
Anna Bay	2005	10
Anna Bay	2010	14
Anna Bay	2015	7
Anna Bay		3
Lemon Tree Passage - Tanilba Bay	1991	51
Lemon Tree Passage - Tanilba Bay	1995	8
Lemon Tree Passage - Tanilba Bay	2000	21
Lemon Tree Passage - Tanilba Bay	2005	5
Lemon Tree Passage - Tanilba Bay	2010	6
Lemon Tree Passage - Tanilba Bay	2015	5
Lemon Tree Passage - Tanilba Bay		9
Nelson Bay Peninsula	1991	457
Nelson Bay Peninsula	1995	49
Nelson Bay Peninsula	2000	75
Nelson Bay Peninsula	2005	88
Nelson Bay Peninsula	2010	175
Nelson Bay Peninsula	2015	115
Nelson Bay Peninsula	2016	11
Nelson Bay Peninsula		43
Raymond Terrace	1991	419
Raymond Terrace	1995	53
Raymond Terrace	2000	55
Raymond Terrace	2005	90
Raymond Terrace	2010	141
Raymond Terrace	2015	82
Raymond Terrace		23
Seaham - Woodville	1991	35
Seaham - Woodville	2000	6
Seaham - Woodville	2005	7
Seaham - Woodville	2010	8
Seaham - Woodville	2015	3
Tea Gardens - Hawks Nest	1991	86
Tea Gardens - Hawks Nest	1995	9
Tea Gardens - Hawks Nest	2000	9
Tea Gardens - Hawks Nest	2005	10
Tea Gardens - Hawks Nest	2010	28
Tea Gardens - Hawks Nest	2015	24
Tea Gardens - Hawks Nest	2016	4
Tea Gardens - Hawks Nest		11
Williamtown - Medowie - Karuah	1991	378
Williamtown - Medowie - Karuah	1995	49
Williamtown - Medowie - Karuah	2000	96
Williamtown - Medowie - Karuah	2005	102
Williamtown - Medowie - Karuah	2010	145
Williamtown - Medowie - Karuah	2015	69
Williamtown - Medowie - Karuah	2016	8
Williamtown - Medowie - Karuah		29
Muswellbrook	1991	227
Muswellbrook	1995	40
Muswellbrook	2000	60
Muswellbrook	2005	50
Muswellbrook	2010	158
Muswellbrook	2015	116
Muswellbrook		14
Muswellbrook Region	1991	85
Muswellbrook Region	1995	13
Muswellbrook Region	2000	24
Muswellbrook Region	2005	14
Muswellbrook Region	2010	31
Muswellbrook Region	2015	38
Muswellbrook Region	2016	6
Muswellbrook Region		3
Scone	1991	77
Scone	1995	7
Scone	2000	22
Scone	2005	24
Scone	2010	79
Scone	2015	137
Scone	2016	16
Scone		9
Scone Region	1991	90
Scone Region	1995	8
Scone Region	2000	21
Scone Region	2005	20
Scone Region	2010	33
Scone Region	2015	67
Scone Region	2016	4
Scone Region		8
Dapto - Avondale	1991	459
Dapto - Avondale	1995	35
Dapto - Avondale	2000	37
Dapto - Avondale	2005	45
Dapto - Avondale	2010	88
Dapto - Avondale	2015	58
Dapto - Avondale	2016	4
Dapto - Avondale		19
Horsley - Kembla Grange	1991	86
Horsley - Kembla Grange	1995	4
Horsley - Kembla Grange	2000	8
Horsley - Kembla Grange	2005	14
Horsley - Kembla Grange	2010	15
Horsley - Kembla Grange	2015	17
Port Kembla Industrial	1991	412
Port Kembla Industrial	1995	23
Port Kembla Industrial	2000	35
Port Kembla Industrial	2005	37
Port Kembla Industrial	2010	28
Port Kembla Industrial	2015	11
Port Kembla Industrial		20
Unanderra - Mount Kembla	1991	929
Unanderra - Mount Kembla	1995	100
Unanderra - Mount Kembla	2000	105
Unanderra - Mount Kembla	2005	131
Unanderra - Mount Kembla	2010	160
Unanderra - Mount Kembla	2015	139
Unanderra - Mount Kembla	2016	12
Unanderra - Mount Kembla		51
Berkeley - Lake Heights - Cringila	1991	201
Berkeley - Lake Heights - Cringila	1995	25
Berkeley - Lake Heights - Cringila	2000	22
Berkeley - Lake Heights - Cringila	2005	26
Berkeley - Lake Heights - Cringila	2010	38
Berkeley - Lake Heights - Cringila	2015	66
Berkeley - Lake Heights - Cringila	2016	3
Berkeley - Lake Heights - Cringila		10
Port Kembla - Warrawong	1991	1040
Port Kembla - Warrawong	1995	82
Port Kembla - Warrawong	2000	99
Port Kembla - Warrawong	2005	103
Port Kembla - Warrawong	2010	144
Port Kembla - Warrawong	2015	126
Port Kembla - Warrawong	2016	9
Port Kembla - Warrawong		46
Windang - Primbee	1991	42
Windang - Primbee	1995	3
Windang - Primbee	2000	7
