SA2_NAME16	YearOfArrival.max	workers_born_overseas
Braidwood	1991	83
Braidwood	1995	5
Braidwood	2000	3
Braidwood	2005	9
Braidwood	2010	15
Braidwood	2015	12
Braidwood		4
Karabar	1991	66
Karabar	1995	4
Karabar	2000	12
Karabar	2005	13
Karabar	2010	15
Karabar	2015	11
Karabar	2016	4
Karabar		3
Queanbeyan	1991	368
Queanbeyan	1995	72
Queanbeyan	2000	91
Queanbeyan	2005	137
Queanbeyan	2010	332
Queanbeyan	2015	246
Queanbeyan	2016	13
Queanbeyan		32
Queanbeyan - East	1991	201
Queanbeyan - East	1995	19
Queanbeyan - East	2000	28
Queanbeyan - East	2005	30
Queanbeyan - East	2010	132
Queanbeyan - East	2015	106
Queanbeyan - East	2016	8
Queanbeyan - East		16
Queanbeyan Region	1991	251
Queanbeyan Region	1995	19
Queanbeyan Region	2000	36
Queanbeyan Region	2005	48
Queanbeyan Region	2010	57
Queanbeyan Region	2015	55
Queanbeyan Region	2016	7
Queanbeyan Region		12
Queanbeyan West - Jerrabomberra	1991	157
Queanbeyan West - Jerrabomberra	1995	22
Queanbeyan West - Jerrabomberra	2000	26
Queanbeyan West - Jerrabomberra	2005	31
Queanbeyan West - Jerrabomberra	2010	77
Queanbeyan West - Jerrabomberra	2015	72
Queanbeyan West - Jerrabomberra	2016	8
Queanbeyan West - Jerrabomberra		12
Bombala	1991	44
Bombala	1995	4
Bombala	2005	6
Bombala	2010	11
Bombala	2015	12
Bombala		4
Cooma	1991	235
Cooma	1995	32
Cooma	2000	28
Cooma	2005	39
Cooma	2010	49
Cooma	2015	35
Cooma		22
Cooma Region	1991	67
Cooma Region	1995	3
Cooma Region	2000	4
Cooma Region	2005	3
Cooma Region	2010	3
Cooma Region	2015	7
Cooma Region		4
Jindabyne - Berridale	1991	244
Jindabyne - Berridale	1995	35
Jindabyne - Berridale	2000	43
Jindabyne - Berridale	2005	41
Jindabyne - Berridale	2010	77
Jindabyne - Berridale	2015	154
Jindabyne - Berridale	2016	40
Jindabyne - Berridale		51
Batemans Bay	1991	252
Batemans Bay	1995	26
Batemans Bay	2000	30
Batemans Bay	2005	37
Batemans Bay	2010	39
Batemans Bay	2015	37
Batemans Bay	2016	4
Batemans Bay		25
Batemans Bay - South	1991	103
Batemans Bay - South	1995	14
Batemans Bay - South	2000	12
Batemans Bay - South	2005	11
Batemans Bay - South	2010	25
Batemans Bay - South	2015	9
Batemans Bay - South		3
Bega - Tathra	1991	322
Bega - Tathra	1995	34
Bega - Tathra	2000	35
Bega - Tathra	2005	41
Bega - Tathra	2010	58
Bega - Tathra	2015	37
Bega - Tathra	2016	3
Bega - Tathra		22
Bega-Eden Hinterland	1991	113
Bega-Eden Hinterland	1995	5
Bega-Eden Hinterland	2000	5
Bega-Eden Hinterland	2005	9
Bega-Eden Hinterland	2010	8
Bega-Eden Hinterland	2015	5
Bega-Eden Hinterland		7
Broulee - Tomakin	1991	40
Broulee - Tomakin	1995	8
Broulee - Tomakin	2000	8
