SA2_NAME16	Age	workers
Braidwood	15-19	42
Braidwood	20-24	41
Braidwood	25-29	50
Braidwood	30-34	59
Braidwood	35-39	54
Braidwood	40-44	102
Braidwood	45-49	132
Braidwood	50-54	119
Braidwood	55-59	159
Braidwood	60-64	102
Braidwood	65-69	86
Braidwood	70-74	50
Braidwood	75+	51
Karabar	15-19	68
Karabar	20-24	61
Karabar	25-29	74
Karabar	30-34	61
Karabar	35-39	56
Karabar	40-44	91
Karabar	45-49	99
Karabar	50-54	91
Karabar	55-59	100
Karabar	60-64	58
Karabar	65-69	24
Karabar	70-74	8
Karabar	75+	4
Queanbeyan	15-19	392
Queanbeyan	20-24	563
Queanbeyan	25-29	608
Queanbeyan	30-34	597
Queanbeyan	35-39	540
Queanbeyan	40-44	605
Queanbeyan	45-49	566
Queanbeyan	50-54	520
Queanbeyan	55-59	458
Queanbeyan	60-64	348
Queanbeyan	65-69	145
Queanbeyan	70-74	40
Queanbeyan	75+	25
Queanbeyan - East	15-19	241
Queanbeyan - East	20-24	273
Queanbeyan - East	25-29	358
Queanbeyan - East	30-34	322
Queanbeyan - East	35-39	263
Queanbeyan - East	40-44	262
Queanbeyan - East	45-49	274
Queanbeyan - East	50-54	235
Queanbeyan - East	55-59	213
Queanbeyan - East	60-64	162
Queanbeyan - East	65-69	75
Queanbeyan - East	70-74	27
Queanbeyan - East	75+	16
Queanbeyan Region	15-19	158
Queanbeyan Region	20-24	153
Queanbeyan Region	25-29	249
Queanbeyan Region	30-34	269
Queanbeyan Region	35-39	276
Queanbeyan Region	40-44	315
Queanbeyan Region	45-49	395
Queanbeyan Region	50-54	369
Queanbeyan Region	55-59	255
Queanbeyan Region	60-64	197
Queanbeyan Region	65-69	125
Queanbeyan Region	70-74	62
Queanbeyan Region	75+	35
Queanbeyan West - Jerrabomberra	15-19	146
Queanbeyan West - Jerrabomberra	20-24	264
Queanbeyan West - Jerrabomberra	25-29	254
Queanbeyan West - Jerrabomberra	30-34	230
Queanbeyan West - Jerrabomberra	35-39	206
Queanbeyan West - Jerrabomberra	40-44	228
Queanbeyan West - Jerrabomberra	45-49	230
Queanbeyan West - Jerrabomberra	50-54	215
Queanbeyan West - Jerrabomberra	55-59	165
Queanbeyan West - Jerrabomberra	60-64	108
Queanbeyan West - Jerrabomberra	65-69	45
Queanbeyan West - Jerrabomberra	70-74	18
Queanbeyan West - Jerrabomberra	75+	5
Bombala	15-19	58
Bombala	20-24	61
Bombala	25-29	64
Bombala	30-34	79
Bombala	35-39	69
Bombala	40-44	92
Bombala	45-49	109
Bombala	50-54	135
Bombala	55-59	131
Bombala	60-64	118
Bombala	65-69	69
Bombala	70-74	41
Bombala	75+	19
Cooma	15-19	253
Cooma	20-24	254
Cooma	25-29	275
Cooma	30-34	290
Cooma	35-39	255
Cooma	40-44	363
Cooma	45-49	412
Cooma	50-54	428
Cooma	55-59	407
Cooma	60-64	262
Cooma	65-69	124
Cooma	70-74	58
Cooma	75+	32
Cooma Region	15-19	20
Cooma Region	20-24	24
Cooma Region	25-29	33
Cooma Region	30-34	35
Cooma Region	35-39	38
Cooma Region	40-44	68
Cooma Region	45-49	83
Cooma Region	50-54	90
Cooma Region	55-59	70
