SA2_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Braidwood		0		29
Braidwood	0	0		30
Braidwood	7875			3
Braidwood	7875	0		40
Braidwood	15750			4
Braidwood	15750	0		51
Braidwood	15750	1	State territory	3
Braidwood	21000	0		68
Braidwood	21000	1	State territory	3
Braidwood	26250	0		84
Braidwood	26250	1	State territory	3
Braidwood	34125	0		113
Braidwood	34125	1	State territory	3
Braidwood	42000	0		97
Braidwood	42000	1	Local	9
Braidwood	42000	1	State territory	11
Braidwood	52500	0		101
Braidwood	52500	1	Local	8
Braidwood	52500	1	National	4
Braidwood	52500	1	State territory	9
Braidwood	65625	0		106
Braidwood	65625	1	Local	7
Braidwood	65625	1	State territory	12
Braidwood	78750	0		57
Braidwood	78750	1	Local	9
Braidwood	78750	1	State territory	6
Braidwood	91875	0		44
Braidwood	91875	1	Local	8
Braidwood	91875	1	State territory	9
Braidwood	105000	0		25
Braidwood	105000	1	State territory	14
Braidwood	157500	0		34
Braidwood	157500	1	Local	3
Braidwood	157500	1	State territory	9
Braidwood	Inf	0		23
Karabar		0		9
Karabar		1	State territory	5
Karabar	0	0		3
Karabar	7875	0		42
Karabar	7875	1	State territory	3
Karabar	15750	0		36
Karabar	21000	0		38
Karabar	21000	1	State territory	4
Karabar	26250	0		41
Karabar	26250	1	State territory	6
Karabar	34125	0		60
Karabar	34125	1	State territory	5
Karabar	42000	0		69
Karabar	42000	1	State territory	16
Karabar	52500	0		69
Karabar	52500	1	State territory	15
Karabar	65625			3
Karabar	65625	0		65
Karabar	65625	1	State territory	16
Karabar	78750	0		54
Karabar	78750	1	National	3
Karabar	78750	1	State territory	32
Karabar	91875	0		30
Karabar	91875	1	State territory	22
Karabar	105000	0		23
Karabar	105000	1	National	4
Karabar	105000	1	State territory	44
Karabar	157500	0		26
Karabar	157500	1	National	3
Karabar	157500	1	State territory	25
Karabar	Inf	0		4
Queanbeyan				18
Queanbeyan		0		33
Queanbeyan		1	Local	3
Queanbeyan		1	National	5
Queanbeyan		1	State territory	9
Queanbeyan	0	0		21
Queanbeyan	0	1	State territory	3
Queanbeyan	7875			3
Queanbeyan	7875	0		214
Queanbeyan	7875	1	National	3
Queanbeyan	7875	1	State territory	4
Queanbeyan	15750			6
Queanbeyan	15750	0		176
Queanbeyan	15750	1	Local	6
Queanbeyan	15750	1	National	5
Queanbeyan	15750	1	State territory	8
Queanbeyan	21000			4
Queanbeyan	21000	0		188
Queanbeyan	21000	1	Local	3
Queanbeyan	21000	1	National	3
Queanbeyan	21000	1	State territory	9
Queanbeyan	26250	0		241
Queanbeyan	26250	1	Local	3
Queanbeyan	26250	1	National	12
Queanbeyan	26250	1	State territory	20
Queanbeyan	34125			3
Queanbeyan	34125	0		363
Queanbeyan	34125	1	Local	4
Queanbeyan	34125	1	National	16
Queanbeyan	34125	1	State territory	27
Queanbeyan	42000			7
Queanbeyan	42000	0		520
Queanbeyan	42000	1	Local	11
Queanbeyan	42000	1	National	25
Queanbeyan	42000	1	State territory	36
Queanbeyan	52500			10
Queanbeyan	52500	0		621
Queanbeyan	52500	1	Local	31
Queanbeyan	52500	1	National	39
Queanbeyan	52500	1	State territory	73
Queanbeyan	65625			4
Queanbeyan	65625	0		504
Queanbeyan	65625	1	Local	40
Queanbeyan	65625	1	National	90
Queanbeyan	65625	1	State territory	101
Queanbeyan	78750			3
Queanbeyan	78750	0		310
Queanbeyan	78750	1	Local	35
Queanbeyan	78750	1	National	53
Queanbeyan	78750	1	State territory	116
Queanbeyan	91875			3
Queanbeyan	91875	0		234
Queanbeyan	91875	1	Local	42
Queanbeyan	91875	1	National	22
Queanbeyan	91875	1	State territory	142
Queanbeyan	105000			3
Queanbeyan	105000	0		145
Queanbeyan	105000	1	Local	26
Queanbeyan	105000	1	National	14
Queanbeyan	105000	1	State territory	124
Queanbeyan	157500			3
Queanbeyan	157500	0		199
Queanbeyan	157500	1	Local	55
Queanbeyan	157500	1	National	30
Queanbeyan	157500	1	State territory	181
Queanbeyan	Inf			7
Queanbeyan	Inf	0		95
Queanbeyan	Inf	1	Local	10
Queanbeyan	Inf	1	National	3
Queanbeyan	Inf	1	State territory	32
Queanbeyan - East				5
Queanbeyan - East		0		38
Queanbeyan - East	0	0		15
Queanbeyan - East	7875	0		127
Queanbeyan - East	7875	1	State territory	3
Queanbeyan - East	15750	0		67
Queanbeyan - East	21000	0		76
Queanbeyan - East	26250	0		88
