SA2_NAME16	LabourForceStatus	Sex	workers
Braidwood		F	8
Braidwood		M	23
Braidwood	Employed (away from work)	F	17
Braidwood	Employed (away from work)	M	26
Braidwood	Employed (full-time)	F	223
Braidwood	Employed (full-time)	M	347
Braidwood	Employed (part-time)	F	264
Braidwood	Employed (part-time)	M	144
Karabar		F	4
Karabar		M	4
Karabar	Employed (away from work)	F	14
Karabar	Employed (away from work)	M	12
Karabar	Employed (full-time)	F	202
Karabar	Employed (full-time)	M	221
Karabar	Employed (part-time)	F	221
Karabar	Employed (part-time)	M	113
Queanbeyan		F	46
Queanbeyan		M	57
Queanbeyan	Employed (away from work)	F	131
Queanbeyan	Employed (away from work)	M	64
Queanbeyan	Employed (full-time)	F	1449
Queanbeyan	Employed (full-time)	M	1862
Queanbeyan	Employed (part-time)	F	1267
Queanbeyan	Employed (part-time)	M	545
Queanbeyan - East		F	15
Queanbeyan - East		M	28
Queanbeyan - East	Employed (away from work)	F	32
Queanbeyan - East	Employed (away from work)	M	47
Queanbeyan - East	Employed (full-time)	F	337
Queanbeyan - East	Employed (full-time)	M	1632
Queanbeyan - East	Employed (part-time)	F	310
Queanbeyan - East	Employed (part-time)	M	316
Queanbeyan Region		F	12
Queanbeyan Region		M	38
Queanbeyan Region	Employed (away from work)	F	43
Queanbeyan Region	Employed (away from work)	M	52
Queanbeyan Region	Employed (full-time)	F	491
Queanbeyan Region	Employed (full-time)	M	1385
Queanbeyan Region	Employed (part-time)	F	529
Queanbeyan Region	Employed (part-time)	M	317
Queanbeyan West - Jerrabomberra		F	14
Queanbeyan West - Jerrabomberra		M	26
Queanbeyan West - Jerrabomberra	Employed (away from work)	F	13
Queanbeyan West - Jerrabomberra	Employed (away from work)	M	36
Queanbeyan West - Jerrabomberra	Employed (full-time)	F	325
Queanbeyan West - Jerrabomberra	Employed (full-time)	M	1142
Queanbeyan West - Jerrabomberra	Employed (part-time)	F	325
Queanbeyan West - Jerrabomberra	Employed (part-time)	M	225
Bombala		F	9
Bombala		M	15
Bombala	Employed (away from work)	F	24
Bombala	Employed (away from work)	M	18
Bombala	Employed (full-time)	F	196
Bombala	Employed (full-time)	M	453
Bombala	Employed (part-time)	F	235
Bombala	Employed (part-time)	M	85
Cooma		F	32
Cooma		M	32
Cooma	Employed (away from work)	F	79
Cooma	Employed (away from work)	M	65
Cooma	Employed (full-time)	F	873
Cooma	Employed (full-time)	M	1111
Cooma	Employed (part-time)	F	840
Cooma	Employed (part-time)	M	385
Cooma Region		F	5
Cooma Region		M	3
Cooma Region	Employed (away from work)	F	13
Cooma Region	Employed (away from work)	M	11
Cooma Region	Employed (full-time)	F	110
Cooma Region	Employed (full-time)	M	318
Cooma Region	Employed (part-time)	F	129
Cooma Region	Employed (part-time)	M	96
Jindabyne - Berridale		F	57
Jindabyne - Berridale		M	68
Jindabyne - Berridale	Employed (away from work)	F	49
Jindabyne - Berridale	Employed (away from work)	M	46
Jindabyne - Berridale	Employed (full-time)	F	1245
Jindabyne - Berridale	Employed (full-time)	M	1761
Jindabyne - Berridale	Employed (part-time)	F	780
Jindabyne - Berridale	Employed (part-time)	M	527
Batemans Bay		F	47
Batemans Bay		M	51
Batemans Bay	Employed (away from work)	F	119
Batemans Bay	Employed (away from work)	M	65
Batemans Bay	Employed (full-time)	F	882
Batemans Bay	Employed (full-time)	M	1288
Batemans Bay	Employed (part-time)	F	1157
Batemans Bay	Employed (part-time)	M	590
Batemans Bay - South		F	3
Batemans Bay - South		M	5
Batemans Bay - South	Employed (away from work)	F	34
Batemans Bay - South	Employed (away from work)	M	13
Batemans Bay - South	Employed (full-time)	F	262
Batemans Bay - South	Employed (full-time)	M	258
Batemans Bay - South	Employed (part-time)	F	378
Batemans Bay - South	Employed (part-time)	M	190
Bega - Tathra		F	45
Bega - Tathra		M	50
Bega - Tathra	Employed (away from work)	F	126
Bega - Tathra	Employed (away from work)	M	101
Bega - Tathra	Employed (full-time)	F	1169
Bega - Tathra	Employed (full-time)	M	1686
Bega - Tathra	Employed (part-time)	F	1350
Bega - Tathra	Employed (part-time)	M	569
Bega-Eden Hinterland		F	16
Bega-Eden Hinterland		M	17
Bega-Eden Hinterland	Employed (away from work)	F	27
Bega-Eden Hinterland	Employed (away from work)	M	26
Bega-Eden Hinterland	Employed (full-time)	F	209
Bega-Eden Hinterland	Employed (full-time)	M	550
Bega-Eden Hinterland	Employed (part-time)	F	296
Bega-Eden Hinterland	Employed (part-time)	M	255
Broulee - Tomakin		F	5
Broulee - Tomakin		M	8
Broulee - Tomakin	Employed (away from work)	F	12
Broulee - Tomakin	Employed (away from work)	M	4
Broulee - Tomakin	Employed (full-time)	F	153
Broulee - Tomakin	Employed (full-time)	M	201
Broulee - Tomakin	Employed (part-time)	F	202
Broulee - Tomakin	Employed (part-time)	M	102
Deua - Wadbilliga	Employed (full-time)	M	3
Deua - Wadbilliga	Employed (part-time)	F	3
Deua - Wadbilliga	Employed (part-time)	M	3
Eden		F	9
Eden		M	19
Eden	Employed (away from work)	F	38
Eden	Employed (away from work)	M	22
Eden	Employed (full-time)	F	224
Eden	Employed (full-time)	M	494
Eden	Employed (part-time)	F	365
Eden	Employed (part-time)	M	163
Eurobodalla Hinterland		F	8
Eurobodalla Hinterland		M	5
Eurobodalla Hinterland	Employed (away from work)	F	17
