SA2_NAME16	Sex	workers
Braidwood	F	513
Braidwood	M	540
Karabar	F	438
Karabar	M	350
Queanbeyan	F	2890
Queanbeyan	M	2522
Queanbeyan - East	F	689
Queanbeyan - East	M	2022
Queanbeyan Region	F	1071
Queanbeyan Region	M	1792
Queanbeyan West - Jerrabomberra	F	679
Queanbeyan West - Jerrabomberra	M	1431
Bombala	F	463
Bombala	M	573
Cooma	F	1827
Cooma	M	1586
Cooma Region	F	255
Cooma Region	M	423
Jindabyne - Berridale	F	2128
Jindabyne - Berridale	M	2406
Batemans Bay	F	2206
Batemans Bay	M	1987
Batemans Bay - South	F	679
Batemans Bay - South	M	470
Bega - Tathra	F	2692
Bega - Tathra	M	2405
Bega-Eden Hinterland	F	551
Bega-Eden Hinterland	M	851
Broulee - Tomakin	F	371
Broulee - Tomakin	M	320
Deua - Wadbilliga	F	3
Deua - Wadbilliga	M	4
Eden	F	631
Eden	M	692
Eurobodalla Hinterland	F	359
Eurobodalla Hinterland	M	386
Merimbula - Tura Beach	F	1954
Merimbula - Tura Beach	M	1626
Moruya - Tuross Head	F	1727
Moruya - Tuross Head	M	1594
Narooma - Bermagui	F	1318
Narooma - Bermagui	M	1154
Goulburn	F	5247
Goulburn	M	4713
Goulburn Region	F	1343
Goulburn Region	M	2065
Yass	F	1244
Yass	M	978
Yass Region	F	992
Yass Region	M	1300
Young	F	2256
Young	M	2124
Young Region	F	1020
Young Region	M	1373
Avoca Beach - Copacabana	F	565
Avoca Beach - Copacabana	M	526
Box Head - MacMasters Beach	F	650
Box Head - MacMasters Beach	M	691
Calga - Kulnura	F	1495
Calga - Kulnura	M	3739
Erina - Green Point	F	5810
Erina - Green Point	M	3641
Gosford - Springfield	F	10738
Gosford - Springfield	M	8096
Kariong	F	692
Kariong	M	617
Kincumber - Picketts Valley	F	1157
Kincumber - Picketts Valley	M	1009
Narara	F	445
Narara	M	279
Niagara Park - Lisarow	F	1308
Niagara Park - Lisarow	M	1369
Point Clare - Koolewong	F	489
Point Clare - Koolewong	M	362
Saratoga - Davistown	F	340
Saratoga - Davistown	M	365
Terrigal - North Avoca	F	1551
Terrigal - North Avoca	M	1306
Umina - Booker Bay - Patonga	F	2186
Umina - Booker Bay - Patonga	M	1485
Wamberal - Forresters Beach	F	846
Wamberal - Forresters Beach	M	672
Woy Woy - Blackwall	F	2403
Woy Woy - Blackwall	M	1437
Wyoming	F	1559
Wyoming	M	961
Bateau Bay - Killarney Vale	F	2447
Bateau Bay - Killarney Vale	M	1584
Blue Haven - San Remo	F	619
Blue Haven - San Remo	M	488
Budgewoi - Buff Point - Halekulani	F	549
Budgewoi - Buff Point - Halekulani	M	405
Chittaway Bay - Tumbi Umbi	F	2096
Chittaway Bay - Tumbi Umbi	M	2831
Gorokan - Kanwal - Charmhaven	F	2675
Gorokan - Kanwal - Charmhaven	M	1481
Jilliby - Yarramalong	F	365
Jilliby - Yarramalong	M	417
Lake Munmorah - Mannering Park	F	809
Lake Munmorah - Mannering Park	M	989
Ourimbah - Fountaindale	F	866
Ourimbah - Fountaindale	M	1138
Summerland Point - Gwandalan	F	231
Summerland Point - Gwandalan	M	235
The Entrance	F	1789
The Entrance	M	1438
Toukley - Norah Head	F	1384
Toukley - Norah Head	M	759
Tuggerah - Kangy Angy	F	4859
Tuggerah - Kangy Angy	M	4442
Warnervale - Wadalba	F	3221
Warnervale - Wadalba	M	2722
Wyong	F	2498
Wyong	M	2627
Bathurst	F	7084
Bathurst	M	5664
Bathurst - East	F	1492
Bathurst - East	M	2069
Bathurst Region	F	496
Bathurst Region	M	729
Oberon	F	772
Oberon	M	1307
Condobolin	F	1192
Condobolin	M	1339
Cowra	F	1917
Cowra	M	1812
Cowra Region	F	672
Cowra Region	M	891
Forbes	F	1906
Forbes	M	2079
Grenfell	F	550
Grenfell	M	683
Parkes (NSW)	F	2128
Parkes (NSW)	M	1931
Parkes Region	F	499
Parkes Region	M	943
West Wyalong	F	1109
West Wyalong	M	1471
Lithgow	F	2754
Lithgow	M	2261
Lithgow Region	F	701
Lithgow Region	M	1723
Mudgee	F	2934
Mudgee	M	2307
Mudgee Region - East	F	442
Mudgee Region - East	M	437
Mudgee Region - West	F	1162
Mudgee Region - West	M	2645
Blayney	F	1093
Blayney	M	1831
Orange	F	8535
Orange	M	6662
Orange - North	F	1376
Orange - North	M	1970
Orange Region	F	1331
Orange Region	M	2286
Grafton	F	4814
Grafton	M	4620
Grafton Region	F	789
Grafton Region	M	1166
Maclean - Yamba - Iluka	F	2559
Maclean - Yamba - Iluka	M	2282
Bellingen	F	929
Bellingen	M	780
Coffs Harbour - North	F	3400
Coffs Harbour - North	M	2979
Coffs Harbour - South	F	7165
Coffs Harbour - South	M	5945
Coramba - Nana Glen - Bucca	F	235
Coramba - Nana Glen - Bucca	M	329
Dorrigo	F	463
Dorrigo	M	488
Korora - Emerald Beach	F	608
Korora - Emerald Beach	M	596
Sawtell - Boambee	F	2133
Sawtell - Boambee	M	2189
Urunga	F	469
Urunga	M	675
Woolgoolga - Arrawarra	F	1502
Woolgoolga - Arrawarra	M	1730
Bourke - Brewarrina	F	725
