SA2_NAME16	EmploymentStatus	Sex	workers
Braidwood		F	8
Braidwood		M	21
Braidwood	Contributing family workers	F	69
Braidwood	Contributing family workers	M	72
Braidwood	Employee	F	300
Braidwood	Employee	M	231
Braidwood	Owner managers of incorporated enterprises	F	27
Braidwood	Owner managers of incorporated enterprises	M	59
Braidwood	Owner managers of unincorporated enterprises	F	104
Braidwood	Owner managers of unincorporated enterprises	M	153
Karabar		F	3
Karabar		M	5
Karabar	Contributing family workers	F	3
Karabar	Contributing family workers	M	5
Karabar	Employee	F	373
Karabar	Employee	M	260
Karabar	Owner managers of incorporated enterprises	F	12
Karabar	Owner managers of incorporated enterprises	M	36
Karabar	Owner managers of unincorporated enterprises	F	46
Karabar	Owner managers of unincorporated enterprises	M	44
Queanbeyan		F	25
Queanbeyan		M	16
Queanbeyan	Contributing family workers	F	22
Queanbeyan	Contributing family workers	M	23
Queanbeyan	Employee	F	2677
Queanbeyan	Employee	M	2110
Queanbeyan	Owner managers of incorporated enterprises	F	78
Queanbeyan	Owner managers of incorporated enterprises	M	219
Queanbeyan	Owner managers of unincorporated enterprises	F	97
Queanbeyan	Owner managers of unincorporated enterprises	M	157
Queanbeyan - East		F	8
Queanbeyan - East		M	13
Queanbeyan - East	Contributing family workers	F	17
Queanbeyan - East	Contributing family workers	M	15
Queanbeyan - East	Employee	F	585
Queanbeyan - East	Employee	M	1695
Queanbeyan - East	Owner managers of incorporated enterprises	F	53
Queanbeyan - East	Owner managers of incorporated enterprises	M	210
Queanbeyan - East	Owner managers of unincorporated enterprises	F	26
Queanbeyan - East	Owner managers of unincorporated enterprises	M	90
Queanbeyan Region		F	7
Queanbeyan Region		M	26
Queanbeyan Region	Contributing family workers	F	76
Queanbeyan Region	Contributing family workers	M	67
Queanbeyan Region	Employee	F	698
Queanbeyan Region	Employee	M	1217
Queanbeyan Region	Owner managers of incorporated enterprises	F	126
Queanbeyan Region	Owner managers of incorporated enterprises	M	244
Queanbeyan Region	Owner managers of unincorporated enterprises	F	169
Queanbeyan Region	Owner managers of unincorporated enterprises	M	238
Queanbeyan West - Jerrabomberra		F	4
Queanbeyan West - Jerrabomberra		M	13
Queanbeyan West - Jerrabomberra	Contributing family workers	F	12
