SA2_NAME16	EmploymentStatus	workers
Braidwood	Contributing family workers	138
Braidwood	Employee	533
Braidwood	Owner managers of incorporated enterprises	88
Braidwood	Owner managers of unincorporated enterprises	259
Braidwood	Status in employment not stated	28
Karabar	Contributing family workers	13
Karabar	Employee	628
Karabar	Owner managers of incorporated enterprises	51
Karabar	Owner managers of unincorporated enterprises	89
Karabar	Status in employment not stated	12
Queanbeyan	Contributing family workers	50
Queanbeyan	Employee	4780
Queanbeyan	Owner managers of incorporated enterprises	292
Queanbeyan	Owner managers of unincorporated enterprises	252
Queanbeyan	Status in employment not stated	35
Queanbeyan - East	Contributing family workers	37
Queanbeyan - East	Employee	2279
Queanbeyan - East	Owner managers of incorporated enterprises	260
Queanbeyan - East	Owner managers of unincorporated enterprises	119
Queanbeyan - East	Status in employment not stated	22
Queanbeyan Region	Contributing family workers	142
Queanbeyan Region	Employee	1916
Queanbeyan Region	Owner managers of incorporated enterprises	369
Queanbeyan Region	Owner managers of unincorporated enterprises	409
Queanbeyan Region	Status in employment not stated	31
Queanbeyan West - Jerrabomberra	Contributing family workers	19
Queanbeyan West - Jerrabomberra	Employee	1567
Queanbeyan West - Jerrabomberra	Owner managers of incorporated enterprises	308
Queanbeyan West - Jerrabomberra	Owner managers of unincorporated enterprises	201
Queanbeyan West - Jerrabomberra	Status in employment not stated	13
Bombala	Contributing family workers	83
Bombala	Employee	709
Bombala	Owner managers of incorporated enterprises	73
Bombala	Owner managers of unincorporated enterprises	144
Bombala	Status in employment not stated	22
Cooma	Contributing family workers	67
Cooma	Employee	2829
Cooma	Owner managers of incorporated enterprises	199
Cooma	Owner managers of unincorporated enterprises	284
Cooma	Status in employment not stated	33
Cooma Region	Contributing family workers	111
Cooma Region	Employee	280
Cooma Region	Owner managers of incorporated enterprises	76
Cooma Region	Owner managers of unincorporated enterprises	196
Cooma Region	Status in employment not stated	18
Jindabyne - Berridale	Contributing family workers	128
Jindabyne - Berridale	Employee	3647
Jindabyne - Berridale	Owner managers of incorporated enterprises	305
Jindabyne - Berridale	Owner managers of unincorporated enterprises	416
Jindabyne - Berridale	Status in employment not stated	43
Batemans Bay	Contributing family workers	61
Batemans Bay	Employee	3414
Batemans Bay	Owner managers of incorporated enterprises	287
Batemans Bay	Owner managers of unincorporated enterprises	374
Batemans Bay	Status in employment not stated	60
Batemans Bay - South	Contributing family workers	29
Batemans Bay - South	Employee	780
Batemans Bay - South	Owner managers of incorporated enterprises	100
Batemans Bay - South	Owner managers of unincorporated enterprises	224
Batemans Bay - South	Status in employment not stated	15
Bega - Tathra	Contributing family workers	68
Bega - Tathra	Employee	4361
Bega - Tathra	Owner managers of incorporated enterprises	257
Bega - Tathra	Owner managers of unincorporated enterprises	360
Bega - Tathra	Status in employment not stated	57
Bega-Eden Hinterland	Contributing family workers	162
Bega-Eden Hinterland	Employee	609
Bega-Eden Hinterland	Owner managers of incorporated enterprises	124
Bega-Eden Hinterland	Owner managers of unincorporated enterprises	467
Bega-Eden Hinterland	Status in employment not stated	27
Broulee - Tomakin	Contributing family workers	13
Broulee - Tomakin	Employee	512
Broulee - Tomakin	Owner managers of incorporated enterprises	48
Broulee - Tomakin	Owner managers of unincorporated enterprises	109
Broulee - Tomakin	Status in employment not stated	8
Deua - Wadbilliga	Employee	3
Eden	Contributing family workers	28
Eden	Employee	1071
Eden	Owner managers of incorporated enterprises	89
Eden	Owner managers of unincorporated enterprises	98
Eden	Status in employment not stated	34
Eurobodalla Hinterland	Contributing family workers	58
Eurobodalla Hinterland	Employee	424
Eurobodalla Hinterland	Owner managers of incorporated enterprises	77
Eurobodalla Hinterland	Owner managers of unincorporated enterprises	179
Eurobodalla Hinterland	Status in employment not stated	11
Merimbula - Tura Beach	Contributing family workers	69
Merimbula - Tura Beach	Employee	2613
Merimbula - Tura Beach	Owner managers of incorporated enterprises	363
Merimbula - Tura Beach	Owner managers of unincorporated enterprises	463
Merimbula - Tura Beach	Status in employment not stated	62
Moruya - Tuross Head	Contributing family workers	54
Moruya - Tuross Head	Employee	2692
Moruya - Tuross Head	Owner managers of incorporated enterprises	180
Moruya - Tuross Head	Owner managers of unincorporated enterprises	357
Moruya - Tuross Head	Status in employment not stated	38
Narooma - Bermagui	Contributing family workers	91
Narooma - Bermagui	Employee	1688
Narooma - Bermagui	Owner managers of incorporated enterprises	206
Narooma - Bermagui	Owner managers of unincorporated enterprises	450
Narooma - Bermagui	Status in employment not stated	43
Goulburn	Contributing family workers	91
Goulburn	Employee	8704
Goulburn	Owner managers of incorporated enterprises	456
Goulburn	Owner managers of unincorporated enterprises	596
Goulburn	Status in employment not stated	113
Goulburn Region	Contributing family workers	405
Goulburn Region	Employee	1986
Goulburn Region	Owner managers of incorporated enterprises	286
Goulburn Region	Owner managers of unincorporated enterprises	677
Goulburn Region	Status in employment not stated	62
Yass	Contributing family workers	69
Yass	Employee	1770
Yass	Owner managers of incorporated enterprises	149
Yass	Owner managers of unincorporated enterprises	209
Yass	Status in employment not stated	30
Yass Region	Contributing family workers	307
Yass Region	Employee	1145
Yass Region	Owner managers of incorporated enterprises	259
Yass Region	Owner managers of unincorporated enterprises	533
Yass Region	Status in employment not stated	37
Young	Contributing family workers	155
Young	Employee	3449
Young	Owner managers of incorporated enterprises	294
Young	Owner managers of unincorporated enterprises	407
Young	Status in employment not stated	64
Young Region	Contributing family workers	251
Young Region	Employee	1447
Young Region	Owner managers of incorporated enterprises	175
Young Region	Owner managers of unincorporated enterprises	474
Young Region	Status in employment not stated	45
Avoca Beach - Copacabana	Contributing family workers	43
Avoca Beach - Copacabana	Employee	571
Avoca Beach - Copacabana	Owner managers of incorporated enterprises	180
Avoca Beach - Copacabana	Owner managers of unincorporated enterprises	275
Avoca Beach - Copacabana	Status in employment not stated	20
Box Head - MacMasters Beach	Contributing family workers	64
Box Head - MacMasters Beach	Employee	689
Box Head - MacMasters Beach	Owner managers of incorporated enterprises	220
Box Head - MacMasters Beach	Owner managers of unincorporated enterprises	346
Box Head - MacMasters Beach	Status in employment not stated	21
Calga - Kulnura	Contributing family workers	110
Calga - Kulnura	Employee	4335
Calga - Kulnura	Owner managers of incorporated enterprises	363
Calga - Kulnura	Owner managers of unincorporated enterprises	374
Calga - Kulnura	Status in employment not stated	48
Erina - Green Point	Contributing family workers	94
Erina - Green Point	Employee	7982
Erina - Green Point	Owner managers of incorporated enterprises	683
Erina - Green Point	Owner managers of unincorporated enterprises	585
Erina - Green Point	Status in employment not stated	103
Gosford - Springfield	Contributing family workers	137
Gosford - Springfield	Employee	16650
Gosford - Springfield	Owner managers of incorporated enterprises	982
Gosford - Springfield	Owner managers of unincorporated enterprises	895
Gosford - Springfield	Status in employment not stated	172
Kariong	Contributing family workers	7
Kariong	Employee	1097
Kariong	Owner managers of incorporated enterprises	76
Kariong	Owner managers of unincorporated enterprises	109
Kariong	Status in employment not stated	13
Kincumber - Picketts Valley	Contributing family workers	35
Kincumber - Picketts Valley	Employee	1749
Kincumber - Picketts Valley	Owner managers of incorporated enterprises	152
Kincumber - Picketts Valley	Owner managers of unincorporated enterprises	204
Kincumber - Picketts Valley	Status in employment not stated	29
Narara	Contributing family workers	16
Narara	Employee	554
Narara	Owner managers of incorporated enterprises	52
Narara	Owner managers of unincorporated enterprises	93
Narara	Status in employment not stated	3
Niagara Park - Lisarow	Contributing family workers	32
Niagara Park - Lisarow	Employee	2329
Niagara Park - Lisarow	Owner managers of incorporated enterprises	125
Niagara Park - Lisarow	Owner managers of unincorporated enterprises	164
Niagara Park - Lisarow	Status in employment not stated	26
Point Clare - Koolewong	Contributing family workers	22
Point Clare - Koolewong	Employee	611
Point Clare - Koolewong	Owner managers of incorporated enterprises	81
Point Clare - Koolewong	Owner managers of unincorporated enterprises	125
Point Clare - Koolewong	Status in employment not stated	3
Saratoga - Davistown	Contributing family workers	26
Saratoga - Davistown	Employee	369
Saratoga - Davistown	Owner managers of incorporated enterprises	117
Saratoga - Davistown	Owner managers of unincorporated enterprises	174
Saratoga - Davistown	Status in employment not stated	14
Terrigal - North Avoca	Contributing family workers	73
Terrigal - North Avoca	Employee	1932
Terrigal - North Avoca	Owner managers of incorporated enterprises	364
Terrigal - North Avoca	Owner managers of unincorporated enterprises	453
Terrigal - North Avoca	Status in employment not stated	32
Umina - Booker Bay - Patonga	Contributing family workers	98
Umina - Booker Bay - Patonga	Employee	2602
Umina - Booker Bay - Patonga	Owner managers of incorporated enterprises	325
Umina - Booker Bay - Patonga	Owner managers of unincorporated enterprises	581
Umina - Booker Bay - Patonga	Status in employment not stated	67
Wamberal - Forresters Beach	Contributing family workers	39
Wamberal - Forresters Beach	Employee	956
Wamberal - Forresters Beach	Owner managers of incorporated enterprises	208
Wamberal - Forresters Beach	Owner managers of unincorporated enterprises	291
Wamberal - Forresters Beach	Status in employment not stated	24
Woy Woy - Blackwall	Contributing family workers	43
Woy Woy - Blackwall	Employee	3197
Woy Woy - Blackwall	Owner managers of incorporated enterprises	231
Woy Woy - Blackwall	Owner managers of unincorporated enterprises	325
Woy Woy - Blackwall	Status in employment not stated	37
Wyoming	Contributing family workers	31
Wyoming	Employee	2112
Wyoming	Owner managers of incorporated enterprises	121
Wyoming	Owner managers of unincorporated enterprises	243
Wyoming	Status in employment not stated	21
Bateau Bay - Killarney Vale	Contributing family workers	55
Bateau Bay - Killarney Vale	Employee	3213
Bateau Bay - Killarney Vale	Owner managers of incorporated enterprises	285
Bateau Bay - Killarney Vale	Owner managers of unincorporated enterprises	423
Bateau Bay - Killarney Vale	Status in employment not stated	51
Blue Haven - San Remo	Contributing family workers	18
Blue Haven - San Remo	Employee	886
Blue Haven - San Remo	Owner managers of incorporated enterprises	61
Blue Haven - San Remo	Owner managers of unincorporated enterprises	134
Blue Haven - San Remo	Status in employment not stated	4
Budgewoi - Buff Point - Halekulani	Contributing family workers	25
Budgewoi - Buff Point - Halekulani	Employee	663
