SA2_NAME16	LabourForceStatus	workers
Braidwood		29
Braidwood	Employed (away from work)	40
Braidwood	Employed (full-time)	575
Braidwood	Employed (part-time)	406
Karabar		7
Karabar	Employed (away from work)	23
Karabar	Employed (full-time)	428
Karabar	Employed (part-time)	334
Queanbeyan		95
Queanbeyan	Employed (away from work)	193
Queanbeyan	Employed (full-time)	3313
Queanbeyan	Employed (part-time)	1815
Queanbeyan - East		45
Queanbeyan - East	Employed (away from work)	74
Queanbeyan - East	Employed (full-time)	1970
Queanbeyan - East	Employed (part-time)	626
Queanbeyan Region		52
Queanbeyan Region	Employed (away from work)	90
Queanbeyan Region	Employed (full-time)	1874
Queanbeyan Region	Employed (part-time)	848
Queanbeyan West - Jerrabomberra		40
Queanbeyan West - Jerrabomberra	Employed (away from work)	48
Queanbeyan West - Jerrabomberra	Employed (full-time)	1468
Queanbeyan West - Jerrabomberra	Employed (part-time)	551
Bombala		24
Bombala	Employed (away from work)	45
Bombala	Employed (full-time)	651
Bombala	Employed (part-time)	312
Cooma		66
Cooma	Employed (away from work)	140
Cooma	Employed (full-time)	1984
Cooma	Employed (part-time)	1221
Cooma Region		15
Cooma Region	Employed (away from work)	19
Cooma Region	Employed (full-time)	430
Cooma Region	Employed (part-time)	220
Jindabyne - Berridale		121
Jindabyne - Berridale	Employed (away from work)	94
Jindabyne - Berridale	Employed (full-time)	3009
Jindabyne - Berridale	Employed (part-time)	1306
Batemans Bay		97
Batemans Bay	Employed (away from work)	184
Batemans Bay	Employed (full-time)	2170
Batemans Bay	Employed (part-time)	1749
Batemans Bay - South		14
Batemans Bay - South	Employed (away from work)	48
Batemans Bay - South	Employed (full-time)	521
Batemans Bay - South	Employed (part-time)	569
Bega - Tathra		95
Bega - Tathra	Employed (away from work)	228
Bega - Tathra	Employed (full-time)	2855
Bega - Tathra	Employed (part-time)	1920
Bega-Eden Hinterland		32
Bega-Eden Hinterland	Employed (away from work)	55
Bega-Eden Hinterland	Employed (full-time)	759
Bega-Eden Hinterland	Employed (part-time)	552
Broulee - Tomakin		14
Broulee - Tomakin	Employed (away from work)	14
Broulee - Tomakin	Employed (full-time)	350
Broulee - Tomakin	Employed (part-time)	310
Deua - Wadbilliga	Employed (full-time)	3
Deua - Wadbilliga	Employed (part-time)	6
Eden		23
Eden	Employed (away from work)	59
Eden	Employed (full-time)	716
Eden	Employed (part-time)	529
Eurobodalla Hinterland		16
Eurobodalla Hinterland	Employed (away from work)	31
Eurobodalla Hinterland	Employed (full-time)	369
Eurobodalla Hinterland	Employed (part-time)	338
Merimbula - Tura Beach		75
Merimbula - Tura Beach	Employed (away from work)	172
Merimbula - Tura Beach	Employed (full-time)	1696
Merimbula - Tura Beach	Employed (part-time)	1638
Moruya - Tuross Head		74
Moruya - Tuross Head	Employed (away from work)	141
Moruya - Tuross Head	Employed (full-time)	1697
Moruya - Tuross Head	Employed (part-time)	1411
Narooma - Bermagui		66
Narooma - Bermagui	Employed (away from work)	86
Narooma - Bermagui	Employed (full-time)	1085
Narooma - Bermagui	Employed (part-time)	1241
Goulburn		199
Goulburn	Employed (away from work)	390
Goulburn	Employed (full-time)	5975
Goulburn	Employed (part-time)	3400
Goulburn Region		72
Goulburn Region	Employed (away from work)	99
Goulburn Region	Employed (full-time)	2130
Goulburn Region	Employed (part-time)	1110
Yass		42
Yass	Employed (away from work)	67
Yass	Employed (full-time)	1187
Yass	Employed (part-time)	924
Yass Region		59
Yass Region	Employed (away from work)	78
Yass Region	Employed (full-time)	1295
Yass Region	Employed (part-time)	858
Young		110
Young	Employed (away from work)	159
Young	Employed (full-time)	2506
Young	Employed (part-time)	1608
Young Region		53
Young Region	Employed (away from work)	75
Young Region	Employed (full-time)	1526
Young Region	Employed (part-time)	735
Avoca Beach - Copacabana		23
Avoca Beach - Copacabana	Employed (away from work)	35
Avoca Beach - Copacabana	Employed (full-time)	512
Avoca Beach - Copacabana	Employed (part-time)	521
Box Head - MacMasters Beach		27
Box Head - MacMasters Beach	Employed (away from work)	51
