SA2_NAME16	CountryOfBirth	Sex	workers
Braidwood		F	28
Braidwood		M	20
Braidwood	AUS	F	428
Braidwood	AUS	M	471
Braidwood	CAN	F	3
Braidwood	DEU	F	3
Braidwood	DEU	M	3
Braidwood	IND	M	3
Braidwood	NLD	F	3
Braidwood	NZL	F	11
Braidwood	NZL	M	9
Braidwood	PHL	F	9
Braidwood	PHL	M	4
Braidwood	ZAF	F	3
Braidwood	GBR	F	28
Braidwood	GBR	M	18
Karabar		F	23
Karabar		M	17
Karabar	AUS	F	356
Karabar	AUS	M	292
Karabar	CHN	F	3
Karabar	HRV	F	3
Karabar	MKD	F	7
Karabar	MKD	M	4
Karabar	DEU	F	3
Karabar	IND	F	4
Karabar	IND	M	10
Karabar	IRN	M	3
Karabar	ITA	F	5
Karabar	NLD	M	3
Karabar	NZL	F	3
Karabar	NZL	M	7
Karabar	PHL	M	3
Karabar	THA	F	4
Karabar	GBR	F	16
Karabar	GBR	M	11
Karabar	USA	F	3
Queanbeyan		F	188
Queanbeyan		M	161
Queanbeyan	AUS	F	2169
Queanbeyan	AUS	M	1876
Queanbeyan	CAN	F	5
Queanbeyan	CAN	M	7
Queanbeyan	CHN	F	32
Queanbeyan	CHN	M	33
Queanbeyan	HRV	M	7
Queanbeyan	EGY	M	3
Queanbeyan	FJI	F	16
Queanbeyan	FJI	M	10
Queanbeyan	MKD	F	18
Queanbeyan	MKD	M	19
Queanbeyan	DEU	F	17
Queanbeyan	DEU	M	14
Queanbeyan	GRC	F	5
Queanbeyan	GRC	M	7
Queanbeyan	HKG	F	3
Queanbeyan	HKG	M	3
Queanbeyan	IND	F	105
Queanbeyan	IND	M	111
Queanbeyan	IDN	F	9
Queanbeyan	IRN	F	4
Queanbeyan	IRN	M	4
Queanbeyan	IRQ	M	3
Queanbeyan	IRL	F	7
Queanbeyan	IRL	M	3
Queanbeyan	ITA	F	5
Queanbeyan	ITA	M	9
Queanbeyan	JPN	M	4
Queanbeyan	LBN	M	3
Queanbeyan	MYS	F	18
Queanbeyan	MYS	M	10
Queanbeyan	MLT	F	3
Queanbeyan	NLD	F	3
Queanbeyan	NLD	M	4
Queanbeyan	NZL	F	50
Queanbeyan	NZL	M	42
Queanbeyan	PAK	F	9
Queanbeyan	PAK	M	11
Queanbeyan	PHL	F	62
Queanbeyan	PHL	M	25
Queanbeyan	POL	F	3
Queanbeyan	POL	M	4
Queanbeyan	SGP	F	4
Queanbeyan	SGP	M	4
Queanbeyan	ZAF	F	7
Queanbeyan	ZAF	M	7
Queanbeyan	KOR	F	8
Queanbeyan	KOR	M	8
Queanbeyan	LKA	F	13
Queanbeyan	LKA	M	20
Queanbeyan	THA	F	18
Queanbeyan	THA	M	3
Queanbeyan	TUR	M	7
Queanbeyan	GBR	F	78
Queanbeyan	GBR	M	71
Queanbeyan	USA	F	16
Queanbeyan	USA	M	11
Queanbeyan	VNM	F	19
Queanbeyan	VNM	M	8
Queanbeyan	ZWE	F	7
Queanbeyan	ZWE	M	7
Queanbeyan - East		F	27
Queanbeyan - East		M	93
Queanbeyan - East	AUS	F	556
Queanbeyan - East	AUS	M	1581
Queanbeyan - East	CHN	F	13
Queanbeyan - East	CHN	M	16
Queanbeyan - East	HRV	M	3
Queanbeyan - East	FJI	M	4
Queanbeyan - East	MKD	F	3
Queanbeyan - East	MKD	M	14
Queanbeyan - East	DEU	F	3
Queanbeyan - East	DEU	M	8
Queanbeyan - East	GRC	M	4
Queanbeyan - East	HKG	M	3
Queanbeyan - East	IND	F	19
Queanbeyan - East	IND	M	48
Queanbeyan - East	IDN	F	4
Queanbeyan - East	IRN	M	3
Queanbeyan - East	IRL	M	13
Queanbeyan - East	ITA	F	3
Queanbeyan - East	ITA	M	16
Queanbeyan - East	MYS	M	3
Queanbeyan - East	MLT	M	3
Queanbeyan - East	NLD	M	3
Queanbeyan - East	NZL	F	5
Queanbeyan - East	NZL	M	48
Queanbeyan - East	PAK	M	10
Queanbeyan - East	PHL	F	12
Queanbeyan - East	PHL	M	29
Queanbeyan - East	POL	M	4
Queanbeyan - East	SGP	M	4
Queanbeyan - East	ZAF	F	3
Queanbeyan - East	ZAF	M	9
Queanbeyan - East	KOR	F	3
Queanbeyan - East	KOR	M	4
Queanbeyan - East	LKA	M	8
Queanbeyan - East	GBR	F	19
Queanbeyan - East	GBR	M	64
Queanbeyan - East	USA	M	3
Queanbeyan - East	VNM	F	6
Queanbeyan - East	VNM	M	10
Queanbeyan Region		F	45
Queanbeyan Region		M	83
Queanbeyan Region	AUS	F	879
Queanbeyan Region	AUS	M	1457
Queanbeyan Region	CAN	F	3
Queanbeyan Region	CAN	M	5
Queanbeyan Region	CHN	M	6
Queanbeyan Region	HRV	F	3
Queanbeyan Region	FJI	M	4
Queanbeyan Region	MKD	M	6
Queanbeyan Region	DEU	F	8
Queanbeyan Region	DEU	M	3
Queanbeyan Region	HKG	F	3
Queanbeyan Region	HKG	M	4
Queanbeyan Region	IND	F	6
Queanbeyan Region	IND	M	19
Queanbeyan Region	IRN	M	3
Queanbeyan Region	IRL	M	11
Queanbeyan Region	ITA	F	3
Queanbeyan Region	ITA	M	12
Queanbeyan Region	MYS	M	3
Queanbeyan Region	NLD	F	4
Queanbeyan Region	NLD	M	9
Queanbeyan Region	NZL	F	24
Queanbeyan Region	NZL	M	35
Queanbeyan Region	PAK	M	5
Queanbeyan Region	PHL	F	5
Queanbeyan Region	PHL	M	4
Queanbeyan Region	POL	M	4
Queanbeyan Region	SGP	F	3
Queanbeyan Region	SGP	M	6
Queanbeyan Region	ZAF	F	13
Queanbeyan Region	ZAF	M	15
Queanbeyan Region	KOR	M	3
Queanbeyan Region	LKA	F	3
Queanbeyan Region	GBR	F	57
Queanbeyan Region	GBR	M	82
Queanbeyan Region	USA	F	7
Queanbeyan Region	USA	M	10
Queanbeyan Region	ZWE	M	3
Queanbeyan West - Jerrabomberra		F	29
Queanbeyan West - Jerrabomberra		M	85
Queanbeyan West - Jerrabomberra	AUS	F	564
Queanbeyan West - Jerrabomberra	AUS	M	1129
Queanbeyan West - Jerrabomberra	CAN	M	3
Queanbeyan West - Jerrabomberra	CHN	F	5
Queanbeyan West - Jerrabomberra	CHN	M	9
Queanbeyan West - Jerrabomberra	HRV	M	6
Queanbeyan West - Jerrabomberra	FJI	F	4
Queanbeyan West - Jerrabomberra	MKD	M	7
Queanbeyan West - Jerrabomberra	DEU	M	10
Queanbeyan West - Jerrabomberra	HKG	M	3
Queanbeyan West - Jerrabomberra	IND	F	10
Queanbeyan West - Jerrabomberra	IND	M	31
Queanbeyan West - Jerrabomberra	IRQ	M	3
Queanbeyan West - Jerrabomberra	IRL	M	3
Queanbeyan West - Jerrabomberra	ITA	F	3
Queanbeyan West - Jerrabomberra	ITA	M	4
Queanbeyan West - Jerrabomberra	LBN	M	3
Queanbeyan West - Jerrabomberra	MYS	F	5
Queanbeyan West - Jerrabomberra	MYS	M	4
Queanbeyan West - Jerrabomberra	NZL	F	8
Queanbeyan West - Jerrabomberra	NZL	M	33
Queanbeyan West - Jerrabomberra	PAK	M	9
Queanbeyan West - Jerrabomberra	PHL	F	4
Queanbeyan West - Jerrabomberra	PHL	M	14
Queanbeyan West - Jerrabomberra	SGP	M	3
Queanbeyan West - Jerrabomberra	ZAF	F	7
Queanbeyan West - Jerrabomberra	ZAF	M	3
Queanbeyan West - Jerrabomberra	KOR	M	3
Queanbeyan West - Jerrabomberra	LKA	M	8
Queanbeyan West - Jerrabomberra	GBR	F	19
Queanbeyan West - Jerrabomberra	GBR	M	52
Queanbeyan West - Jerrabomberra	USA	M	11
Bombala		F	20
Bombala		M	18
Bombala	AUS	F	406
Bombala	AUS	M	511
Bombala	FJI	F	5
Bombala	DEU	F	3
Bombala	NZL	F	4
Bombala	NZL	M	7
Bombala	KOR	F	3
Bombala	KOR	M	14
Bombala	GBR	F	8
Bombala	GBR	M	15
Bombala	USA	F	4
Bombala	USA	M	3
Cooma		F	88
Cooma		M	88
Cooma	AUS	F	1524
Cooma	AUS	M	1353
Cooma	CAN	F	3
Cooma	CHN	F	7
Cooma	CHN	M	4
Cooma	EGY	F	4
Cooma	DEU	F	10
Cooma	DEU	M	11
Cooma	HKG	F	3
Cooma	HKG	M	4
Cooma	IND	F	5
Cooma	IND	M	10
Cooma	IDN	F	3
Cooma	IRL	F	3
Cooma	ITA	F	5
Cooma	ITA	M	3
Cooma	LBN	M	4
Cooma	MYS	F	3
Cooma	NLD	F	11
Cooma	NLD	M	3
Cooma	NZL	F	39
Cooma	NZL	M	27
Cooma	PAK	M	3
Cooma	PHL	F	7
Cooma	POL	F	9
Cooma	SGP	F	6
Cooma	ZAF	F	6
Cooma	ZAF	M	9
Cooma	LKA	M	10
Cooma	THA	F	7
Cooma	GBR	F	62
Cooma	GBR	M	50
Cooma	USA	F	7
Cooma	USA	M	3
Cooma	VNM	F	4
Cooma	VNM	M	3
Cooma	ZWE	M	3
Cooma Region		F	19
Cooma Region		M	16
Cooma Region	AUS	F	210
Cooma Region	AUS	M	373
Cooma Region	IND	M	3
Cooma Region	NLD	F	3
Cooma Region	NZL	F	6
Cooma Region	NZL	M	8
Cooma Region	ZAF	M	5
Cooma Region	GBR	F	20
Cooma Region	GBR	M	21
Jindabyne - Berridale		F	141
Jindabyne - Berridale		M	128
Jindabyne - Berridale	AUS	F	1721
Jindabyne - Berridale	AUS	M	2010
Jindabyne - Berridale	CAN	F	20
Jindabyne - Berridale	CAN	M	12
Jindabyne - Berridale	CHN	F	8
Jindabyne - Berridale	CHN	M	3
Jindabyne - Berridale	HRV	F	4
Jindabyne - Berridale	DEU	F	8
Jindabyne - Berridale	DEU	M	10
Jindabyne - Berridale	HKG	F	15
Jindabyne - Berridale	HKG	M	8
Jindabyne - Berridale	IND	M	3
Jindabyne - Berridale	IDN	F	3
Jindabyne - Berridale	IRL	F	3
Jindabyne - Berridale	IRL	M	6
Jindabyne - Berridale	ITA	M	8
Jindabyne - Berridale	JPN	F	5
Jindabyne - Berridale	JPN	M	3
Jindabyne - Berridale	MYS	F	4
Jindabyne - Berridale	NLD	F	7
Jindabyne - Berridale	NLD	M	3
Jindabyne - Berridale	NZL	F	38
Jindabyne - Berridale	NZL	M	42
Jindabyne - Berridale	PHL	F	5
Jindabyne - Berridale	PHL	M	3
Jindabyne - Berridale	POL	F	9
Jindabyne - Berridale	POL	M	4
Jindabyne - Berridale	SGP	M	3
Jindabyne - Berridale	ZAF	F	10
Jindabyne - Berridale	ZAF	M	8
Jindabyne - Berridale	KOR	F	4
Jindabyne - Berridale	THA	F	17
Jindabyne - Berridale	THA	M	4
Jindabyne - Berridale	TUR	F	3
Jindabyne - Berridale	TUR	M	4
Jindabyne - Berridale	GBR	F	91
Jindabyne - Berridale	GBR	M	114
Jindabyne - Berridale	USA	F	15
Jindabyne - Berridale	USA	M	27
Jindabyne - Berridale	ZWE	M	6
Batemans Bay		F	67
Batemans Bay		M	81
Batemans Bay	AUS	F	1936
Batemans Bay	AUS	M	1711
Batemans Bay	CAN	F	3
Batemans Bay	CHN	F	9
Batemans Bay	CHN	M	8
Batemans Bay	HRV	M	3
Batemans Bay	EGY	M	4
Batemans Bay	DEU	F	9
Batemans Bay	DEU	M	9
Batemans Bay	GRC	M	4
Batemans Bay	HKG	F	3
Batemans Bay	IND	F	9
Batemans Bay	IND	M	9
Batemans Bay	IRL	F	3
Batemans Bay	ITA	F	4
Batemans Bay	ITA	M	5
Batemans Bay	LBN	M	3
Batemans Bay	MYS	F	4
Batemans Bay	MYS	M	3
Batemans Bay	MLT	F	3
Batemans Bay	MLT	M	4
Batemans Bay	NLD	F	3
Batemans Bay	NLD	M	4
Batemans Bay	NZL	F	39
Batemans Bay	NZL	M	40
Batemans Bay	PHL	F	10
Batemans Bay	POL	F	3
Batemans Bay	POL	M	3
Batemans Bay	ZAF	F	9
Batemans Bay	ZAF	M	8
Batemans Bay	THA	F	3
Batemans Bay	THA	M	4
Batemans Bay	GBR	F	72
Batemans Bay	GBR	M	63
Batemans Bay	USA	F	3
Batemans Bay	USA	M	10
Batemans Bay	VNM	F	5
Batemans Bay	VNM	M	5
Batemans Bay	ZWE	F	3
Batemans Bay - South		F	30
Batemans Bay - South		M	18
Batemans Bay - South	AUS	F	577
Batemans Bay - South	AUS	M	395
Batemans Bay - South	FJI	F	3
Batemans Bay - South	DEU	F	3
Batemans Bay - South	HKG	F	3
Batemans Bay - South	IND	F	3
Batemans Bay - South	IND	M	3
Batemans Bay - South	IRL	F	3
Batemans Bay - South	IRL	M	3
Batemans Bay - South	MYS	F	3
Batemans Bay - South	NLD	M	3
Batemans Bay - South	NZL	F	8
Batemans Bay - South	NZL	M	5
Batemans Bay - South	PHL	F	4
Batemans Bay - South	PHL	M	3
Batemans Bay - South	ZAF	M	3
Batemans Bay - South	GBR	F	25
Batemans Bay - South	GBR	M	32
Batemans Bay - South	USA	F	3
Bega - Tathra		F	105
Bega - Tathra		M	73
Bega - Tathra	AUS	F	2311
Bega - Tathra	AUS	M	2117
Bega - Tathra	CAN	F	3
Bega - Tathra	CAN	M	3
Bega - Tathra	CHN	F	3
Bega - Tathra	CHN	M	3
Bega - Tathra	EGY	M	3
Bega - Tathra	DEU	F	11
