LGA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
LGA10050,239,38,0,1165,0,9,174,387,453,288,35,4,1345,0,4,38,125,179,153,43,3,540,37,49,68,77,98,70,24,3,431,1724,2408,4997,5002,5459,4194,921,104,24820
LGA10130,133,24,5,626,0,3,71,215,313,231,49,3,884,0,0,20,76,106,107,34,3,341,23,30,38,37,44,37,24,7,240,893,1344,2387,2402,2898,2334,695,144,13097
LGA10250,185,30,6,654,0,9,63,204,204,165,44,8,693,0,3,24,81,124,84,41,10,366,25,17,38,49,50,35,25,3,238,985,1073,2182,2990,3573,3119,833,146,14913
LGA10300,8,0,0,21,0,0,5,9,11,11,0,0,36,0,0,0,3,4,9,0,0,14,0,0,4,7,3,3,0,0,26,26,69,116,168,180,191,42,9,795
LGA10470,216,28,5,1031,0,4,160,316,373,241,32,3,1127,0,0,46,77,114,114,32,4,395,30,31,40,48,63,48,18,7,279,1154,1840,3425,3439,3758,2927,774,146,17455
LGA10550,116,22,3,474,0,4,42,109,151,106,29,9,445,0,3,12,38,57,66,19,0,191,24,14,16,26,50,51,15,5,202,738,701,1584,2107,3055,2884,762,118,11940
LGA10600,37,11,0,134,0,0,22,51,40,30,6,0,154,0,3,9,18,20,14,4,0,68,6,0,7,12,11,18,8,4,69,187,146,480,671,912,907,256,65,3609
LGA10650,23,3,0,80,0,0,13,26,17,25,3,0,100,0,0,3,13,8,15,10,4,47,4,6,7,5,17,16,4,4,61,143,180,400,467,574,653,237,55,2709
LGA10750,1112,152,5,5978,5,46,1213,2300,2133,1270,198,12,7181,15,21,279,901,1008,636,160,11,3032,137,193,354,366,344,258,58,8,1724,5986,9926,23441,24399,22963,15282,3117,238,105352
LGA10800,23,9,0,112,0,0,47,53,41,43,0,4,194,0,0,14,32,26,24,11,5,100,8,3,8,15,9,10,4,5,67,120,195,439,520,536,535,183,69,2599
