LGA_CODE_2016,Lab_1000_1249_H_0,Lab_1000_1249_H_1_15,Lab_1000_1249_H_16_24,Lab_1000_1249_H_25_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40,Lab_1000_1249_H_41_48,Lab_1000_1249_H_49mo,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_15,Lab_1250_1499_H_16_24,Lab_1250_1499_H_25_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40,Lab_1250_1499_H_41_48,Lab_1250_1499_H_49mo,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_15,Lab_1500_1749_H_16_24,Lab_1500_1749_H_25_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40,Lab_1500_1749_H_41_48,Lab_1500_1749_H_49mo,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_15,Lab_1750_1999_H_16_24,Lab_1750_1999_H_25_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40,Lab_1750_1999_H_41_48,Lab_1750_1999_H_49mo,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_15,Lab_2000_2999_H_16_24,Lab_2000_2999_H_25_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40,Lab_2000_2999_H_41_48,Lab_2000_2999_H_49mo,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000mo_H_0,Lab_3000mo_H_1_15,Lab_3000mo_H_16_24,Lab_3000mo_H_25_34,Lab_3000mo_H_35_39,Lab_3000mo_H_40,Lab_3000mo_H_41_48,Lab_3000mo_H_49mo,Lab_3000mo_H_NS,Lab_3000mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_15,Lab_PINS_H_16_24,Lab_PINS_H_25_34,Lab_PINS_H_35_39,Lab_PINS_H_40,Lab_PINS_H_41_48,Lab_PINS_H_49mo,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_15,Lab_Tot_H_16_24,Lab_Tot_H_25_34,Lab_Tot_H_35_39,Lab_Tot_H_40,Lab_Tot_H_41_48,Lab_Tot_H_49mo,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_15,OIDNS_NNI_H_16_24,OIDNS_NNI_H_25_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40,OIDNS_NNI_H_41_48,OIDNS_NNI_H_49mo,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_15,OIDNS_1_149_H_16_24,OIDNS_1_149_H_25_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40,OIDNS_1_149_H_41_48,OIDNS_1_149_H_49mo,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_15,OIDNS_150_299_H_16_24,OIDNS_150_299_H_25_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40,OIDNS_150_299_H_41_48,OIDNS_150_299_H_49mo,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_15,OIDNS_300_399_H_16_24,OIDNS_300_399_H_25_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40,OIDNS_300_399_H_41_48,OIDNS_300_399_H_49mo,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot,OIDNS_400_499_H_0,OIDNS_400_499_H_1_15,OIDNS_400_499_H_16_24,OIDNS_400_499_H_25_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40,OIDNS_400_499_H_41_48,OIDNS_400_499_H_49mo,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_15,OIDNS_500_649_H_16_24,OIDNS_500_649_H_25_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40,OIDNS_500_649_H_41_48,OIDNS_500_649_H_49mo,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_15,OIDNS_650_799_H_16_24,OIDNS_650_799_H_25_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40,OIDNS_650_799_H_41_48,OIDNS_650_799_H_49mo,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_15,OIDNS_800_999_H_16_24,OIDNS_800_999_H_25_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40,OIDNS_800_999_H_41_48,OIDNS_800_999_H_49mo,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_15,OIDNS_1000_1249_H_16_24,OIDNS_1000_1249_H_25_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40,OIDNS_1000_1249_H_41_48,OIDNS_1000_1249_H_49mo,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_15,OIDNS_1250_1499_H_16_24,OIDNS_1250_1499_H_25_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40,OIDNS_1250_1499_H_41_48,OIDNS_1250_1499_H_49mo,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_15,OIDNS_1500_1749_H_16_24,OIDNS_1500_1749_H_25_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40,OIDNS_1500_1749_H_41_48,OIDNS_1500_1749_H_49mo,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_15,OIDNS_1750_1999_H_16_24,OIDNS_1750_1999_H_25_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40,OIDNS_1750_1999_H_41_48,OIDNS_1750_1999_H_49mo,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot
LGA10050,6,4,11,10,43,42,21,20,0,157,0,0,0,8,14,7,14,17,0,56,0,0,0,0,5,11,16,11,0,47,0,0,0,0,3,3,4,3,0,16,0,0,0,0,0,3,6,3,0,12,0,0,0,3,0,0,0,0,0,4,3,10,3,5,3,7,3,0,5,38,80,554,309,319,346,263,134,104,44,2153,3,0,0,0,0,0,0,0,11,12,0,3,0,0,0,0,0,0,8,12,0,4,3,0,0,0,0,0,10,18,0,3,0,0,0,0,0,0,8,18,0,0,3,3,0,0,0,0,10,23,3,6,3,9,0,0,0,0,14,31,0,0,0,4,6,6,0,4,9,37,3,7,0,3,18,8,0,3,5,46,0,0,0,3,9,3,0,9,4,35,0,0,0,0,9,4,4,7,7,30,4,0,0,0,4,5,0,3,0,27,0,0,0,0,4,0,3,3,3,20
LGA10130,3,4,8,3,29,19,12,8,0,84,0,3,3,3,10,5,7,9,0,32,0,0,0,0,0,3,3,3,0,15,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,4,0,8,0,3,6,6,0,3,3,33,45,352,188,160,302,162,81,79,30,1393,3,0,0,0,0,0,0,0,7,9,0,6,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,0,3,8,0,4,3,0,0,4,0,4,0,11,0,3,0,3,3,0,0,0,3,16,0,0,3,0,3,3,3,0,3,19,0,0,0,0,3,4,4,0,4,16,0,0,0,0,3,3,0,3,4,20,0,0,0,0,3,3,0,0,0,10,0,0,0,0,4,0,0,0,0,10,0,3,0,0,0,0,0,0,0,6
LGA10250,3,3,3,11,29,20,17,21,0,101,0,3,4,3,3,12,7,3,0,28,0,0,3,0,3,4,0,5,0,22,0,0,0,0,3,0,0,5,0,12,0,0,3,0,0,3,0,8,0,16,0,0,0,0,3,0,0,3,0,12,3,12,0,0,4,0,0,0,6,34,54,417,256,261,319,180,71,98,27,1695,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,4,11,0,4,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,17,23,3,0,3,0,0,0,0,0,10,21,0,3,5,0,3,0,0,3,10,31,0,0,3,3,8,3,0,0,8,24,0,0,0,3,3,3,0,3,9,22,0,0,0,0,0,0,0,4,3,19,0,3,0,0,0,3,0,0,0,8,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,6
LGA10300,0,0,0,0,7,0,0,3,0,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,20,15,20,25,26,7,22,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,8,8,13,22,51,58,18,23,0,202,9,0,0,3,19,26,14,13,0,90,3,3,3,5,30,25,11,16,0,91,0,0,0,0,13,6,9,20,0,49,0,0,0,0,7,4,3,18,0,33,0,3,3,0,0,3,0,3,0,14,0,5,4,5,4,4,0,4,3,31,76,432,235,220,413,305,114,160,28,1982,3,0,0,0,0,0,0,0,10,15,3,4,0,0,0,0,0,0,12,16,0,3,0,0,0,0,0,0,10,15,0,6,3,3,0,0,0,0,4,19,0,0,4,0,0,0,0,0,5,16,0,0,4,3,0,0,0,0,3,18,0,0,0,3,0,4,3,0,10,28,3,4,3,4,0,3,0,5,5,26,0,0,0,4,5,5,0,3,0,19,0,0,0,0,8,3,3,3,3,22,0,3,0,0,4,6,4,4,0,21,0,0,0,0,3,0,0,0,0,12
LGA10550,6,8,12,12,74,60,30,20,0,209,6,0,0,3,20,28,9,18,3,83,3,0,0,0,11,11,4,8,0,40,0,0,3,5,3,0,6,6,0,19,0,0,0,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,9,5,11,6,3,3,4,3,8,7,45,76,371,229,188,276,229,104,119,40,1624,0,0,0,0,0,0,0,0,4,3,3,3,0,0,0,0,0,0,4,6,0,0,3,3,0,0,0,0,3,15,3,5,3,0,0,3,0,0,4,18,0,3,0,0,0,0,0,0,7,18,0,3,3,5,3,0,0,0,6,23,0,3,0,0,6,5,0,0,0,19,3,0,0,0,0,0,0,0,6,14,0,0,0,0,6,4,0,6,3,22,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,3,3,3,0,7,0,0,0,3,0,3,0,0,0,10
LGA10600,0,0,3,4,4,16,4,8,0,40,3,0,0,3,3,12,3,3,0,28,0,0,0,0,5,4,3,6,0,12,0,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,10,14,124,66,61,65,64,25,41,17,472,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,7,7,3,6,3,32,0,0,0,0,0,0,4,6,0,12,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,21,79,34,56,53,46,16,37,17,356,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA10750,21,40,43,89,362,347,174,193,26,1292,13,18,25,26,132,206,92,135,14,663,7,11,10,14,83,112,72,103,6,409,4,7,3,0,35,50,32,74,4,213,5,3,6,9,29,33,28,68,0,192,0,12,3,3,8,0,4,22,3,45,4,27,19,12,46,31,10,14,27,187,294,1898,1394,1308,2599,1788,686,866,263,11109,5,8,4,0,7,10,0,6,48,85,8,30,3,3,5,0,0,0,13,66,8,21,12,4,5,4,0,0,35,88,4,12,25,3,4,4,3,0,34,87,8,12,14,8,13,3,0,0,51,108,5,11,22,12,20,11,3,5,56,145,3,12,13,19,47,29,3,6,66,202,8,6,6,17,68,68,15,23,69,284,7,5,4,6,81,64,24,31,46,271,5,3,0,6,35,56,10,23,26,164,0,0,0,3,18,30,18,23,20,122,0,0,0,0,7,22,12,18,6,72
LGA10800,0,0,0,0,7,5,4,7,0,30,0,0,0,0,5,0,0,7,0,14,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,6,6,64,34,42,44,50,20,41,12,317,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
