LGA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
LGA10050,49,4,0,6,56,1069,490,24,17,1605
LGA10130,27,0,0,0,32,720,386,22,24,1153
LGA10250,60,19,0,0,84,1314,512,20,25,1874
LGA10300,3,0,0,0,5,53,44,0,0,104
LGA10470,38,11,0,0,49,873,416,8,16,1322
LGA10550,43,14,0,3,57,986,459,15,38,1499
LGA10600,29,6,0,0,39,520,147,0,16,676
LGA10650,12,0,0,0,13,234,112,0,8,360
LGA10750,243,38,6,8,293,4565,1045,47,63,5723
LGA10800,6,0,0,5,14,279,183,0,15,481
LGA10850,10,0,0,0,11,261,82,0,12,351
LGA10900,87,12,0,0,98,2110,522,10,25,2671
LGA10950,4,0,0,0,5,98,70,0,9,173
LGA11100,92,3,0,3,100,1148,246,13,17,1427
LGA11150,8,0,0,0,7,87,37,0,3,125
LGA11200,0,0,0,0,0,31,20,0,4,57
LGA11250,5,6,0,0,14,238,120,13,14,375
LGA11300,50,8,0,0,60,778,259,13,10,1058
LGA11350,118,15,0,3,136,2030,512,16,58,2621
LGA11400,15,3,0,0,18,448,222,0,28,697
LGA11450,76,12,0,0,85,1410,411,8,24,1857
LGA11500,113,20,0,3,140,1964,552,25,29,2563
LGA11520,87,13,0,5,106,1800,398,15,23,2233
LGA11570,326,68,3,6,400,5863,1484,34,68,7452
LGA11600,6,0,0,0,4,94,79,0,6,182
LGA11650,332,57,3,3,401,6631,2020,53,100,8802
LGA11700,0,0,0,0,0,51,46,0,3,96
LGA11720,30,4,0,4,39,723,266,3,16,1002
LGA11730,50,12,0,7,63,1276,477,4,53,1807
LGA11750,3,0,0,0,3,126,59,0,0,191
LGA11800,74,30,0,5,106,1843,729,48,38,2658
LGA12000,6,0,0,0,12,163,81,0,6,255
LGA12150,5,3,0,0,4,141,81,0,0,230
LGA12350,16,3,0,0,15,391,245,4,26,665
LGA12380,235,54,3,5,297,3346,867,28,48,4288
LGA12700,14,0,0,0,14,267,77,0,13,348
LGA12730,9,3,0,0,12,235,120,9,7,368
LGA12750,47,19,0,0,63,1049,471,14,32,1576
LGA12850,161,34,0,4,198,2617,1030,22,45,3715
LGA12870,14,5,0,0,24,291,143,5,15,449
LGA12900,7,3,0,0,15,320,203,0,21,540
LGA12930,114,19,0,3,139,2376,784,19,25,3200
LGA12950,3,0,0,0,3,204,128,0,8,342
LGA13010,5,3,0,0,10,295,152,3,6,464
LGA13310,24,3,4,4,38,552,265,10,22,852
LGA13340,9,3,0,0,11,387,182,3,10,585
LGA13450,23,0,0,0,26,516,267,12,33,835
LGA13510,13,4,0,0,19,268,191,0,8,473
LGA13550,14,6,0,0,21,326,166,3,7,498
LGA13660,9,0,0,0,9,226,106,3,8,341
LGA13800,71,18,0,4,84,1526,556,5,21,2114
LGA13850,5,4,0,0,3,97,54,0,4,162
LGA13910,15,12,0,0,28,504,381,18,28,931
LGA14000,155,25,0,4,176,2940,680,12,23,3662
LGA14100,16,5,0,0,16,296,76,4,3,373
LGA14170,266,38,0,5,314,5165,1049,33,49,6302
LGA14200,15,8,0,3,23,478,240,3,17,737
LGA14300,3,3,0,0,4,165,81,0,6,260
LGA14350,32,7,0,3,42,670,273,4,32,974
LGA14400,13,5,0,0,18,587,212,3,13,814
LGA14500,107,13,0,3,121,2514,497,11,27,3053
LGA14550,13,0,0,0,14,417,95,3,10,524
LGA14600,11,0,0,0,11,205,170,0,5,382
LGA14650,132,16,3,0,155,3327,1004,34,45,4411
LGA14700,49,8,0,3,51,870,192,4,8,1075
LGA14750,8,0,0,0,10,260,114,4,6,386
LGA14850,65,11,0,0,81,1386,527,21,43,1973
LGA14870,20,6,0,0,22,350,160,4,10,528
LGA14900,173,21,0,3,196,2842,746,29,33,3649
LGA14920,8,4,0,0,14,284,112,0,10,409
LGA14950,4,0,0,0,4,128,80,0,3,211
LGA15050,51,14,0,0,62,1132,426,19,22,1595
LGA15240,81,30,0,7,114,2112,843,17,67,3049
LGA15270,27,6,0,0,31,638,307,3,26,970
LGA15300,12,6,0,0,19,372,270,14,17,672
LGA15350,45,3,0,0,51,838,182,8,7,1029
LGA15520,10,7,0,0,19,338,186,4,9,537
LGA15560,4,0,0,0,4,139,71,0,7,222
LGA15650,13,0,0,0,18,273,99,13,10,392
LGA15700,13,3,0,0,19,505,213,0,17,737
LGA15750,17,3,0,0,23,366,179,3,12,564
LGA15800,5,0,0,0,5,197,105,0,9,315
LGA15850,8,0,0,0,13,213,118,3,9,341
LGA15900,131,28,3,3,167,3255,1043,92,51,4443
LGA15950,132,24,5,0,157,2242,558,60,20,2875
LGA15990,398,44,4,3,456,7317,1613,53,72,9061
LGA16100,6,0,0,0,12,182,72,0,8,258
LGA16150,24,0,0,0,28,857,377,16,21,1271
LGA16200,5,5,0,0,16,395,209,0,10,615
LGA16260,278,40,0,9,327,4072,1100,54,45,5276
LGA16350,203,35,0,3,237,3111,979,26,48,4164
LGA16380,81,20,0,0,104,2028,795,28,24,2886
LGA16400,69,12,0,3,84,1283,425,13,25,1754
LGA16490,46,13,0,0,57,935,311,11,15,1273
LGA16550,141,18,0,7,167,2694,648,26,27,3398
LGA16610,24,3,0,0,30,478,197,3,10,699
LGA16650,105,9,0,3,113,1697,382,10,20,2117
LGA16700,146,20,4,5,167,2387,552,37,23,2997
LGA16900,48,11,0,0,56,990,358,8,19,1376
LGA16950,125,25,0,6,157,2405,964,34,64,3474
LGA17000,25,0,0,0,30,406,152,0,14,566
LGA17040,26,5,0,0,37,650,391,6,33,1077
LGA17080,12,3,0,3,18,428,185,3,19,633
LGA17100,47,11,0,0,59,887,217,13,18,1135
LGA17150,194,44,5,4,246,4278,1257,37,57,5631
LGA17200,694,124,9,23,851,11480,3174,1632,152,16431
LGA17310,67,18,0,10,98,1386,669,20,45,2129
LGA17350,12,4,0,0,17,250,132,0,11,399
LGA17400,11,0,0,0,11,280,116,0,10,408
LGA17420,179,31,0,6,215,3189,868,43,36,4137
LGA17550,129,18,0,6,154,2472,692,18,48,3236
LGA17620,8,8,0,0,18,383,196,3,9,591
