LGA_CODE_2016,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_FYROM_E,M_FYROM_OM_IE,M_FYROM_OM_UIE,M_FYROM_CFW,M_FYROM_ES_NS,M_FYROM_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Malta_E,M_Malta_OM_IE,M_Malta_OM_UIE,M_Malta_CFW,M_Malta_ES_NS,M_Malta_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_Turkey_E,M_Turkey_OM_IE,M_Turkey_OM_UIE,M_Turkey_CFW,M_Turkey_ES_NS,M_Turkey_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE
LGA10050,8097,820,797,113,80,9907,21,4,0,0,0,28,17,5,8,3,0,32,9,0,0,0,0,9,4,0,0,0,0,4,9,0,3,0,0,11,0,0,0,0,0,0,29,0,4,0,0,29,7,0,4,0,0,5,8,3,4,0,0,14,146,19,8,3,0,171,3,0,0,0,0,4,4,0,0,0,0,7,3,0,0,0,0,3,21,3,0,0,0,24,6,3,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,9,3,3,5,0,0,10,6,0,0,0,0,10,0,0,0,0,0,0,16,5,3,0,0,33,135,13,11,4,0,166,11,0,0,0,0,9,54,0,0,0,0,52,0,0,4,0,0,8,8,0,0,0,0,8,32,11,5,0,0,41,28,4,3,0,0,33,3,0,0,0,0,3,4,0,0,0,0,4,264,31,20,4,3,326,20,4,3,0,0,34,4,3
LGA10130,4088,417,666,177,48,5401,9,3,3,0,0,18,37,7,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,15,0,0,0,0,0,0,12,0,7,0,0,19,0,0,0,0,0,0,8,0,0,0,0,12,60,3,0,0,0,65,3,0,0,0,0,6,7,0,3,0,0,17,3,0,0,0,0,3,6,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,17,90,9,3,0,0,107,19,3,0,0,0,24,32,0,0,0,0,32,0,0,0,0,0,3,3,0,0,0,0,3,27,3,3,0,0,37,17,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,122,17,19,10,0,173,21,3,5,0,0,34,12,0
LGA10250,4505,607,915,132,72,6237,15,3,5,0,0,27,6,0,3,0,0,12,0,0,0,0,0,0,3,0,0,0,0,5,9,3,0,0,0,12,0,0,0,0,0,0,14,3,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,4,32,6,3,0,0,40,5,0,0,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,9,6,3,0,0,13,8,3,4,0,0,13,3,0,3,0,0,7,8,0,0,0,0,4,0,0,0,0,0,0,9,0,3,0,0,14,4,0,0,0,0,3,8,3,8,0,0,20,107,20,41,3,0,176,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,35,5,11,3,0,59,5,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,5,163,32,48,8,5,261,18,6,11,0,0,32,3,0
LGA10300,221,51,67,37,6,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
LGA10470,5955,565,691,159,94,7468,12,0,0,0,0,16,22,0,6,4,0,34,0,0,0,0,0,0,5,0,6,0,0,9,11,0,0,0,0,9,0,0,0,0,0,0,13,0,4,0,0,15,0,0,0,0,0,3,3,0,0,0,0,3,56,9,6,0,0,72,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,3,6,3,3,0,0,14,4,0,3,0,0,11,3,0,0,0,0,3,9,0,0,0,0,11,0,0,4,0,0,10,4,0,0,0,0,8,0,0,3,0,0,7,12,0,3,0,0,15,88,15,4,0,0,113,7,0,0,0,0,10,33,0,0,0,0,37,3,0,0,0,0,3,3,0,0,0,0,3,26,3,0,0,0,28,13,4,0,0,0,21,14,0,0,0,0,16,0,0,0,0,0,0,145,12,27,6,5,195,11,0,3,0,0,18,11,3
LGA10550,3545,519,759,134,94,5049,9,0,0,0,0,17,0,3,6,0,0,9,0,0,0,0,0,3,3,0,0,0,0,3,5,0,3,0,0,4,0,0,0,0,0,0,22,7,3,3,0,33,3,0,0,3,0,3,3,0,0,0,0,3,12,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,6,6,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,3,0,0,8,0,0,0,0,0,0,15,4,3,0,0,21,57,10,9,0,0,81,0,0,0,0,0,0,11,0,0,0,3,16,0,0,0,0,0,0,4,0,0,0,0,4,9,4,3,3,0,19,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,166,16,60,5,4,254,13,8,7,0,0,17,3,0
LGA10600,997,124,324,68,25,1543,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,6,23,3,9,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,28,9,3,103,0,0,3,0,0,3,0,0
LGA10650,749,176,202,94,30,1253,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,13,17,4,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7,3,0,31,0,0,0,0,0,0,0,0
LGA10750,30005,2449,1576,197,317,34535,53,12,6,0,0,70,936,196,147,36,8,1324,130,18,8,3,4,165,184,61,45,3,0,297,880,126,73,12,12,1109,69,7,10,0,0,88,112,12,13,3,0,139,52,10,14,6,0,88,236,29,25,0,0,287,2827,487,416,55,31,3811,163,12,25,0,0,209,216,54,31,8,5,318,363,58,41,3,4,480,193,39,10,0,3,245,178,41,25,5,7,251,31,3,0,0,0,37,284,60,58,4,0,415,318,100,88,10,13,529,203,45,30,3,0,286,185,31,35,0,4,254,76,13,8,0,0,100,1806,82,62,16,22,1982,447,84,105,8,13,651,2140,100,115,12,15,2387,100,19,14,0,0,139,44,9,6,0,0,62,347,45,16,3,3,412,531,67,53,6,7,658,143,6,0,3,0,148,162,26,35,13,4,238,1594,163,103,11,15,1883,148,14,3,0,3,169,734,52
LGA10800,808,98,297,122,26,1361,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,17,5,0,0,0,0,5,0,0
