LGA_CODE_2016,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_Turkey_E,P_Turkey_OM_IE,P_Turkey_OM_UIE,P_Turkey_CFW,P_Turkey_ES_NS,P_Turkey_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Zimbabwe_E,P_Zimbabwe_OM_IE,P_Zimbabwe_OM_UIE,P_Zimbabwe_CFW,P_Zimbabwe_ES_NS,P_Zimbabwe_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
LGA10050,148,3,3,0,0,158,14,0,3,0,0,16,19,0,0,0,0,19,74,13,10,3,0,94,48,4,3,0,0,58,25,5,8,0,0,33,3,0,0,0,0,3,561,43,37,13,5,654,47,7,3,0,0,60,21,3,4,0,0,31,16,0,0,0,0,15,400,25,37,6,8,474,257,23,32,11,20,334,21280,1419,1605,299,212,24820
LGA10130,77,0,3,0,0,83,3,0,0,0,0,8,11,0,0,0,0,11,50,6,4,3,0,69,30,5,0,0,0,33,13,0,0,0,0,18,3,0,0,0,0,3,261,28,27,13,5,335,53,3,13,3,0,72,20,7,0,0,0,28,14,0,0,0,0,14,354,8,14,11,3,399,145,6,14,17,16,195,10721,696,1153,401,130,13097
LGA10250,53,0,3,0,3,58,7,0,3,0,0,9,6,0,0,0,0,7,59,14,21,4,0,98,7,0,0,0,0,10,24,0,7,0,0,34,3,0,0,0,0,4,372,53,85,18,4,534,38,3,18,0,0,64,7,3,3,0,0,15,14,3,3,0,0,19,157,21,43,9,6,239,174,25,39,8,17,261,11398,1109,1874,353,181,14913
LGA10300,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,24,15,0,0,5,3,29,545,80,104,61,13,795
LGA10470,95,0,0,3,0,100,4,0,0,0,0,6,7,0,3,0,0,10,46,10,3,0,0,56,27,4,3,0,0,33,31,3,5,0,0,39,0,0,0,0,0,0,349,23,44,12,6,431,35,3,3,3,0,46,19,3,6,0,0,33,15,0,0,0,0,12,188,7,23,3,0,225,196,21,33,4,15,272,14588,976,1322,362,201,17455
LGA10550,54,3,4,0,5,64,4,0,0,0,0,7,10,0,0,0,0,8,17,7,4,3,0,33,0,0,0,0,0,0,23,5,3,0,0,30,0,0,0,0,0,0,342,34,90,17,4,486,27,5,5,3,0,43,11,0,3,0,0,10,4,0,4,0,0,7,118,15,36,3,0,171,228,15,42,4,16,304,9000,900,1499,350,194,11940
LGA10600,3,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,14,6,7,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,14,52,13,3,197,6,0,6,0,0,15,0,0,0,0,0,6,0,0,0,0,0,4,48,4,14,4,0,74,49,3,17,0,6,82,2479,222,676,168,70,3609
LGA10650,10,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,31,5,7,4,0,53,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,3,0,19,49,3,10,6,0,70,1831,279,360,183,59,2709
LGA10750,4516,163,206,31,34,4944,252,18,25,0,0,299,111,10,8,0,0,134,706,56,38,4,8,804,917,103,102,18,14,1154,271,10,11,9,0,302,241,32,43,13,4,341,2746,212,156,24,22,3157,246,16,8,3,3,281,1241,77,111,31,26,1483,121,0,8,0,0,135,6574,536,654,105,92,7954,1018,91,82,16,80,1283,91085,6561,5723,984,999,105352
LGA10800,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,10,6,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,22,0,8,0,0,30,5,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,4,18,3,0,0,0,23,30,10,5,15,4,63,1697,157,481,233,40,2599
