LGA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
LGA10050,23,60,7,11,104,14305,9118,966,426,24820
LGA10130,63,67,10,4,144,7585,4776,487,254,13097
LGA10250,48,77,3,13,146,7814,6333,487,277,14913
LGA10300,0,4,0,0,9,487,257,28,28,795
LGA10470,46,78,10,11,146,10491,5940,679,343,17455
LGA10550,40,61,8,8,118,6246,4922,531,244,11940
LGA10600,25,30,5,9,65,1731,1653,139,82,3609
LGA10650,18,29,3,6,55,1552,960,126,79,2709
LGA10750,68,136,19,22,238,69939,30163,2775,2479,105352
LGA10800,34,24,8,6,69,1674,751,91,80,2599
LGA10850,30,22,3,12,65,1976,753,129,69,2922
LGA10900,33,100,4,3,150,8722,8834,610,289,18452
LGA10950,19,12,4,0,42,900,321,40,33,1298
LGA11100,42,69,9,13,130,32744,12046,1734,980,47503
LGA11150,8,6,0,3,19,752,235,31,28,1047
LGA11200,0,4,0,0,4,351,107,18,22,499
LGA11250,10,14,8,8,48,4261,2111,315,163,6845
LGA11300,30,64,7,3,102,9672,6117,497,344,16624
LGA11350,33,46,3,16,91,6002,6265,402,292,12964
LGA11400,54,52,4,9,124,2804,1244,158,94,4298
LGA11450,28,48,3,5,85,14913,8368,661,501,24444
LGA11500,33,80,6,4,127,29866,15700,1453,1097,48114
LGA11520,41,86,6,4,142,21726,10205,964,717,33608
LGA11570,139,209,20,13,382,59159,30636,2458,2525,94779
LGA11600,9,16,3,3,26,857,342,66,37,1302
LGA11650,118,260,23,43,445,57331,41748,3735,1912,104732
LGA11700,9,3,0,0,13,477,131,19,25,658
LGA11720,30,43,6,9,87,7863,6114,548,269,14791
LGA11730,65,96,8,19,186,8878,6475,645,346,16345
LGA11750,13,8,0,0,21,1635,459,110,61,2269
LGA11800,27,70,4,20,119,15683,11661,1017,523,28886
LGA12000,18,13,0,4,31,674,366,35,33,1111
LGA12150,19,8,4,3,29,929,380,62,55,1432
LGA12350,31,30,3,11,75,2755,1562,152,96,4569
LGA12380,67,101,7,15,194,48128,19072,1640,1828,70670
LGA12700,28,33,3,0,59,1122,895,90,52,2155
LGA12730,23,20,0,3,50,2215,1242,160,76,3693
LGA12750,26,48,5,9,94,5947,5298,473,257,11982
LGA12850,62,83,9,12,165,36421,17762,1316,1592,57091
LGA12870,15,25,4,7,55,3023,1565,225,114,4935
LGA12900,35,26,8,15,87,2419,1179,160,102,3855
LGA12930,59,154,10,5,229,24385,15942,1340,877,42550
LGA12950,35,17,0,0,53,977,492,58,48,1570
LGA13010,32,32,8,6,78,1747,1108,124,83,3059
