GCCSA_CODE_2016,IE_AgFF_OMOE_Nil_em,IE_AgFF_OMOE_1_19_em,IE_AgFF_OMOE_20more_em,IE_AgFF_OMOE_NE_NS,IE_AgFF_Tot,IE_Min_OMOE_Nil_em,IE_Min_OMOE_1_19_em,IE_Min_OMOE_20more_em,IE_Min_OMOE_NE_NS,IE_Min_Tot,IE_Mnf_OMOE_Nil_em,IE_Mnf_OMOE_1_19_em,IE_Mnf_OMOE_20more_em,IE_Mnf_OMOE_NE_NS,IE_Mnf_Tot,IE_EGWWS_OMOE_Nil_em,IE_EGWWS_OMOE_1_19_em,IE_EGWWS_OMOE_20more_em,IE_EGWWS_OMOE_NE_NS,IE_EGWWS_Tot,IE_Const_OMOE_Nil_em,IE_Const_OMOE_1_19_em,IE_Const_OMOE_20more_em,IE_Const_OMOE_NE_NS,IE_Const_Tot,IE_WST_OMOE_Nil_em,IE_WST_OMOE_1_19_em,IE_WST_OMOE_20more_em,IE_WST_OMOE_NE_NS,IE_WST_Tot,IE_RetT_OMOE_Nil_em,IE_RetT_OMOE_1_19_em,IE_RetT_OMOE_20more_em,IE_RetT_OMOE_NE_NS,IE_RetT_Tot,IE_AcFd_OMOE_Nil_em,IE_AcFd_OMOE_1_19_em,IE_AcFd_OMOE_20more_em,IE_AcFd_OMOE_NE_NS,IE_AcFd_Tot,IE_TPW_OMOE_Nil_em,IE_TPW_OMOE_1_19_em,IE_TPW_OMOE_20more_em,IE_TPW_OMOE_NE_NS,IE_TPW_Tot,IE_IMT_OMOE_Nil_em,IE_IMT_OMOE_1_19_em,IE_IMT_OMOE_20more_em,IE_IMT_OMOE_NE_NS,IE_IMT_Tot,IE_FinIns_OMOE_Nil_em,IE_FinIns_OMOE_1_19_em,IE_FinIns_OMOE_20more_em,IE_FinIns_OMOE_NE_NS,IE_FinIns_Tot,IE_RHRE_OMOE_Nil_em,IE_RHRE_OMOE_1_19_em,IE_RHRE_OMOE_20more_em,IE_RHRE_OMOE_NE_NS,IE_RHRE_Tot,IE_ProSTS_OMOE_Nil_em,IE_ProSTS_OMOE_1_19_em,IE_ProSTS_OMOE_20more_em,IE_ProSTS_OMOE_NE_NS,IE_ProSTS_Tot,IE_AdSup_OMOE_Nil_em,IE_AdSup_OMOE_1_19_em,IE_AdSup_OMOE_20more_em,IE_AdSup_OMOE_NE_NS,IE_AdSup_Tot,IE_PubAS_OMOE_Nil_em,IE_PubAS_OMOE_1_19_em,IE_PubAS_OMOE_20more_em,IE_PubAS_OMOE_NE_NS,IE_PubAS_Tot,IE_EdTrn_OMOE_Nil_em,IE_EdTrn_OMOE_1_19_em,IE_EdTrn_OMOE_20more_em,IE_EdTrn_OMOE_NE_NS,IE_EdTrn_Tot,IE_HC_SA_OMOE_Nil_em,IE_HC_SA_OMOE_1_19_em,IE_HC_SA_OMOE_20more_em,IE_HC_SA_OMOE_NE_NS,IE_HC_SA_Tot,IE_ArtsR_OMOE_Nil_em,IE_ArtsR_OMOE_1_19_em,IE_ArtsR_OMOE_20more_em,IE_ArtsR_OMOE_NE_NS,IE_ArtsR_Tot,IE_OthSvs_OMOE_Nil_em,IE_OthSvs_OMOE_1_19_em,IE_OthSvs_OMOE_20more_em,IE_OthSvs_OMOE_NE_NS,IE_OthSvs_Tot,IE_IDNS_OMOE_Nil_em,IE_IDNS_OMOE_1_19_em,IE_IDNS_OMOE_20more_em,IE_IDNS_OMOE_NE_NS,IE_IDNS_Tot,IE_Tot_OMOE_Nil_em,IE_Tot_OMOE_1_19_em,IE_Tot_OMOE_20more_em,IE_Tot_OMOE_NE_NS,IE_Tot_Tot,UIE_AgFF_OMOE_Nil_em,UIE_AgFF_OMOE_1_19_em,UIE_AgFF_OMOE_20more_em,UIE_AgFF_OMOE_NE_NS,UIE_AgFF_Tot,UIE_Min_OMOE_Nil_em,UIE_Min_OMOE_1_19_em,UIE_Min_OMOE_20more_em,UIE_Min_OMOE_NE_NS,UIE_Min_Tot,UIE_Mnf_OMOE_Nil_em,UIE_Mnf_OMOE_1_19_em,UIE_Mnf_OMOE_20more_em,UIE_Mnf_OMOE_NE_NS,UIE_Mnf_Tot,UIE_EGWWS_OMOE_Nil_em,UIE_EGWWS_OMOE_1_19_em,UIE_EGWWS_OMOE_20more_em,UIE_EGWWS_OMOE_NE_NS,UIE_EGWWS_Tot,UIE_Const_OMOE_Nil_em,UIE_Const_OMOE_1_19_em,UIE_Const_OMOE_20more_em,UIE_Const_OMOE_NE_NS,UIE_Const_Tot,UIE_WST_OMOE_Nil_em,UIE_WST_OMOE_1_19_em,UIE_WST_OMOE_20more_em,UIE_WST_OMOE_NE_NS,UIE_WST_Tot,UIE_RetT_OMOE_Nil_em,UIE_RetT_OMOE_1_19_em,UIE_RetT_OMOE_20more_em,UIE_RetT_OMOE_NE_NS,UIE_RetT_Tot,UIE_AcFd_OMOE_Nil_em,UIE_AcFd_OMOE_1_19_em,UIE_AcFd_OMOE_20more_em,UIE_AcFd_OMOE_NE_NS,UIE_AcFd_Tot,UIE_TPW_OMOE_Nil_em,UIE_TPW_OMOE_1_19_em,UIE_TPW_OMOE_20more_em,UIE_TPW_OMOE_NE_NS,UIE_TPW_Tot,UIE_IMT_OMOE_Nil_em,UIE_IMT_OMOE_1_19_em,UIE_IMT_OMOE_20more_em,UIE_IMT_OMOE_NE_NS,UIE_IMT_Tot,UIE_FinIns_OMOE_Nil_em,UIE_FinIns_OMOE_1_19_em,UIE_FinIns_OMOE_20more_em,UIE_FinIns_OMOE_NE_NS,UIE_FinIns_Tot,UIE_RHRE_OMOE_Nil_em,UIE_RHRE_OMOE_1_19_em,UIE_RHRE_OMOE_20more_em,UIE_RHRE_OMOE_NE_NS,UIE_RHRE_Tot,UIE_ProSTS_OMOE_Nil_em,UIE_ProSTS_OMOE_1_19_em,UIE_ProSTS_OMOE_20more_em,UIE_ProSTS_OMOE_NE_NS,UIE_ProSTS_Tot,UIE_AdSup_OMOE_Nil_em,UIE_AdSup_OMOE_1_19_em,UIE_AdSup_OMOE_20more_em,UIE_AdSup_OMOE_NE_NS,UIE_AdSup_Tot,UIE_PubAS_OMOE_Nil_em,UIE_PubAS_OMOE_1_19_em,UIE_PubAS_OMOE_20more_em,UIE_PubAS_OMOE_NE_NS,UIE_PubAS_Tot,UIE_EdTrn_OMOE_Nil_em,UIE_EdTrn_OMOE_1_19_em,UIE_EdTrn_OMOE_20more_em,UIE_EdTrn_OMOE_NE_NS,UIE_EdTrn_Tot,UIE_HC_SA_OMOE_Nil_em,UIE_HC_SA_OMOE_1_19_em,UIE_HC_SA_OMOE_20more_em,UIE_HC_SA_OMOE_NE_NS,UIE_HC_SA_Tot,UIE_ArtsR_OMOE_Nil_em,UIE_ArtsR_OMOE_1_19_em,UIE_ArtsR_OMOE_20more_em,UIE_ArtsR_OMOE_NE_NS,UIE_ArtsR_Tot,UIE_OthSvs_OMOE_Nil_em,UIE_OthSvs_OMOE_1_19_em,UIE_OthSvs_OMOE_20more_em,UIE_OthSvs_OMOE_NE_NS,UIE_OthSvs_Tot
9OTER,0,3,0,0,3,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,4,0,3,0,3,5,0,4,0,0,4,0,10,0,0,9,0,9,0,0,13,3,0,0,0,6,0,0,0,0,0,0,7,0,0,6,9,3,0,0,14,3,3,0,0,11,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,4,0,7,26,60,7,3,93,9,7,0,0,16,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,22,17,0,0,41,0,0,0,0,3,16,24,0,0,36,23,29,0,0,54,6,3,0,0,10,3,0,0,0,3,0,0,0,0,0,7,0,0,0,7,9,3,0,0,10,14,6,0,0,22,3,0,0,0,3,5,0,0,0,5,10,3,0,0,11,3,0,0,0,3,14,11,0,0,22
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,6,13,3,0,24,0,0,0,0,0,58,167,30,0,258,15,17,0,0,32,590,929,117,16,1650,29,79,12,0,123,114,483,118,13,717,35,457,128,4,625,130,99,14,8,252,57,67,16,0,132,140,171,12,4,326,97,167,35,0,304,760,1027,213,7,2004,102,172,41,0,318,218,185,22,3,433,89,92,24,0,215,264,481,55,9,802,43,48,13,0,103,132,340,22,3,499,145,195,32,8,379,3021,5196,903,80,9197,43,19,0,3,60,0,0,0,0,0,167,52,3,3,226,15,5,0,0,17,899,216,10,10,1136,29,13,0,0,47,235,164,14,0,417,90,217,22,0,331,241,46,3,4,301,77,3,0,0,83,81,21,5,0,102,70,17,6,0,90,923,177,104,6,1218,347,79,0,5,436,172,7,6,3,186,568,53,3,4,631,783,157,12,5,956,301,25,3,0,327,584,216,7,3,812
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,9,0,0,0,8,5,0,0,0,5,278,232,3,6,515,4,0,0,0,3,12,3,0,0,18,3,3,3,0,5,17,10,0,0,24,8,3,0,0,11,4,3,0,0,5,3,0,0,0,4,31,33,0,0,64,29,18,3,0,42,9,3,0,0,16,10,0,0,0,17,14,4,0,0,17,3,0,0,0,3,11,12,0,0,19,17,7,0,0,24,461,321,14,6,805,9,0,0,0,15,0,0,0,0,0,8,3,0,0,15,3,0,0,0,5,622,99,0,6,732,3,0,0,0,3,26,3,0,0,27,3,4,0,0,9,83,5,0,0,90,6,0,0,0,6,3,0,0,0,7,4,0,0,0,4,66,4,0,0,78,215,22,0,3,242,5,0,0,0,10,106,9,0,0,117,31,4,0,0,41,24,3,0,0,30,84,4,0,0,85
7RNTE,22,87,5,0,117,17,4,3,0,29,8,42,0,0,51,0,3,0,0,8,60,163,24,3,252,11,17,3,0,26,12,107,7,3,129,5,76,17,0,107,17,53,3,0,71,0,3,0,0,6,0,3,0,0,4,0,22,0,0,22,24,65,8,0,89,18,45,4,5,68,3,12,0,0,24,3,10,3,0,14,20,27,3,0,51,11,8,0,0,19,35,62,5,0,107,18,37,4,0,61,290,841,94,24,1242,75,34,3,10,121,7,0,0,0,7,22,4,0,0,23,3,0,0,0,3,151,36,0,11,201,12,3,0,0,12,38,25,0,3,68,44,52,3,4,104,48,11,0,0,63,4,0,0,0,4,0,3,0,0,3,9,0,0,0,9,72,7,0,0,81,55,19,3,3,76,12,3,0,0,16,36,9,0,0,47,95,12,0,0,109,32,11,0,0,43,87,31,0,5,121
7GDAR,18,23,7,0,46,3,8,0,0,12,35,129,7,0,169,8,14,3,0,30,183,480,65,4,735,13,42,10,0,62,44,202,35,0,286,27,122,46,0,202,52,72,16,0,141,14,21,6,3,39,22,48,4,0,70,43,79,9,4,136,131,219,37,5,389,51,92,13,0,159,14,22,10,0,53,27,33,3,0,54,53,109,15,0,182,12,16,0,0,28,39,166,5,0,208,54,87,20,3,164,843,1980,310,28,3159,115,28,0,5,151,4,0,0,0,8,92,31,4,0,125,11,0,0,0,14,400,124,8,8,546,19,6,0,0,24,101,65,0,3,174,68,101,3,0,178,104,36,0,6,147,22,0,0,0,23,31,7,0,0,37,35,11,0,3,47,305,45,7,4,362,185,47,0,0,232,26,3,7,0,38,80,14,0,0,104,234,52,3,4,288,75,8,0,0,81,225,79,0,3,308
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,7,7,0,0,17,0,0,0,0,0,3,0,0,0,5,0,0,0,0,3,80,86,0,10,175,0,0,0,0,0,0,3,0,0,8,3,0,0,0,4,11,3,0,0,11,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,16,12,10,0,0,18,3,0,3,0,7,0,0,0,0,0,9,5,0,0,12,4,4,0,0,5,15,8,0,0,19,9,17,0,0,25,171,144,4,9,331,13,0,0,0,13,0,0,0,0,0,11,3,0,0,17,3,0,0,0,3,253,64,0,4,316,4,0,0,0,4,13,4,0,0,16,13,0,0,0,11,37,3,0,0,38,13,0,0,0,13,3,0,0,0,3,7,0,0,0,7,34,0,0,0,34,116,10,0,5,131,3,0,0,0,3,24,3,0,0,24,13,0,0,0,13,27,0,0,0,29,35,6,0,0,44
