GCCSA_CODE_2016,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
9OTER,21,0,11,271,226,15,32,7,8,289,270,5,39,3,11,335,242,18,46,8,5,320,182,6,31,10,3,234,120,8,24,7,5,167,31,3,17,3,3,54,10,3,14,3,3,35,2215,93,272,49,62,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,16,17,0,4,0,0,19,11,3,3,0,0,18,8,3,0,0,0,12,3,0,0,0,0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,92,13,11,3,0,118
8ACTE,876,124,123,25586,22103,1465,943,139,115,24759,19581,1242,973,126,110,22031,15004,1050,878,133,89,17153,8609,763,769,114,85,10337,3439,504,549,122,64,4678,889,210,222,77,37,1437,323,109,120,80,36,665,201286,9197,7719,1301,1151,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,175,3,7,698,374,100,191,11,12,690,300,89,173,11,7,587,267,65,170,5,8,516,200,50,119,8,11,385,100,20,70,6,5,199,18,6,24,3,3,53,16,0,9,5,3,32,4344,805,1534,69,78,6819
7RNTE,120,21,22,3552,3319,186,136,23,39,3700,3185,201,166,32,50,3631,2831,175,138,31,31,3204,1875,139,127,32,31,2196,761,75,73,30,17,958,200,33,29,21,10,297,74,15,25,15,9,134,30812,1242,1171,272,361,33860
7GDAR,369,52,84,8012,6765,503,415,58,65,7812,5841,463,424,72,61,6859,4794,399,344,60,59,5658,3005,268,292,66,49,3681,1200,160,170,47,22,1601,273,66,76,34,18,464,94,24,33,28,15,196,64662,3159,3025,575,705,72120
79799,0,0,0,13,7,0,0,0,0,9,17,0,0,0,0,15,15,0,0,0,0,13,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,88,3,4,4,0,91
79499,104,10,9,413,234,31,110,8,6,389,217,50,94,10,10,372,189,42,89,3,6,324,119,30,53,10,5,221,54,8,29,4,6,98,11,6,5,0,0,29,13,0,4,0,0,20,2493,331,736,60,61,3679
6RTAS,961,196,120,11227,10411,822,1206,223,163,12826,10376,840,1215,303,155,12887,9348,833,1408,399,152,12141,5988,638,1237,339,145,8348,1960,436,713,302,86,3501,544,168,337,225,44,1325,202,106,261,185,71,828,87975,5487,9298,2619,1426,106812
