GCCSA_CODE_2016,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
9OTER,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,5,4,0,5,3,0,0,0,11,3,10,25,17,29,14,9,105,13,48,46,53,73,21,3,257,7,9,6,6,11,4,0,46,240,468,562,617,551,220,35,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,12,3,14,10,11,8,4,0,43,0,0,0,0,0,0,0,3,7,26,23,33,17,4,0,118
8ACTE,0,10,12,6,3,0,0,45,43,46,45,31,12,0,0,170,8,30,29,16,12,0,0,92,51,88,79,56,34,0,0,307,322,930,1551,1438,1279,750,166,6436,5106,5420,4279,3110,2613,833,104,21465,286,294,263,234,163,69,50,1349,32752,54877,51950,46795,27483,6119,665,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,27,32,23,17,7,0,110,196,119,121,103,92,42,5,678,12,12,17,16,6,6,4,67,1256,1681,1424,1278,896,251,32,6819
7RNTE,0,4,3,3,0,0,0,13,8,14,16,17,3,0,0,55,0,13,7,7,3,0,0,37,12,26,29,30,6,0,0,100,78,180,196,209,173,94,21,951,341,681,539,551,495,108,14,2719,140,180,141,111,82,21,6,677,4146,8444,7157,7331,5401,1254,134,33860
7GDAR,4,0,0,3,0,0,0,3,11,25,21,11,6,0,0,78,6,12,16,8,9,0,0,44,23,32,35,17,13,3,0,126,47,266,449,432,363,177,33,1776,1001,1514,1167,933,769,210,17,5610,151,223,144,156,101,34,14,827,9774,19490,16593,14668,9341,2064,196,72120
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,11,0,0,0,0,0,0,0,3,3,30,18,24,22,3,0,91
79499,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,11,9,10,18,26,14,4,3,83,30,103,88,92,105,31,3,445,12,19,10,12,16,9,0,82,373,1013,837,761,546,126,20,3679
6RTAS,0,0,0,0,0,0,0,7,3,3,3,7,0,0,0,18,4,5,11,9,10,0,0,35,4,13,11,16,13,0,0,57,160,551,988,1414,1680,960,291,6052,2510,2240,2118,2324,2340,688,92,12311,217,175,163,212,234,127,67,1202,15534,18564,20853,25717,20492,4825,828,106812
