GCCSA_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
9OTER,8,17,0,3,35,1801,645,168,75,2692
99799,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,56,24,31,6,118
8ACTE,168,395,46,54,665,148735,59238,9400,3274,220648
89799,0,0,0,0,0,0,0,0,0,0
89499,9,20,4,4,32,4093,2251,317,159,6819
7RNTE,62,47,6,14,134,24420,6746,1624,1066,33860
7GDAR,77,90,9,10,196,52917,14518,3120,1567,72120
79799,0,0,0,0,0,74,6,9,3,91
79499,10,3,4,0,20,2414,819,334,108,3679
6RTAS,250,465,49,70,828,59567,40565,4661,2013,106812
6GHOB,87,289,24,51,453,56617,37246,4036,1459,99359
69799,0,0,0,0,0,43,10,5,0,55
69499,12,28,4,7,54,4823,3543,518,250,9138
5RWAU,675,931,120,150,1873,171856,68305,14558,5392,260110
5GPER,797,2261,178,187,3420,518078,289570,28950,13567,850156
59799,4,0,0,0,4,1321,74,169,31,1595
59499,51,125,37,22,229,30819,18821,3490,1251,54379
4RSAU,573,799,109,162,1643,85739,53128,6372,2889,148135
4GADE,632,1446,136,192,2404,328932,203055,19955,8370,560314
49799,0,0,0,0,0,41,11,14,0,64
49499,40,99,19,24,185,17971,13830,1810,699,34311
3RQLD,2328,2981,290,578,6175,608327,332386,34323,18887,993929
3GBRI,965,1963,146,312,3393,661012,326539,33245,17105,1037906
39799,0,0,0,0,0,150,14,24,11,202
39499,90,225,52,47,410,57869,33784,4786,2402,98838
2RVIC,1956,2584,361,511,5409,318846,210626,23975,11544,564981
2GMEL,2242,4972,438,638,8290,1279472,666757,61696,38241,2046169
29799,0,0,0,0,0,107,24,22,9,157
29499,139,351,60,61,612,68402,42343,5166,3122,119032
1RNSW,3214,4211,471,894,8796,588547,359780,37214,19900,1005433
1GSYD,2582,5807,452,571,9410,1448345,654965,63108,42877,2209294
19799,0,0,0,0,0,52,18,9,0,86
19499,128,389,76,98,690,81623,51874,6077,3799,143365
