GCCSA_CODE_2016,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_2016,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_2016,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_2016,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_2016,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_2016,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_2016,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_2016,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_2016,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_2016,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_2016,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_2016,Tot_EdTrn_NS,Tot_EdTrn_Tot,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_2016,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_2016,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_2016,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_2016,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_2016,Tot_Tot_NS,Tot_Tot_Tot
6GHOB,475,99,12,16,12,17,20,0,5,178,424,69,90,103,183,171,10,34,1081,275,70,102,176,378,575,45,39,1665,179,16,23,41,83,81,0,10,427,110,13,14,24,36,21,5,7,229,116,12,12,40,40,30,3,0,261,95,7,5,10,14,12,3,6,153,476,62,89,105,150,165,6,18,1089,142,20,18,40,79,93,8,13,412,827,64,101,119,123,66,4,25,1334,788,104,106,150,193,218,20,27,1604,1184,170,225,276,491,330,20,41,2730,136,27,25,29,52,49,7,6,324,213,32,33,35,71,54,3,9,450,170,26,21,39,81,70,8,31,445,5948,796,1020,1378,2201,2127,156,316,13945
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,11
69499,217,12,0,0,0,0,3,0,0,19,8,0,0,3,5,3,0,0,21,10,0,0,3,5,3,0,0,22,28,3,8,4,16,15,0,3,78,13,0,5,0,4,3,0,0,17,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,38,3,3,0,3,3,0,0,50,64,3,8,5,15,18,3,3,120,8,3,0,0,3,0,0,3,28,24,3,8,5,3,5,0,3,39,86,8,4,7,11,13,0,0,132,4,0,3,3,3,0,0,0,16,21,3,4,0,3,3,0,0,27,15,0,0,0,0,10,0,3,33,498,47,75,61,111,82,13,32,909
5RWAU,6277,294,36,74,81,282,270,11,38,1079,1382,151,255,327,844,901,66,145,4067,1198,197,318,434,1391,1722,159,185,5591,1004,108,162,222,528,485,15,81,2612,101,15,25,26,55,43,3,16,286,223,28,30,46,92,88,5,5,509,292,28,39,55,114,185,5,13,731,889,109,179,269,542,483,18,50,2533,668,98,126,171,411,534,48,76,2131,1371,184,197,247,602,416,15,93,3121,1850,230,301,366,626,420,19,109,3923,2394,279,398,693,1579,1396,52,159,6957,208,22,28,44,90,69,3,23,491,565,83,121,175,369,394,11,60,1770,814,96,174,245,578,557,51,210,2720,21821,3050,4412,6144,14372,13028,801,2064,65693
5GPER,28132,3281,578,774,982,2242,2017,68,154,10093,8914,1826,2762,3733,7372,6821,355,574,32356,3871,1227,1853,3113,8181,10210,808,677,29949,5372,978,1427,1758,4264,2917,105,300,17118,1172,213,305,407,761,672,35,57,3633,3458,677,900,1258,1859,1470,43,125,9792,2440,392,427,628,1055,952,42,97,6029,8508,1899,2569,3700,6124,4978,262,314,28356,3134,671,871,1180,2599,4110,379,311,13256,9317,1522,1731,2241,3742,2484,85,286,21407,11701,2123,2599,3360,5068,3884,185,398,29317,17152,3508,4137,6264,12685,10513,431,776,55471,1799,326,466,616,1053,832,40,94,5222,4232,873,1069,1391,3406,3443,206,247,14882,4767,992,1311,1825,4010,3868,268,905,17963,109893,21962,28360,39794,80811,73587,3916,6512,364834
59799,79,4,0,0,0,4,7,0,0,11,3,0,0,0,0,0,0,0,3,13,4,3,3,4,0,0,0,32,26,3,3,9,12,4,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,0,3,7,7,0,0,17,10,0,0,0,6,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,26,3,5,9,9,16,0,4,66,200,43,48,52,89,68,3,14,525
59499,6824,101,12,19,30,54,42,0,0,262,190,36,30,44,99,82,15,13,515,70,22,34,36,74,65,4,6,310,506,103,191,152,372,229,9,38,1594,62,10,20,12,44,38,0,8,195,44,8,8,12,12,15,0,3,98,44,3,8,5,13,15,6,7,105,281,58,68,81,120,86,14,11,719,717,104,156,189,425,480,46,60,2172,129,27,40,27,70,56,0,12,367,242,44,47,81,118,83,7,10,622,565,97,97,164,294,227,18,36,1497,47,10,15,16,26,10,0,3,129,325,67,53,86,166,123,10,21,862,362,57,92,97,219,205,27,61,1114,6633,1136,1605,1898,3897,3419,228,575,19389
4RSAU,716,117,5,10,41,106,178,19,34,514,705,43,73,97,223,179,9,38,1371,559,49,76,115,265,255,15,51,1385,310,18,12,22,52,35,3,17,460,43,0,3,8,9,5,0,0,69,76,5,5,7,13,14,0,0,128,93,3,6,3,9,8,0,3,129,237,22,18,35,49,23,3,8,404,310,20,24,30,87,145,8,30,650,441,29,34,59,121,72,3,21,774,671,47,59,92,164,96,3,29,1159,1284,100,152,246,523,381,6,71,2758,94,5,8,4,19,15,0,10,153,240,14,28,23,60,63,6,14,452,265,16,33,39,111,106,9,53,630,7844,564,831,1245,2792,2850,249,643,17024
4GADE,7571,1738,211,211,362,753,609,34,66,3997,4760,625,876,1271,2743,1783,112,212,12382,2255,454,782,1290,3524,3257,280,253,12094,2587,317,318,461,1692,696,43,128,6235,711,114,115,192,410,365,31,33,1977,1732,236,286,443,717,441,25,48,3927,970,63,107,136,276,202,12,34,1785,3643,567,693,1094,1916,1580,136,141,9770,1946,259,349,445,1210,1411,128,120,5853,5065,616,635,890,1444,672,26,148,9500,5428,746,871,1202,2103,1617,92,176,12245,10586,1595,1632,3051,7584,4484,208,394,29546,606,84,132,162,281,208,23,30,1521,2244,336,334,498,1169,938,75,103,5699,1832,244,291,570,1128,957,92,280,5396,57069,8048,9255,14354,31867,22924,1513,2713,147748
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,9
