GCCSA_CODE_2016,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000mo_Mng,Pvte_3000mo_Pro,Pvte_3000mo_TecTW,Pvte_3000mo_CoPSW,Pvte_3000mo_ClAW,Pvte_3000mo_SWks,Pvte_3000mo_MaOpDv,Pvte_3000mo_Lab,Pvte_3000mo_IDNS,Pvte_3000mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot,NS_2000_2999_Mng,NS_2000_2999_Pro,NS_2000_2999_TecTW,NS_2000_2999_CoPSW,NS_2000_2999_ClAW,NS_2000_2999_SWks,NS_2000_2999_MaOpDv,NS_2000_2999_Lab,NS_2000_2999_IDNS,NS_2000_2999_Tot,NS_3000mo_Mng,NS_3000mo_Pro,NS_3000mo_TecTW,NS_3000mo_CoPSW,NS_3000mo_ClAW,NS_3000mo_SWks,NS_3000mo_MaOpDv,NS_3000mo_Lab,NS_3000mo_IDNS,NS_3000mo_Tot,NS_PINS_Mng,NS_PINS_Pro,NS_PINS_TecTW,NS_PINS_CoPSW,NS_PINS_ClAW,NS_PINS_SWks,NS_PINS_MaOpDv,NS_PINS_Lab,NS_PINS_IDNS,NS_PINS_Tot,NS_Tot_Mng,NS_Tot_Pro,NS_Tot_TecTW,NS_Tot_CoPSW,NS_Tot_ClAW,NS_Tot_SWks,NS_Tot_MaOpDv,NS_Tot_Lab,NS_Tot_IDNS,NS_Tot_Tot
9OTER,42,24,44,16,6,0,19,12,9,170,31,39,13,6,3,0,0,0,8,95,3,0,6,3,3,3,9,8,5,34,317,245,381,293,200,128,144,287,46,2034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,0,6,3,3,4,0,3,15,37
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,3,3,0,3,0,0,0,0,10,10,8,10,0,3,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,29,36,18,6,9,3,3,10,7,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8ACTE,3142,5643,885,223,901,325,68,99,204,11488,2634,4417,279,102,465,321,23,31,156,8423,159,220,181,173,153,143,42,128,77,1281,16308,29575,15585,17465,15861,14532,3770,9407,1720,124230,3,3,0,0,3,0,0,3,40,55,0,3,4,16,5,3,3,4,40,76,0,4,5,11,9,5,3,9,44,84,3,3,8,9,3,0,3,11,37,77,0,5,8,4,3,4,8,15,59,108,0,9,11,25,5,8,10,10,47,124,3,8,13,14,11,6,12,11,75,148,8,13,18,11,21,5,7,8,80,174,12,27,17,10,18,5,7,8,105,209,6,26,8,0,17,0,5,0,68,127,11,29,9,9,21,0,0,0,57,126,8,23,4,4,4,0,0,3,39,88,12,27,0,0,0,0,0,0,54,98,3,8,0,0,0,0,0,0,28,51,14,15,34,12,19,9,6,16,245,364,70,204,138,119,136,50,63,104,1024,1908
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,59,92,134,3,10,3,12,23,11,339,37,87,43,3,12,4,0,10,10,204,8,13,42,10,8,3,8,12,3,97,434,702,2508,673,206,274,397,1033,121,6336,0,0,0,0,0,0,0,0,8,9,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,6,0,0,3,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,4,9,10,5,3,0,0,7,43,83
7RNTE,436,639,679,99,105,24,494,79,35,2588,303,269,280,16,47,13,90,26,23,1066,67,91,75,114,45,37,63,96,42,625,3037,4200,3916,3306,2319,1739,2067,2957,483,24014,0,0,0,0,0,0,0,4,25,27,0,0,3,0,0,0,0,4,54,63,0,0,0,4,0,0,0,6,107,116,0,0,4,4,0,0,0,3,21,37,0,0,0,4,0,0,0,0,23,35,0,4,4,4,0,0,3,3,23,42,0,6,3,4,0,0,4,5,11,32,0,0,5,6,3,0,3,3,14,41,3,3,0,5,3,0,0,3,11,38,0,3,0,0,0,0,3,4,5,15,0,4,3,0,0,0,0,3,11,16,3,3,0,0,0,0,0,0,5,9,0,3,0,0,0,0,0,0,3,15,0,0,3,0,0,0,0,0,4,12,0,11,3,11,6,3,0,3,132,165,15,35,30,54,13,9,18,35,450,661
7GDAR,1181,1373,1879,103,359,117,465,713,65,6256,966,1051,1982,47,212,81,278,431,79,5112,62,97,168,65,81,70,61,104,55,760,6353,7641,11249,5261,6388,5072,3700,5812,736,52215,0,0,4,0,0,0,0,6,21,36,0,3,0,3,0,0,0,3,11,22,0,0,3,3,0,3,0,3,16,29,0,0,3,5,0,3,0,8,14,38,0,4,9,6,3,0,0,10,18,50,0,0,3,10,0,7,6,8,21,51,0,3,6,7,4,4,5,10,29,66,3,0,15,9,11,0,3,12,33,89,3,0,19,0,13,3,4,3,39,84,0,6,9,4,4,0,4,4,33,60,0,5,10,9,0,0,3,0,18,41,3,8,0,0,0,0,5,0,15,26,3,9,9,0,3,0,0,3,23,50,4,0,4,0,0,0,0,3,9,24,7,14,27,10,10,4,9,11,161,254,24,57,112,61,54,26,35,79,464,912
79799,0,3,5,0,0,0,4,11,0,20,4,12,16,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,8,19,31,0,0,0,4,23,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,4
79499,28,49,229,4,15,3,52,75,4,464,23,24,180,4,6,3,25,36,5,315,0,7,30,0,0,3,9,11,3,66,219,312,1284,236,137,118,361,676,74,3407,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,4,8,22,0,3,8,3,3,3,0,6,40,68
6RTAS,1069,984,567,60,193,117,258,109,47,3394,645,756,92,17,86,56,46,64,18,1787,205,100,198,129,98,172,118,242,62,1329,13262,10871,13636,10127,9791,10897,7613,13307,1010,90509,10,0,0,3,3,0,0,3,31,47,4,0,0,5,0,9,0,6,30,60,8,0,3,8,4,6,6,11,48,96,3,0,4,8,4,4,7,8,50,87,0,0,5,7,0,4,9,11,65,100,8,3,12,10,5,3,3,9,65,123,6,3,11,3,4,5,6,17,56,110,12,3,16,4,4,6,6,9,36,103,3,3,11,3,0,3,5,8,36,64,0,9,3,0,0,0,0,4,18,36,3,4,4,0,4,0,0,0,6,22,0,3,0,0,0,0,0,0,4,13,3,0,0,0,0,0,0,0,4,11,3,0,0,0,0,0,3,0,10,19,5,0,12,7,3,9,4,13,151,216,72,43,78,55,39,46,49,107,622,1114
6GHOB,1251,1501,313,71,300,132,54,45,50,3716,677,1017,82,41,104,88,19,28,31,2090,103,118,121,98,102,109,58,90,39,833,9034,13549,11260,10138,10029,9748,4066,7945,874,76655,0,0,0,3,0,0,0,3,20,29,3,0,0,0,0,7,0,8,22,44,3,3,4,4,3,3,3,3,28,61,0,3,3,6,0,3,3,10,45,70,0,3,9,4,0,3,3,7,45,69,0,3,0,10,0,4,3,3,35,72,3,5,11,18,8,3,8,5,44,102,8,5,12,0,9,3,6,3,34,74,4,3,6,6,4,3,4,0,30,58,0,4,5,0,0,0,0,0,13,24,4,8,0,0,0,0,0,0,8,24,0,0,3,0,3,0,0,0,8,11,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,0,0,0,10,19,3,10,13,10,6,6,3,7,115,165,27,45,64,59,35,42,35,56,463,837
69799,0,4,0,0,0,0,0,5,0,13,4,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,12,4,3,0,0,0,22,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69499,49,57,71,6,7,11,29,31,3,266,17,60,32,3,4,0,14,13,0,148,8,12,39,12,4,4,13,37,8,151,762,556,2914,979,188,346,913,1822,131,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,3,0,3,0,0,0,6,21,0,0,4,0,0,0,0,0,3,12,0,0,4,3,0,3,0,3,4,25,0,0,3,0,0,3,0,0,5,18,0,0,0,0,0,0,0,3,3,11,0,0,6,0,0,0,0,3,6,20,0,0,0,0,0,0,0,0,6,8,0,0,3,0,0,0,3,0,3,11,0,0,0,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,21,26,6,3,22,5,8,11,12,23,82,170
