GCCSA_CODE_2016,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000mor_E,M_3000mor_OM_IE,M_3000mor_OM_UIE,M_3000mor_CFW,M_3000mor_ES_NS,M_3000mor_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000mor_E,F_3000mor_OM_IE,F_3000mor_OM_UIE,F_3000mor_CFW,F_3000mor_ES_NS,F_3000mor_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE
9OTER,0,0,3,6,0,8,17,0,0,0,0,15,20,0,3,3,0,24,18,0,10,0,3,37,32,3,13,4,0,51,74,3,19,0,5,102,128,4,14,3,3,149,152,7,16,3,3,186,151,11,27,0,6,197,120,7,10,4,5,146,130,4,6,0,0,148,120,7,6,0,0,140,184,6,14,0,4,202,84,9,6,0,0,105,22,0,3,0,6,29,1253,62,157,34,41,1545,3,0,0,3,0,11,23,0,3,3,3,32,46,0,3,0,0,53,69,0,15,3,0,81,61,3,23,0,6,90,117,0,16,0,3,142,136,0,4,3,4,150,110,4,13,0,0,132,100,3,12,0,3,123,77,4,4,0,0,92,68,3,5,0,3,77,55,0,4,0,0,64,63,3,0,0,0,64,15,5,0,0,0,15,13,0,4,0,3,18,956,34,112,21,28,1145,6,0,0,6,0,21,43,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,4,3,0,0,0,0,5,7,3,0,0,0,5,4,0,0,0,0,4,4,0,0,0,0,10,7,0,0,0,0,8,6,0,0,0,0,12,27,3,0,0,0,27,0,0,0,0,0,0,63,7,7,4,0,83,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,28,3,3,0,0,32,3,0,0,0,0,3,0,0
8ACTE,220,34,37,120,5,425,2667,23,89,47,26,2851,2271,59,122,33,13,2508,1888,83,205,47,13,2238,2409,110,221,47,37,2819,3667,237,366,59,46,4374,5087,347,385,40,50,5908,7835,501,472,49,63,8925,10501,725,562,59,68,11917,10380,595,432,33,56,11492,10926,702,358,21,31,12046,8518,485,251,13,27,9308,20781,998,388,31,54,22257,9332,1668,559,24,54,11636,951,69,53,14,64,1145,97445,6639,4493,644,626,109850,295,13,36,134,7,480,3773,37,194,53,28,4086,3640,67,262,57,27,4055,3282,88,232,57,39,3697,3794,103,259,56,44,4255,5925,186,327,58,44,6535,7608,197,315,57,58,8235,9592,238,350,45,54,10277,12916,283,316,25,51,13594,13519,216,214,20,31,14007,12833,278,185,23,40,13347,8061,156,107,15,23,8360,14121,305,171,24,22,14639,3479,380,224,13,20,4119,993,22,34,20,39,1117,103839,2557,3220,654,528,110801,518,48,74,256,18,909,6442,58
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,17,3,11,9,3,35,102,0,28,0,3,137,84,3,42,0,0,133,96,4,59,3,5,167,141,15,67,0,9,232,241,34,99,4,4,381,278,69,115,6,3,475,399,69,176,9,10,665,506,121,219,3,7,858,367,102,129,0,0,602,279,106,102,3,4,493,191,60,60,0,0,311,220,66,78,3,0,365,99,59,28,0,0,195,44,16,25,0,8,90,3068,732,1247,38,57,5137,16,5,3,10,0,35,128,3,15,3,0,149,115,3,35,4,0,157,102,0,25,0,4,141,102,7,29,0,0,140,159,7,44,3,3,217,152,3,34,0,3,192,109,3,36,0,0,145,126,4,19,3,0,152,81,3,12,0,3,99,58,3,12,3,0,78,32,0,3,0,0,37,55,6,9,0,0,69,19,13,3,0,4,40,25,0,4,0,3,29,1276,73,290,31,19,1683,33,5,16,12,0,70,235,5
7RNTE,71,10,17,38,7,131,325,3,10,10,6,359,586,4,30,14,6,643,384,15,34,4,10,455,448,22,34,4,7,511,965,34,70,6,9,1087,1202,58,62,13,13,1353,1572,69,72,6,22,1747,1966,105,87,5,18,2185,1756,105,78,3,17,1962,1609,108,64,8,14,1803,1346,82,49,0,7,1481,2638,94,53,0,14,2798,996,101,32,9,5,1137,460,28,21,7,33,550,16320,828,718,141,192,18194,65,0,9,29,4,107,379,3,14,11,7,415,724,11,37,16,10,800,581,8,27,14,9,638,657,16,27,9,14,722,1210,29,45,9,12,1305,1424,38,56,9,21,1559,1713,45,64,5,23,1849,2104,76,52,9,17,2254,1562,45,35,6,12,1667,1346,54,22,0,15,1432,990,28,17,0,11,1046,1095,25,24,4,3,1152,228,29,15,3,0,279,399,10,12,6,13,442,14495,417,458,132,174,15663,137,10,23,68,13,242,709,4
7GDAR,104,6,17,36,8,168,559,7,22,9,7,607,426,12,36,21,8,510,484,14,58,16,15,594,640,32,78,19,14,786,1027,68,143,15,23,1277,1627,84,146,32,30,1912,3124,138,208,18,34,3519,4634,228,232,31,60,5185,4041,238,191,23,39,4532,3728,330,163,15,33,4261,3182,206,109,4,20,3525,6358,356,178,9,45,6946,4712,379,148,11,29,5276,560,28,34,6,39,666,35203,2135,1755,271,402,39765,147,7,11,76,5,250,753,5,47,15,14,826,758,24,76,30,16,901,861,6,71,18,11,981,1188,34,91,12,19,1338,1920,69,135,23,27,2183,2846,83,124,33,27,3115,3745,104,163,26,30,4061,4562,123,138,19,40,4886,3598,103,103,19,27,3843,3026,153,81,9,15,3277,2237,68,50,4,15,2369,2645,132,87,11,12,2885,749,102,78,4,6,940,425,11,17,4,39,496,29457,1029,1267,298,299,32357,247,20,26,107,11,419,1317,16
79799,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,0,0,0,0,7,3,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,9,0,0,0,0,9,22,0,0,0,0,22,32,0,0,0,0,33,0,0,0,0,0,3,74,3,4,4,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0
79499,20,4,0,4,0,29,22,0,7,0,0,27,37,3,13,3,0,56,18,4,21,3,3,58,37,3,25,3,0,74,63,11,36,3,4,113,95,14,47,0,4,158,164,30,51,3,3,245,262,31,79,3,7,378,205,38,68,0,8,320,166,41,64,0,4,268,167,23,58,0,3,259,376,44,47,0,0,469,263,18,20,0,4,303,36,10,16,0,7,67,1924,275,548,32,48,2830,6,0,0,3,0,10,17,3,7,4,0,35,33,0,17,3,0,50,31,0,30,3,0,64,38,8,18,9,0,61,71,5,24,4,3,108,57,7,15,0,0,80,71,4,25,0,0,102,78,9,10,0,3,101,49,6,10,0,0,73,37,3,4,0,0,46,29,5,4,0,0,39,28,0,3,0,0,29,7,0,3,0,4,18,17,0,3,0,0,18,571,58,183,23,14,849,24,4,3,10,3,43,41,3
