GCCSA_CODE_2016,Pro_400_499_H_0,Pro_400_499_H_1_15,Pro_400_499_H_16_24,Pro_400_499_H_25_34,Pro_400_499_H_35_39,Pro_400_499_H_40,Pro_400_499_H_41_48,Pro_400_499_H_49mo,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_15,Pro_500_649_H_16_24,Pro_500_649_H_25_34,Pro_500_649_H_35_39,Pro_500_649_H_40,Pro_500_649_H_41_48,Pro_500_649_H_49mo,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_15,Pro_650_799_H_16_24,Pro_650_799_H_25_34,Pro_650_799_H_35_39,Pro_650_799_H_40,Pro_650_799_H_41_48,Pro_650_799_H_49mo,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_15,Pro_800_999_H_16_24,Pro_800_999_H_25_34,Pro_800_999_H_35_39,Pro_800_999_H_40,Pro_800_999_H_41_48,Pro_800_999_H_49mo,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_15,Pro_1000_1249_H_16_24,Pro_1000_1249_H_25_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40,Pro_1000_1249_H_41_48,Pro_1000_1249_H_49mo,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_15,Pro_1250_1499_H_16_24,Pro_1250_1499_H_25_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40,Pro_1250_1499_H_41_48,Pro_1250_1499_H_49mo,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_15,Pro_1500_1749_H_16_24,Pro_1500_1749_H_25_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40,Pro_1500_1749_H_41_48,Pro_1500_1749_H_49mo,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_15,Pro_1750_1999_H_16_24,Pro_1750_1999_H_25_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40,Pro_1750_1999_H_41_48,Pro_1750_1999_H_49mo,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_15,Pro_2000_2999_H_16_24,Pro_2000_2999_H_25_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40,Pro_2000_2999_H_41_48,Pro_2000_2999_H_49mo,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000mo_H_0,Pro_3000mo_H_1_15,Pro_3000mo_H_16_24,Pro_3000mo_H_25_34,Pro_3000mo_H_35_39,Pro_3000mo_H_40,Pro_3000mo_H_41_48,Pro_3000mo_H_49mo,Pro_3000mo_H_NS,Pro_3000mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_15,Pro_PINS_H_16_24,Pro_PINS_H_25_34,Pro_PINS_H_35_39,Pro_PINS_H_40,Pro_PINS_H_41_48,Pro_PINS_H_49mo,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_15,Pro_Tot_H_16_24,Pro_Tot_H_25_34,Pro_Tot_H_35_39,Pro_Tot_H_40,Pro_Tot_H_41_48,Pro_Tot_H_49mo,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_15,TaTW_NNI_H_16_24,TaTW_NNI_H_25_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40,TaTW_NNI_H_41_48,TaTW_NNI_H_49mo,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_15,TaTW_1_149_H_16_24,TaTW_1_149_H_25_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40,TaTW_1_149_H_41_48,TaTW_1_149_H_49mo,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_15,TaTW_150_299_H_16_24,TaTW_150_299_H_25_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40,TaTW_150_299_H_41_48,TaTW_150_299_H_49mo,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_15,TaTW_300_399_H_16_24,TaTW_300_399_H_25_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40,TaTW_300_399_H_41_48,TaTW_300_399_H_49mo,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_15,TaTW_400_499_H_16_24,TaTW_400_499_H_25_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40,TaTW_400_499_H_41_48,TaTW_400_499_H_49mo,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_15,TaTW_500_649_H_16_24,TaTW_500_649_H_25_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40,TaTW_500_649_H_41_48,TaTW_500_649_H_49mo,TaTW_500_649_H_NS,TaTW_500_649_H_Tot,TaTW_650_799_H_0,TaTW_650_799_H_1_15,TaTW_650_799_H_16_24,TaTW_650_799_H_25_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40,TaTW_650_799_H_41_48,TaTW_650_799_H_49mo,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_15,TaTW_800_999_H_16_24,TaTW_800_999_H_25_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40,TaTW_800_999_H_41_48,TaTW_800_999_H_49mo,TaTW_800_999_H_NS,TaTW_800_999_H_Tot
9OTER,0,0,3,6,4,7,0,0,0,17,0,3,5,8,4,3,7,4,0,23,4,0,0,0,7,6,0,4,0,20,0,0,0,3,5,3,0,0,0,16,0,0,3,3,10,14,3,14,0,52,3,3,0,5,10,7,3,0,0,36,3,0,3,3,11,14,5,12,0,53,0,0,0,0,18,17,4,10,3,52,3,0,4,0,9,16,8,7,0,51,6,3,0,0,3,11,3,8,0,38,0,0,0,0,0,0,0,0,0,0,25,23,29,30,88,100,41,58,3,393,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,0,0,3,3,3,0,0,3,12,0,5,4,3,10,0,0,0,0,16,0,0,3,4,10,3,0,9,0,36,3,3,7,7,19,9,10,0,0,58,4,8,5,5,19,8,9,10,3,65
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,8,3,0,0,5,9,0,12,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,40,306,168,98,38,49,5,36,18,764,87,418,339,196,98,115,31,83,21,1396,122,333,500,318,229,180,64,120,18,1884,141,258,635,557,698,431,193,187,29,3130,286,284,719,959,2023,1307,524,502,58,6659,455,222,480,1077,3200,2125,944,752,41,9300,602,241,394,1031,3876,2697,1154,1013,76,11083,393,159,232,621,2283,2333,1127,1180,50,8381,642,248,323,789,3505,4686,2422,2694,64,15377,195,136,158,407,689,2262,1190,2298,40,7375,21,22,30,40,102,98,53,67,50,472,3111,3796,4190,6219,16824,16386,7734,9003,503,67768,8,12,14,3,16,7,0,18,0,74,16,144,20,3,8,11,0,8,10,223,13,161,63,23,17,19,4,14,8,327,23,110,113,45,63,62,13,35,11,471,18,112,194,92,137,144,67,51,10,823,35,107,186,241,293,257,107,130,17,1362,67,78,141,261,539,444,203,194,18,1936,54,70,98,227,861,734,297,346,29,2721
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,3,25,0,8,3,0,0,3,0,39,0,22,6,7,5,0,0,3,0,50,0,6,9,8,3,3,0,3,3,42,6,12,11,8,9,4,0,3,0,61,6,11,0,8,13,22,0,6,0,77,0,3,5,7,11,18,0,3,0,56,10,3,3,7,13,19,3,7,0,61,3,3,0,0,8,10,5,16,0,49,3,9,0,6,17,33,17,22,0,112,3,5,8,6,3,30,17,29,0,101,0,0,0,0,3,0,0,4,0,10,56,227,60,71,86,148,55,104,34,850,0,0,0,3,4,0,0,0,0,9,3,18,0,0,3,0,0,0,0,29,0,11,3,3,0,7,0,0,0,35,4,22,8,6,7,17,0,0,0,69,0,15,9,21,17,40,8,7,5,116,8,20,26,21,33,65,20,12,3,201,3,19,22,42,50,74,31,18,0,260,8,16,16,44,55,115,41,37,0,333
7RNTE,4,35,36,30,46,17,0,6,3,176,15,48,43,52,78,52,15,16,8,324,11,15,41,41,71,66,18,41,9,309,33,21,34,42,108,69,37,43,10,399,29,22,50,79,261,174,72,118,7,807,58,13,31,65,319,229,85,148,5,961,75,16,29,68,327,298,108,185,8,1114,48,11,13,54,261,308,133,232,8,1073,75,13,21,44,179,323,196,341,8,1195,20,5,9,26,48,112,69,131,5,421,0,19,7,13,30,38,13,15,17,157,394,348,395,585,1809,1755,755,1295,89,7422,3,7,0,7,3,0,3,5,0,24,3,13,12,0,0,3,0,3,3,41,3,18,20,23,18,6,3,6,3,98,0,17,17,13,23,15,0,6,0,97,0,13,14,14,25,29,7,19,0,121,7,13,26,22,47,39,14,33,4,209,11,11,16,35,91,113,31,68,5,372,14,14,9,31,127,118,58,91,9,472
7GDAR,6,55,35,20,4,14,4,15,3,148,26,62,75,38,30,29,6,15,7,290,21,54,89,68,61,46,26,23,6,387,32,49,108,127,177,124,48,61,9,728,65,56,102,206,415,303,146,193,16,1502,96,47,69,174,525,433,219,278,19,1871,127,37,55,159,672,600,258,391,11,2326,116,25,38,113,506,574,281,491,19,2157,146,36,46,129,565,689,363,836,19,2822,70,33,27,69,107,238,150,744,10,1436,6,5,12,12,24,27,19,23,31,158,744,635,691,1147,3093,3090,1532,3093,143,14170,8,6,3,0,0,6,0,14,0,35,4,43,9,3,3,4,0,3,5,80,4,40,20,7,8,3,3,16,0,101,0,35,26,14,24,27,8,10,3,155,7,29,64,35,36,51,18,18,3,266,10,31,68,69,99,94,40,47,12,472,22,26,49,76,214,149,66,66,10,678,28,28,40,82,361,284,131,138,25,1108
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,0,4,6,0,0,0,0,0,0,10,3,9,0,0,3,3,0,3,0,25,0,0,3,0,9,0,0,0,3,21,3,6,5,0,14,8,0,8,0,42,0,4,3,7,3,7,3,6,0,29,3,0,4,3,5,8,6,6,0,35,9,3,0,0,4,4,4,17,0,41,6,0,0,3,4,7,3,18,0,42,12,0,0,3,7,6,5,27,0,55,3,0,0,3,3,0,0,12,0,30,0,0,0,3,0,0,0,0,0,4,47,45,29,24,50,41,23,96,12,367,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,4,3,3,3,0,0,0,0,10,4,3,3,3,5,6,3,3,0,25,3,3,6,3,4,4,0,3,0,29,0,7,5,6,6,10,3,3,3,52,4,4,4,20,12,8,4,11,3,71,4,4,5,8,26,17,12,12,0,89
