GCCSA_CODE_2016,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_Turkey_E,F_Turkey_OM_IE,F_Turkey_OM_UIE,F_Turkey_CFW,F_Turkey_ES_NS,F_Turkey_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Zimbabwe_E,F_Zimbabwe_OM_IE,F_Zimbabwe_OM_UIE,F_Zimbabwe_CFW,F_Zimbabwe_ES_NS,F_Zimbabwe_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_FYROM_E,P_FYROM_OM_IE,P_FYROM_OM_UIE,P_FYROM_CFW,P_FYROM_ES_NS,P_FYROM_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Malta_E,P_Malta_OM_IE,P_Malta_OM_UIE,P_Malta_CFW,P_Malta_ES_NS,P_Malta_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot
9OTER,0,0,9,0,0,0,0,9,0,0,0,0,0,0,38,0,3,0,0,45,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,19,0,0,0,0,25,24,0,0,0,0,25,956,34,112,21,28,1145,1376,52,145,21,36,1624,7,0,3,0,0,8,21,10,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,36,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,4,0,3,0,0,10,8,0,0,0,0,14,9,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,232,7,7,10,6,262,0,0,0,0,0,0,4,0,0,0,0,4,182,10,59,10,8,258,3,0,0,0,0,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,3,3,0,0,32,61,0,5,0,0,63,0,0,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0
8ACTE,3,891,485,21,26,3,6,544,47,3,5,0,0,57,3823,120,169,24,17,4148,782,28,46,0,4,864,980,43,62,14,13,1117,230,4,4,0,0,240,5449,120,218,55,43,5885,655,22,25,5,34,744,103839,2557,3220,654,528,110801,144546,6318,5250,788,719,157629,761,34,30,9,3,830,4129,260,168,81,12,4653,315,47,37,10,3,416,192,14,9,3,3,219,620,15,15,4,7,659,357,29,14,9,3,411,869,43,62,9,12,998,212,35,24,8,3,280,933,59,34,4,0,1029,6784,317,174,44,45,7362,627,14,22,3,4,671,416,42,23,3,3,480,146,13,19,0,0,185,460,40,16,0,5,520,560,78,66,16,7,730,361,9,11,0,6,383,1119,104,65,17,11,1310,152,20,28,8,3,208,1372,73,58,7,6,1522,96,5,9,0,3,116,363,22,27,3,0,415,3153,141,130,24,15,3466,1012,50,56,3,9,1129
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,0,7,3,0,0,0,0,6,0,0,0,0,0,0,38,0,19,0,0,63,7,0,0,0,0,13,10,0,0,0,0,13,0,0,0,0,0,0,78,8,25,4,0,121,17,0,0,0,0,20,1276,73,290,31,19,1683,3378,595,1125,40,51,5187,10,0,7,0,0,12,42,11,17,0,0,69,10,9,20,0,3,44,6,0,0,0,0,4,11,0,0,0,0,13,5,0,4,0,0,15,12,5,12,3,0,29,3,0,6,0,0,9,14,3,3,0,0,23,69,14,18,0,3,103,5,0,0,0,0,6,13,7,3,0,0,18,6,0,4,0,0,11,19,6,3,0,0,27,13,8,17,0,0,40,4,0,0,0,0,12,38,13,4,0,0,61,5,3,8,0,0,16,16,3,10,0,0,27,3,0,0,0,0,9,3,0,9,0,0,9,78,10,31,0,0,121,17,3,8,0,0,26
7RNTE,0,44,61,0,3,0,0,69,3,0,0,0,0,3,512,20,23,4,7,561,184,0,6,0,0,193,36,9,14,0,3,62,98,0,0,0,0,104,556,6,22,7,3,592,267,10,12,3,8,295,14495,417,458,132,174,15663,23084,989,811,203,264,25348,85,3,3,0,0,92,94,4,3,0,3,105,0,0,3,0,0,3,8,0,3,0,0,13,138,0,3,0,0,147,5,0,0,0,0,3,168,12,8,3,0,193,19,0,0,4,0,27,53,0,0,0,0,55,634,8,22,0,9,667,65,0,4,3,0,68,24,0,0,0,0,24,8,0,3,0,0,11,106,3,4,0,0,117,62,9,10,3,9,84,56,0,3,0,0,63,79,7,3,0,0,85,0,0,0,0,0,3,67,3,3,0,0,75,8,0,0,0,0,8,75,4,0,0,0,88,1296,41,48,3,13,1395,31,0,0,0,0,28
7GDAR,3,151,244,4,44,8,3,308,3,0,0,0,0,9,1426,49,64,13,15,1567,99,0,6,0,0,116,165,13,48,13,0,237,157,7,3,0,0,165,1882,65,96,16,14,2078,408,13,15,19,29,486,29457,1029,1267,298,299,32357,43081,2220,1875,329,425,47930,159,9,5,3,4,180,551,35,43,10,13,646,17,0,4,0,0,18,17,3,0,0,0,23,148,13,10,0,0,170,9,0,0,0,0,6,325,23,26,6,4,380,285,74,62,13,16,459,128,8,10,0,0,142,1699,51,56,12,15,1835,521,4,28,6,12,573,85,0,0,0,0,87,11,0,0,0,0,12,744,14,13,3,5,783,152,13,14,11,0,189,216,7,3,0,0,225,194,5,11,0,0,219,25,3,3,0,0,37,351,16,24,0,7,398,11,0,0,0,0,16,145,6,12,0,3,172,2022,98,94,15,8,2232,162,10,12,0,3,183
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,52,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0
79499,0,0,7,0,10,0,0,17,0,0,0,0,0,0,24,5,10,3,0,40,4,0,0,0,0,5,6,0,0,0,0,6,3,0,0,0,0,4,25,3,15,3,0,46,13,0,3,0,3,15,571,58,183,23,14,849,1809,245,517,39,40,2655,4,0,0,0,0,9,12,0,3,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,3,4,0,7,0,0,16,42,13,19,0,6,80,3,0,3,0,0,11,26,4,16,0,0,40,10,0,7,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,29,0,5,0,0,36,15,0,3,0,0,18,0,0,0,0,0,3,9,3,0,0,0,10,0,0,0,0,0,0,3,4,5,0,0,13,0,0,0,0,0,0,11,0,0,0,0,12,123,10,35,0,4,166,3,0,3,0,0,8
