GCCSA_CODE_2016,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000mor_E,P_3000mor_OM_IE,P_3000mor_OM_UIE,P_3000mor_CFW,P_3000mor_ES_NS,P_3000mor_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
6RTAS,264,220,77,4148,3872,141,661,377,106,5148,4426,226,842,289,127,5913,6006,267,876,233,149,7532,9666,439,1190,259,159,11707,11996,574,1121,176,166,14041,12828,583,1038,157,137,14750,12050,726,992,112,136,14014,7404,555,606,72,71,8716,5988,552,427,58,49,7072,4060,250,238,25,41,4618,3651,467,349,47,34,4548,1063,528,391,50,20,2052,1183,88,163,78,135,1643,87975,5487,9298,2619,1426,106812
6GHOB,202,65,53,3572,3361,77,437,103,52,4016,3487,121,538,84,62,4298,4651,124,598,114,87,5572,7850,256,821,89,104,9122,9807,367,834,73,116,11201,12029,413,776,65,106,13391,12642,518,777,47,86,14070,8638,415,551,42,49,9691,7261,444,406,22,42,8179,4822,298,250,16,34,5415,5375,541,371,21,41,6355,1746,629,380,33,23,2811,899,54,91,34,77,1156,86026,4318,7088,983,951,99359
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,6,0,0,0,0,6,0,0,0,0,0,3,4,0,0,0,0,4,11,0,0,0,0,11,14,0,0,0,0,15,9,0,0,0,0,9,0,0,0,0,0,0,50,3,0,0,0,55
69499,69,5,7,223,321,20,167,30,18,545,338,19,223,7,17,609,459,24,254,13,19,771,660,43,358,14,26,1100,700,69,323,10,15,1124,787,84,371,3,20,1271,755,96,374,0,12,1245,458,71,237,3,13,777,269,82,169,5,4,525,133,24,91,0,4,251,151,41,71,7,3,280,84,22,42,0,6,158,116,15,41,0,7,186,5408,613,2817,126,170,9138
5RWAU,516,507,112,7273,5868,240,1004,627,150,7882,6795,363,1200,599,189,9148,8608,443,1317,596,190,11154,13954,846,1910,683,288,17674,17170,949,1914,507,280,20821,20239,1223,2222,495,288,24471,22971,1627,2472,527,303,27897,17639,1386,1681,351,183,21240,17768,1545,1446,287,160,21205,16666,883,880,170,140,18738,37432,1451,1243,223,229,40569,21548,1810,1194,273,138,24966,3390,239,444,284,246,4604,216847,13225,19759,7321,2962,260110
5GPER,1882,734,299,31556,29752,753,3074,863,302,34746,29187,1228,3346,760,418,34941,34181,1390,3684,665,416,40333,51716,2488,5309,840,521,60881,63343,3060,5262,693,587,72947,82054,4108,6057,601,683,93499,97831,5757,6537,671,636,111435,73707,4796,4702,423,448,84076,63450,5932,4111,355,334,74171,47678,3739,2515,264,230,54425,75142,7128,3735,353,293,86650,38966,9310,4075,393,257,53010,9124,691,862,247,635,11555,727035,51181,55775,9977,6188,850156
59799,0,0,0,5,0,0,0,0,0,3,8,0,0,0,0,5,8,0,0,0,0,9,5,0,0,0,0,11,12,0,0,0,0,19,20,0,0,0,0,21,40,0,3,0,0,44,28,0,3,0,0,32,48,9,0,0,0,57,77,0,0,0,3,79,434,3,5,0,0,447,820,7,8,0,0,837,26,0,0,0,3,32,1536,22,23,5,8,1595
59499,382,58,32,1492,1398,72,777,74,33,2352,1499,101,917,58,55,2629,1886,128,1044,53,55,3165,2621,246,1483,77,79,4506,2839,304,1594,58,90,4883,3439,500,1938,53,92,6020,3965,688,2310,61,98,7117,3055,590,1823,29,68,5571,2460,641,1419,29,52,4591,1892,392,849,6,42,3185,3349,511,996,15,45,4908,1714,361,370,19,32,2483,579,64,240,25,75,983,31862,4660,16256,754,848,54379
4RSAU,427,429,99,5690,4839,222,1044,626,162,6885,5561,328,1200,570,169,7824,7494,473,1398,544,216,10118,12193,724,2007,574,247,15737,14996,887,1927,494,269,18579,16701,964,1908,439,288,20302,15404,1234,1844,395,221,19095,9685,891,1159,237,103,12067,7579,837,904,209,107,9637,5389,480,498,129,44,6539,6367,645,703,171,51,7946,1756,732,640,190,59,3383,1706,147,320,242,181,2601,114687,8740,16276,6173,2260,148135
4GADE,1132,462,261,20727,20275,565,2305,702,325,24170,20025,914,2652,657,358,24602,25420,1113,3093,533,457,30610,41226,1808,4436,581,497,48547,54031,2333,4113,467,529,61480,68125,2938,4411,384,529,76387,70460,3667,4174,355,496,79155,46816,2907,2492,178,278,52673,38956,3188,2033,205,212,44594,27131,1792,1138,96,115,30273,32376,3120,1872,171,149,37694,12318,3901,2311,188,131,18847,5636,414,510,144,439,7140,482876,29161,37067,6348,4864,560314
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,7,0,0,0,0,7,21,0,0,0,0,22,15,0,0,0,0,15,0,0,0,0,0,0,52,0,4,0,0,64
49499,303,46,19,1081,1110,59,661,50,39,1914,1257,99,781,52,63,2250,1594,108,922,54,56,2728,2255,196,1362,45,65,3932,2305,326,1474,34,59,4202,2527,366,1591,35,79,4601,2502,471,1642,25,53,4697,1475,324,1072,19,37,2927,1043,314,688,14,27,2077,606,150,366,0,8,1134,743,205,354,12,12,1332,257,126,148,10,10,551,317,55,160,22,36,587,18810,2837,11595,492,577,34311
3RQLD,2395,1846,452,37196,30534,1227,4938,2494,608,39804,33859,2329,5858,2354,839,45241,44860,2512,6670,1925,843,56804,77657,4839,9255,2060,1076,94886,102862,5958,8877,1548,1200,120450,115269,7054,8956,1410,1077,133770,110425,8832,8711,1290,956,130211,73269,6935,5655,804,579,87246,61518,7564,4351,616,462,74518,40527,3937,2509,389,259,47622,56121,6522,3366,501,364,66878,20473,7575,3256,731,303,32344,12312,1288,1549,1039,1091,17283,814473,67712,77688,23727,10329,993929
3GBRI,2066,951,293,34807,32531,997,3528,1179,421,38660,33102,1783,4108,1086,511,40590,40262,2088,4481,907,545,48282,67196,3699,6265,1049,788,78997,94284,4594,6197,797,828,106702,118629,5860,6511,697,879,132571,128731,7392,6598,660,725,144107,92416,5923,4323,386,442,103485,80185,7157,3429,346,372,91488,52979,3935,2155,200,219,59494,76766,7395,3044,290,263,87761,36121,9452,3902,376,260,50112,11344,934,900,297,776,14246,898460,62206,58164,11608,7460,1037906
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,10,9,0,0,0,0,9,5,0,0,0,0,12,14,0,3,0,0,17,17,0,3,0,0,22,17,0,3,0,0,22,13,0,0,0,0,14,12,0,3,0,0,17,43,5,0,0,0,47,28,0,0,0,0,28,3,0,0,0,0,3,174,12,15,6,0,202
39499,730,122,50,2725,2310,184,1512,183,80,4266,2882,268,2000,161,109,5417,3689,391,2206,123,146,6548,5534,671,3028,118,181,9531,6511,908,3090,105,149,10751,7817,1178,3557,85,185,12822,8485,1637,3722,89,178,14111,5787,1321,2532,48,95,9794,4198,1349,1771,47,71,7437,2846,695,1059,25,55,4684,3400,879,996,33,40,5342,1333,515,445,25,41,2355,1131,186,493,58,169,2040,58038,10356,27349,1522,1566,98838
2RVIC,1609,1354,498,25931,19939,933,3252,1823,506,26454,22338,1537,4183,1792,590,30443,28814,1873,4673,1522,654,37539,46395,3216,6243,1700,866,58433,58442,3914,5914,1270,910,70443,65379,4427,6064,1068,852,77787,61304,4871,5446,863,720,73201,39573,3576,3367,505,356,47373,30009,3464,2504,353,315,36644,19936,1875,1419,246,223,23687,21302,3023,1960,276,213,26776,7243,3503,1984,419,172,13325,7525,735,1120,681,703,10765,452016,37661,50732,16824,7751,564981
2GMEL,3918,1849,830,72287,70652,2649,7370,2372,1049,84097,70372,4672,8476,2279,1262,87062,81960,5432,9444,1837,1425,100100,127865,9347,12937,2049,1771,153966,173580,11943,12651,1717,2048,201926,223134,14318,13598,1441,2196,254687,241712,17318,13180,1234,1845,275285,174494,13441,8935,718,1072,198666,143951,14569,6846,714,858,166942,100871,8869,4419,415,531,115096,151509,15322,6416,575,622,174445,82283,20557,8363,769,669,112638,27056,2535,2117,734,1916,34361,1740742,143469,119940,23536,18486,2046169
29799,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,7,4,0,0,0,7,5,0,0,0,0,5,5,0,0,0,0,9,10,0,0,0,0,7,8,0,0,0,0,8,11,0,0,0,0,11,29,0,0,0,0,29,59,0,0,0,0,60,3,0,0,3,0,5,146,3,4,3,3,157
29499,719,135,66,3527,3530,220,1875,169,127,5922,3897,409,2220,159,142,6827,5299,620,2736,140,218,9016,7173,1064,3875,136,240,12484,7330,1502,4014,123,246,13208,8405,2099,4604,128,268,15503,8405,2518,4859,103,267,16145,6024,1804,3268,53,157,11304,4322,1770,2184,26,106,8413,2767,863,1196,23,56,4907,3142,1064,1089,20,63,5375,1130,636,508,36,45,2357,1597,397,640,76,216,2922,66022,15171,33984,1616,2241,119032
1RNSW,2446,1970,677,39945,32266,1270,5723,2920,857,43037,37264,2212,7070,2784,1080,50417,49077,2539,7989,2372,1170,63138,81255,4674,11336,2544,1389,101197,104252,5642,10743,1849,1424,123909,114226,6750,11013,1638,1394,135024,106502,8151,10255,1455,1123,127490,69480,5747,6381,834,651,83100,56721,6039,4814,697,539,68812,43441,3224,2830,396,295,50183,54587,5419,3908,565,383,64860,16626,6332,4105,629,287,27980,12253,982,1827,1039,1219,17319,814991,59863,91812,26018,12738,1005433
1GSYD,3844,1585,634,62272,65084,2358,6792,2082,958,77271,70163,4240,8408,2143,1190,86142,83351,5077,9843,1728,1375,101384,127761,9533,13978,2005,1838,155116,173359,12137,13985,1575,2001,203062,224232,15509,14999,1494,2183,258418,251129,19000,15120,1338,1991,288573,186341,14842,10080,760,1202,213227,162385,16061,8168,672,902,188182,122131,10190,5282,435,641,138679,199959,18484,7880,621,818,227764,124609,25719,10677,930,778,162717,25355,2465,2100,582,1959,32459,1877812,157872,132483,22258,18871,2209294
19799,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,3,9,0,3,0,0,12,8,0,0,0,0,10,6,3,3,0,0,14,4,0,0,0,0,4,8,0,0,0,0,9,4,0,0,0,0,4,12,0,0,0,0,11,11,0,0,0,0,16,0,0,0,0,0,0,61,7,16,0,3,86
19499,939,174,77,3845,3826,260,2162,179,154,6585,4681,498,2945,203,187,8519,6261,639,3501,165,235,10804,8915,1278,4793,200,288,15471,9330,1717,4905,143,291,16390,10725,2314,5589,137,315,19084,10879,2898,5773,99,312,19957,6948,2053,3893,51,143,13081,5261,1907,2729,65,108,10074,3117,1043,1488,20,64,5734,3772,1212,1563,44,74,6656,1314,814,718,44,48,2935,1529,372,690,71,255,2919,79636,17188,41954,1997,2587,143365
