GCCSA_CODE_2016,P_OthSvs_H_0,P_OthSvs_H_1_15,P_OthSvs_H_16_24,P_OthSvs_H_25_34,P_OthSvs_H_35_39,P_OthSvs_H_40,P_OthSvs_H_41_48,P_OthSvs_H_49_more,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_15,P_IDNS_H_16_24,P_IDNS_H_25_34,P_IDNS_H_35_39,P_IDNS_H_40,P_IDNS_H_41_48,P_IDNS_H_49_more,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_15,P_Tot_H_16_24,P_Tot_H_25_34,P_Tot_H_35_39,P_Tot_H_40,P_Tot_H_41_48,P_Tot_H_49_more,P_Tot_H_NS,P_Tot_H_Tot
9OTER,5,5,11,10,11,11,4,8,3,64,12,16,8,12,24,20,4,20,37,143,168,227,177,244,591,410,319,476,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,0,3,0,16,31,8,6,7,4,22,4,31,6,118
8ACTE,159,811,632,720,1394,1105,684,935,73,6508,184,572,373,381,863,959,368,615,1335,5660,9400,20817,17216,21210,51430,44853,23317,29131,3274,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,11,50,21,30,27,38,14,26,4,226,18,43,19,22,47,47,21,23,59,302,317,1019,574,655,860,1521,641,1078,159,6819
7RNTE,57,181,154,176,458,348,117,237,68,1803,80,84,58,84,217,197,82,217,558,1584,1624,2092,1896,2756,7321,6158,3104,7840,1066,33860
7GDAR,59,172,160,217,518,514,259,417,38,2352,129,202,133,184,483,522,207,692,675,3230,3120,4532,4397,5589,15030,13257,7309,17315,1567,72120
79799,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,10,3,18,9,0,3,3,4,4,7,60,3,91
79499,11,18,6,11,11,9,8,28,5,111,22,11,23,17,22,38,21,47,54,255,334,295,225,297,357,561,299,1194,108,3679
6RTAS,116,580,441,477,821,688,346,472,46,3983,201,476,271,346,575,532,225,376,868,3865,4661,14312,12074,14180,19825,15988,9346,14412,2013,106812
6GHOB,106,519,426,514,810,644,338,418,39,3818,133,330,238,287,456,416,141,274,652,2918,4036,12833,10990,13420,21499,15748,8575,10797,1459,99359
69799,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,6,3,0,3,3,3,28,0,55
69499,11,61,37,35,35,41,19,36,4,285,39,62,46,46,62,77,29,60,112,521,518,1460,963,1119,1132,1653,727,1317,250,9138
5RWAU,329,1043,776,889,1349,1559,905,1971,139,8959,619,1045,606,716,1018,1411,666,2500,2184,10768,14558,24578,19742,23985,31821,33909,25634,80488,5392,260110
5GPER,887,4638,3587,3902,6982,6557,3222,4500,325,34600,1221,4199,3040,2907,6333,7754,2884,5058,6192,39585,28950,106321,89921,93327,161127,162834,80183,113933,13567,850156
59799,3,0,0,0,0,0,0,4,0,9,19,3,4,0,3,12,9,180,15,231,169,39,16,21,31,37,35,1221,31,1595
59499,92,553,293,322,248,323,159,358,24,2369,265,423,262,274,305,486,154,492,512,3179,3490,7379,5206,6234,5877,9740,4131,11075,1251,54379
4RSAU,163,765,462,638,983,946,513,767,56,5283,244,558,329,390,633,623,270,574,1181,4805,6372,18744,15222,19158,24285,21421,13529,26510,2889,148135
4GADE,596,2871,2292,2815,5126,3745,2178,2565,212,22402,592,2011,1337,1659,3301,2558,1070,1784,3657,17961,19955,70962,58272,73823,124338,87703,52080,64808,8370,560314
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3,3,8,4,5,19,0,64
49499,73,316,149,205,177,214,77,137,18,1372,139,243,123,152,174,183,64,183,265,1524,1810,5453,3687,4687,4521,5944,2625,4871,699,34311
3RQLD,990,5151,3801,4842,7708,6970,3807,6188,447,39904,1449,4217,2933,3692,6100,6386,2596,6001,8489,41868,34323,112218,93482,126686,183316,154965,92147,177902,18887,993929
3GBRI,954,4618,3900,4643,8382,7151,3942,5279,394,39269,1162,3920,3145,3483,7790,7919,2772,5598,7963,43743,33245,110101,98511,117930,215168,193971,99981,151886,17105,1037906
39799,0,4,0,0,0,0,0,0,0,5,4,0,0,0,0,3,0,6,0,12,24,7,3,7,12,17,15,114,11,202
39499,171,807,431,565,511,663,287,714,59,4210,353,714,471,508,635,790,285,840,974,5565,4786,12934,9263,11584,11806,17969,8835,19254,2402,98838
2RVIC,622,2929,2045,2412,4073,3888,1846,2746,259,20822,1021,2409,1627,1756,3088,3322,1220,2522,5045,22016,23975,76639,62259,71728,95934,92074,49555,81275,11544,564981
2GMEL,1705,9304,7939,8068,15527,13841,6818,9262,829,73291,2640,9534,7980,7663,17992,18549,6151,10566,19024,100092,61696,235746,211657,219347,399039,414394,192240,273794,38241,2046169
29799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,8,3,17,22,8,9,3,11,15,13,80,9,157
29499,176,872,489,554,481,708,281,528,49,4129,487,873,595,557,835,1141,311,727,1315,6844,5166,16556,12061,13726,15284,26496,9591,17035,3122,119032
1RNSW,1050,5021,3990,4280,8024,7493,3928,6119,438,40340,1498,4036,2818,3115,5627,5773,2214,4238,8778,38091,37214,125022,108538,126216,188464,163788,86924,149363,19900,1005433
