GCCSA_CODE_2016,Tot_1750_1999_A_55_64,Tot_1750_1999_A_65_74,Tot_1750_1999_A_75ov,Tot_1750_1999_Tot,Tot_2000_2999_A_15_19,Tot_2000_2999_A_20_24,Tot_2000_2999_A_25_34,Tot_2000_2999_A_35_44,Tot_2000_2999_A_45_54,Tot_2000_2999_A_55_64,Tot_2000_2999_A_65_74,Tot_2000_2999_A_75ov,Tot_2000_2999_Tot,Tot_3000mo_A_15_19,Tot_3000mo_A_20_24,Tot_3000mo_A_25_34,Tot_3000mo_A_35_44,Tot_3000mo_A_45_54,Tot_3000mo_A_55_64,Tot_3000mo_A_65_74,Tot_3000mo_A_75ov,Tot_3000mo_Tot,Tot_PINS_A_15_19,Tot_PINS_A_20_24,Tot_PINS_A_25_34,Tot_PINS_A_35_44,Tot_PINS_A_45_54,Tot_PINS_A_55_64,Tot_PINS_A_65_74,Tot_PINS_A_75ov,Tot_PINS_Tot,Tot_Tot_A_15_19,Tot_Tot_A_20_24,Tot_Tot_A_25_34,Tot_Tot_A_35_44,Tot_Tot_A_45_54,Tot_Tot_A_55_64,Tot_Tot_A_65_74,Tot_Tot_A_75ov,Tot_Tot_Tot
9OTER,40,11,0,200,0,9,49,67,69,58,19,0,268,0,0,22,28,40,24,9,0,120,0,3,4,14,11,7,3,0,45,75,161,468,562,617,551,220,35,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,9,0,3,3,0,5,3,0,0,17,0,0,7,14,8,6,0,0,27,0,0,0,0,0,0,0,0,0,0,7,26,23,33,17,4,0,118
8ACTE,2415,407,38,17666,10,103,6092,12353,11742,5722,823,56,36899,11,46,1276,4406,5828,3474,656,61,15747,178,258,523,475,459,262,86,23,2262,11188,21565,54877,51950,46795,27483,6119,665,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,62,12,0,351,0,3,104,148,104,58,8,0,436,7,0,39,78,70,31,14,0,238,7,21,30,19,32,7,3,0,115,410,847,1681,1424,1278,896,251,32,6819
7RNTE,608,92,3,2526,6,58,860,1047,1067,779,114,13,3945,4,15,172,376,472,300,71,5,1418,60,95,234,203,195,145,47,8,985,1399,2743,8444,7157,7331,5401,1254,134,33860
7GDAR,903,142,11,5892,9,155,2357,2926,2607,1538,234,17,9833,3,86,1248,1830,1766,1089,184,18,6214,67,128,269,262,237,147,45,0,1162,3151,6627,19490,16593,14668,9341,2064,196,72120
79799,0,3,0,16,0,0,12,3,7,4,0,0,20,0,0,5,6,8,7,0,0,33,0,0,0,0,0,0,0,0,3,0,3,30,18,24,22,3,0,91
79499,24,7,0,296,0,17,173,127,111,66,8,0,499,0,13,133,84,54,36,4,0,319,5,12,16,24,16,22,3,0,89,110,266,1013,837,761,546,126,20,3679
