GCCSA_CODE_2016,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
69499,0,0,0,0,3,78,61,11,12,159,146,136,12,18,314,445,211,27,22,712,540,272,50,21,882,596,274,60,22,957,474,300,39,18,836,532,348,53,19,948,605,426,60,37,1126,590,426,59,28,1099,489,478,70,18,1050,298,418,57,19,790,81,168,24,6,278,15,56,7,13,85,12,28,4,7,54,4823,3543,518,250,9138
5RWAU,20,18,9,10,53,2103,986,173,206,3469,3614,7177,407,401,11592,12152,4371,766,514,17799,19638,4771,1564,489,26469,21041,6336,2038,564,29983,19078,6690,1531,488,27785,20657,7286,1365,560,29859,21819,7242,1509,595,31158,20599,6650,1637,560,29441,17252,6541,1676,455,25923,10280,5576,1238,315,17407,3858,3211,519,179,7772,1203,1532,210,114,3060,675,931,120,150,1873,171856,68305,14558,5392,260110
5GPER,10,41,4,11,62,5169,2907,294,474,8839,7453,34692,1361,1002,44502,40154,38333,2299,1892,82678,68005,25537,3508,1865,98911,70847,26759,4769,1643,104020,60955,26847,3392,1348,92551,61543,27729,2320,1294,92886,63696,26724,2303,1294,94015,58246,23812,2502,1073,85632,46542,21862,2624,888,71916,27958,19023,2213,591,49780,9709,11371,1120,315,22505,2169,4632,358,181,7342,797,2261,178,187,3420,518078,289570,28950,13567,850156
59799,0,0,0,0,0,6,0,3,0,8,9,8,0,0,12,37,0,0,3,42,131,10,10,3,155,199,7,29,5,244,190,16,24,0,223,192,10,14,8,229,175,11,29,4,216,185,10,32,0,230,131,3,19,0,154,54,3,3,0,62,9,0,0,0,17,3,0,0,0,3,4,0,0,0,4,1321,74,169,31,1595
59499,3,3,0,0,9,376,231,45,47,694,951,905,75,74,2008,2982,1814,248,133,5176,4302,1729,395,141,6570,4139,1720,436,163,6450,3502,1739,369,139,5751,3516,1958,327,121,5924,3585,2080,347,122,6135,3293,2041,361,121,5820,2462,1898,368,93,4818,1433,1633,339,68,3476,489,877,151,30,1547,116,300,48,12,474,51,125,37,22,229,30819,18821,3490,1251,54379
4RSAU,12,15,3,12,42,1291,871,112,117,2389,1871,5820,311,269,8269,6860,4191,475,259,11785,8458,3490,644,240,12832,8195,4229,689,262,13381,7949,4480,485,207,13128,9595,4927,475,250,15242,11033,5497,532,276,17337,11053,5481,650,278,17464,10053,5610,771,257,16699,6694,4657,702,192,12251,2544,2680,372,128,5725,868,1262,143,100,2375,573,799,109,162,1643,85739,53128,6372,2889,148135
4GADE,12,47,6,16,83,3687,2339,200,354,6579,3518,22584,908,612,27618,22913,27144,1585,1112,52755,38708,17195,2320,1065,59285,40804,18454,3424,975,63656,37302,18633,2314,782,59026,39636,19305,1535,741,61219,42388,19132,1475,827,63820,40335,17873,1783,692,60682,34212,16817,1952,532,53520,20435,13613,1536,443,36022,6560,7770,754,243,15333,1502,3089,233,147,4975,632,1446,136,192,2404,328932,203055,19955,8370,560314
49799,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,4,0,0,0,4,4,0,3,0,9,8,3,0,0,10,9,3,0,0,13,10,0,6,0,12,0,0,0,0,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,11,14,0,64
49499,0,0,0,3,8,244,213,30,23,518,470,511,60,41,1086,1725,1190,156,80,3144,2195,1109,172,79,3556,2106,1075,183,72,3437,1813,1113,165,64,3157,2086,1351,166,76,3675,2253,1570,189,69,4075,2138,1749,186,64,4135,1711,1724,209,63,3712,996,1375,195,32,2598,351,699,92,21,1166,80,266,24,13,375,40,99,19,24,185,17971,13830,1810,699,34311
3RQLD,40,55,6,30,137,7523,4292,473,766,13046,14285,45604,2045,1715,63651,52781,33341,2552,2107,90780,66519,25939,4074,1951,98476,66973,28379,4822,1816,101994,64499,29963,3302,1708,99471,73499,32581,2792,1934,110802,77268,31948,2834,1888,113926,73279,30440,3335,1613,108679,61409,28741,3596,1448,95195,37205,23296,2878,1070,64452,13896,13337,1315,666,29216,4398,5836,485,392,11110,2328,2981,290,578,6175,608327,332386,34323,18887,993929
3GBRI,18,42,4,20,93,6798,3456,330,740,11328,10435,44543,1706,1427,58115,54471,47068,2737,2305,106584,81905,30453,4018,2242,118616,86059,30074,5961,1948,124043,79744,30153,4086,1700,115686,84257,31236,2646,1726,119865,83127,29196,2486,1657,116461,74335,25195,2783,1350,103659,58080,22948,2983,1082,85101,33611,18435,2338,744,55135,11316,10896,1059,388,23661,2707,4380,302,213,7599,965,1963,146,312,3393,661012,326539,33245,17105,1037906
39799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,9,3,0,5,16,11,0,0,0,19,21,0,5,0,20,12,3,0,0,17,29,0,4,0,34,17,0,6,0,24,12,0,3,0,23,22,0,0,0,22,14,0,0,0,14,3,0,0,0,3,3,0,0,0,4,0,0,0,0,0,150,14,24,11,202
39499,3,9,0,4,17,742,478,63,92,1374,1782,1914,175,159,4033,5549,2936,332,281,9101,7108,2726,463,247,10550,7129,2816,539,251,10739,6545,2914,458,244,10166,7270,3557,474,279,11585,7069,3729,487,241,11524,6191,3898,514,223,10824,4943,3726,538,145,9359,2974,3183,420,158,6738,981,1596,236,80,2889,224,564,92,45,924,90,225,52,47,410,57869,33784,4786,2402,98838
2RVIC,38,58,10,35,142,4376,3066,339,499,8284,6959,25680,1406,1191,35239,26764,20190,1738,1397,50098,34567,13862,2252,1009,51688,31996,16155,2886,891,51927,30886,17639,2065,868,51465,35971,20116,1715,988,58789,39682,20680,1786,1007,63159,40399,20573,2395,1033,64406,36068,21170,2883,1008,61124,22436,18049,2637,821,43943,8345,9874,1366,477,20066,2814,4051,469,333,7664,1956,2584,361,511,5409,318846,210626,23975,11544,564981
2GMEL,54,97,15,49,211,13600,7225,661,1520,23007,10916,68959,2667,2363,84903,85351,98606,4747,5125,193831,177159,63658,7013,5481,253308,188800,61164,11723,4803,266488,162572,62491,8649,3842,237556,157001,65277,5199,3595,231064,155854,62908,4464,3586,226813,138809,54201,4618,3190,200809,109814,49140,4924,2481,166361,63180,40748,4276,1705,109905,22148,24482,2177,925,49734,5631,10138,818,504,17088,2242,4972,438,638,8290,1279472,666757,61696,38241,2046169
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,3,3,0,0,7,10,0,0,0,16,11,0,3,0,14,21,3,0,0,28,23,0,3,0,26,15,6,6,0,29,16,0,9,3,22,8,0,0,0,9,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,107,24,22,9,157
29499,3,7,0,4,14,904,558,69,111,1652,2090,1951,197,184,4421,7202,4104,455,396,12150,9161,3749,540,390,13839,8791,3633,614,357,13394,7703,3613,490,319,12119,8093,4246,447,299,13090,8069,4782,474,318,13644,6959,4668,556,274,12459,5753,4536,542,221,11054,3074,3861,462,174,7571,1082,2040,222,80,3430,288,791,103,61,1240,139,351,60,61,612,68402,42343,5166,3122,119032
1RNSW,81,86,11,61,236,7758,5073,536,827,14201,14446,43617,2584,1956,62596,48171,35258,2897,2388,88710,61359,25815,3944,1807,92925,59707,29083,4822,1703,95320,58782,30773,3204,1611,94370,69230,34177,2650,1775,107824,74276,34045,2776,1829,112935,74530,35153,3448,1768,114900,66501,35410,4446,1615,107973,39026,29082,3575,1237,72927,14417,16031,1718,784,32947,4889,7118,669,535,13210,3214,4211,471,894,8796,588547,359780,37214,19900,1005433
1GSYD,40,96,18,41,191,14808,6945,636,1688,24084,17682,68525,3588,2656,92447,102867,93931,4989,5842,207624,194506,62284,7393,6052,270232,208389,61230,11969,5553,287137,186426,61974,8787,4576,261759,180944,63193,5227,3995,253360,169829,58394,4133,3896,236247,155789,53224,4577,3615,217212,124880,48608,4967,2735,181188,70933,40810,4023,1921,117689,26571,25600,2207,978,55355,6945,11397,800,479,19621,2582,5807,452,571,9410,1448345,654965,63108,42877,2209294
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,10,9,0,0,0,13,9,0,0,0,9,3,0,0,0,4,10,0,3,0,9,3,3,3,0,11,5,4,3,0,14,3,0,3,0,10,3,0,0,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,52,18,9,0,86
19499,6,12,0,7,26,1047,679,91,140,1954,3060,2653,235,259,6211,7947,4758,558,501,13764,9593,4190,585,433,14801,9763,4303,638,410,15118,9328,4434,553,326,14642,9854,5299,518,347,16014,9568,5621,557,396,16146,9145,6045,670,362,16224,7214,5963,690,298,14163,4163,4742,567,196,9670,1500,2490,310,117,4420,359,970,117,57,1508,128,389,76,98,690,81623,51874,6077,3799,143365
