GCCSA_CODE_2016,Tot_65_69_HW_0,Tot_65_69_HW_1_15,Tot_65_69_HW_16_24,Tot_65_69_HW_25_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40,Tot_65_69_HW_41_48,Tot_65_69_HW_49mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_15,Tot_70_74_HW_16_24,Tot_70_74_HW_25_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40,Tot_70_74_HW_41_48,Tot_70_74_HW_49mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_15,Tot_75ov_HW_16_24,Tot_75ov_HW_25_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40,Tot_75ov_HW_41_48,Tot_75ov_HW_49mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_15,Tot_Tot_HW_16_24,Tot_Tot_HW_25_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40,Tot_Tot_HW_41_48,Tot_Tot_HW_49mor,Tot_Tot_HW_NS,Tot_Tot_Tot
9OTER,7,24,9,20,36,24,14,30,6,167,0,13,4,0,10,7,5,7,0,54,0,11,3,5,0,0,0,10,3,35,168,227,177,244,591,410,319,476,75,2692
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,6,7,4,22,4,31,6,118
8ACTE,273,908,618,568,737,663,311,543,65,4678,76,413,232,171,149,149,71,136,38,1437,46,250,80,66,49,60,17,46,54,665,9400,20817,17216,21210,51430,44853,23317,29131,3274,220648
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,12,54,30,31,17,31,12,12,0,199,4,22,6,4,0,3,4,4,5,53,4,15,3,0,0,0,0,0,4,32,317,1019,574,655,860,1521,641,1078,159,6819
7RNTE,56,88,105,77,166,149,73,215,25,958,11,52,22,29,45,37,17,63,14,297,6,26,15,10,12,10,10,25,14,134,1624,2092,1896,2756,7321,6158,3104,7840,1066,33860
7GDAR,85,182,145,164,318,257,99,320,35,1601,24,95,50,48,68,66,29,72,18,464,9,52,17,28,24,21,9,27,10,196,3120,4532,4397,5589,15030,13257,7309,17315,1567,72120
79799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,4,4,7,60,3,91
79499,12,18,10,3,6,16,4,22,3,98,7,12,4,0,3,0,6,4,0,29,4,0,0,3,0,4,0,3,0,20,334,295,225,297,357,561,299,1194,108,3679
6RTAS,236,847,523,444,344,377,166,488,85,3501,65,414,204,150,63,126,57,180,64,1325,49,231,125,99,38,66,41,104,70,828,4661,14312,12074,14180,19825,15988,9346,14412,2013,106812
6GHOB,122,707,465,339,353,279,134,299,55,2761,62,326,144,91,62,67,35,61,20,872,24,176,61,52,24,19,21,21,51,453,4036,12833,10990,13420,21499,15748,8575,10797,1459,99359
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,3,3,3,28,0,55
69499,24,83,51,32,13,25,7,29,6,278,7,22,17,15,3,5,0,7,13,85,4,20,7,3,4,3,0,3,7,54,518,1460,963,1119,1132,1653,727,1317,250,9138
5RWAU,519,1459,953,803,679,867,531,1786,179,7772,210,742,428,359,150,289,157,608,114,3060,120,446,245,243,89,204,78,303,150,1873,14558,24578,19742,23985,31821,33909,25634,80488,5392,260110
5GPER,1120,4793,3715,2865,3059,2822,1421,2401,315,22505,358,2386,1317,928,587,673,300,609,181,7342,178,1286,610,356,189,256,125,228,187,3420,28950,106321,89921,93327,161127,162834,80183,113933,13567,850156
