GCCSA_CODE_2016,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20more_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20more_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
9OTER,7,0,0,0,8,159,96,0,9,272
99799,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,5,5,0,0,11
8ACTE,280,43,5,4,334,5910,1547,194,63,7719
89799,0,0,0,0,0,0,0,0,0,0
89499,43,7,0,0,45,1350,171,4,11,1534
7RNTE,50,6,0,3,65,848,263,14,40,1171
7GDAR,108,30,0,5,147,2241,678,42,55,3025
79799,0,0,0,0,0,5,0,0,0,4
79499,27,5,0,0,29,627,98,0,13,736
6RTAS,232,54,0,12,300,6196,2818,100,180,9298
6GHOB,213,58,3,8,288,5165,1723,133,68,7088
69799,0,0,0,0,0,0,0,0,0,0
69499,80,10,0,3,90,2396,362,3,56,2817
5RWAU,562,197,10,33,799,12319,6863,165,404,19759
5GPER,2541,554,33,69,3199,41761,12505,1004,500,55775
59799,3,0,0,0,3,16,6,0,0,23
59499,558,48,0,8,616,13864,2145,26,218,16256
4RSAU,360,117,0,15,490,10123,5660,141,350,16276
4GADE,1338,228,7,46,1625,27982,8021,615,444,37067
49799,0,0,0,0,0,5,0,0,0,4
49499,326,20,0,10,359,10129,1279,14,174,11595
3RQLD,3085,706,18,81,3885,56109,19703,687,1187,77688
3GBRI,2472,429,25,56,2987,44629,11884,1066,583,58164
39799,0,0,0,0,0,11,5,0,0,15
39499,882,86,3,25,995,23510,3449,29,360,27349
2RVIC,1611,346,10,78,2043,35308,13934,419,1068,50732
2GMEL,5425,887,50,139,6500,94021,22531,2077,1306,119940
29799,0,0,0,0,0,4,0,0,0,4
29499,953,80,4,28,1068,29383,3988,45,569,33984
1RNSW,2659,602,22,120,3406,63033,26191,815,1777,91812
1GSYD,5675,899,51,135,6755,102060,26673,2499,1251,132483
19799,0,0,0,0,0,16,3,0,0,16
19499,1157,129,3,35,1319,36345,4957,45,606,41954
