GCCSA_CODE_2016,TaTW_2000_2999_A_45_54,TaTW_2000_2999_A_55_64,TaTW_2000_2999_A_65_74,TaTW_2000_2999_A_75ov,TaTW_2000_2999_Tot,TaTW_3000mo_A_15_19,TaTW_3000mo_A_20_24,TaTW_3000mo_A_25_34,TaTW_3000mo_A_35_44,TaTW_3000mo_A_45_54,TaTW_3000mo_A_55_64,TaTW_3000mo_A_65_74,TaTW_3000mo_A_75ov,TaTW_3000mo_Tot,TaTW_PINS_A_15_19,TaTW_PINS_A_20_24,TaTW_PINS_A_25_34,TaTW_PINS_A_35_44,TaTW_PINS_A_45_54,TaTW_PINS_A_55_64,TaTW_PINS_A_65_74,TaTW_PINS_A_75ov,TaTW_PINS_Tot,TaTW_Tot_A_15_19,TaTW_Tot_A_20_24,TaTW_Tot_A_25_34,TaTW_Tot_A_35_44,TaTW_Tot_A_45_54,TaTW_Tot_A_55_64,TaTW_Tot_A_65_74,TaTW_Tot_A_75ov,TaTW_Tot_Tot,CoPSW_NNI_A_15_19,CoPSW_NNI_A_20_24,CoPSW_NNI_A_25_34,CoPSW_NNI_A_35_44,CoPSW_NNI_A_45_54,CoPSW_NNI_A_55_64,CoPSW_NNI_A_65_74,CoPSW_NNI_A_75ov,CoPSW_NNI_Tot,CoPSW_1_149_A_15_19,CoPSW_1_149_A_20_24,CoPSW_1_149_A_25_34,CoPSW_1_149_A_35_44,CoPSW_1_149_A_45_54,CoPSW_1_149_A_55_64,CoPSW_1_149_A_65_74,CoPSW_1_149_A_75ov,CoPSW_1_149_Tot,CoPSW_150_299_A_15_19,CoPSW_150_299_A_20_24,CoPSW_150_299_A_25_34,CoPSW_150_299_A_35_44,CoPSW_150_299_A_45_54,CoPSW_150_299_A_55_64,CoPSW_150_299_A_65_74,CoPSW_150_299_A_75ov,CoPSW_150_299_Tot,CoPSW_300_399_A_15_19,CoPSW_300_399_A_20_24,CoPSW_300_399_A_25_34,CoPSW_300_399_A_35_44,CoPSW_300_399_A_45_54,CoPSW_300_399_A_55_64,CoPSW_300_399_A_65_74,CoPSW_300_399_A_75ov,CoPSW_300_399_Tot,CoPSW_400_499_A_15_19,CoPSW_400_499_A_20_24,CoPSW_400_499_A_25_34,CoPSW_400_499_A_35_44,CoPSW_400_499_A_45_54,CoPSW_400_499_A_55_64,CoPSW_400_499_A_65_74,CoPSW_400_499_A_75ov,CoPSW_400_499_Tot,CoPSW_500_649_A_15_19,CoPSW_500_649_A_20_24,CoPSW_500_649_A_25_34,CoPSW_500_649_A_35_44,CoPSW_500_649_A_45_54,CoPSW_500_649_A_55_64,CoPSW_500_649_A_65_74,CoPSW_500_649_A_75ov,CoPSW_500_649_Tot,CoPSW_650_799_A_15_19,CoPSW_650_799_A_20_24,CoPSW_650_799_A_25_34,CoPSW_650_799_A_35_44,CoPSW_650_799_A_45_54,CoPSW_650_799_A_55_64,CoPSW_650_799_A_65_74,CoPSW_650_799_A_75ov,CoPSW_650_799_Tot,CoPSW_800_999_A_15_19,CoPSW_800_999_A_20_24,CoPSW_800_999_A_25_34,CoPSW_800_999_A_35_44,CoPSW_800_999_A_45_54,CoPSW_800_999_A_55_64,CoPSW_800_999_A_65_74,CoPSW_800_999_A_75ov,CoPSW_800_999_Tot,CoPSW_1000_1249_A_15_19,CoPSW_1000_1249_A_20_24,CoPSW_1000_1249_A_25_34,CoPSW_1000_1249_A_35_44,CoPSW_1000_1249_A_45_54,CoPSW_1000_1249_A_55_64,CoPSW_1000_1249_A_65_74,CoPSW_1000_1249_A_75ov,CoPSW_1000_1249_Tot,CoPSW_1250_1499_A_15_19,CoPSW_1250_1499_A_20_24,CoPSW_1250_1499_A_25_34,CoPSW_1250_1499_A_35_44,CoPSW_1250_1499_A_45_54,CoPSW_1250_1499_A_55_64,CoPSW_1250_1499_A_65_74,CoPSW_1250_1499_A_75ov,CoPSW_1250_1499_Tot,CoPSW_1500_1749_A_15_19,CoPSW_1500_1749_A_20_24,CoPSW_1500_1749_A_25_34,CoPSW_1500_1749_A_35_44,CoPSW_1500_1749_A_45_54,CoPSW_1500_1749_A_55_64,CoPSW_1500_1749_A_65_74,CoPSW_1500_1749_A_75ov,CoPSW_1500_1749_Tot,CoPSW_1750_1999_A_15_19,CoPSW_1750_1999_A_20_24,CoPSW_1750_1999_A_25_34,CoPSW_1750_1999_A_35_44,CoPSW_1750_1999_A_45_54,CoPSW_1750_1999_A_55_64,CoPSW_1750_1999_A_65_74,CoPSW_1750_1999_A_75ov,CoPSW_1750_1999_Tot,CoPSW_2000_2999_A_15_19,CoPSW_2000_2999_A_20_24,CoPSW_2000_2999_A_25_34,CoPSW_2000_2999_A_35_44,CoPSW_2000_2999_A_45_54,CoPSW_2000_2999_A_55_64,CoPSW_2000_2999_A_65_74,CoPSW_2000_2999_A_75ov,CoPSW_2000_2999_Tot,CoPSW_3000mo_A_15_19,CoPSW_3000mo_A_20_24,CoPSW_3000mo_A_25_34,CoPSW_3000mo_A_35_44,CoPSW_3000mo_A_45_54,CoPSW_3000mo_A_55_64,CoPSW_3000mo_A_65_74,CoPSW_3000mo_A_75ov,CoPSW_3000mo_Tot,CoPSW_PINS_A_15_19,CoPSW_PINS_A_20_24,CoPSW_PINS_A_25_34,CoPSW_PINS_A_35_44,CoPSW_PINS_A_45_54,CoPSW_PINS_A_55_64,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64
9OTER,9,13,6,0,47,0,0,3,6,3,3,4,0,13,0,0,3,7,3,0,0,0,12,7,15,72,89,119,93,33,3,435,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,14,8,3,3,3,3,0,0,0,20,0,0,10,4,5,0,3,0,27,4,5,4,4,3,3,0,0,26,3,0,6,5,7,5,3,0,33,0,6,16,11,8,7,0,0,46,0,4,11,11,8,8,3,0,45,0,5,11,10,12,8,0,0,47,0,4,16,9,7,3,0,0,39,0,0,12,9,6,8,0,0,30,0,3,8,6,9,9,0,0,27,0,0,8,7,7,4,0,0,31,0,0,3,0,4,0,0,0,14,0,0,0,3,3,0,0,0,7,21,32,106,89,92,61,14,0,410,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,3,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,382,200,34,3,1301,0,5,54,107,105,62,7,0,338,18,41,50,43,49,20,6,0,232,834,2544,5671,3973,3380,1911,420,36,18788,48,23,20,14,12,11,3,0,126,1255,330,96,67,50,15,8,4,1821,637,767,228,119,97,70,15,0,1932,269,642,287,167,141,80,23,0,1615,217,603,353,211,159,118,29,5,1695,190,655,590,357,316,186,61,3,2353,144,664,764,481,421,254,57,3,2782,72,525,886,576,539,350,69,4,3017,20,304,801,561,465,314,65,0,2527,6,112,477,315,279,182,41,3,1416,0,49,355,316,259,145,22,3,1155,3,11,188,253,227,87,23,0,784,0,7,161,492,452,172,21,0,1308,0,10,36,70,103,37,8,0,271,45,52,34,35,38,22,4,0,233,2903,4757,5271,4021,3556,2046,451,30,23029,3,10,17,28,22,18,7,4,103,104,91,53,39,32,24,11,0,344,124,202,78,85,70,75
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89499,32,19,0,0,134,0,0,9,15,14,3,0,0,43,4,4,15,6,9,0,0,0,40,132,368,730,561,407,271,63,5,2538,4,0,0,0,0,0,0,0,11,58,16,6,3,8,0,0,0,95,16,26,12,6,0,5,0,0,72,8,17,6,13,9,10,4,0,68,9,16,7,9,5,18,3,0,64,0,13,21,11,17,21,3,0,99,0,13,20,11,13,16,0,0,82,3,13,13,21,20,9,0,0,81,0,12,18,14,19,14,3,0,75,0,0,4,5,3,3,0,3,27,0,0,8,7,3,8,0,0,27,0,0,0,6,0,0,0,0,15,0,0,7,17,5,3,0,0,36,3,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,104,129,145,129,111,110,20,3,762,0,0,3,4,0,0,0,0,11,3,6,5,3,0,0,0,0,19,3,5,0,3,3,3
7RNTE,200,101,13,0,744,0,3,52,88,93,47,6,0,289,3,8,21,19,15,24,3,0,94,151,468,1284,979,941,618,135,14,4586,8,3,6,8,0,0,0,0,30,53,4,33,22,15,3,0,3,135,34,45,92,68,63,24,10,0,337,18,34,63,51,49,30,11,0,248,17,39,76,73,63,40,9,0,311,25,64,151,131,111,52,12,0,559,37,109,171,110,105,69,18,0,618,16,81,232,142,104,81,23,3,684,5,55,206,144,145,113,20,0,692,3,31,150,110,127,90,16,3,533,3,20,105,93,71,51,3,0,345,0,15,66,62,62,31,3,0,243,0,3,93,129,110,53,9,0,392,0,0,3,32,29,11,0,0,77,12,18,47,33,39,29,3,0,174,237,517,1499,1206,1091,688,137,13,5377,3,4,4,3,4,7,0,0,28,10,0,9,6,3,6,3,0,33,3,8,23,23,9,17
7GDAR,490,233,35,0,2055,0,52,614,585,485,260,22,0,2014,3,24,59,42,46,29,5,0,216,428,1275,4022,3007,2485,1393,249,24,12881,16,7,16,5,3,4,0,0,49,167,18,32,19,11,4,3,0,250,87,43,56,51,15,15,3,0,270,46,77,96,50,32,22,6,0,325,31,98,143,68,42,34,8,0,437,46,133,207,133,84,58,10,0,677,60,208,327,136,133,75,16,0,950,47,315,425,246,195,125,18,0,1376,22,274,482,301,169,138,18,0,1407,12,174,310,212,151,95,24,0,979,6,56,235,192,124,60,16,0,681,0,18,121,156,105,44,5,0,450,0,3,131,231,215,47,0,0,634,0,3,30,64,65,15,3,0,182,12,14,32,24,18,8,7,0,104,543,1441,2638,1877,1373,744,136,9,8762,4,6,12,15,10,9,0,0,56,29,9,7,8,6,4,3,0,69,39,14,29,22,17,22
79799,0,0,0,0,5,0,0,3,5,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,7,5,3,11,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79499,42,21,4,0,230,0,10,86,42,22,18,0,0,187,0,0,6,14,6,12,0,0,36,31,100,447,314,231,158,20,5,1305,0,0,4,3,0,0,0,0,8,4,0,5,0,0,0,0,0,14,3,4,6,3,0,0,0,0,14,0,0,0,4,4,3,0,3,14,3,0,8,0,0,3,7,0,20,0,4,3,6,8,8,6,0,34,0,9,10,5,14,3,0,0,32,0,4,10,9,8,12,3,0,49,0,8,20,4,8,6,0,0,42,0,0,0,3,3,3,0,0,17,0,0,10,3,3,3,0,0,17,0,0,3,8,4,0,0,0,15,0,0,4,9,6,3,0,0,20,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,13,31,76,57,55,44,14,3,292,0,0,0,0,3,0,0,0,5,0,0,0,3,0,4,0,0,8,0,0,0,4,3,0
