GCCSA_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
9OTER,469,393,435,410,291,134,165,319,76,2692
99799,0,0,0,0,0,0,0,0,0,0
99499,26,33,18,3,7,3,3,6,9,118
8ACTE,36204,67768,18788,23029,39535,14959,4730,10054,5577,220648
89799,0,0,0,0,0,0,0,0,0,0
89499,480,850,2538,762,294,272,401,1050,178,6819
7RNTE,3974,7422,4586,5377,3809,1827,2230,3535,1092,33860
7GDAR,8887,14170,12881,8762,10465,5200,4113,6198,1447,72120
79799,8,19,31,0,0,0,4,25,3,91
79499,234,367,1305,292,186,114,362,690,123,3679
6RTAS,14349,17123,14632,12686,12590,11068,8054,14509,1814,106812
6GHOB,11198,22732,12406,12902,15242,9933,4552,8669,1714,99359
69799,3,10,8,3,0,0,5,23,0,55
69499,790,674,2961,1049,266,353,932,1892,217,9138
5RWAU,35425,36219,52466,22905,25627,17712,33319,31816,4628,260110
5GPER,101440,196907,117361,95355,122850,82462,49257,70952,13568,850156
59799,89,301,531,41,30,0,188,379,35,1595
59499,2643,4577,20738,4549,2026,2034,5905,10798,1106,54379
4RSAU,25947,19467,19739,16421,15237,13557,12171,23227,2372,148135
4GADE,65560,127823,67496,69061,82840,56532,30573,51970,8460,560314
49799,3,12,14,3,0,0,7,19,0,64
49499,2139,3071,12101,3898,1273,1496,2402,7300,627,34311
3RQLD,123531,169190,145977,119190,128268,103913,75491,112717,15647,993929
3GBRI,127449,244906,122606,114864,159172,99241,62035,90915,16720,1037906
39799,9,53,36,15,13,3,14,52,4,202
39499,6495,8918,34854,7958,3721,4424,8983,21381,2113,98838
2RVIC,84419,101273,75869,68231,65060,57511,34661,68914,9043,564981
2GMEL,277160,521915,235149,209956,293397,202783,114969,155687,35158,2046169
29799,6,14,67,0,0,3,25,34,4,157
29499,7931,11580,45842,10740,4300,5053,8963,22073,2557,119032
1RNSW,132882,183276,139146,122830,126761,101526,70469,112346,16195,1005433
1GSYD,310321,595723,236757,213041,330792,202837,121740,155481,42593,2209294
19799,3,19,18,11,3,0,3,30,0,86
19499,9958,14164,50062,12664,5611,6003,13373,28442,3084,143365
