LGA_NAME16	Occupation	OccupationSubtype	workers
Albury (C)			380
Albury (C)	Clerical and administrative workers	Clerical and administrative workers nfd	7
Albury (C)	Clerical and administrative workers	Clerical and office support workers	157
Albury (C)	Clerical and administrative workers	General clerical workers	933
Albury (C)	Clerical and administrative workers	Inquiry clerks and receptionists	740
Albury (C)	Clerical and administrative workers	Numerical clerks	713
Albury (C)	Clerical and administrative workers	Office managers and program administrators	596
Albury (C)	Clerical and administrative workers	Other clerical and administrative workers	450
Albury (C)	Clerical and administrative workers	Personal assistants and secretaries	165
Albury (C)	Community and personal service workers	Carers and aides	1358
Albury (C)	Community and personal service workers	Health and welfare support workers	428
Albury (C)	Community and personal service workers	Hospitality workers	758
Albury (C)	Community and personal service workers	Protective service workers	266
Albury (C)	Community and personal service workers	Sports and personal service workers	349
Albury (C)	Labourers	Cleaners and laundry workers	721
Albury (C)	Labourers	Construction and mining labourers	211
Albury (C)	Labourers	Factory process workers	298
Albury (C)	Labourers	Farm forestry and garden workers	97
Albury (C)	Labourers	Food preparation assistants	436
Albury (C)	Labourers	Labourers nfd	45
Albury (C)	Labourers	Other labourers	341
Albury (C)	Machinery operators and drivers	Machine and stationary plant operators	293
Albury (C)	Machinery operators and drivers	Machinery operators and drivers nfd	24
Albury (C)	Machinery operators and drivers	Mobile plant operators	197
Albury (C)	Machinery operators and drivers	Road and rail drivers	712
Albury (C)	Machinery operators and drivers	Storepersons	204
Albury (C)	Managers	Chief executives general managers and legislators	190
Albury (C)	Managers	Farmers and farm managers	79
Albury (C)	Managers	Hospitality retail and service managers	1134
Albury (C)	Managers	Managers nfd	63
Albury (C)	Managers	Specialist managers	1143
Albury (C)	Professionals	Arts and media professionals	145
Albury (C)	Professionals	Business human resource and marketing professionals	1070
Albury (C)	Professionals	Design engineering science and transport professionals	422
Albury (C)	Professionals	Education professionals	1174
Albury (C)	Professionals	Health professionals	1538
Albury (C)	Professionals	Information and Communication Technology ICT professionals	156
Albury (C)	Professionals	Legal social and welfare professionals	400
Albury (C)	Professionals	Professionals nfd	35
Albury (C)	Sales workers	Sales assistants and salespersons	2289
Albury (C)	Sales workers	Sales representatives and agents	405
Albury (C)	Sales workers	Sales support workers	401
Albury (C)	Sales workers	Sales workers nfd	3
Albury (C)	Technicians and trades workers	Automotive and engineering trades workers	805
Albury (C)	Technicians and trades workers	Construction trades workers	536
Albury (C)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	447
Albury (C)	Technicians and trades workers	Engineering ICT and science technicians	373
Albury (C)	Technicians and trades workers	Food trades workers	438
Albury (C)	Technicians and trades workers	Other technicians and trades workers	443
Albury (C)	Technicians and trades workers	Skilled animal and horticultural workers	196
Albury (C)	Technicians and trades workers	Technicians and trades workers nfd	41
Armidale Regional (A)			175
Armidale Regional (A)	Clerical and administrative workers	Clerical and administrative workers nfd	3
Armidale Regional (A)	Clerical and administrative workers	Clerical and office support workers	76
Armidale Regional (A)	Clerical and administrative workers	General clerical workers	401
Armidale Regional (A)	Clerical and administrative workers	Inquiry clerks and receptionists	251
Armidale Regional (A)	Clerical and administrative workers	Numerical clerks	343
Armidale Regional (A)	Clerical and administrative workers	Office managers and program administrators	322
Armidale Regional (A)	Clerical and administrative workers	Other clerical and administrative workers	184
Armidale Regional (A)	Clerical and administrative workers	Personal assistants and secretaries	142
Armidale Regional (A)	Community and personal service workers	Carers and aides	668
Armidale Regional (A)	Community and personal service workers	Health and welfare support workers	225
Armidale Regional (A)	Community and personal service workers	Hospitality workers	351
Armidale Regional (A)	Community and personal service workers	Protective service workers	127
Armidale Regional (A)	Community and personal service workers	Sports and personal service workers	142
Armidale Regional (A)	Labourers	Cleaners and laundry workers	382
Armidale Regional (A)	Labourers	Construction and mining labourers	92
Armidale Regional (A)	Labourers	Factory process workers	133
Armidale Regional (A)	Labourers	Farm forestry and garden workers	349
Armidale Regional (A)	Labourers	Food preparation assistants	220
Armidale Regional (A)	Labourers	Labourers nfd	29
Armidale Regional (A)	Labourers	Other labourers	192
Armidale Regional (A)	Machinery operators and drivers	Machine and stationary plant operators	76
Armidale Regional (A)	Machinery operators and drivers	Machinery operators and drivers nfd	11
Armidale Regional (A)	Machinery operators and drivers	Mobile plant operators	80
Armidale Regional (A)	Machinery operators and drivers	Road and rail drivers	273
Armidale Regional (A)	Machinery operators and drivers	Storepersons	42
Armidale Regional (A)	Managers	Chief executives general managers and legislators	80
Armidale Regional (A)	Managers	Farmers and farm managers	733
Armidale Regional (A)	Managers	Hospitality retail and service managers	513
Armidale Regional (A)	Managers	Managers nfd	23
Armidale Regional (A)	Managers	Specialist managers	565
Armidale Regional (A)	Professionals	Arts and media professionals	57
Armidale Regional (A)	Professionals	Business human resource and marketing professionals	472
Armidale Regional (A)	Professionals	Design engineering science and transport professionals	289
Armidale Regional (A)	Professionals	Education professionals	1245
Armidale Regional (A)	Professionals	Health professionals	612
Armidale Regional (A)	Professionals	Information and Communication Technology ICT professionals	126
Armidale Regional (A)	Professionals	Legal social and welfare professionals	271
Armidale Regional (A)	Professionals	Professionals nfd	70
Armidale Regional (A)	Sales workers	Sales assistants and salespersons	988
Armidale Regional (A)	Sales workers	Sales representatives and agents	148
Armidale Regional (A)	Sales workers	Sales support workers	187
Armidale Regional (A)	Sales workers	Sales workers nfd	4
Armidale Regional (A)	Technicians and trades workers	Automotive and engineering trades workers	260
Armidale Regional (A)	Technicians and trades workers	Construction trades workers	232
Armidale Regional (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	151
Armidale Regional (A)	Technicians and trades workers	Engineering ICT and science technicians	233
Armidale Regional (A)	Technicians and trades workers	Food trades workers	209
Armidale Regional (A)	Technicians and trades workers	Other technicians and trades workers	166
Armidale Regional (A)	Technicians and trades workers	Skilled animal and horticultural workers	164
Armidale Regional (A)	Technicians and trades workers	Technicians and trades workers nfd	14
Ballina (A)			223
Ballina (A)	Clerical and administrative workers	Clerical and office support workers	91
Ballina (A)	Clerical and administrative workers	General clerical workers	378
Ballina (A)	Clerical and administrative workers	Inquiry clerks and receptionists	281
Ballina (A)	Clerical and administrative workers	Numerical clerks	346
Ballina (A)	Clerical and administrative workers	Office managers and program administrators	319
Ballina (A)	Clerical and administrative workers	Other clerical and administrative workers	169
Ballina (A)	Clerical and administrative workers	Personal assistants and secretaries	135
Ballina (A)	Community and personal service workers	Carers and aides	944
Ballina (A)	Community and personal service workers	Health and welfare support workers	245
Ballina (A)	Community and personal service workers	Hospitality workers	442
Ballina (A)	Community and personal service workers	Protective service workers	106
Ballina (A)	Community and personal service workers	Sports and personal service workers	231
Ballina (A)	Labourers	Cleaners and laundry workers	377
Ballina (A)	Labourers	Construction and mining labourers	187
Ballina (A)	Labourers	Factory process workers	179
Ballina (A)	Labourers	Farm forestry and garden workers	344
Ballina (A)	Labourers	Food preparation assistants	279
Ballina (A)	Labourers	Labourers nfd	40
Ballina (A)	Labourers	Other labourers	285
Ballina (A)	Machinery operators and drivers	Machine and stationary plant operators	112
Ballina (A)	Machinery operators and drivers	Machinery operators and drivers nfd	25
Ballina (A)	Machinery operators and drivers	Mobile plant operators	121
Ballina (A)	Machinery operators and drivers	Road and rail drivers	370
Ballina (A)	Machinery operators and drivers	Storepersons	87
Ballina (A)	Managers	Chief executives general managers and legislators	128
Ballina (A)	Managers	Farmers and farm managers	414
Ballina (A)	Managers	Hospitality retail and service managers	748
Ballina (A)	Managers	Managers nfd	28
Ballina (A)	Managers	Specialist managers	646
Ballina (A)	Professionals	Arts and media professionals	98
Ballina (A)	Professionals	Business human resource and marketing professionals	463
Ballina (A)	Professionals	Design engineering science and transport professionals	318
Ballina (A)	Professionals	Education professionals	967
Ballina (A)	Professionals	Health professionals	782
Ballina (A)	Professionals	Information and Communication Technology ICT professionals	48
Ballina (A)	Professionals	Legal social and welfare professionals	278
Ballina (A)	Professionals	Professionals nfd	23
Ballina (A)	Sales workers	Sales assistants and salespersons	1256
Ballina (A)	Sales workers	Sales representatives and agents	237
Ballina (A)	Sales workers	Sales support workers	188
Ballina (A)	Sales workers	Sales workers nfd	7
Ballina (A)	Technicians and trades workers	Automotive and engineering trades workers	349
Ballina (A)	Technicians and trades workers	Construction trades workers	433
Ballina (A)	Technicians and trades workers	Electrotechnology and telecommunications trades workers	208
Ballina (A)	Technicians and trades workers	Engineering ICT and science technicians	217
Ballina (A)	Technicians and trades workers	Food trades workers	313
Ballina (A)	Technicians and trades workers	Other technicians and trades workers	224
Ballina (A)	Technicians and trades workers	Skilled animal and horticultural workers	228
Ballina (A)	Technicians and trades workers	Technicians and trades workers nfd	21
Balranald (A)			21
Balranald (A)	Clerical and administrative workers	Clerical and office support workers	4
Balranald (A)	Clerical and administrative workers	General clerical workers	22
Balranald (A)	Clerical and administrative workers	Inquiry clerks and receptionists	10
Balranald (A)	Clerical and administrative workers	Numerical clerks	17
Balranald (A)	Clerical and administrative workers	Office managers and program administrators	9
Balranald (A)	Clerical and administrative workers	Other clerical and administrative workers	11
Balranald (A)	Clerical and administrative workers	Personal assistants and secretaries	9
Balranald (A)	Community and personal service workers	Carers and aides	33
Balranald (A)	Community and personal service workers	Health and welfare support workers	20
Balranald (A)	Community and personal service workers	Hospitality workers	22
Balranald (A)	Community and personal service workers	Protective service workers	4
Balranald (A)	Community and personal service workers	Sports and personal service workers	4
Balranald (A)	Labourers	Cleaners and laundry workers	34
Balranald (A)	Labourers	Construction and mining labourers	4
Balranald (A)	Labourers	Farm forestry and garden workers	61
Balranald (A)	Labourers	Food preparation assistants	12
Balranald (A)	Labourers	Labourers nfd	5
Balranald (A)	Labourers	Other labourers	19
Balranald (A)	Machinery operators and drivers	Machine and stationary plant operators	13
Balranald (A)	Machinery operators and drivers	Mobile plant operators	23
Balranald (A)	Machinery operators and drivers	Road and rail drivers	38
Balranald (A)	Machinery operators and drivers	Storepersons	4
Balranald (A)	Managers	Chief executives general managers and legislators	3
Balranald (A)	Managers	Farmers and farm managers	129
Balranald (A)	Managers	Hospitality retail and service managers	40
Balranald (A)	Managers	Specialist managers	17
Balranald (A)	Professionals	Business human resource and marketing professionals	7
Balranald (A)	Professionals	Design engineering science and transport professionals	3
Balranald (A)	Professionals	Education professionals	33
Balranald (A)	Professionals	Health professionals	22
Balranald (A)	Professionals	Legal social and welfare professionals	9
Balranald (A)	Sales workers	Sales assistants and salespersons	26
Balranald (A)	Sales workers	Sales support workers	3
Balranald (A)	Technicians and trades workers	Automotive and engineering trades workers	26
Balranald (A)	Technicians and trades workers	Construction trades workers	4
