LGA_NAME16	YearOfArrival.max	workers_born_overseas
Albury (C)	1991	1090
Albury (C)	1995	126
Albury (C)	2000	174
Albury (C)	2005	270
Albury (C)	2010	597
Albury (C)	2015	404
Albury (C)	2016	34
Albury (C)		59
Armidale Regional (A)	1991	577
Armidale Regional (A)	1995	94
Armidale Regional (A)	2000	168
Armidale Regional (A)	2005	165
Armidale Regional (A)	2010	285
Armidale Regional (A)	2015	391
Armidale Regional (A)	2016	51
Armidale Regional (A)		48
Ballina (A)	1991	914
Ballina (A)	1995	115
Ballina (A)	2000	146
Ballina (A)	2005	205
Ballina (A)	2010	275
Ballina (A)	2015	178
Ballina (A)	2016	20
Ballina (A)		70
Balranald (A)	1991	15
Balranald (A)	1995	3
Balranald (A)	2000	13
Balranald (A)	2005	13
Balranald (A)	2010	14
Balranald (A)	2015	11
Balranald (A)		4
Bathurst Regional (A)	1991	729
Bathurst Regional (A)	1995	111
Bathurst Regional (A)	2000	140
Bathurst Regional (A)	2005	149
Bathurst Regional (A)	2010	264
Bathurst Regional (A)	2015	244
Bathurst Regional (A)	2016	17
Bathurst Regional (A)		53
Bega Valley (A)	1991	780
Bega Valley (A)	1995	73
Bega Valley (A)	2000	81
Bega Valley (A)	2005	108
Bega Valley (A)	2010	119
Bega Valley (A)	2015	102
Bega Valley (A)	2016	16
Bega Valley (A)		59
Bellingen (A)	1991	276
Bellingen (A)	1995	26
Bellingen (A)	2000	47
Bellingen (A)	2005	43
Bellingen (A)	2010	48
Bellingen (A)	2015	36
Bellingen (A)	2016	3
Bellingen (A)		17
Berrigan (A)	1991	98
Berrigan (A)	1995	9
Berrigan (A)	2000	17
Berrigan (A)	2005	25
Berrigan (A)	2010	37
Berrigan (A)	2015	31
Berrigan (A)		13
Blacktown (C)	1991	13946
Blacktown (C)	1995	4281
Blacktown (C)	2000	5371
Blacktown (C)	2005	5545
Blacktown (C)	2010	7253
Blacktown (C)	2015	5113
Blacktown (C)	2016	364
Blacktown (C)		773
Bland (A)	1991	48
Bland (A)	1995	6
Bland (A)	2000	9
Bland (A)	2005	7
Bland (A)	2010	35
Bland (A)	2015	39
Bland (A)	2016	5
Bland (A)		4
Blayney (A)	1991	122
Blayney (A)	1995	11
Blayney (A)	2000	10
Blayney (A)	2005	16
Blayney (A)	2010	32
Blayney (A)	2015	27
Blayney (A)		5
Blue Mountains (C)	1991	2135
Blue Mountains (C)	1995	245
Blue Mountains (C)	2000	315
Blue Mountains (C)	2005	278
Blue Mountains (C)	2010	340
Blue Mountains (C)	2015	318
Blue Mountains (C)	2016	34
Blue Mountains (C)		81
Bogan (A)	1991	36
Bogan (A)	1995	8
Bogan (A)	2000	3
Bogan (A)	2005	7
Bogan (A)	2010	22
Bogan (A)	2015	18
Bogan (A)		3
Botany Bay (C)	1991	6854
Botany Bay (C)	1995	1704
Botany Bay (C)	2000	2217
Botany Bay (C)	2005	2312
Botany Bay (C)	2010	3554
Botany Bay (C)	2015	3883
Botany Bay (C)	2016	380
Botany Bay (C)		496
Bourke (A)	1991	18
Bourke (A)	1995	3
Bourke (A)	2000	7
Bourke (A)	2005	10
Bourke (A)	2010	23
Bourke (A)	2015	15
Bourke (A)		3
Brewarrina (A)	1991	13
Brewarrina (A)	1995	3
Brewarrina (A)	2005	3
Brewarrina (A)	2010	4
Brewarrina (A)	2015	3
Broken Hill (C)	1991	152
Broken Hill (C)	1995	18
Broken Hill (C)	2000	19
Broken Hill (C)	2005	33
Broken Hill (C)	2010	85
Broken Hill (C)	2015	75
Broken Hill (C)	2016	4
Broken Hill (C)		7
Burwood (A)	1991	2648
Burwood (A)	1995	777
Burwood (A)	2000	943
Burwood (A)	2005	1077
Burwood (A)	2010	1520
Burwood (A)	2015	1404
Burwood (A)	2016	109
Burwood (A)		182
Byron (A)	1991	1088
Byron (A)	1995	185
Byron (A)	2000	261
Byron (A)	2005	302
Byron (A)	2010	377
Byron (A)	2015	445
Byron (A)	2016	40
Byron (A)		132
Cabonne (A)	1991	155
Cabonne (A)	1995	7
Cabonne (A)	2000	33
Cabonne (A)	2005	27
Cabonne (A)	2010	51
Cabonne (A)	2015	51
Cabonne (A)	2016	4
Cabonne (A)		11
Camden (A)	1991	2366
Camden (A)	1995	515
Camden (A)	2000	561
Camden (A)	2005	478
Camden (A)	2010	669
Camden (A)	2015	494
Camden (A)	2016	35
Camden (A)		133
Campbelltown (C) (NSW)	1991	6378
Campbelltown (C) (NSW)	1995	1646
Campbelltown (C) (NSW)	2000	1853
Campbelltown (C) (NSW)	2005	1764
Campbelltown (C) (NSW)	2010	2230
Campbelltown (C) (NSW)	2015	1705
Campbelltown (C) (NSW)	2016	120
Campbelltown (C) (NSW)		341
Canada Bay (A)	1991	4721
Canada Bay (A)	1995	1268
Canada Bay (A)	2000	1805
Canada Bay (A)	2005	2066
Canada Bay (A)	2010	2941
Canada Bay (A)	2015	2796
Canada Bay (A)	2016	236
Canada Bay (A)		293
Canterbury-Bankstown (A)	1991	17409
Canterbury-Bankstown (A)	1995	4624
Canterbury-Bankstown (A)	2000	5403
Canterbury-Bankstown (A)	2005	5367
Canterbury-Bankstown (A)	2010	7182
Canterbury-Bankstown (A)	2015	5989
Canterbury-Bankstown (A)	2016	418
Canterbury-Bankstown (A)		1021
Carrathool (A)	1991	37
Carrathool (A)	1995	3
Carrathool (A)	2000	7
Carrathool (A)	2005	15
Carrathool (A)	2010	44
Carrathool (A)	2015	64
Carrathool (A)	2016	8
Carrathool (A)		23
Central Coast (C) (NSW)	1991	7729
Central Coast (C) (NSW)	1995	1171
Central Coast (C) (NSW)	2000	1609
Central Coast (C) (NSW)	2005	1784
Central Coast (C) (NSW)	2010	2205
Central Coast (C) (NSW)	2015	1684
Central Coast (C) (NSW)	2016	115
Central Coast (C) (NSW)		462
Central Darling (A)	1991	21
Central Darling (A)	1995	5
Central Darling (A)	2000	7
Central Darling (A)	2010	4
Central Darling (A)	2015	3
Central Darling (A)		3
Cessnock (C)	1991	649
Cessnock (C)	1995	75
Cessnock (C)	2000	109
Cessnock (C)	2005	136
Cessnock (C)	2010	203
Cessnock (C)	2015	147
Cessnock (C)	2016	10
Cessnock (C)		48
Clarence Valley (A)	1991	712
Clarence Valley (A)	1995	65
Clarence Valley (A)	2000	85
Clarence Valley (A)	2005	101
Clarence Valley (A)	2010	147
Clarence Valley (A)	2015	139
Clarence Valley (A)	2016	5
Clarence Valley (A)		50
Cobar (A)	1991	67
Cobar (A)	1995	10
Cobar (A)	2000	17
Cobar (A)	2005	22
Cobar (A)	2010	61
Cobar (A)	2015	50
Cobar (A)		8
Coffs Harbour (C)	1991	1805
Coffs Harbour (C)	1995	243
Coffs Harbour (C)	2000	327
Coffs Harbour (C)	2005	380
Coffs Harbour (C)	2010	783
Coffs Harbour (C)	2015	733
Coffs Harbour (C)	2016	65
Coffs Harbour (C)		146
Coolamon (A)	1991	17
Coolamon (A)	1995	6
Coolamon (A)	2000	3
Coolamon (A)	2005	8
Coolamon (A)	2010	14
Coolamon (A)	2015	3
Coonamble (A)	1991	22
Coonamble (A)	1995	4
Coonamble (A)	2000	3
Coonamble (A)	2005	4
Coonamble (A)	2010	12
Coonamble (A)	2015	12
Cowra (A)	1991	122
Cowra (A)	1995	13
Cowra (A)	2000	27
Cowra (A)	2005	31
Cowra (A)	2010	34
Cowra (A)	2015	19
Cowra (A)	2016	3
Cowra (A)		13
Cumberland (A)	1991	11557
Cumberland (A)	1995	3497
Cumberland (A)	2000	4365
Cumberland (A)	2005	4626
Cumberland (A)	2010	6589
Cumberland (A)	2015	5422
Cumberland (A)	2016	401
Cumberland (A)		734
Dungog (A)	1991	74
Dungog (A)	1995	3
Dungog (A)	2000	8
Dungog (A)	2005	11
Dungog (A)	2010	8
Dungog (A)	2015	6
Dungog (A)		3
Edward River (A)	1991	105
Edward River (A)	1995	7
Edward River (A)	2000	14
Edward River (A)	2005	28
Edward River (A)	2010	51
Edward River (A)	2015	92
Edward River (A)	2016	15
Edward River (A)		12
Eurobodalla (A)	1991	847
Eurobodalla (A)	1995	81
Eurobodalla (A)	2000	92
Eurobodalla (A)	2005	105
Eurobodalla (A)	2010	117
Eurobodalla (A)	2015	105
Eurobodalla (A)	2016	8
Eurobodalla (A)		66
Fairfield (C)	1991	11805
Fairfield (C)	1995	3547
Fairfield (C)	2000	3449
Fairfield (C)	2005	2863
Fairfield (C)	2010	3787
Fairfield (C)	2015	2997
Fairfield (C)	2016	171
Fairfield (C)		623
Federation (A)	1991	162
Federation (A)	1995	18
Federation (A)	2000	24
Federation (A)	2005	33
Federation (A)	2010	60
Federation (A)	2015	79
Federation (A)	2016	6
Federation (A)		13
Forbes (A)	1991	91
Forbes (A)	1995	12
Forbes (A)	2000	18
Forbes (A)	2005	25
Forbes (A)	2010	34
Forbes (A)	2015	28
Forbes (A)		4
Georges River (A)	1991	6112
Georges River (A)	1995	1525
Georges River (A)	2000	2106
Georges River (A)	2005	2185
Georges River (A)	2010	3058
Georges River (A)	2015	2718
Georges River (A)	2016	248
Georges River (A)		373
Gilgandra (A)	1991	27
Gilgandra (A)	1995	3
Gilgandra (A)	2000	6
Gilgandra (A)	2005	12
Gilgandra (A)	2010	13
Gilgandra (A)	2015	11
Gilgandra (A)		6
Glen Innes Severn (A)	1991	100
Glen Innes Severn (A)	1995	9
Glen Innes Severn (A)	2000	15
Glen Innes Severn (A)	2005	17
Glen Innes Severn (A)	2010	30
Glen Innes Severn (A)	2015	27
Glen Innes Severn (A)		12
Goulburn Mulwaree (A)	1991	508
Goulburn Mulwaree (A)	1995	68
Goulburn Mulwaree (A)	2000	81
Goulburn Mulwaree (A)	2005	104
Goulburn Mulwaree (A)	2010	246
Goulburn Mulwaree (A)	2015	199
Goulburn Mulwaree (A)	2016	27
Goulburn Mulwaree (A)		49
Greater Hume Shire (A)	1991	110
Greater Hume Shire (A)	1995	3
Greater Hume Shire (A)	2000	18
Greater Hume Shire (A)	2005	9
Greater Hume Shire (A)	2010	44
Greater Hume Shire (A)	2015	31
Greater Hume Shire (A)		10
Griffith (C)	1991	529
Griffith (C)	1995	121
Griffith (C)	2000	224
Griffith (C)	2005	280
Griffith (C)	2010	492
Griffith (C)	2015	571
Griffith (C)	2016	71
Griffith (C)		114
Gundagai (A)	1991	111
Gundagai (A)	1995	10
Gundagai (A)	2000	18
Gundagai (A)	2005	25
Gundagai (A)	2010	37
Gundagai (A)	2015	39
Gundagai (A)	2016	4
Gundagai (A)		8
Gunnedah (A)	1991	105
Gunnedah (A)	1995	12
Gunnedah (A)	2000	30
Gunnedah (A)	2005	24
Gunnedah (A)	2010	45
Gunnedah (A)	2015	59
Gunnedah (A)	2016	3
Gunnedah (A)		16
Gwydir (A)	1991	43
Gwydir (A)	1995	3
Gwydir (A)	2000	7
Gwydir (A)	2005	10
Gwydir (A)	2010	17
Gwydir (A)	2015	15
Gwydir (A)		4
Hawkesbury (C)	1991	2155
Hawkesbury (C)	1995	409
Hawkesbury (C)	2000	531
Hawkesbury (C)	2005	458
Hawkesbury (C)	2010	643
Hawkesbury (C)	2015	539
Hawkesbury (C)	2016	34
Hawkesbury (C)		119
Hay (A)	1991	36
Hay (A)	1995	9
Hay (A)	2005	3
Hay (A)	2010	25
Hay (A)	2015	25
Hay (A)		5
Hilltops (A)	1991	217
Hilltops (A)	1995	16
Hilltops (A)	2000	40
Hilltops (A)	2005	41
Hilltops (A)	2010	59
Hilltops (A)	2015	59
Hilltops (A)	2016	3
Hilltops (A)		17
Hornsby (A)	1991	5056
Hornsby (A)	1995	1442
Hornsby (A)	2000	1951
Hornsby (A)	2005	2022
Hornsby (A)	2010	2582
Hornsby (A)	2015	2074
Hornsby (A)	2016	151
Hornsby (A)		292
Hunters Hill (A)	1991	618
Hunters Hill (A)	1995	130
Hunters Hill (A)	2000	178
Hunters Hill (A)	2005	187
Hunters Hill (A)	2010	351
Hunters Hill (A)	2015	280
Hunters Hill (A)	2016	21
Hunters Hill (A)		25
Inner West (A)	1991	9279
Inner West (A)	1995	2086
Inner West (A)	2000	2802
Inner West (A)	2005	2968
Inner West (A)	2010	4732
Inner West (A)	2015	5178
Inner West (A)	2016	544
Inner West (A)		587
Inverell (A)	1991	162
Inverell (A)	1995	18
Inverell (A)	2000	25
Inverell (A)	2005	30
Inverell (A)	2010	76
Inverell (A)	2015	104
Inverell (A)		19
Junee (A)	1991	43
Junee (A)	1995	7
Junee (A)	2000	11
Junee (A)	2005	20
Junee (A)	2010	19
Junee (A)	2015	52
Junee (A)	2016	31
Junee (A)		19
Kempsey (A)	1991	423
Kempsey (A)	1995	49
Kempsey (A)	2000	59
Kempsey (A)	2005	69
Kempsey (A)	2010	78
Kempsey (A)	2015	107
Kempsey (A)	2016	3
Kempsey (A)		39
Kiama (A)	1991	410
Kiama (A)	1995	28
Kiama (A)	2000	67
Kiama (A)	2005	78
Kiama (A)	2010	107
Kiama (A)	2015	72
Kiama (A)	2016	3
Kiama (A)		19
Ku-ring-gai (A)	1991	4240
Ku-ring-gai (A)	1995	1062
Ku-ring-gai (A)	2000	1503
Ku-ring-gai (A)	2005	1580
Ku-ring-gai (A)	2010	2114
Ku-ring-gai (A)	2015	1734
Ku-ring-gai (A)	2016	151
Ku-ring-gai (A)		216
Kyogle (A)	1991	182
Kyogle (A)	1995	15
Kyogle (A)	2000	30
Kyogle (A)	2005	33
Kyogle (A)	2010	45
Kyogle (A)	2015	41
Kyogle (A)		6
Lachlan (A)	1991	41
Lachlan (A)	1995	8
Lachlan (A)	2000	20
Lachlan (A)	2005	10
Lachlan (A)	2010	28
Lachlan (A)	2015	34
Lachlan (A)		4
Lake Macquarie (C)	1991	2757
Lake Macquarie (C)	1995	420
Lake Macquarie (C)	2000	539
Lake Macquarie (C)	2005	607
Lake Macquarie (C)	2010	912
Lake Macquarie (C)	2015	875
Lake Macquarie (C)	2016	39
Lake Macquarie (C)		156
Lane Cove (A)	1991	2115
Lane Cove (A)	1995	554
Lane Cove (A)	2000	855
Lane Cove (A)	2005	955
Lane Cove (A)	2010	1295
Lane Cove (A)	2015	1365
Lane Cove (A)	2016	168
Lane Cove (A)		117
Leeton (A)	1991	139
Leeton (A)	1995	15
Leeton (A)	2000	42
Leeton (A)	2005	27
Leeton (A)	2010	80
Leeton (A)	2015	134
Leeton (A)	2016	16
Leeton (A)		10
Lismore (C)	1991	1129
Lismore (C)	1995	161
Lismore (C)	2000	201
Lismore (C)	2005	224
Lismore (C)	2010	285
Lismore (C)	2015	197
Lismore (C)	2016	8
Lismore (C)		64
Lithgow (C)	1991	380
Lithgow (C)	1995	43
Lithgow (C)	2000	48
Lithgow (C)	2005	68
Lithgow (C)	2010	87
Lithgow (C)	2015	67
Lithgow (C)	2016	3
Lithgow (C)		21
Liverpool (C)	1991	10669
Liverpool (C)	1995	3591
Liverpool (C)	2000	3589
Liverpool (C)	2005	3344
Liverpool (C)	2010	3885
Liverpool (C)	2015	2903
Liverpool (C)	2016	178
Liverpool (C)		603
Liverpool Plains (A)	1991	82
Liverpool Plains (A)	1995	7
Liverpool Plains (A)	2000	15
Liverpool Plains (A)	2005	13
Liverpool Plains (A)	2010	21
Liverpool Plains (A)	2015	27
Liverpool Plains (A)	2016	3
Liverpool Plains (A)		8
Lockhart (A)	1991	24
Lockhart (A)	1995	4
Lockhart (A)	2000	4
Lockhart (A)	2010	3
Lockhart (A)	2015	5
Maitland (C)	1991	1044
Maitland (C)	1995	155
Maitland (C)	2000	213
Maitland (C)	2005	296
Maitland (C)	2010	460
Maitland (C)	2015	347
Maitland (C)	2016	11
Maitland (C)		48
Mid-Coast (A)	1991	1372
Mid-Coast (A)	1995	120
Mid-Coast (A)	2000	203
Mid-Coast (A)	2005	233
Mid-Coast (A)	2010	328
Mid-Coast (A)	2015	259
Mid-Coast (A)	2016	17
Mid-Coast (A)		101
Mid-Western Regional (A)	1991	410
Mid-Western Regional (A)	1995	38
Mid-Western Regional (A)	2000	59
Mid-Western Regional (A)	2005	70
Mid-Western Regional (A)	2010	115
Mid-Western Regional (A)	2015	63
Mid-Western Regional (A)	2016	3
Mid-Western Regional (A)		36
Moree Plains (A)	1991	143
Moree Plains (A)	1995	20
Moree Plains (A)	2000	27
Moree Plains (A)	2005	31
Moree Plains (A)	2010	87
Moree Plains (A)	2015	114
Moree Plains (A)	2016	3
Moree Plains (A)		13
Mosman (A)	1991	1107
Mosman (A)	1995	207
Mosman (A)	2000	366
Mosman (A)	2005	412
Mosman (A)	2010	603
Mosman (A)	2015	790
Mosman (A)	2016	82
Mosman (A)		68
Murray River (A)	1991	112
Murray River (A)	1995	12
Murray River (A)	2000	8
Murray River (A)	2005	25
Murray River (A)	2010	68
Murray River (A)	2015	51
Murray River (A)	2016	4
Murray River (A)		10
Murrumbidgee (A)	1991	50
Murrumbidgee (A)	1995	8
Murrumbidgee (A)	2000	11
Murrumbidgee (A)	2005	16
Murrumbidgee (A)	2010	33
Murrumbidgee (A)	2015	69
Murrumbidgee (A)	2016	14
Murrumbidgee (A)		15
Muswellbrook (A)	1991	316
Muswellbrook (A)	1995	55
Muswellbrook (A)	2000	77
Muswellbrook (A)	2005	69
Muswellbrook (A)	2010	183
Muswellbrook (A)	2015	153
Muswellbrook (A)	2016	10
Muswellbrook (A)		21
Nambucca (A)	1991	326
Nambucca (A)	1995	32
Nambucca (A)	2000	38
Nambucca (A)	2005	48
Nambucca (A)	2010	54
Nambucca (A)	2015	62
Nambucca (A)		30
