LGA_NAME16	Age	Sex	workers
Albury (C)	15-19	F	970
Albury (C)	15-19	M	757
Albury (C)	20-24	F	1327
Albury (C)	20-24	M	1084
Albury (C)	25-29	F	1311
Albury (C)	25-29	M	1119
Albury (C)	30-34	F	1364
Albury (C)	30-34	M	1206
Albury (C)	35-39	F	1283
Albury (C)	35-39	M	1153
Albury (C)	40-44	F	1426
Albury (C)	40-44	M	1143
Albury (C)	45-49	F	1509
Albury (C)	45-49	M	1246
Albury (C)	50-54	F	1514
Albury (C)	50-54	M	1191
Albury (C)	55-59	F	1376
Albury (C)	55-59	M	1121
Albury (C)	60-64	F	862
Albury (C)	60-64	M	839
Albury (C)	65-69	F	339
Albury (C)	65-69	M	399
Albury (C)	70-74	F	66
Albury (C)	70-74	M	123
Albury (C)	75+	F	40
Albury (C)	75+	M	66
Armidale Regional (A)	15-19	F	502
Armidale Regional (A)	15-19	M	388
Armidale Regional (A)	20-24	F	697
Armidale Regional (A)	20-24	M	648
Armidale Regional (A)	25-29	F	593
Armidale Regional (A)	25-29	M	608
Armidale Regional (A)	30-34	F	592
Armidale Regional (A)	30-34	M	591
Armidale Regional (A)	35-39	F	546
Armidale Regional (A)	35-39	M	550
Armidale Regional (A)	40-44	F	708
Armidale Regional (A)	40-44	M	594
Armidale Regional (A)	45-49	F	748
Armidale Regional (A)	45-49	M	642
Armidale Regional (A)	50-54	F	794
Armidale Regional (A)	50-54	M	711
Armidale Regional (A)	55-59	F	725
Armidale Regional (A)	55-59	M	663
Armidale Regional (A)	60-64	F	465
Armidale Regional (A)	60-64	M	487
Armidale Regional (A)	65-69	F	202
Armidale Regional (A)	65-69	M	263
Armidale Regional (A)	70-74	F	88
Armidale Regional (A)	70-74	M	137
Armidale Regional (A)	75+	F	42
Armidale Regional (A)	75+	M	102
Ballina (A)	15-19	F	530
Ballina (A)	15-19	M	456
Ballina (A)	20-24	F	539
Ballina (A)	20-24	M	533
Ballina (A)	25-29	F	472
Ballina (A)	25-29	M	532
Ballina (A)	30-34	F	582
Ballina (A)	30-34	M	599
Ballina (A)	35-39	F	700
Ballina (A)	35-39	M	675
Ballina (A)	40-44	F	872
Ballina (A)	40-44	M	751
Ballina (A)	45-49	F	959
Ballina (A)	45-49	M	780
Ballina (A)	50-54	F	991
Ballina (A)	50-54	M	837
Ballina (A)	55-59	F	968
Ballina (A)	55-59	M	864
Ballina (A)	60-64	F	660
Ballina (A)	60-64	M	630
Ballina (A)	65-69	F	243
Ballina (A)	65-69	M	368
Ballina (A)	70-74	F	94
Ballina (A)	70-74	M	137
Ballina (A)	75+	F	49
Ballina (A)	75+	M	100
Balranald (A)	15-19	F	14
Balranald (A)	15-19	M	10
Balranald (A)	20-24	F	22
Balranald (A)	20-24	M	42
Balranald (A)	25-29	F	30
Balranald (A)	25-29	M	25
Balranald (A)	30-34	F	25
Balranald (A)	30-34	M	28
Balranald (A)	35-39	F	30
Balranald (A)	35-39	M	41
Balranald (A)	40-44	F	44
Balranald (A)	40-44	M	54
Balranald (A)	45-49	F	45
Balranald (A)	45-49	M	43
Balranald (A)	50-54	F	40
Balranald (A)	50-54	M	47
Balranald (A)	55-59	F	45
Balranald (A)	55-59	M	59
Balranald (A)	60-64	F	35
Balranald (A)	60-64	M	42
Balranald (A)	65-69	F	14
Balranald (A)	65-69	M	21
Balranald (A)	70-74	F	4
Balranald (A)	70-74	M	7
Balranald (A)	75+	F	5
Balranald (A)	75+	M	4
Bathurst Regional (A)	15-19	F	652
Bathurst Regional (A)	15-19	M	507
Bathurst Regional (A)	20-24	F	945
Bathurst Regional (A)	20-24	M	889
Bathurst Regional (A)	25-29	F	855
Bathurst Regional (A)	25-29	M	888
Bathurst Regional (A)	30-34	F	836
Bathurst Regional (A)	30-34	M	839
Bathurst Regional (A)	35-39	F	836
Bathurst Regional (A)	35-39	M	766
Bathurst Regional (A)	40-44	F	1000
Bathurst Regional (A)	40-44	M	834
Bathurst Regional (A)	45-49	F	1032
Bathurst Regional (A)	45-49	M	878
Bathurst Regional (A)	50-54	F	993
Bathurst Regional (A)	50-54	M	859
Bathurst Regional (A)	55-59	F	918
Bathurst Regional (A)	55-59	M	795
Bathurst Regional (A)	60-64	F	595
Bathurst Regional (A)	60-64	M	614
Bathurst Regional (A)	65-69	F	253
Bathurst Regional (A)	65-69	M	299
Bathurst Regional (A)	70-74	F	87
Bathurst Regional (A)	70-74	M	139
Bathurst Regional (A)	75+	F	42
Bathurst Regional (A)	75+	M	106
Bega Valley (A)	15-19	F	402
Bega Valley (A)	15-19	M	335
Bega Valley (A)	20-24	F	347
Bega Valley (A)	20-24	M	358
Bega Valley (A)	25-29	F	360
Bega Valley (A)	25-29	M	347
Bega Valley (A)	30-34	F	463
Bega Valley (A)	30-34	M	411
Bega Valley (A)	35-39	F	502
Bega Valley (A)	35-39	M	453
Bega Valley (A)	40-44	F	611
Bega Valley (A)	40-44	M	543
Bega Valley (A)	45-49	F	769
Bega Valley (A)	45-49	M	660
Bega Valley (A)	50-54	F	863
Bega Valley (A)	50-54	M	761
Bega Valley (A)	55-59	F	882
Bega Valley (A)	55-59	M	813
Bega Valley (A)	60-64	F	567
Bega Valley (A)	60-64	M	617
Bega Valley (A)	65-69	F	239
Bega Valley (A)	65-69	M	317
Bega Valley (A)	70-74	F	95
Bega Valley (A)	70-74	M	115
Bega Valley (A)	75+	F	27
Bega Valley (A)	75+	M	93
Bellingen (A)	15-19	F	87
Bellingen (A)	15-19	M	98
Bellingen (A)	20-24	F	81
Bellingen (A)	20-24	M	67
Bellingen (A)	25-29	F	91
Bellingen (A)	25-29	M	99
Bellingen (A)	30-34	F	134
Bellingen (A)	30-34	M	150
Bellingen (A)	35-39	F	129
Bellingen (A)	35-39	M	160
Bellingen (A)	40-44	F	193
Bellingen (A)	40-44	M	184
Bellingen (A)	45-49	F	241
