LGA_NAME16	EmploymentStatus	Sex	workers
Albury (C)		F	109
Albury (C)		M	105
Albury (C)	Contributing family workers	F	163
Albury (C)	Contributing family workers	M	137
Albury (C)	Employee	F	11965
Albury (C)	Employee	M	9322
Albury (C)	Owner managers of incorporated enterprises	F	457
Albury (C)	Owner managers of incorporated enterprises	M	959
Albury (C)	Owner managers of unincorporated enterprises	F	687
Albury (C)	Owner managers of unincorporated enterprises	M	919
Armidale Regional (A)		F	60
Armidale Regional (A)		M	65
Armidale Regional (A)	Contributing family workers	F	189
Armidale Regional (A)	Contributing family workers	M	208
Armidale Regional (A)	Employee	F	5829
Armidale Regional (A)	Employee	M	4891
Armidale Regional (A)	Owner managers of incorporated enterprises	F	216
Armidale Regional (A)	Owner managers of incorporated enterprises	M	481
Armidale Regional (A)	Owner managers of unincorporated enterprises	F	403
Armidale Regional (A)	Owner managers of unincorporated enterprises	M	748
Ballina (A)		F	86
Ballina (A)		M	91
Ballina (A)	Contributing family workers	F	191
Ballina (A)	Contributing family workers	M	167
Ballina (A)	Employee	F	6247
Ballina (A)	Employee	M	5143
Ballina (A)	Owner managers of incorporated enterprises	F	372
Ballina (A)	Owner managers of incorporated enterprises	M	735
Ballina (A)	Owner managers of unincorporated enterprises	F	756
Ballina (A)	Owner managers of unincorporated enterprises	M	1123
Balranald (A)		F	8
Balranald (A)		M	6
Balranald (A)	Contributing family workers	F	20
Balranald (A)	Contributing family workers	M	34
Balranald (A)	Employee	F	285
Balranald (A)	Employee	M	259
Balranald (A)	Owner managers of incorporated enterprises	F	20
Balranald (A)	Owner managers of incorporated enterprises	M	56
Balranald (A)	Owner managers of unincorporated enterprises	F	27
Balranald (A)	Owner managers of unincorporated enterprises	M	71
Bathurst Regional (A)		F	93
Bathurst Regional (A)		M	113
Bathurst Regional (A)	Contributing family workers	F	180
Bathurst Regional (A)	Contributing family workers	M	190
Bathurst Regional (A)	Employee	F	7909
Bathurst Regional (A)	Employee	M	6681
Bathurst Regional (A)	Owner managers of incorporated enterprises	F	334
Bathurst Regional (A)	Owner managers of incorporated enterprises	M	644
Bathurst Regional (A)	Owner managers of unincorporated enterprises	F	525
Bathurst Regional (A)	Owner managers of unincorporated enterprises	M	799
Bega Valley (A)		F	78
Bega Valley (A)		M	113
Bega Valley (A)	Contributing family workers	F	189
Bega Valley (A)	Contributing family workers	M	158
Bega Valley (A)	Employee	F	4955
Bega Valley (A)	Employee	M	4044
Bega Valley (A)	Owner managers of incorporated enterprises	F	298
Bega Valley (A)	Owner managers of incorporated enterprises	M	602
Bega Valley (A)	Owner managers of unincorporated enterprises	F	593
Bega Valley (A)	Owner managers of unincorporated enterprises	M	910
Bellingen (A)		F	29
Bellingen (A)		M	40
Bellingen (A)	Contributing family workers	F	90
Bellingen (A)	Contributing family workers	M	80
Bellingen (A)	Employee	F	1313
Bellingen (A)	Employee	M	1162
Bellingen (A)	Owner managers of incorporated enterprises	F	70
Bellingen (A)	Owner managers of incorporated enterprises	M	146
Bellingen (A)	Owner managers of unincorporated enterprises	F	286
Bellingen (A)	Owner managers of unincorporated enterprises	M	395
Berrigan (A)		F	22
Berrigan (A)		M	30
Berrigan (A)	Contributing family workers	F	77
Berrigan (A)	Contributing family workers	M	106
Berrigan (A)	Employee	F	978
Berrigan (A)	Employee	M	850
Berrigan (A)	Owner managers of incorporated enterprises	F	90
Berrigan (A)	Owner managers of incorporated enterprises	M	187
Berrigan (A)	Owner managers of unincorporated enterprises	F	128
Berrigan (A)	Owner managers of unincorporated enterprises	M	230
Blacktown (C)		F	391
Blacktown (C)		M	610
Blacktown (C)	Contributing family workers	F	489
Blacktown (C)	Contributing family workers	M	498
Blacktown (C)	Employee	F	40730
Blacktown (C)	Employee	M	50356
Blacktown (C)	Owner managers of incorporated enterprises	F	1566
Blacktown (C)	Owner managers of incorporated enterprises	M	4992
Blacktown (C)	Owner managers of unincorporated enterprises	F	2004
Blacktown (C)	Owner managers of unincorporated enterprises	M	3719
Bland (A)		F	12
Bland (A)		M	29
Bland (A)	Contributing family workers	F	97
Bland (A)	Contributing family workers	M	136
Bland (A)	Employee	F	797
Bland (A)	Employee	M	898
Bland (A)	Owner managers of incorporated enterprises	F	48
Bland (A)	Owner managers of incorporated enterprises	M	112
Bland (A)	Owner managers of unincorporated enterprises	F	163
Bland (A)	Owner managers of unincorporated enterprises	M	318
Blayney (A)		F	15
Blayney (A)		M	26
Blayney (A)	Contributing family workers	F	70
Blayney (A)	Contributing family workers	M	85
Blayney (A)	Employee	F	810
Blayney (A)	Employee	M	1412
Blayney (A)	Owner managers of incorporated enterprises	F	49
Blayney (A)	Owner managers of incorporated enterprises	M	100
Blayney (A)	Owner managers of unincorporated enterprises	F	147
Blayney (A)	Owner managers of unincorporated enterprises	M	207
Blue Mountains (C)		F	90
Blue Mountains (C)		M	84
Blue Mountains (C)	Contributing family workers	F	192
Blue Mountains (C)	Contributing family workers	M	179
Blue Mountains (C)	Employee	F	8377
Blue Mountains (C)	Employee	M	5369
Blue Mountains (C)	Owner managers of incorporated enterprises	F	536
Blue Mountains (C)	Owner managers of incorporated enterprises	M	950
Blue Mountains (C)	Owner managers of unincorporated enterprises	F	1240
Blue Mountains (C)	Owner managers of unincorporated enterprises	M	1430
Bogan (A)		F	12
Bogan (A)		M	7
Bogan (A)	Contributing family workers	F	41
Bogan (A)	Contributing family workers	M	43
Bogan (A)	Employee	F	421
Bogan (A)	Employee	M	537
Bogan (A)	Owner managers of incorporated enterprises	F	15
Bogan (A)	Owner managers of incorporated enterprises	M	43
Bogan (A)	Owner managers of unincorporated enterprises	F	57
Bogan (A)	Owner managers of unincorporated enterprises	M	116
Botany Bay (C)		F	151
Botany Bay (C)		M	281
Botany Bay (C)	Contributing family workers	F	109
Botany Bay (C)	Contributing family workers	M	128
Botany Bay (C)	Employee	F	16881
Botany Bay (C)	Employee	M	26302
