LGA_NAME16	LabourForceStatus	Sex	workers
Albury (C)		F	196
Albury (C)		M	234
Albury (C)	Employed (away from work)	F	661
Albury (C)	Employed (away from work)	M	306
Albury (C)	Employed (full-time)	F	5765
Albury (C)	Employed (full-time)	M	8539
Albury (C)	Employed (part-time)	F	6758
Albury (C)	Employed (part-time)	M	2364
Armidale Regional (A)		F	113
Armidale Regional (A)		M	138
Armidale Regional (A)	Employed (away from work)	F	308
Armidale Regional (A)	Employed (away from work)	M	184
Armidale Regional (A)	Employed (full-time)	F	3100
Armidale Regional (A)	Employed (full-time)	M	4488
Armidale Regional (A)	Employed (part-time)	F	3189
Armidale Regional (A)	Employed (part-time)	M	1587
Ballina (A)		F	123
Ballina (A)		M	155
Ballina (A)	Employed (away from work)	F	306
Ballina (A)	Employed (away from work)	M	178
Ballina (A)	Employed (full-time)	F	3016
Ballina (A)	Employed (full-time)	M	4801
Ballina (A)	Employed (part-time)	F	4198
Ballina (A)	Employed (part-time)	M	2133
Balranald (A)		F	11
Balranald (A)		M	16
Balranald (A)	Employed (away from work)	F	21
Balranald (A)	Employed (away from work)	M	8
Balranald (A)	Employed (full-time)	F	156
Balranald (A)	Employed (full-time)	M	331
Balranald (A)	Employed (part-time)	F	185
Balranald (A)	Employed (part-time)	M	75
Bathurst Regional (A)		F	166
Bathurst Regional (A)		M	178
Bathurst Regional (A)	Employed (away from work)	F	427
Bathurst Regional (A)	Employed (away from work)	M	249
Bathurst Regional (A)	Employed (full-time)	F	4202
Bathurst Regional (A)	Employed (full-time)	M	6291
Bathurst Regional (A)	Employed (part-time)	F	4241
Bathurst Regional (A)	Employed (part-time)	M	1702
Bega Valley (A)		F	111
Bega Valley (A)		M	131
Bega Valley (A)	Employed (away from work)	F	307
Bega Valley (A)	Employed (away from work)	M	226
Bega Valley (A)	Employed (full-time)	F	2370
Bega Valley (A)	Employed (full-time)	M	3877
Bega Valley (A)	Employed (part-time)	F	3334
Bega Valley (A)	Employed (part-time)	M	1592
Bellingen (A)		F	39
Bellingen (A)		M	46
Bellingen (A)	Employed (away from work)	F	76
Bellingen (A)	Employed (away from work)	M	64
Bellingen (A)	Employed (full-time)	F	612
Bellingen (A)	Employed (full-time)	M	1116
Bellingen (A)	Employed (part-time)	F	1061
Bellingen (A)	Employed (part-time)	M	593
Berrigan (A)		F	26
Berrigan (A)		M	46
Berrigan (A)	Employed (away from work)	F	62
Berrigan (A)	Employed (away from work)	M	58
Berrigan (A)	Employed (full-time)	F	512
Berrigan (A)	Employed (full-time)	M	1039
Berrigan (A)	Employed (part-time)	F	695
Berrigan (A)	Employed (part-time)	M	265
Blacktown (C)		F	967
Blacktown (C)		M	1512
Blacktown (C)	Employed (away from work)	F	1563
Blacktown (C)	Employed (away from work)	M	1216
Blacktown (C)	Employed (full-time)	F	23602
Blacktown (C)	Employed (full-time)	M	46336
Blacktown (C)	Employed (part-time)	F	19054
Blacktown (C)	Employed (part-time)	M	11106
Bland (A)		F	31
Bland (A)		M	51
Bland (A)	Employed (away from work)	F	53
Bland (A)	Employed (away from work)	M	37
Bland (A)	Employed (full-time)	F	515
Bland (A)	Employed (full-time)	M	1159
Bland (A)	Employed (part-time)	F	514
Bland (A)	Employed (part-time)	M	235
Blayney (A)		F	24
Blayney (A)		M	46
Blayney (A)	Employed (away from work)	F	61
Blayney (A)	Employed (away from work)	M	69
Blayney (A)	Employed (full-time)	F	476
Blayney (A)	Employed (full-time)	M	1501
Blayney (A)	Employed (part-time)	F	532
Blayney (A)	Employed (part-time)	M	221
Blue Mountains (C)		F	133
Blue Mountains (C)		M	152
Blue Mountains (C)	Employed (away from work)	F	384
Blue Mountains (C)	Employed (away from work)	M	230
Blue Mountains (C)	Employed (full-time)	F	3850
Blue Mountains (C)	Employed (full-time)	M	4872
Blue Mountains (C)	Employed (part-time)	F	6079
Blue Mountains (C)	Employed (part-time)	M	2754
Bogan (A)		F	15
Bogan (A)		M	22
Bogan (A)	Employed (away from work)	F	11
Bogan (A)	Employed (away from work)	M	22
Bogan (A)	Employed (full-time)	F	285
Bogan (A)	Employed (full-time)	M	617
Bogan (A)	Employed (part-time)	F	236
Bogan (A)	Employed (part-time)	M	83
Botany Bay (C)		F	369
Botany Bay (C)		M	610
Botany Bay (C)	Employed (away from work)	F	869
Botany Bay (C)	Employed (away from work)	M	860
Botany Bay (C)	Employed (full-time)	F	10136
Botany Bay (C)	Employed (full-time)	M	22612
Botany Bay (C)	Employed (part-time)	F	6647
Botany Bay (C)	Employed (part-time)	M	5400
Bourke (A)		F	10
Bourke (A)		M	14
Bourke (A)	Employed (away from work)	F	15
Bourke (A)	Employed (away from work)	M	18
Bourke (A)	Employed (full-time)	F	338
Bourke (A)	Employed (full-time)	M	414
Bourke (A)	Employed (part-time)	F	143
Bourke (A)	Employed (part-time)	M	93
Brewarrina (A)		F	13
Brewarrina (A)		M	9
Brewarrina (A)	Employed (away from work)	F	17
Brewarrina (A)	Employed (away from work)	M	3
Brewarrina (A)	Employed (full-time)	F	151
Brewarrina (A)	Employed (full-time)	M	202
Brewarrina (A)	Employed (part-time)	F	63
Brewarrina (A)	Employed (part-time)	M	44
Broken Hill (C)		F	68
Broken Hill (C)		M	99
Broken Hill (C)	Employed (away from work)	F	173
Broken Hill (C)	Employed (away from work)	M	143
Broken Hill (C)	Employed (full-time)	F	1710
Broken Hill (C)	Employed (full-time)	M	2555
Broken Hill (C)	Employed (part-time)	F	1449
Broken Hill (C)	Employed (part-time)	M	659
Burwood (A)		F	143
Burwood (A)		M	203
Burwood (A)	Employed (away from work)	F	340
Burwood (A)	Employed (away from work)	M	159
Burwood (A)	Employed (full-time)	F	4501
Burwood (A)	Employed (full-time)	M	5166
Burwood (A)	Employed (part-time)	F	4161
Burwood (A)	Employed (part-time)	M	1961
Byron (A)		F	133
Byron (A)		M	159
Byron (A)	Employed (away from work)	F	232
Byron (A)	Employed (away from work)	M	175
Byron (A)	Employed (full-time)	F	2366
Byron (A)	Employed (full-time)	M	3641
Byron (A)	Employed (part-time)	F	3957
Byron (A)	Employed (part-time)	M	2304
Cabonne (A)		F	37
Cabonne (A)		M	57
Cabonne (A)	Employed (away from work)	F	77
Cabonne (A)	Employed (away from work)	M	82
Cabonne (A)	Employed (full-time)	F	779
Cabonne (A)	Employed (full-time)	M	2027
Cabonne (A)	Employed (part-time)	F	855
Cabonne (A)	Employed (part-time)	M	383
Camden (A)		F	212
Camden (A)		M	289
Camden (A)	Employed (away from work)	F	407
Camden (A)	Employed (away from work)	M	255
Camden (A)	Employed (full-time)	F	5012
Camden (A)	Employed (full-time)	M	9899
Camden (A)	Employed (part-time)	F	5881
Camden (A)	Employed (part-time)	M	2489
Campbelltown (C) (NSW)		F	451
Campbelltown (C) (NSW)		M	641
Campbelltown (C) (NSW)	Employed (away from work)	F	912
Campbelltown (C) (NSW)	Employed (away from work)	M	544
Campbelltown (C) (NSW)	Employed (full-time)	F	11911
Campbelltown (C) (NSW)	Employed (full-time)	M	17960
Campbelltown (C) (NSW)	Employed (part-time)	F	10847
Campbelltown (C) (NSW)	Employed (part-time)	M	4850
Canada Bay (A)		F	301
Canada Bay (A)		M	421
Canada Bay (A)	Employed (away from work)	F	635
Canada Bay (A)	Employed (away from work)	M	332
Canada Bay (A)	Employed (full-time)	F	9006
Canada Bay (A)	Employed (full-time)	M	12719
Canada Bay (A)	Employed (part-time)	F	6572
