LGA_NAME16	Sex	workers
Albury (C)	F	13381
Albury (C)	M	11437
Armidale Regional (A)	F	6703
Armidale Regional (A)	M	6397
Ballina (A)	F	7652
Ballina (A)	M	7260
Balranald (A)	F	367
Balranald (A)	M	430
Bathurst Regional (A)	F	9035
Bathurst Regional (A)	M	8420
Bega Valley (A)	F	6117
Bega Valley (A)	M	5823
Bellingen (A)	F	1785
Bellingen (A)	M	1823
Berrigan (A)	F	1296
Berrigan (A)	M	1414
Blacktown (C)	F	45187
Blacktown (C)	M	60169
Bland (A)	F	1114
Bland (A)	M	1487
Blayney (A)	F	1093
Blayney (A)	M	1829
Blue Mountains (C)	F	10440
Blue Mountains (C)	M	8014
Bogan (A)	F	547
Bogan (A)	M	749
Botany Bay (C)	F	18022
Botany Bay (C)	M	29481
Bourke (A)	F	514
Bourke (A)	M	536
Brewarrina (A)	F	242
Brewarrina (A)	M	258
Broken Hill (C)	F	3397
Broken Hill (C)	M	3450
Burwood (A)	F	9144
Burwood (A)	M	7482
Byron (A)	F	6688
Byron (A)	M	6275
Cabonne (A)	F	1751
Cabonne (A)	M	2550
Camden (A)	F	11511
Camden (A)	M	12937
Campbelltown (C) (NSW)	F	24120
Campbelltown (C) (NSW)	M	23994
Canada Bay (A)	F	16513
Canada Bay (A)	M	17094
Canterbury-Bankstown (A)	F	41887
Canterbury-Bankstown (A)	M	52889
Carrathool (A)	F	508
Carrathool (A)	M	793
Central Coast (C) (NSW)	F	56630
Central Coast (C) (NSW)	M	48103
Central Darling (A)	F	277
Central Darling (A)	M	383
Cessnock (C)	F	8175
Cessnock (C)	M	6616
Clarence Valley (A)	F	8198
Clarence Valley (A)	M	8145
Cobar (A)	F	886
Cobar (A)	M	1383
Coffs Harbour (C)	F	15079
Coffs Harbour (C)	M	13805
Coolamon (A)	F	513
Coolamon (A)	M	599
Coonamble (A)	F	702
Coonamble (A)	M	731
Cowra (A)	F	2193
Cowra (A)	M	2374
Cumberland (A)	F	28063
Cumberland (A)	M	42605
Dungog (A)	F	1136
Dungog (A)	M	1017
Edward River (A)	F	1847
Edward River (A)	M	1846
Eurobodalla (A)	F	6345
Eurobodalla (A)	M	5641
Fairfield (C)	F	24752
Fairfield (C)	M	32333
Federation (A)	F	2093
Federation (A)	M	2835
Forbes (A)	F	1839
Forbes (A)	M	2018
Georges River (A)	F	23010
Georges River (A)	M	19538
Gilgandra (A)	F	738
Gilgandra (A)	M	832
Glen Innes Severn (A)	F	1506
Glen Innes Severn (A)	M	1554
Goulburn Mulwaree (A)	F	5770
Goulburn Mulwaree (A)	M	5787
Greater Hume Shire (A)	F	1450
Greater Hume Shire (A)	M	1864
Griffith (C)	F	5728
Griffith (C)	M	6401
Gundagai (A)	F	1973
Gundagai (A)	M	2159
Gunnedah (A)	F	2333
Gunnedah (A)	M	2530
Gwydir (A)	F	799
Gwydir (A)	M	1029
Hawkesbury (C)	F	11537
Hawkesbury (C)	M	12553
Hay (A)	F	594
Hay (A)	M	696
Hilltops (A)	F	3346
