LGA_NAME16	Age	workers
Albury (C)	15-19	1724
Albury (C)	20-24	2408
Albury (C)	25-29	2428
Albury (C)	30-34	2570
Albury (C)	35-39	2437
Albury (C)	40-44	2569
Albury (C)	45-49	2757
Albury (C)	50-54	2703
Albury (C)	55-59	2493
Albury (C)	60-64	1704
Albury (C)	65-69	739
Albury (C)	70-74	186
Albury (C)	75+	104
Armidale Regional (A)	15-19	893
Armidale Regional (A)	20-24	1344
Armidale Regional (A)	25-29	1207
Armidale Regional (A)	30-34	1183
Armidale Regional (A)	35-39	1097
Armidale Regional (A)	40-44	1305
Armidale Regional (A)	45-49	1390
Armidale Regional (A)	50-54	1509
Armidale Regional (A)	55-59	1388
Armidale Regional (A)	60-64	945
Armidale Regional (A)	65-69	462
Armidale Regional (A)	70-74	230
Armidale Regional (A)	75+	144
Ballina (A)	15-19	985
Ballina (A)	20-24	1073
Ballina (A)	25-29	1002
Ballina (A)	30-34	1181
Ballina (A)	35-39	1376
Ballina (A)	40-44	1617
Ballina (A)	45-49	1741
Ballina (A)	50-54	1834
Ballina (A)	55-59	1829
Ballina (A)	60-64	1287
Ballina (A)	65-69	610
Ballina (A)	70-74	228
Ballina (A)	75+	146
Balranald (A)	15-19	26
Balranald (A)	20-24	69
Balranald (A)	25-29	62
Balranald (A)	30-34	55
Balranald (A)	35-39	69
Balranald (A)	40-44	96
Balranald (A)	45-49	91
Balranald (A)	50-54	88
Balranald (A)	55-59	110
Balranald (A)	60-64	86
Balranald (A)	65-69	35
Balranald (A)	70-74	9
Balranald (A)	75+	9
Bathurst Regional (A)	15-19	1154
Bathurst Regional (A)	20-24	1840
Bathurst Regional (A)	25-29	1745
Bathurst Regional (A)	30-34	1676
Bathurst Regional (A)	35-39	1601
Bathurst Regional (A)	40-44	1835
Bathurst Regional (A)	45-49	1908
Bathurst Regional (A)	50-54	1844
Bathurst Regional (A)	55-59	1717
Bathurst Regional (A)	60-64	1208
Bathurst Regional (A)	65-69	554
Bathurst Regional (A)	70-74	220
Bathurst Regional (A)	75+	146
Bega Valley (A)	15-19	738
Bega Valley (A)	20-24	701
Bega Valley (A)	25-29	708
Bega Valley (A)	30-34	873
Bega Valley (A)	35-39	956
Bega Valley (A)	40-44	1152
Bega Valley (A)	45-49	1431
