LGA_NAME16	IncomeTotPersonal.max	Sex	workers
Albury (C)		F	652
Albury (C)		F	696
Albury (C)		F	789
Albury (C)		F	1063
Albury (C)		F	1703
Albury (C)		F	1895
Albury (C)		F	1915
Albury (C)		F	1508
Albury (C)		F	1047
Albury (C)		F	733
Albury (C)		F	473
Albury (C)		F	461
Albury (C)		F	229
Albury (C)		M	381
Albury (C)		M	275
Albury (C)		M	343
Albury (C)		M	468
Albury (C)		M	755
Albury (C)		M	1269
Albury (C)		M	1689
Albury (C)		M	1773
Albury (C)		M	1255
Albury (C)		M	985
Albury (C)		M	690
Albury (C)		M	890
Albury (C)		M	203
Albury (C)	0	F	87
Albury (C)	0	M	64
Albury (C)	Inf	F	132
Albury (C)	Inf	M	412
Armidale Regional (A)		F	347
Armidale Regional (A)		F	415
Armidale Regional (A)		F	421
Armidale Regional (A)		F	523
Armidale Regional (A)		F	774
Armidale Regional (A)		F	895
Armidale Regional (A)		F	743
Armidale Regional (A)		F	724
Armidale Regional (A)		F	519
Armidale Regional (A)		F	434
Armidale Regional (A)		F	306
Armidale Regional (A)		F	345
Armidale Regional (A)		F	108
Armidale Regional (A)		M	225
Armidale Regional (A)		M	247
Armidale Regional (A)		M	266
Armidale Regional (A)		M	362
Armidale Regional (A)		M	538
Armidale Regional (A)		M	792
Armidale Regional (A)		M	848
Armidale Regional (A)		M	839
Armidale Regional (A)		M	477
Armidale Regional (A)		M	483
Armidale Regional (A)		M	319
Armidale Regional (A)		M	539
Armidale Regional (A)		M	131
Armidale Regional (A)	0	F	65
Armidale Regional (A)	0	M	68
Armidale Regional (A)	Inf	F	87
Armidale Regional (A)	Inf	M	261
Ballina (A)		F	409
Ballina (A)		F	368
Ballina (A)		F	532
Ballina (A)		F	712
Ballina (A)		F	1134
Ballina (A)		F	1187
Ballina (A)		F	978
Ballina (A)		F	753
Ballina (A)		F	430
Ballina (A)		F	353
Ballina (A)		F	271
Ballina (A)		F	253
Ballina (A)		F	113
Ballina (A)		M	265
Ballina (A)		M	211
Ballina (A)		M	300
Ballina (A)		M	434
Ballina (A)		M	642
Ballina (A)		M	963
Ballina (A)		M	1113
Ballina (A)		M	986
Ballina (A)		M	583
Ballina (A)		M	480
Ballina (A)		M	383
Ballina (A)		M	441
Ballina (A)		M	127
Ballina (A)	0	F	65
Ballina (A)	0	M	58
Ballina (A)	Inf	F	92
Ballina (A)	Inf	M	275
Balranald (A)		F	8
Balranald (A)		F	26
Balranald (A)		F	29
Balranald (A)		F	30
Balranald (A)		F	56
Balranald (A)		F	52
Balranald (A)		F	53
Balranald (A)		F	35
Balranald (A)		F	23
Balranald (A)		F	7
Balranald (A)		F	10
Balranald (A)		F	9
Balranald (A)		F	14
Balranald (A)		M	11
Balranald (A)		M	22
Balranald (A)		M	22
Balranald (A)		M	43
Balranald (A)		M	49
Balranald (A)		M	79
Balranald (A)		M	64
Balranald (A)		M	31
Balranald (A)		M	26
Balranald (A)		M	16
Balranald (A)		M	18
Balranald (A)		M	11
Balranald (A)	0	F	10
Balranald (A)	0	M	11
Balranald (A)	Inf	F	8
Balranald (A)	Inf	M	10
Bathurst Regional (A)		F	456
Bathurst Regional (A)		F	518
Bathurst Regional (A)		F	531
Bathurst Regional (A)		F	684
Bathurst Regional (A)		F	1052
Bathurst Regional (A)		F	1193
Bathurst Regional (A)		F	1163
Bathurst Regional (A)		F	1036
Bathurst Regional (A)		F	698
Bathurst Regional (A)		F	568
Bathurst Regional (A)		F	411
