LGA_NAME16	IncomeTotPersonal.max	workers
Albury (C)		431
Albury (C)	0	148
Albury (C)	7875	1033
Albury (C)	15750	965
Albury (C)	21000	1134
Albury (C)	26250	1534
Albury (C)	34125	2457
Albury (C)	42000	3164
Albury (C)	52500	3599
Albury (C)	65625	3284
Albury (C)	78750	2294
Albury (C)	91875	1718
Albury (C)	105000	1165
Albury (C)	157500	1345
Albury (C)	Inf	540
Armidale Regional (A)		240
Armidale Regional (A)	0	134
Armidale Regional (A)	7875	568
Armidale Regional (A)	15750	665
Armidale Regional (A)	21000	691
Armidale Regional (A)	26250	889
Armidale Regional (A)	34125	1307
Armidale Regional (A)	42000	1689
Armidale Regional (A)	52500	1591
Armidale Regional (A)	65625	1570
Armidale Regional (A)	78750	994
Armidale Regional (A)	91875	921
Armidale Regional (A)	105000	626
Armidale Regional (A)	157500	884
Armidale Regional (A)	Inf	341
Ballina (A)		238
Ballina (A)	0	126
Ballina (A)	7875	673
Ballina (A)	15750	577
Ballina (A)	21000	824
Ballina (A)	26250	1144
Ballina (A)	34125	1784
Ballina (A)	42000	2145
Ballina (A)	52500	2089
Ballina (A)	65625	1745
Ballina (A)	78750	1015
Ballina (A)	91875	830
Ballina (A)	105000	654
Ballina (A)	157500	693
Ballina (A)	Inf	366
Balranald (A)		26
Balranald (A)	0	17
Balranald (A)	7875	9
Balranald (A)	15750	39
Balranald (A)	21000	49
Balranald (A)	26250	53
Balranald (A)	34125	100
Balranald (A)	42000	103
Balranald (A)	52500	126
Balranald (A)	65625	103
Balranald (A)	78750	58
Balranald (A)	91875	37
Balranald (A)	105000	21
Balranald (A)	157500	36
Balranald (A)	Inf	14
Bathurst Regional (A)		279
Bathurst Regional (A)	0	138
Bathurst Regional (A)	7875	701
Bathurst Regional (A)	15750	779
Bathurst Regional (A)	21000	827
Bathurst Regional (A)	26250	1053
Bathurst Regional (A)	34125	1679
Bathurst Regional (A)	42000	2033
Bathurst Regional (A)	52500	2347
Bathurst Regional (A)	65625	2187
Bathurst Regional (A)	78750	1507
Bathurst Regional (A)	91875	1370
Bathurst Regional (A)	105000	1031
Bathurst Regional (A)	157500	1127
Bathurst Regional (A)	Inf	395
Bega Valley (A)		202
Bega Valley (A)	0	111
Bega Valley (A)	7875	525
Bega Valley (A)	15750	617
Bega Valley (A)	21000	700
Bega Valley (A)	26250	945
Bega Valley (A)	34125	1420
Bega Valley (A)	42000	1589
Bega Valley (A)	52500	1676
Bega Valley (A)	65625	1481
Bega Valley (A)	78750	905
Bega Valley (A)	91875	659
Bega Valley (A)	105000	474
Bega Valley (A)	157500	445
Bega Valley (A)	Inf	191
Bellingen (A)		69
Bellingen (A)	0	49
Bellingen (A)	7875	164
Bellingen (A)	15750	209
Bellingen (A)	21000	234
Bellingen (A)	26250	306
Bellingen (A)	34125	460
Bellingen (A)	42000	496
Bellingen (A)	52500	463
Bellingen (A)	65625	369
Bellingen (A)	78750	259
Bellingen (A)	91875	171
Bellingen (A)	105000	134
Bellingen (A)	157500	154
Bellingen (A)	Inf	68
Berrigan (A)		61
Berrigan (A)	0	53
Berrigan (A)	7875	94
Berrigan (A)	15750	122
Berrigan (A)	21000	177
Berrigan (A)	26250	218
Berrigan (A)	34125	349
Berrigan (A)	42000	366
Berrigan (A)	52500	383
Berrigan (A)	65625	324
Berrigan (A)	78750	189
Berrigan (A)	91875	147
Berrigan (A)	105000	80
Berrigan (A)	157500	100
Berrigan (A)	Inf	47
Blacktown (C)		1724
Blacktown (C)	0	740
Blacktown (C)	7875	3460
Blacktown (C)	15750	4009
Blacktown (C)	21000	4106
Blacktown (C)	26250	5003
Blacktown (C)	34125	7994
Blacktown (C)	42000	11737
Blacktown (C)	52500	15138
Blacktown (C)	65625	15890
Blacktown (C)	78750	10800
Blacktown (C)	91875	8556
Blacktown (C)	105000	5978
Blacktown (C)	157500	7181
Blacktown (C)	Inf	3032
Bland (A)		67
Bland (A)	0	57
Bland (A)	7875	85
Bland (A)	15750	111
Bland (A)	21000	138
Bland (A)	26250	190
Bland (A)	34125	297
Bland (A)	42000	253
Bland (A)	52500	309
Bland (A)	65625	301
Bland (A)	78750	201
Bland (A)	91875	196
Bland (A)	105000	112
Bland (A)	157500	194
Bland (A)	Inf	100
Blayney (A)		51
Blayney (A)	0	36
Blayney (A)	7875	118
Blayney (A)	15750	111
Blayney (A)	21000	128
Blayney (A)	26250	123
Blayney (A)	34125	199
Blayney (A)	42000	287
Blayney (A)	52500	297
Blayney (A)	65625	308
Blayney (A)	78750	260
Blayney (A)	91875	259
Blayney (A)	105000	253
Blayney (A)	157500	369
Blayney (A)	Inf	129
Blue Mountains (C)		289
Blue Mountains (C)	0	154
Blue Mountains (C)	7875	1023
Blue Mountains (C)	15750	1132
Blue Mountains (C)	21000	1197
Blue Mountains (C)	26250	1438
Blue Mountains (C)	34125	2118
Blue Mountains (C)	42000	2241
Blue Mountains (C)	52500	2272
Blue Mountains (C)	65625	2058
Blue Mountains (C)	78750	1310
Blue Mountains (C)	91875	1091
Blue Mountains (C)	105000	842
Blue Mountains (C)	157500	929
Blue Mountains (C)	Inf	361
Bogan (A)		44
Bogan (A)	0	12
Bogan (A)	7875	27
Bogan (A)	15750	47
Bogan (A)	21000	54
Bogan (A)	26250	69
Bogan (A)	34125	106
Bogan (A)	42000	110
Bogan (A)	52500	144
Bogan (A)	65625	178
Bogan (A)	78750	101
Bogan (A)	91875	133
Bogan (A)	105000	86
Bogan (A)	157500	116
Bogan (A)	Inf	58
Botany Bay (C)		735
Botany Bay (C)	0	214
Botany Bay (C)	7875	801
Botany Bay (C)	15750	1047
