LGA_NAME16	LabourForceStatus	workers
Albury (C)		426
Albury (C)	Employed (away from work)	966
Albury (C)	Employed (full-time)	14305
Albury (C)	Employed (part-time)	9118
Armidale Regional (A)		254
Armidale Regional (A)	Employed (away from work)	487
Armidale Regional (A)	Employed (full-time)	7585
Armidale Regional (A)	Employed (part-time)	4776
Ballina (A)		277
Ballina (A)	Employed (away from work)	487
Ballina (A)	Employed (full-time)	7814
Ballina (A)	Employed (part-time)	6333
Balranald (A)		28
Balranald (A)	Employed (away from work)	28
Balranald (A)	Employed (full-time)	487
Balranald (A)	Employed (part-time)	257
Bathurst Regional (A)		343
Bathurst Regional (A)	Employed (away from work)	679
Bathurst Regional (A)	Employed (full-time)	10491
Bathurst Regional (A)	Employed (part-time)	5940
Bega Valley (A)		244
Bega Valley (A)	Employed (away from work)	531
Bega Valley (A)	Employed (full-time)	6246
Bega Valley (A)	Employed (part-time)	4922
Bellingen (A)		82
Bellingen (A)	Employed (away from work)	139
Bellingen (A)	Employed (full-time)	1731
Bellingen (A)	Employed (part-time)	1653
Berrigan (A)		79
Berrigan (A)	Employed (away from work)	126
Berrigan (A)	Employed (full-time)	1552
Berrigan (A)	Employed (part-time)	960
Blacktown (C)		2479
Blacktown (C)	Employed (away from work)	2775
Blacktown (C)	Employed (full-time)	69939
Blacktown (C)	Employed (part-time)	30163
Bland (A)		80
Bland (A)	Employed (away from work)	91
Bland (A)	Employed (full-time)	1674
Bland (A)	Employed (part-time)	751
Blayney (A)		69
Blayney (A)	Employed (away from work)	129
Blayney (A)	Employed (full-time)	1976
Blayney (A)	Employed (part-time)	753
Blue Mountains (C)		289
Blue Mountains (C)	Employed (away from work)	610
Blue Mountains (C)	Employed (full-time)	8722
Blue Mountains (C)	Employed (part-time)	8834
Bogan (A)		33
Bogan (A)	Employed (away from work)	40
Bogan (A)	Employed (full-time)	900
Bogan (A)	Employed (part-time)	321
Botany Bay (C)		980
Botany Bay (C)	Employed (away from work)	1734
Botany Bay (C)	Employed (full-time)	32744
Botany Bay (C)	Employed (part-time)	12046
Bourke (A)		28
Bourke (A)	Employed (away from work)	31
