LGA_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
Albury (C)				64
Albury (C)		0		311
Albury (C)		1	Local	15
Albury (C)		1	National	10
Albury (C)		1	State territory	22
Albury (C)	0			15
Albury (C)	0	0		128
Albury (C)	0	1	Local	3
Albury (C)	0	1	National	6
Albury (C)	0	1	State territory	7
Albury (C)	7875			13
Albury (C)	7875	0		993
Albury (C)	7875	1	Local	3
Albury (C)	7875	1	National	10
Albury (C)	7875	1	State territory	11
Albury (C)	15750			18
Albury (C)	15750	0		902
Albury (C)	15750	1	Local	3
Albury (C)	15750	1	National	26
Albury (C)	15750	1	State territory	22
Albury (C)	21000			16
Albury (C)	21000	0		1044
Albury (C)	21000	1	Local	8
Albury (C)	21000	1	National	28
Albury (C)	21000	1	State territory	29
Albury (C)	26250			20
Albury (C)	26250	0		1361
Albury (C)	26250	1	Local	11
Albury (C)	26250	1	National	79
Albury (C)	26250	1	State territory	58
Albury (C)	34125			28
Albury (C)	34125	0		2176
Albury (C)	34125	1	Local	21
Albury (C)	34125	1	National	108
Albury (C)	34125	1	State territory	126
Albury (C)	42000			18
Albury (C)	42000	0		2813
Albury (C)	42000	1	Local	41
Albury (C)	42000	1	National	113
Albury (C)	42000	1	State territory	177
Albury (C)	52500			30
Albury (C)	52500	0		3066
Albury (C)	52500	1	Local	92
Albury (C)	52500	1	National	170
Albury (C)	52500	1	State territory	247
Albury (C)	65625			15
Albury (C)	65625	0		2592
Albury (C)	65625	1	Local	87
Albury (C)	65625	1	National	252
Albury (C)	65625	1	State territory	339
Albury (C)	78750			14
Albury (C)	78750	0		1627
Albury (C)	78750	1	Local	82
Albury (C)	78750	1	National	261
Albury (C)	78750	1	State territory	313
Albury (C)	91875			3
Albury (C)	91875	0		1180
Albury (C)	91875	1	Local	40
Albury (C)	91875	1	National	167
Albury (C)	91875	1	State territory	331
Albury (C)	105000			5
Albury (C)	105000	0		716
Albury (C)	105000	1	Local	34
Albury (C)	105000	1	National	108
Albury (C)	105000	1	State territory	298
Albury (C)	157500			5
Albury (C)	157500	0		864
Albury (C)	157500	1	Local	31
Albury (C)	157500	1	National	133
Albury (C)	157500	1	State territory	312
Albury (C)	Inf	0		461
Albury (C)	Inf	1	Local	9
Albury (C)	Inf	1	National	19
Albury (C)	Inf	1	State territory	49
Armidale Regional (A)				21
Armidale Regional (A)		0		187
Armidale Regional (A)		1	Local	9
Armidale Regional (A)		1	National	11
Armidale Regional (A)		1	State territory	10
Armidale Regional (A)	0			5
Armidale Regional (A)	0	0		122
Armidale Regional (A)	0	1	State territory	3
Armidale Regional (A)	7875			6
Armidale Regional (A)	7875	0		521
Armidale Regional (A)	7875	1	National	24
Armidale Regional (A)	7875	1	State territory	6
Armidale Regional (A)	15750			10
Armidale Regional (A)	15750	0		586
Armidale Regional (A)	15750	1	National	46
Armidale Regional (A)	15750	1	State territory	13
Armidale Regional (A)	21000			7
Armidale Regional (A)	21000	0		612
Armidale Regional (A)	21000	1	Local	8
Armidale Regional (A)	21000	1	National	35
Armidale Regional (A)	21000	1	State territory	29
Armidale Regional (A)	26250			11
Armidale Regional (A)	26250	0		782
Armidale Regional (A)	26250	1	Local	7
Armidale Regional (A)	26250	1	National	45
Armidale Regional (A)	26250	1	State territory	47
Armidale Regional (A)	34125			10
Armidale Regional (A)	34125	0		1160
Armidale Regional (A)	34125	1	Local	13
Armidale Regional (A)	34125	1	National	69
Armidale Regional (A)	34125	1	State territory	60
Armidale Regional (A)	42000			18
Armidale Regional (A)	42000	0		1501
Armidale Regional (A)	42000	1	Local	28
Armidale Regional (A)	42000	1	National	57
Armidale Regional (A)	42000	1	State territory	90
Armidale Regional (A)	52500			11
Armidale Regional (A)	52500	0		1306
Armidale Regional (A)	52500	1	Local	45
Armidale Regional (A)	52500	1	National	95
Armidale Regional (A)	52500	1	State territory	141
Armidale Regional (A)	65625			8
Armidale Regional (A)	65625	0		1110
Armidale Regional (A)	65625	1	Local	68
Armidale Regional (A)	65625	1	National	193
Armidale Regional (A)	65625	1	State territory	187
Armidale Regional (A)	78750			3
Armidale Regional (A)	78750	0		573
Armidale Regional (A)	78750	1	Local	46
Armidale Regional (A)	78750	1	National	205
Armidale Regional (A)	78750	1	State territory	166
Armidale Regional (A)	91875	0		469
Armidale Regional (A)	91875	1	Local	38
Armidale Regional (A)	91875	1	National	231
Armidale Regional (A)	91875	1	State territory	181
Armidale Regional (A)	105000	0		271
Armidale Regional (A)	105000	1	Local	18
Armidale Regional (A)	105000	1	National	163
Armidale Regional (A)	105000	1	State territory	174
Armidale Regional (A)	157500	0		397
Armidale Regional (A)	157500	1	Local	11
Armidale Regional (A)	157500	1	National	277
Armidale Regional (A)	157500	1	State territory	197
Armidale Regional (A)	Inf	0		223
Armidale Regional (A)	Inf	1	Local	5
Armidale Regional (A)	Inf	1	National	86
Armidale Regional (A)	Inf	1	State territory	27
Ballina (A)				44
Ballina (A)		0		179
Ballina (A)		1	Local	12
Ballina (A)		1	National	3
Ballina (A)		1	State territory	5
Ballina (A)	0			11
Ballina (A)	0	0		116
