STE_CODE_2016,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
1,453170,793185,425979,348546,463171,310367,205585,296301,61874,3358175
2,369522,634780,356929,288930,362756,265348,158617,246705,46752,2730340
3,257478,423068,303471,242024,291171,207578,146529,225068,34482,2130869
4,93652,150373,99348,89379,99352,71586,45147,82516,11456,742822
5,139600,238004,191099,122847,150539,102203,88666,113951,19337,1166246
6,26340,40533,30008,26643,28099,21359,13546,25094,3746,215363
7,13108,21978,18803,14433,14461,7144,6713,10452,2664,109756
8,36690,68616,21322,23788,39826,15232,5131,11105,5756,227468
9,493,426,454,414,304,141,175,331,84,2804
