STE_CODE_2016,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
1,24064,48200,2916,2489,77667,90818,59617,3618,4978,159027,150386,37536,3762,4918,196599,175853,28270,4173,4687,212987,168520,23810,3678,3991,200000,166631,23768,3658,3558,197614,156140,23974,3555,3585,187253,147033,25907,4104,3289,180338,123691,27573,4909,2616,158786,74208,29078,4034,1916,109231,29644,21237,2215,1077,54172,8948,11030,881,579,21432,4507,6736,627,803,12682,1320443,366741,42135,38478,1767803,11122,66586,3500,2389,83592,68171,74328,4827,3755,151084,115078,54756,8166,3369,181371,102011,66345,13257,2978,184593,86021,73370,8857,2521,170774,93400,78900,4733,2564,179601,97541,74094,3911,2537,178084,92444,68519,4600,2450,168012,74906,62411,5190,2030,144538,39921,45561,4124,1446,91054,12850,22883,2018,802,38551,3244,8459,716,494,12909,1411,3670,367,765,6213,798123,699888,64275,28093,1590377,35187,114791,6407,4873,161258,158984,133946,8447,8731,310112,265471,92289,11924,8287,377969,277866,94617,17435,7662,397587,254540,97185,12536,6513,370775,260032,102671,8395,6121,377216,253677,98071,7471,6120,365336,239478,94427,8701,5740,348350,198594,89986,10105,4648,303329,114122,74640,8162,3361,200287,42494,44120,4233,1873,92721,12190,19488,1594,1071,34345
2,14595,41025,1926,1812,59354,69649,54485,2879,3891,130910,125318,32868,3122,4113,165415,146539,23957,3588,3672,177762,137249,19608,3222,3077,163157,133504,19119,3136,2819,158576,129792,19436,3078,2778,155087,117432,19323,3473,2551,142784,97864,21014,3886,2094,124863,59957,23212,3692,1537,88401,22762,17526,1981,833,43099,6661,8702,803,508,16669,3365,5240,527,653,9793,1064679,305518,35315,30345,1435859,5374,55567,2348,1927,65212,49674,68413,4063,3023,125174,95571,48410,6680,2774,153436,83065,57000,11635,2374,154069,63922,64143,7989,1954,138004,67585,70521,4231,2069,144395,73830,68934,3648,2141,148555,68748,60127,4103,1944,134926,53780,53837,4460,1615,113698,28741,39450,3683,1153,73034,8811,18872,1788,654,30126,2076,6274,588,394,9334,971,2665,328,553,4517,602147,614221,55536,22575,1294475,19968,96596,4267,3734,124565,119320,122903,6946,6919,256083,220893,81277,9802,6879,318849,229606,80958,15226,6051,331831,201169,83751,11211,5031,301156,201084,89638,7359,4883,302970,203620,88375,6731,4917,303647,186186,79445,7579,4496,277704,151648,74846,8349,3714,238559,88701,62668,7376,2693,161430,31573,36405,3769,1490,73230,8735,14977,1385,907,26004
3,17202,38432,1837,1626,59103,65083,35267,2362,2766,105473,91264,21924,2732,2629,118550,103083,16659,3059,2444,125244,99290,14351,2694,2199,118532,104357,14745,2810,2204,124117,101869,15167,2892,2158,122077,93016,15132,3162,1755,113065,76889,16106,3536,1489,98018,48145,16472,2866,1109,68590,18246,12167,1418,639,32474,5371,5997,514,338,12214,2593,3302,296,486,6679,826407,225733,30165,21841,1104150,9304,53624,2088,1678,66700,47729,48082,3264,1937,101013,64283,37190,5820,1818,109105,57107,44609,8271,1568,111552,51516,48684,5156,1450,106804,60694,52629,3102,1737,118167,65606,49703,2918,1625,119856,60798,44408,3474,1439,110118,47564,39314,3587,1190,91648,25660,28443,2775,869,57745,7942,13666,1189,491,23292,1961,4779,373,308,7421,788,1868,194,452,3300,500953,466993,42207,16567,1026718,26507,92065,3925,3306,125805,112811,83344,5628,4696,206484,155546,59117,8553,4445,227655,160183,61271,11328,4017,236799,150801,63034,7847,3649,225334,165056,67375,5912,3942,242287,167469,64871,5813,3783,241937,153820,59532,6631,3191,223182,124457,55416,7122,2678,189671,73804,44914,5636,1976,126333,26193,25835,2608,1135,55763,7332,10778,884,644,19635
4,4107,11876,588,461,17032,19067,13775,941,826,34611,29366,8405,993,779,39548,33979,6867,1026,781,42652,32520,5832,973,641,39967,34086,5789,981,598,41459,35283,6069,1082,684,43127,33272,6426,1266,580,41546,29085,6763,1388,478,37716,18564,6950,1193,357,27064,6624,5267,632,215,12737,1813,2611,231,133,4785,931,1519,172,192,2815,278693,88152,11461,6724,385040,1751,17034,701,459,19938,12433,18757,1272,629,33082,19995,13392,2145,597,36134,17124,16897,3280,531,37828,14551,18391,1993,412,35352,17232,19802,1198,463,38691,20402,20127,1102,491,42115,20262,18673,1358,458,40751,16897,17392,1555,381,36224,9564,12693,1239,314,23811,2829,5885,591,186,9488,643,1999,176,122,2937,315,823,98,195,1418,153988,181872,16691,5239,357780,5855,28912,1282,915,36970,31501,32529,2214,1449,67693,49367,21800,3135,1381,75679,51106,23760,4300,1312,80482,47072,24227,2968,1055,75320,51315,25590,2178,1067,80149,55683,26195,2189,1175,85244,53535,25102,2628,1041,82297,45976,24159,2942,862,73936,28129,19647,2430,673,50876,9452,11151,1220,396,22225,2450,4613,401,253,7725
5,7981,18065,862,754,27662,31957,19537,1629,1463,54587,54486,12263,2352,1498,70606,64826,9591,2703,1499,78625,59177,7740,2398,1242,70549,58567,7602,2238,1182,69590,58078,7829,2426,1161,69498,52660,7870,2513,985,64026,42859,8276,2503,798,54439,26738,9344,2115,560,38752,10143,7413,979,303,18840,2661,3720,373,175,6937,1182,2178,215,186,3757,471317,121429,23308,11815,627869,4044,24708,980,720,30461,23363,24976,1682,1084,51107,37590,19782,3120,1000,61497,31399,25227,4566,877,62069,24552,27555,2921,739,55761,27336,29376,1786,799,59299,31192,28219,1758,860,62029,29662,24647,2019,757,57090,23531,22020,2177,639,48368,12988,16897,1677,411,31975,3922,8046,812,225,12996,821,2744,245,133,3951,343,1137,117,176,1765,250753,255338,23856,8426,538376,12029,42773,1840,1479,58120,55317,44517,3316,2546,105697,92083,32052,5477,2495,132104,96227,34825,7271,2377,140692,83726,35294,5311,1980,126310,85908,36972,4025,1983,128888,89273,36048,4180,2019,131527,82325,32521,4534,1745,121119,66388,30301,4683,1435,102805,39728,26240,3787,974,70729,14063,15456,1791,524,31834,3490,6464,622,311,10884
6,1680,3444,215,162,5510,5832,3241,302,223,9592,7686,2019,258,210,10170,8609,1761,328,224,10923,8338,1584,277,186,10392,9166,1798,308,185,11455,9991,1949,360,210,12509,9795,2137,432,199,12560,8790,2419,502,189,11898,5295,2548,451,125,8418,1794,1737,210,80,3822,502,794,84,50,1431,269,520,47,64,899,77734,25943,3777,2113,109572,779,5169,284,175,6413,3734,4838,405,151,9134,4757,3955,609,137,9461,4106,4968,856,126,10059,3806,5614,574,111,10111,5058,6249,421,140,11865,6080,6237,427,173,12921,6190,5888,532,155,12768,5185,5769,635,158,11741,2631,4123,454,107,7316,722,1756,171,70,2718,179,592,51,48,860,77,262,27,60,434,43312,55419,5452,1614,105795,2463,8614,501,340,11916,9569,8077,712,372,18728,12441,5972,873,344,19630,12717,6729,1188,345,20975,12143,7200,857,298,20496,14220,8040,728,326,23316,16071,8190,786,388,25429,15988,8028,959,357,25333,13972,8190,1135,345,23639,7928,6673,903,234,15741,2512,3488,386,149,6537,675,1385,128,91,2284
7,915,1294,95,118,2417,3899,992,221,212,5318,6369,927,288,229,7808,6822,794,322,208,8149,5968,664,281,165,7074,5601,612,270,157,6639,5526,616,255,129,6518,4978,610,291,139,6018,4120,577,305,102,5105,2730,539,195,77,3536,1064,397,83,29,1575,289,160,30,14,495,104,79,11,13,215,48383,8263,2635,1586,60869,651,1420,70,100,2242,2750,1254,164,155,4323,4534,1464,351,153,6495,4113,1782,470,155,6520,3436,1676,318,107,5537,3543,1516,204,91,5350,3741,1334,199,116,5393,3476,1049,231,109,4867,2808,994,222,72,4097,1651,726,138,52,2564,579,393,69,36,1081,120,146,13,9,292,42,62,6,10,132,31444,13816,2456,1165,48880,1563,2713,158,218,4657,6643,2245,388,369,9645,10900,2385,641,382,14307,10937,2578,796,362,14669,9407,2340,598,269,12612,9148,2128,468,240,11992,9261,1943,458,245,11912,8453,1661,521,252,10884,6929,1573,519,180,9202,4381,1268,330,124,6104,1647,789,156,69,2656,407,308,40,27,788
8,1294,3663,213,177,5343,6260,4199,289,289,11037,10691,2119,323,238,13377,12536,1804,400,225,14970,11794,1576,349,233,13944,11415,1394,307,176,13293,11086,1235,299,160,12786,9640,1161,403,139,11348,7317,1281,352,112,9053,3967,1343,249,59,5623,1566,1089,156,38,2845,354,497,50,22,920,127,257,28,30,446,88062,21609,3420,1892,114986,901,4917,221,214,6254,5511,5153,432,279,11371,9634,3157,851,160,13798,8400,4338,1523,161,14418,7253,4737,1003,143,13139,7995,4373,513,115,12997,8343,3798,392,132,12670,7626,3085,445,105,11267,5459,2621,434,95,8612,2668,2072,297,58,5099,755,1116,131,31,2031,164,352,34,17,570,49,151,25,22,256,64765,39877,6299,1542,112484,2199,8575,436,388,11597,11776,9348,722,565,22412,20322,5277,1176,402,27170,20936,6140,1928,385,29389,19054,6309,1352,377,27092,19408,5765,814,293,26282,19433,5038,691,294,25454,17271,4249,854,249,22616,12778,3905,783,200,17665,6637,3417,546,119,10722,2326,2201,282,71,4876,515,852,79,41,1488
9,21,19,0,0,41,71,23,8,3,99,102,21,17,3,132,118,19,12,3,150,140,22,9,8,181,129,9,13,6,155,136,26,15,6,177,155,38,4,3,205,147,21,20,4,196,101,24,16,4,140,75,30,4,0,109,17,5,0,0,27,13,10,0,3,23,1215,260,119,43,1633,10,21,3,3,37,37,21,5,0,65,62,23,11,3,98,61,50,11,0,119,72,37,9,3,122,68,52,9,3,133,84,38,8,4,128,87,40,4,9,143,80,42,9,4,134,47,35,8,4,94,28,28,4,3,64,13,14,0,0,24,0,13,0,0,13,644,412,76,35,1173,26,41,3,10,75,108,40,12,3,162,161,36,23,5,231,177,66,21,3,266,210,61,21,9,299,197,59,24,6,285,217,65,20,7,301,247,81,16,10,350,232,62,28,7,330,145,68,18,6,236,101,59,12,6,171,31,23,0,0,53
