STE_CODE_2016,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
1,5918,10411,1000,1564,18893,2118564,1066637,106408,66572,3358175
2,4334,7906,857,1211,14306,1666825,919740,90853,52916,2730340
3,3385,5172,486,941,9984,1327362,692728,72375,38407,2130869
4,1240,2341,268,381,4229,432684,270028,28152,11961,742822
5,1519,3319,327,363,5531,722065,376770,47166,20244,1166246
6,343,784,74,125,1334,121049,81367,9226,3723,215363
7,148,148,24,28,343,79828,22086,5095,2751,109756
8,176,414,55,57,697,152824,61486,9719,3430,227468
9,8,19,0,3,38,1858,671,199,81,2804
