STE_NAME16	HoursWorked.min	IndustryOfEmployment	Sex	workers
New South Wales			F	13234
New South Wales			M	19062
New South Wales		Accommodation and food services	F	1838
New South Wales		Accommodation and food services	M	1680
New South Wales		Administrative and support services	F	736
New South Wales		Administrative and support services	M	781
New South Wales		Agriculture forestry and fishing	F	443
New South Wales		Agriculture forestry and fishing	M	931
New South Wales		Arts and recreation services	F	269
New South Wales		Arts and recreation services	M	356
New South Wales		Construction	F	354
New South Wales		Construction	M	3653
New South Wales		Education and training	F	1659
New South Wales		Education and training	M	806
New South Wales		Electricity gas water and waste services	F	38
New South Wales		Electricity gas water and waste services	M	249
New South Wales		Financial and insurance services	F	585
New South Wales		Financial and insurance services	M	609
New South Wales		Health care and social assistance	F	3234
New South Wales		Health care and social assistance	M	960
New South Wales		Information media and telecommunications	F	178
New South Wales		Information media and telecommunications	M	300
New South Wales		Manufacturing	F	480
New South Wales		Manufacturing	M	1327
New South Wales		Mining	F	37
New South Wales		Mining	M	365
New South Wales		Other services	F	686
New South Wales		Other services	M	803
New South Wales		Professional scientific and technical services	F	738
New South Wales		Professional scientific and technical services	M	1095
New South Wales		Public administration and safety	F	634
New South Wales		Public administration and safety	M	1096
New South Wales		Rental hiring and real estate services	F	219
New South Wales		Rental hiring and real estate services	M	260
New South Wales		Retail trade	F	2087
New South Wales		Retail trade	M	1744
New South Wales		Transport postal and warehousing	F	430
New South Wales		Transport postal and warehousing	M	1904
New South Wales		Wholesale trade	F	219
New South Wales		Wholesale trade	M	494
New South Wales	0		F	2213
New South Wales	0		M	2496
New South Wales	0	Accommodation and food services	F	4154
New South Wales	0	Accommodation and food services	M	2703
New South Wales	0	Administrative and support services	F	1998
New South Wales	0	Administrative and support services	M	1371
New South Wales	0	Agriculture forestry and fishing	F	843
New South Wales	0	Agriculture forestry and fishing	M	1419
New South Wales	0	Arts and recreation services	F	1001
New South Wales	0	Arts and recreation services	M	812
New South Wales	0	Construction	F	1073
New South Wales	0	Construction	M	5369
New South Wales	0	Education and training	F	8069
New South Wales	0	Education and training	M	2020
New South Wales	0	Electricity gas water and waste services	F	272
New South Wales	0	Electricity gas water and waste services	M	671
New South Wales	0	Financial and insurance services	F	4321
New South Wales	0	Financial and insurance services	M	1681
New South Wales	0	Health care and social assistance	F	15189
New South Wales	0	Health care and social assistance	M	2658
New South Wales	0	Information media and telecommunications	F	1139
New South Wales	0	Information media and telecommunications	M	793
New South Wales	0	Manufacturing	F	1786
New South Wales	0	Manufacturing	M	2692
New South Wales	0	Mining	F	227
New South Wales	0	Mining	M	1131
New South Wales	0	Other services	F	1709
New South Wales	0	Other services	M	1248
New South Wales	0	Professional scientific and technical services	F	4312
New South Wales	0	Professional scientific and technical services	M	2388
New South Wales	0	Public administration and safety	F	5304
New South Wales	0	Public administration and safety	M	4080
New South Wales	0	Rental hiring and real estate services	F	940
New South Wales	0	Rental hiring and real estate services	M	512
New South Wales	0	Retail trade	F	6902
New South Wales	0	Retail trade	M	3327
New South Wales	0	Transport postal and warehousing	F	1649
New South Wales	0	Transport postal and warehousing	M	3749
New South Wales	0	Wholesale trade	F	1171
New South Wales	0	Wholesale trade	M	1030
New South Wales	1		F	8283
New South Wales	1		M	6539
New South Wales	1	Accommodation and food services	F	39462
New South Wales	1	Accommodation and food services	M	24554
New South Wales	1	Administrative and support services	F	11567
New South Wales	1	Administrative and support services	M	6626
New South Wales	1	Agriculture forestry and fishing	F	3379
New South Wales	1	Agriculture forestry and fishing	M	3149
New South Wales	1	Arts and recreation services	F	6156
New South Wales	1	Arts and recreation services	M	4863
New South Wales	1	Construction	F	5771
New South Wales	1	Construction	M	9615
New South Wales	1	Education and training	F	29866
New South Wales	1	Education and training	M	12313
New South Wales	1	Electricity gas water and waste services	F	264
New South Wales	1	Electricity gas water and waste services	M	445
New South Wales	1	Financial and insurance services	F	3566
New South Wales	1	Financial and insurance services	M	1945
New South Wales	1	Health care and social assistance	F	33765
New South Wales	1	Health care and social assistance	M	6575
New South Wales	1	Information media and telecommunications	F	2507
New South Wales	1	Information media and telecommunications	M	2087
New South Wales	1	Manufacturing	F	6269
New South Wales	1	Manufacturing	M	4124
New South Wales	1	Mining	F	202
New South Wales	1	Mining	M	363
New South Wales	1	Other services	F	10985
New South Wales	1	Other services	M	4368
New South Wales	1	Professional scientific and technical services	F	13563
New South Wales	1	Professional scientific and technical services	M	7503
New South Wales	1	Public administration and safety	F	4806
New South Wales	1	Public administration and safety	M	3386
New South Wales	1	Rental hiring and real estate services	F	3065
New South Wales	1	Rental hiring and real estate services	M	1836
New South Wales	1	Retail trade	F	43668
New South Wales	1	Retail trade	M	21063
New South Wales	1	Transport postal and warehousing	F	3565
New South Wales	1	Transport postal and warehousing	M	6465
New South Wales	1	Wholesale trade	F	2777
New South Wales	1	Wholesale trade	M	2226
New South Wales	16		F	6969
New South Wales	16		M	6234
New South Wales	16	Accommodation and food services	F	24623
New South Wales	16	Accommodation and food services	M	18457
New South Wales	16	Administrative and support services	F	10370
New South Wales	16	Administrative and support services	M	6876
New South Wales	16	Agriculture forestry and fishing	F	2782
New South Wales	16	Agriculture forestry and fishing	M	2986
New South Wales	16	Arts and recreation services	F	3514
New South Wales	16	Arts and recreation services	M	2537
New South Wales	16	Construction	F	5366
New South Wales	16	Construction	M	13138
New South Wales	16	Education and training	F	28203
New South Wales	16	Education and training	M	6332
New South Wales	16	Electricity gas water and waste services	F	550
New South Wales	16	Electricity gas water and waste services	M	584
New South Wales	16	Financial and insurance services	F	7729
New South Wales	16	Financial and insurance services	M	2099
New South Wales	16	Health care and social assistance	F	58448
New South Wales	16	Health care and social assistance	M	8355
New South Wales	16	Information media and telecommunications	F	2588
New South Wales	16	Information media and telecommunications	M	1641
New South Wales	16	Manufacturing	F	6321
New South Wales	16	Manufacturing	M	5076
New South Wales	16	Mining	F	271
New South Wales	16	Mining	M	508
New South Wales	16	Other services	F	9020
New South Wales	16	Other services	M	4019
New South Wales	16	Professional scientific and technical services	F	14950
New South Wales	16	Professional scientific and technical services	M	6944
New South Wales	16	Public administration and safety	F	8727
New South Wales	16	Public administration and safety	M	3469
New South Wales	16	Rental hiring and real estate services	F	3309
New South Wales	16	Rental hiring and real estate services	M	1558
New South Wales	16	Retail trade	F	32929
New South Wales	16	Retail trade	M	15534
New South Wales	16	Transport postal and warehousing	F	4440
New South Wales	16	Transport postal and warehousing	M	7772
New South Wales	16	Wholesale trade	F	3769
New South Wales	16	Wholesale trade	M	2422
New South Wales	25		F	6058
New South Wales	25		M	5734
New South Wales	25	Accommodation and food services	F	18659
New South Wales	25	Accommodation and food services	M	11727
New South Wales	25	Administrative and support services	F	8583
New South Wales	25	Administrative and support services	M	6183
New South Wales	25	Agriculture forestry and fishing	F	3104
New South Wales	25	Agriculture forestry and fishing	M	3852
New South Wales	25	Arts and recreation services	F	3348
New South Wales	25	Arts and recreation services	M	2794
New South Wales	25	Construction	F	4940
New South Wales	25	Construction	M	16479
New South Wales	25	Education and training	F	29433
New South Wales	25	Education and training	M	6441
New South Wales	25	Electricity gas water and waste services	F	699
New South Wales	25	Electricity gas water and waste services	M	897
New South Wales	25	Financial and insurance services	F	9161
New South Wales	25	Financial and insurance services	M	3194
New South Wales	25	Health care and social assistance	F	62707
New South Wales	25	Health care and social assistance	M	10615
New South Wales	25	Information media and telecommunications	F	2635
New South Wales	25	Information media and telecommunications	M	1868
New South Wales	25	Manufacturing	F	6609
