STE_NAME16	HoursWorked.min	IncomeTotPersonal.max	Occupation	workers
New South Wales				5513
New South Wales			Clerical and administrative workers	569
New South Wales			Community and personal service workers	778
New South Wales			Labourers	842
New South Wales			Machinery operators and drivers	590
New South Wales			Managers	722
New South Wales			Professionals	994
New South Wales			Sales workers	626
New South Wales			Technicians and trades workers	1183
New South Wales		0		1102
New South Wales		0	Clerical and administrative workers	109
New South Wales		0	Community and personal service workers	133
New South Wales		0	Labourers	172
New South Wales		0	Machinery operators and drivers	76
New South Wales		0	Managers	166
New South Wales		0	Professionals	127
New South Wales		0	Sales workers	134
New South Wales		0	Technicians and trades workers	142
New South Wales		7875		779
New South Wales		7875	Clerical and administrative workers	146
New South Wales		7875	Community and personal service workers	427
New South Wales		7875	Labourers	394
New South Wales		7875	Machinery operators and drivers	47
New South Wales		7875	Managers	65
New South Wales		7875	Professionals	197
New South Wales		7875	Sales workers	597
New South Wales		7875	Technicians and trades workers	120
New South Wales		15750		1058
New South Wales		15750	Clerical and administrative workers	227
New South Wales		15750	Community and personal service workers	569
New South Wales		15750	Labourers	529
New South Wales		15750	Machinery operators and drivers	142
New South Wales		15750	Managers	144
New South Wales		15750	Professionals	225
New South Wales		15750	Sales workers	554
New South Wales		15750	Technicians and trades workers	280
New South Wales		21000		1273
New South Wales		21000	Clerical and administrative workers	263
New South Wales		21000	Community and personal service workers	584
New South Wales		21000	Labourers	583
New South Wales		21000	Machinery operators and drivers	192
New South Wales		21000	Managers	209
New South Wales		21000	Professionals	196
New South Wales		21000	Sales workers	450
New South Wales		21000	Technicians and trades workers	429
New South Wales		26250		1342
New South Wales		26250	Clerical and administrative workers	253
New South Wales		26250	Community and personal service workers	608
New South Wales		26250	Labourers	714
New South Wales		26250	Machinery operators and drivers	270
New South Wales		26250	Managers	199
New South Wales		26250	Professionals	253
New South Wales		26250	Sales workers	411
New South Wales		26250	Technicians and trades workers	597
New South Wales		34125		1560
New South Wales		34125	Clerical and administrative workers	420
New South Wales		34125	Community and personal service workers	773
New South Wales		34125	Labourers	873
New South Wales		34125	Machinery operators and drivers	394
New South Wales		34125	Managers	326
New South Wales		34125	Professionals	381
New South Wales		34125	Sales workers	552
New South Wales		34125	Technicians and trades workers	817
New South Wales		42000		1467
New South Wales		42000	Clerical and administrative workers	555
New South Wales		42000	Community and personal service workers	749
New South Wales		42000	Labourers	983
New South Wales		42000	Machinery operators and drivers	557
New South Wales		42000	Managers	348
New South Wales		42000	Professionals	482
New South Wales		42000	Sales workers	462
New South Wales		42000	Technicians and trades workers	921
New South Wales		52500		1560
New South Wales		52500	Clerical and administrative workers	644
New South Wales		52500	Community and personal service workers	634
New South Wales		52500	Labourers	787
New South Wales		52500	Machinery operators and drivers	662
New South Wales		52500	Managers	464
New South Wales		52500	Professionals	640
New South Wales		52500	Sales workers	305
New South Wales		52500	Technicians and trades workers	976
New South Wales		65625		1267
New South Wales		65625	Clerical and administrative workers	623
New South Wales		65625	Community and personal service workers	416
New South Wales		65625	Labourers	499
New South Wales		65625	Machinery operators and drivers	570
New South Wales		65625	Managers	542
New South Wales		65625	Professionals	845
New South Wales		65625	Sales workers	242
New South Wales		65625	Technicians and trades workers	926
New South Wales		78750		704
New South Wales		78750	Clerical and administrative workers	344
New South Wales		78750	Community and personal service workers	234
New South Wales		78750	Labourers	220
New South Wales		78750	Machinery operators and drivers	363
New South Wales		78750	Managers	365
New South Wales		78750	Professionals	701
New South Wales		78750	Sales workers	113
New South Wales		78750	Technicians and trades workers	500
New South Wales		91875		532
New South Wales		91875	Clerical and administrative workers	245
New South Wales		91875	Community and personal service workers	160
New South Wales		91875	Labourers	135
New South Wales		91875	Machinery operators and drivers	272
New South Wales		91875	Managers	317
New South Wales		91875	Professionals	687
New South Wales		91875	Sales workers	88
New South Wales		91875	Technicians and trades workers	372
New South Wales		105000		322
New South Wales		105000	Clerical and administrative workers	103
New South Wales		105000	Community and personal service workers	78
New South Wales		105000	Labourers	78
New South Wales		105000	Machinery operators and drivers	136
New South Wales		105000	Managers	269
New South Wales		105000	Professionals	547
New South Wales		105000	Sales workers	54
New South Wales		105000	Technicians and trades workers	207
New South Wales		157500		397
New South Wales		157500	Clerical and administrative workers	131
New South Wales		157500	Community and personal service workers	76
New South Wales		157500	Labourers	64
New South Wales		157500	Machinery operators and drivers	166
New South Wales		157500	Managers	485
New South Wales		157500	Professionals	637
New South Wales		157500	Sales workers	71
New South Wales		157500	Technicians and trades workers	204
New South Wales		Inf		426
New South Wales		Inf	Clerical and administrative workers	89
New South Wales		Inf	Community and personal service workers	50
New South Wales		Inf	Labourers	42
New South Wales		Inf	Machinery operators and drivers	56
New South Wales		Inf	Managers	418
New South Wales		Inf	Professionals	448
New South Wales		Inf	Sales workers	61
New South Wales		Inf	Technicians and trades workers	106
New South Wales	0			168
New South Wales	0		Clerical and administrative workers	182
New South Wales	0		Community and personal service workers	162
New South Wales	0		Labourers	180
New South Wales	0		Machinery operators and drivers	110
New South Wales	0		Managers	167
New South Wales	0		Professionals	294
New South Wales	0		Sales workers	166
New South Wales	0		Technicians and trades workers	159
New South Wales	0	0		255
New South Wales	0	0	Clerical and administrative workers	285
New South Wales	0	0	Community and personal service workers	265
New South Wales	0	0	Labourers	262
New South Wales	0	0	Machinery operators and drivers	87
New South Wales	0	0	Managers	227
New South Wales	0	0	Professionals	409
New South Wales	0	0	Sales workers	372
New South Wales	0	0	Technicians and trades workers	174
New South Wales	0	7875		125
New South Wales	0	7875	Clerical and administrative workers	429
New South Wales	0	7875	Community and personal service workers	1175
New South Wales	0	7875	Labourers	1349
New South Wales	0	7875	Machinery operators and drivers	113
New South Wales	0	7875	Managers	138
New South Wales	0	7875	Professionals	493
New South Wales	0	7875	Sales workers	2402
New South Wales	0	7875	Technicians and trades workers	257
New South Wales	0	15750		170
New South Wales	0	15750	Clerical and administrative workers	603
New South Wales	0	15750	Community and personal service workers	1161
New South Wales	0	15750	Labourers	857
New South Wales	0	15750	Machinery operators and drivers	211
New South Wales	0	15750	Managers	250
New South Wales	0	15750	Professionals	581
New South Wales	0	15750	Sales workers	1247
New South Wales	0	15750	Technicians and trades workers	387
New South Wales	0	21000		165
New South Wales	0	21000	Clerical and administrative workers	655
New South Wales	0	21000	Community and personal service workers	1030
New South Wales	0	21000	Labourers	824
New South Wales	0	21000	Machinery operators and drivers	219
New South Wales	0	21000	Managers	249
New South Wales	0	21000	Professionals	616
New South Wales	0	21000	Sales workers	854
New South Wales	0	21000	Technicians and trades workers	514
New South Wales	0	26250		162
New South Wales	0	26250	Clerical and administrative workers	812
New South Wales	0	26250	Community and personal service workers	1094
New South Wales	0	26250	Labourers	820
New South Wales	0	26250	Machinery operators and drivers	268
New South Wales	0	26250	Managers	309
New South Wales	0	26250	Professionals	678
New South Wales	0	26250	Sales workers	833
New South Wales	0	26250	Technicians and trades workers	612
New South Wales	0	34125		226
New South Wales	0	34125	Clerical and administrative workers	1406
New South Wales	0	34125	Community and personal service workers	1675
New South Wales	0	34125	Labourers	1088
New South Wales	0	34125	Machinery operators and drivers	418
New South Wales	0	34125	Managers	491
New South Wales	0	34125	Professionals	1387
New South Wales	0	34125	Sales workers	1117
New South Wales	0	34125	Technicians and trades workers	933
New South Wales	0	42000		210
New South Wales	0	42000	Clerical and administrative workers	1713
New South Wales	0	42000	Community and personal service workers	1616
New South Wales	0	42000	Labourers	1223
New South Wales	0	42000	Machinery operators and drivers	628
New South Wales	0	42000	Managers	645
New South Wales	0	42000	Professionals	1634
New South Wales	0	42000	Sales workers	1011
New South Wales	0	42000	Technicians and trades workers	1066
New South Wales	0	52500		253
New South Wales	0	52500	Clerical and administrative workers	2108
New South Wales	0	52500	Community and personal service workers	1511
New South Wales	0	52500	Labourers	1061
New South Wales	0	52500	Machinery operators and drivers	930
New South Wales	0	52500	Managers	899
New South Wales	0	52500	Professionals	2104
New South Wales	0	52500	Sales workers	768
New South Wales	0	52500	Technicians and trades workers	1358
New South Wales	0	65625		242
New South Wales	0	65625	Clerical and administrative workers	2667
New South Wales	0	65625	Community and personal service workers	1205
New South Wales	0	65625	Labourers	762
New South Wales	0	65625	Machinery operators and drivers	940
New South Wales	0	65625	Managers	1195
New South Wales	0	65625	Professionals	3294
New South Wales	0	65625	Sales workers	583
New South Wales	0	65625	Technicians and trades workers	1445
New South Wales	0	78750		151
