STE_NAME16	CountryOfBirth	Sex	workers
New South Wales		F	113237
New South Wales		M	139568
New South Wales	AUS	F	1065881
New South Wales	AUS	M	1148099
New South Wales	CAN	F	4576
New South Wales	CAN	M	4261
New South Wales	CHN	F	55711
New South Wales	CHN	M	53366
New South Wales	HRV	F	2503
New South Wales	HRV	M	2998
New South Wales	EGY	F	3159
New South Wales	EGY	M	5137
New South Wales	FJI	F	10676
New South Wales	FJI	M	10760
New South Wales	MKD	F	3202
New South Wales	MKD	M	3885
New South Wales	DEU	F	6087
New South Wales	DEU	M	6127
New South Wales	GRC	F	2590
New South Wales	GRC	M	4018
New South Wales	HKG	F	12043
New South Wales	HKG	M	12883
New South Wales	IND	F	35813
New South Wales	IND	M	57590
New South Wales	IDN	F	9842
New South Wales	IDN	M	9896
New South Wales	IRN	F	4620
New South Wales	IRN	M	6765
New South Wales	IRQ	F	3923
New South Wales	IRQ	M	7189
New South Wales	IRL	F	7064
New South Wales	IRL	M	9417
New South Wales	ITA	F	5768
New South Wales	ITA	M	9919
New South Wales	JPN	F	5027
New South Wales	JPN	M	2884
New South Wales	LBN	F	7057
New South Wales	LBN	M	15130
New South Wales	MYS	F	9627
New South Wales	MYS	M	9269
New South Wales	MLT	F	1477
New South Wales	MLT	M	2192
New South Wales	NLD	F	2651
New South Wales	NLD	M	3359
New South Wales	NZL	F	34026
New South Wales	NZL	M	39662
New South Wales	PAK	F	2629
New South Wales	PAK	M	9585
New South Wales	PHL	F	32498
New South Wales	PHL	M	24169
New South Wales	POL	F	3660
New South Wales	POL	M	3368
New South Wales	SGP	F	3448
New South Wales	SGP	M	3163
New South Wales	ZAF	F	13639
New South Wales	ZAF	M	15535
New South Wales	KOR	F	13143
New South Wales	KOR	M	15008
New South Wales	LKA	F	7285
New South Wales	LKA	M	10250
New South Wales	THA	F	10816
New South Wales	THA	M	6120
New South Wales	TUR	F	2108
New South Wales	TUR	M	3652
New South Wales	GBR	F	63134
New South Wales	GBR	M	78948
New South Wales	USA	F	8391
New South Wales	USA	M	8481
New South Wales	VNM	F	20783
New South Wales	VNM	M	22739
New South Wales	ZWE	F	2281
New South Wales	ZWE	M	2404
Victoria		F	82290
Victoria		M	101901
Victoria	AUS	F	896507
Victoria	AUS	M	953566
Victoria	CAN	F	3229
Victoria	CAN	M	2805
Victoria	CHN	F	35113
Victoria	CHN	M	32211
Victoria	HRV	F	2490
Victoria	HRV	M	3081
Victoria	EGY	F	2055
Victoria	EGY	M	3083
Victoria	FJI	F	3430
Victoria	FJI	M	3468
Victoria	MKD	F	3169
Victoria	MKD	M	4196
Victoria	DEU	F	4775
Victoria	DEU	M	5257
Victoria	GRC	F	4207
Victoria	GRC	M	6428
Victoria	HKG	F	6080
Victoria	HKG	M	6286
Victoria	IND	F	41245
Victoria	IND	M	69159
Victoria	IDN	F	5061
Victoria	IDN	M	4586
Victoria	IRN	F	2646
Victoria	IRN	M	4368
Victoria	IRQ	F	1695
Victoria	IRQ	M	3451
Victoria	IRL	F	4419
Victoria	IRL	M	5488
Victoria	ITA	F	6883
Victoria	ITA	M	11762
Victoria	JPN	F	3022
Victoria	JPN	M	1550
Victoria	LBN	F	2059
Victoria	LBN	M	4287
Victoria	MYS	F	14221
Victoria	MYS	M	13706
Victoria	MLT	F	1843
Victoria	MLT	M	2705
Victoria	NLD	F	2681
Victoria	NLD	M	3704
Victoria	NZL	F	27754
Victoria	NZL	M	31213
Victoria	PAK	F	1973
Victoria	PAK	M	8488
Victoria	PHL	F	18731
Victoria	PHL	M	13750
Victoria	POL	F	3472
Victoria	POL	M	3288
Victoria	SGP	F	4187
Victoria	SGP	M	3732
Victoria	ZAF	F	8569
Victoria	ZAF	M	9528
Victoria	KOR	F	3768
Victoria	KOR	M	4149
Victoria	LKA	F	14235
Victoria	LKA	M	20115
Victoria	THA	F	5229
Victoria	THA	M	2678
Victoria	TUR	F	2152
Victoria	TUR	M	4182
Victoria	GBR	F	47735
Victoria	GBR	M	58935
Victoria	USA	F	5534
Victoria	USA	M	5435
Victoria	VNM	F	20342
Victoria	VNM	M	21569
Victoria	ZWE	F	1681
Victoria	ZWE	M	1745
Queensland		F	54323
Queensland		M	59174
