STE_NAME16	ModeTravelToWork	NumberModes	Occupation	workers
New South Wales	Bicycle	1		375
New South Wales	Bicycle	1	Clerical and administrative workers	1799
New South Wales	Bicycle	1	Community and personal service workers	1941
New South Wales	Bicycle	1	Labourers	1904
New South Wales	Bicycle	1	Machinery operators and drivers	1153
New South Wales	Bicycle	1	Managers	3257
New South Wales	Bicycle	1	Professionals	9022
New South Wales	Bicycle	1	Sales workers	1165
New South Wales	Bicycle	1	Technicians and trades workers	2587
New South Wales	Bus	1		2197
New South Wales	Bus	1	Clerical and administrative workers	22502
New South Wales	Bus	1	Community and personal service workers	11735
New South Wales	Bus	1	Labourers	8942
New South Wales	Bus	1	Machinery operators and drivers	2935
New South Wales	Bus	1	Managers	18011
New South Wales	Bus	1	Professionals	44868
New South Wales	Bus	1	Sales workers	13641
New South Wales	Bus	1	Technicians and trades workers	7618
New South Wales	Bus and car as driver	2		95
New South Wales	Bus and car as driver	2	Clerical and administrative workers	1113
New South Wales	Bus and car as driver	2	Community and personal service workers	394
New South Wales	Bus and car as driver	2	Labourers	157
New South Wales	Bus and car as driver	2	Machinery operators and drivers	190
New South Wales	Bus and car as driver	2	Managers	951
New South Wales	Bus and car as driver	2	Professionals	2154
New South Wales	Bus and car as driver	2	Sales workers	443
New South Wales	Bus and car as driver	2	Technicians and trades workers	330
New South Wales	Bus and car as passenger	2		49
New South Wales	Bus and car as passenger	2	Clerical and administrative workers	532
New South Wales	Bus and car as passenger	2	Community and personal service workers	523
New South Wales	Bus and car as passenger	2	Labourers	524
New South Wales	Bus and car as passenger	2	Machinery operators and drivers	120
New South Wales	Bus and car as passenger	2	Managers	298
New South Wales	Bus and car as passenger	2	Professionals	729
New South Wales	Bus and car as passenger	2	Sales workers	815
New South Wales	Bus and car as passenger	2	Technicians and trades workers	211
New South Wales	Bus and ferry	2		28
New South Wales	Bus and ferry	2	Clerical and administrative workers	195
New South Wales	Bus and ferry	2	Community and personal service workers	50
New South Wales	Bus and ferry	2	Labourers	24
New South Wales	Bus and ferry	2	Machinery operators and drivers	4
New South Wales	Bus and ferry	2	Managers	337
New South Wales	Bus and ferry	2	Professionals	667
New South Wales	Bus and ferry	2	Sales workers	78
New South Wales	Bus and ferry	2	Technicians and trades workers	37
New South Wales	Bus and other	2		36
New South Wales	Bus and other	2	Clerical and administrative workers	198
New South Wales	Bus and other	2	Community and personal service workers	154
New South Wales	Bus and other	2	Labourers	100
New South Wales	Bus and other	2	Machinery operators and drivers	68
New South Wales	Bus and other	2	Managers	234
New South Wales	Bus and other	2	Professionals	614
New South Wales	Bus and other	2	Sales workers	113
New South Wales	Bus and other	2	Technicians and trades workers	111
New South Wales	Bus and tram includes light rail	2		10
New South Wales	Bus and tram includes light rail	2	Clerical and administrative workers	56
New South Wales	Bus and tram includes light rail	2	Community and personal service workers	65
New South Wales	Bus and tram includes light rail	2	Labourers	26
New South Wales	Bus and tram includes light rail	2	Machinery operators and drivers	3
New South Wales	Bus and tram includes light rail	2	Managers	65
New South Wales	Bus and tram includes light rail	2	Professionals	159
New South Wales	Bus and tram includes light rail	2	Sales workers	38
New South Wales	Bus and tram includes light rail	2	Technicians and trades workers	37
New South Wales	Bus and two other methods excludes train	3		29
New South Wales	Bus and two other methods excludes train	3	Clerical and administrative workers	120
New South Wales	Bus and two other methods excludes train	3	Community and personal service workers	134
New South Wales	Bus and two other methods excludes train	3	Labourers	54
New South Wales	Bus and two other methods excludes train	3	Machinery operators and drivers	35
New South Wales	Bus and two other methods excludes train	3	Managers	185
New South Wales	Bus and two other methods excludes train	3	Professionals	400
New South Wales	Bus and two other methods excludes train	3	Sales workers	129
New South Wales	Bus and two other methods excludes train	3	Technicians and trades workers	82
New South Wales	Car as driver	1		27181
New South Wales	Car as driver	1	Clerical and administrative workers	251616
New South Wales	Car as driver	1	Community and personal service workers	201451
New South Wales	Car as driver	1	Labourers	169874
New South Wales	Car as driver	1	Machinery operators and drivers	145557
New South Wales	Car as driver	1	Managers	264144
New South Wales	Car as driver	1	Professionals	411353
New South Wales	Car as driver	1	Sales workers	167617
New South Wales	Car as driver	1	Technicians and trades workers	298337
New South Wales	Car as passenger	1		2287
New South Wales	Car as passenger	1	Clerical and administrative workers	15485
New South Wales	Car as passenger	1	Community and personal service workers	15577
New South Wales	Car as passenger	1	Labourers	29994
New South Wales	Car as passenger	1	Machinery operators and drivers	8060
New South Wales	Car as passenger	1	Managers	11077
New South Wales	Car as passenger	1	Professionals	18693
New South Wales	Car as passenger	1	Sales workers	23163
New South Wales	Car as passenger	1	Technicians and trades workers	18923
New South Wales	Did not go to work			4026
New South Wales	Did not go to work		Clerical and administrative workers	39253
New South Wales	Did not go to work		Community and personal service workers	48921
New South Wales	Did not go to work		Labourers	28394
New South Wales	Did not go to work		Machinery operators and drivers	14771
New South Wales	Did not go to work		Managers	22436
New South Wales	Did not go to work		Professionals	63749
