STE_NAME16	Age	workers
New South Wales	15-19	161258
New South Wales	20-24	310112
New South Wales	25-29	377969
New South Wales	30-34	397587
New South Wales	35-39	370775
New South Wales	40-44	377216
New South Wales	45-49	365336
New South Wales	50-54	348350
New South Wales	55-59	303329
New South Wales	60-64	200287
New South Wales	65-69	92721
New South Wales	70-74	34345
New South Wales	75+	18893
Victoria	15-19	124565
Victoria	20-24	256083
Victoria	25-29	318849
Victoria	30-34	331831
Victoria	35-39	301156
Victoria	40-44	302970
Victoria	45-49	303647
Victoria	50-54	277704
Victoria	55-59	238559
Victoria	60-64	161430
Victoria	65-69	73230
Victoria	70-74	26004
Victoria	75+	14306
Queensland	15-19	125805
Queensland	20-24	206484
Queensland	25-29	227655
Queensland	30-34	236799
Queensland	35-39	225334
Queensland	40-44	242287
Queensland	45-49	241937
Queensland	50-54	223182
Queensland	55-59	189671
Queensland	60-64	126333
Queensland	65-69	55763
Queensland	70-74	19635
Queensland	75+	9984
South Australia	15-19	36970
South Australia	20-24	67693
South Australia	25-29	75679
South Australia	30-34	80482
South Australia	35-39	75320
South Australia	40-44	80149
South Australia	45-49	85244
South Australia	50-54	82297
South Australia	55-59	73936
South Australia	60-64	50876
South Australia	65-69	22225
South Australia	70-74	7725
South Australia	75+	4229
Western Australia	15-19	58120
Western Australia	20-24	105697
Western Australia	25-29	132104
Western Australia	30-34	140692
Western Australia	35-39	126310
Western Australia	40-44	128888
Western Australia	45-49	131527
Western Australia	50-54	121119
Western Australia	55-59	102805
Western Australia	60-64	70729
Western Australia	65-69	31834
Western Australia	70-74	10884
Western Australia	75+	5531
Tasmania	15-19	11916
Tasmania	20-24	18728
Tasmania	25-29	19630
Tasmania	30-34	20975
Tasmania	35-39	20496
Tasmania	40-44	23316
Tasmania	45-49	25429
Tasmania	50-54	25333
Tasmania	55-59	23639
Tasmania	60-64	15741
Tasmania	65-69	6537
Tasmania	70-74	2284
Tasmania	75+	1334
Northern Territory	15-19	4657
Northern Territory	20-24	9645
Northern Territory	25-29	14307
Northern Territory	30-34	14669
Northern Territory	35-39	12612
Northern Territory	40-44	11992
Northern Territory	45-49	11912
Northern Territory	50-54	10884
Northern Territory	55-59	9202
Northern Territory	60-64	6104
Northern Territory	65-69	2656
Northern Territory	70-74	788
Northern Territory	75+	343
Australian Capital Territory	15-19	11597
Australian Capital Territory	20-24	22412
Australian Capital Territory	25-29	27170
Australian Capital Territory	30-34	29389
Australian Capital Territory	35-39	27092
Australian Capital Territory	40-44	26282
Australian Capital Territory	45-49	25454
Australian Capital Territory	50-54	22616
Australian Capital Territory	55-59	17665
Australian Capital Territory	60-64	10722
Australian Capital Territory	65-69	4876
Australian Capital Territory	70-74	1488
Australian Capital Territory	75+	697
Other Territories	15-19	75
Other Territories	20-24	162
Other Territories	25-29	231
Other Territories	30-34	266
Other Territories	35-39	299
Other Territories	40-44	285
Other Territories	45-49	301
Other Territories	50-54	350
Other Territories	55-59	330
Other Territories	60-64	236
Other Territories	65-69	171
Other Territories	70-74	53
Other Territories	75+	38
