STE_NAME16	IncomeTotPersonal.max	Occupation	PublicSector	LevelOfGovt	workers
New South Wales					5867
New South Wales			0		2081
New South Wales			1	Local	27
New South Wales			1	National	38
New South Wales			1	State territory	82
New South Wales		Clerical and administrative workers			337
New South Wales		Clerical and administrative workers	0		4547
New South Wales		Clerical and administrative workers	1	Local	104
New South Wales		Clerical and administrative workers	1	National	288
New South Wales		Clerical and administrative workers	1	State territory	439
New South Wales		Community and personal service workers			346
New South Wales		Community and personal service workers	0		3787
New South Wales		Community and personal service workers	1	Local	48
New South Wales		Community and personal service workers	1	National	72
New South Wales		Community and personal service workers	1	State territory	488
New South Wales		Labourers			450
New South Wales		Labourers	0		4324
New South Wales		Labourers	1	Local	78
New South Wales		Labourers	1	National	7
New South Wales		Labourers	1	State territory	117
New South Wales		Machinery operators and drivers			293
New South Wales		Machinery operators and drivers	0		2862
New South Wales		Machinery operators and drivers	1	Local	63
New South Wales		Machinery operators and drivers	1	National	15
New South Wales		Machinery operators and drivers	1	State territory	65
New South Wales		Managers			301
New South Wales		Managers	0		5633
New South Wales		Managers	1	Local	40
New South Wales		Managers	1	National	89
New South Wales		Managers	1	State territory	147
New South Wales		Professionals			537
New South Wales		Professionals	0		5848
New South Wales		Professionals	1	Local	75
New South Wales		Professionals	1	National	316
New South Wales		Professionals	1	State territory	1259
New South Wales		Sales workers			259
New South Wales		Sales workers	0		4299
New South Wales		Sales workers	1	Local	4
New South Wales		Sales workers	1	National	15
New South Wales		Sales workers	1	State territory	15
New South Wales		Technicians and trades workers			657
New South Wales		Technicians and trades workers	0		6146
New South Wales		Technicians and trades workers	1	Local	68
New South Wales		Technicians and trades workers	1	National	49
New South Wales		Technicians and trades workers	1	State territory	88
New South Wales	0				1278
New South Wales	0		0		897
New South Wales	0		1	National	13
New South Wales	0		1	State territory	19
New South Wales	0	Clerical and administrative workers			69
New South Wales	0	Clerical and administrative workers	0		2368
New South Wales	0	Clerical and administrative workers	1	Local	22
New South Wales	0	Clerical and administrative workers	1	National	138
New South Wales	0	Clerical and administrative workers	1	State territory	80
New South Wales	0	Community and personal service workers			89
New South Wales	0	Community and personal service workers	0		2062
New South Wales	0	Community and personal service workers	1	Local	9
New South Wales	0	Community and personal service workers	1	National	9
New South Wales	0	Community and personal service workers	1	State territory	90
New South Wales	0	Labourers			103
New South Wales	0	Labourers	0		2623
New South Wales	0	Labourers	1	Local	11
New South Wales	0	Labourers	1	National	3
New South Wales	0	Labourers	1	State territory	26
New South Wales	0	Machinery operators and drivers			44
New South Wales	0	Machinery operators and drivers	0		832
New South Wales	0	Machinery operators and drivers	1	Local	7
New South Wales	0	Machinery operators and drivers	1	National	5
New South Wales	0	Machinery operators and drivers	1	State territory	13
New South Wales	0	Managers			80
New South Wales	0	Managers	0		5272
New South Wales	0	Managers	1	Local	8
New South Wales	0	Managers	1	National	28
New South Wales	0	Managers	1	State territory	32
New South Wales	0	Professionals			72
New South Wales	0	Professionals	0		2497
New South Wales	0	Professionals	1	Local	23
New South Wales	0	Professionals	1	National	90
New South Wales	0	Professionals	1	State territory	195
New South Wales	0	Sales workers			64
New South Wales	0	Sales workers	0		2951
New South Wales	0	Sales workers	1	National	8
New South Wales	0	Sales workers	1	State territory	10
New South Wales	0	Technicians and trades workers			80
New South Wales	0	Technicians and trades workers	0		2142
New South Wales	0	Technicians and trades workers	1	Local	3
New South Wales	0	Technicians and trades workers	1	National	8
New South Wales	0	Technicians and trades workers	1	State territory	15
New South Wales	7875				940
New South Wales	7875		0		935
New South Wales	7875		1	Local	3
New South Wales	7875		1	National	37
New South Wales	7875		1	State territory	14
New South Wales	7875	Clerical and administrative workers			78
New South Wales	7875	Clerical and administrative workers	0		6252
New South Wales	7875	Clerical and administrative workers	1	Local	99
New South Wales	7875	Clerical and administrative workers	1	National	439
New South Wales	7875	Clerical and administrative workers	1	State territory	236
New South Wales	7875	Community and personal service workers			190
New South Wales	7875	Community and personal service workers	0		18995
New South Wales	7875	Community and personal service workers	1	Local	149
New South Wales	7875	Community and personal service workers	1	National	121
New South Wales	7875	Community and personal service workers	1	State territory	575
New South Wales	7875	Labourers			163
New South Wales	7875	Labourers	0		20945
New South Wales	7875	Labourers	1	Local	38
New South Wales	7875	Labourers	1	National	22
New South Wales	7875	Labourers	1	State territory	142
New South Wales	7875	Machinery operators and drivers			35
New South Wales	7875	Machinery operators and drivers	0		2344
New South Wales	7875	Machinery operators and drivers	1	Local	3
New South Wales	7875	Machinery operators and drivers	1	National	6
New South Wales	7875	Machinery operators and drivers	1	State territory	13
New South Wales	7875	Managers			35
New South Wales	7875	Managers	0		3352
New South Wales	7875	Managers	1	Local	6
New South Wales	7875	Managers	1	National	21
New South Wales	7875	Managers	1	State territory	34
New South Wales	7875	Professionals			102
New South Wales	7875	Professionals	0		7529
New South Wales	7875	Professionals	1	Local	29
New South Wales	7875	Professionals	1	National	640
New South Wales	7875	Professionals	1	State territory	505
New South Wales	7875	Sales workers			161
New South Wales	7875	Sales workers	0		36596
New South Wales	7875	Sales workers	1	Local	8
New South Wales	7875	Sales workers	1	National	40
New South Wales	7875	Sales workers	1	State territory	22
New South Wales	7875	Technicians and trades workers			99
New South Wales	7875	Technicians and trades workers	0		4041
New South Wales	7875	Technicians and trades workers	1	Local	15
New South Wales	7875	Technicians and trades workers	1	National	47
New South Wales	7875	Technicians and trades workers	1	State territory	40
New South Wales	15750				1283
New South Wales	15750		0		1172
New South Wales	15750		1	National	45
New South Wales	15750		1	State territory	17
New South Wales	15750	Clerical and administrative workers			98
New South Wales	15750	Clerical and administrative workers	0		12259
New South Wales	15750	Clerical and administrative workers	1	Local	124
New South Wales	15750	Clerical and administrative workers	1	National	759
New South Wales	15750	Clerical and administrative workers	1	State territory	501
New South Wales	15750	Community and personal service workers			283
New South Wales	15750	Community and personal service workers	0		23866
New South Wales	15750	Community and personal service workers	1	Local	258
New South Wales	15750	Community and personal service workers	1	National	213
New South Wales	15750	Community and personal service workers	1	State territory	1275
New South Wales	15750	Labourers			355
New South Wales	15750	Labourers	0		20804
New South Wales	15750	Labourers	1	Local	58
New South Wales	15750	Labourers	1	National	56
New South Wales	15750	Labourers	1	State territory	379
New South Wales	15750	Machinery operators and drivers			92
New South Wales	15750	Machinery operators and drivers	0		4570
New South Wales	15750	Machinery operators and drivers	1	Local	7
New South Wales	15750	Machinery operators and drivers	1	National	15
New South Wales	15750	Machinery operators and drivers	1	State territory	49
New South Wales	15750	Managers			55
New South Wales	15750	Managers	0		6238
New South Wales	15750	Managers	1	Local	12
New South Wales	15750	Managers	1	National	47
New South Wales	15750	Managers	1	State territory	59
New South Wales	15750	Professionals			91
New South Wales	15750	Professionals	0		10428
New South Wales	15750	Professionals	1	Local	53
New South Wales	15750	Professionals	1	National	915
New South Wales	15750	Professionals	1	State territory	890
New South Wales	15750	Sales workers			163
New South Wales	15750	Sales workers	0		29617
New South Wales	15750	Sales workers	1	Local	10
New South Wales	15750	Sales workers	1	National	55
New South Wales	15750	Sales workers	1	State territory	44
New South Wales	15750	Technicians and trades workers			169
New South Wales	15750	Technicians and trades workers	0		9320
New South Wales	15750	Technicians and trades workers	1	Local	27
New South Wales	15750	Technicians and trades workers	1	National	60
New South Wales	15750	Technicians and trades workers	1	State territory	90
New South Wales	21000				1563
New South Wales	21000		0		1415
New South Wales	21000		1	Local	7
New South Wales	21000		1	National	30
New South Wales	21000		1	State territory	23
New South Wales	21000	Clerical and administrative workers			139
New South Wales	21000	Clerical and administrative workers	0		16188
New South Wales	21000	Clerical and administrative workers	1	Local	213
New South Wales	21000	Clerical and administrative workers	1	National	679
New South Wales	21000	Clerical and administrative workers	1	State territory	710
New South Wales	21000	Community and personal service workers			314
New South Wales	21000	Community and personal service workers	0		25577
New South Wales	21000	Community and personal service workers	1	Local	244
New South Wales	21000	Community and personal service workers	1	National	221
New South Wales	21000	Community and personal service workers	1	State territory	1592
New South Wales	21000	Labourers			427
New South Wales	21000	Labourers	0		23296
New South Wales	21000	Labourers	1	Local	87
New South Wales	21000	Labourers	1	National	50
New South Wales	21000	Labourers	1	State territory	423
New South Wales	21000	Machinery operators and drivers			137
New South Wales	21000	Machinery operators and drivers	0		6561
New South Wales	21000	Machinery operators and drivers	1	Local	12
New South Wales	21000	Machinery operators and drivers	1	National	20
New South Wales	21000	Machinery operators and drivers	1	State territory	65
New South Wales	21000	Managers			81
New South Wales	21000	Managers	0		8702
New South Wales	21000	Managers	1	Local	28
New South Wales	21000	Managers	1	National	38
New South Wales	21000	Managers	1	State territory	73
New South Wales	21000	Professionals			99
New South Wales	21000	Professionals	0		11718
New South Wales	21000	Professionals	1	Local	75
New South Wales	21000	Professionals	1	National	753
New South Wales	21000	Professionals	1	State territory	1415
New South Wales	21000	Sales workers			165
New South Wales	21000	Sales workers	0		25782
New South Wales	21000	Sales workers	1	Local	11
New South Wales	21000	Sales workers	1	National	57
New South Wales	21000	Sales workers	1	State territory	29
New South Wales	21000	Technicians and trades workers			294
New South Wales	21000	Technicians and trades workers	0		15526
New South Wales	21000	Technicians and trades workers	1	Local	65
New South Wales	21000	Technicians and trades workers	1	National	55
New South Wales	21000	Technicians and trades workers	1	State territory	122
New South Wales	26250				1589
New South Wales	26250		0		1631
New South Wales	26250		1	Local	11
New South Wales	26250		1	National	32
New South Wales	26250		1	State territory	46
New South Wales	26250	Clerical and administrative workers			121
New South Wales	26250	Clerical and administrative workers	0		20209
New South Wales	26250	Clerical and administrative workers	1	Local	363
New South Wales	26250	Clerical and administrative workers	1	National	914
New South Wales	26250	Clerical and administrative workers	1	State territory	1227
New South Wales	26250	Community and personal service workers			302
New South Wales	26250	Community and personal service workers	0		29190
New South Wales	26250	Community and personal service workers	1	Local	287
New South Wales	26250	Community and personal service workers	1	National	276
New South Wales	26250	Community and personal service workers	1	State territory	2048
New South Wales	26250	Labourers			435
New South Wales	26250	Labourers	0		27147
New South Wales	26250	Labourers	1	Local	145
New South Wales	26250	Labourers	1	National	84
New South Wales	26250	Labourers	1	State territory	586
New South Wales	26250	Machinery operators and drivers			179
New South Wales	26250	Machinery operators and drivers	0		8634
New South Wales	26250	Machinery operators and drivers	1	Local	32
New South Wales	26250	Machinery operators and drivers	1	National	39
New South Wales	26250	Machinery operators and drivers	1	State territory	111
New South Wales	26250	Managers			88
New South Wales	26250	Managers	0		10442
New South Wales	26250	Managers	1	Local	33
New South Wales	26250	Managers	1	National	62
New South Wales	26250	Managers	1	State territory	91
New South Wales	26250	Professionals			132
New South Wales	26250	Professionals	0		13667
New South Wales	26250	Professionals	1	Local	99
New South Wales	26250	Professionals	1	National	915
New South Wales	26250	Professionals	1	State territory	1775
New South Wales	26250	Sales workers			134
New South Wales	26250	Sales workers	0		27167
New South Wales	26250	Sales workers	1	Local	13
New South Wales	26250	Sales workers	1	National	114
New South Wales	26250	Sales workers	1	State territory	60
New South Wales	26250	Technicians and trades workers			300
New South Wales	26250	Technicians and trades workers	0		24188
New South Wales	26250	Technicians and trades workers	1	Local	108
New South Wales	26250	Technicians and trades workers	1	National	90
New South Wales	26250	Technicians and trades workers	1	State territory	218
New South Wales	34125				1946
New South Wales	34125		0		2492
New South Wales	34125		1	Local	29
New South Wales	34125		1	National	62
New South Wales	34125		1	State territory	91
New South Wales	34125	Clerical and administrative workers			241
New South Wales	34125	Clerical and administrative workers	0		35500
New South Wales	34125	Clerical and administrative workers	1	Local	724
New South Wales	34125	Clerical and administrative workers	1	National	1637
New South Wales	34125	Clerical and administrative workers	1	State territory	2727
New South Wales	34125	Community and personal service workers			339
