STE_NAME16	IncomeTotPersonal.max	Sex	workers
New South Wales		F	65013
New South Wales		F	80998
New South Wales		F	89323
New South Wales		F	104502
New South Wales		F	162287
New South Wales		F	188521
New South Wales		F	199725
New South Wales		F	196601
New South Wales		F	134561
New South Wales		F	110785
New South Wales		F	76137
New South Wales		F	97132
New South Wales		F	24068
New South Wales		M	41055
New South Wales		M	45893
New South Wales		M	55749
New South Wales		M	70825
New South Wales		M	109494
New South Wales		M	154840
New South Wales		M	212808
New South Wales		M	239433
New South Wales		M	174851
New South Wales		M	156298
New South Wales		M	118472
New South Wales		M	202151
New South Wales		M	28626
New South Wales	0	F	12436
New South Wales	0	M	11941
New South Wales	Inf	F	48279
New South Wales	Inf	M	145366
Victoria		F	62132
Victoria		F	75289
Victoria		F	77762
Victoria		F	89372
Victoria		F	136053
Victoria		F	155450
Victoria		F	166818
Victoria		F	162800
Victoria		F	110457
Victoria		F	84099
Victoria		F	50693
Victoria		F	59944
Victoria		F	22180
Victoria		M	39610
Victoria		M	41178
Victoria		M	46572
Victoria		M	57286
Victoria		M	88833
Victoria		M	130142
Victoria		M	181161
Victoria		M	201846
Victoria		M	146901
Victoria		M	127907
Victoria		M	93006
Victoria		M	146677
Victoria		M	25875
Victoria	0	F	11101
Victoria	0	M	10819
Victoria	Inf	F	30335
Victoria	Inf	M	98038
Queensland		F	45481
Queensland		F	53719
Queensland		F	58026
Queensland		F	70567
Queensland		F	116317
Queensland		F	136657
Queensland		F	137324
Queensland		F	129477
Queensland		F	84539
Queensland		F	69956
Queensland		F	38689
Queensland		F	43922
Queensland		F	15372
Queensland		M	29248
Queensland		M	29024
Queensland		M	33227
Queensland		M	41076
Queensland		M	67103
Queensland		M	101262
Queensland		M	141859
Queensland		M	158973
Queensland		M	115999
Queensland		M	103505
Queensland		M	73124
Queensland		M	116107
Queensland		M	18200
Queensland	0	F	8929
Queensland	0	M	8352
Queensland	Inf	F	17747
Queensland	Inf	M	67093
South Australia		F	16573
South Australia		F	20839
South Australia		F	21754
South Australia		F	27191
