STE_NAME16	Occupation	OccupationSubtype	Sex	workers
New South Wales			F	25277
New South Wales			M	36603
New South Wales	Clerical and administrative workers	Clerical and administrative workers nfd	F	528
New South Wales	Clerical and administrative workers	Clerical and administrative workers nfd	M	290
New South Wales	Clerical and administrative workers	Clerical and office support workers	F	9792
New South Wales	Clerical and administrative workers	Clerical and office support workers	M	14738
New South Wales	Clerical and administrative workers	General clerical workers	F	72159
New South Wales	Clerical and administrative workers	General clerical workers	M	12990
New South Wales	Clerical and administrative workers	Inquiry clerks and receptionists	F	63832
New South Wales	Clerical and administrative workers	Inquiry clerks and receptionists	M	10705
New South Wales	Clerical and administrative workers	Numerical clerks	F	77476
New South Wales	Clerical and administrative workers	Numerical clerks	M	23430
New South Wales	Clerical and administrative workers	Office managers and program administrators	F	55205
New South Wales	Clerical and administrative workers	Office managers and program administrators	M	20623
New South Wales	Clerical and administrative workers	Other clerical and administrative workers	F	35478
New South Wales	Clerical and administrative workers	Other clerical and administrative workers	M	30324
New South Wales	Clerical and administrative workers	Personal assistants and secretaries	F	34765
New South Wales	Clerical and administrative workers	Personal assistants and secretaries	M	839
New South Wales	Community and personal service workers	Carers and aides	F	119305
New South Wales	Community and personal service workers	Carers and aides	M	19587
New South Wales	Community and personal service workers	Community and personal service workers nfd	F	133
New South Wales	Community and personal service workers	Community and personal service workers nfd	M	45
New South Wales	Community and personal service workers	Health and welfare support workers	F	26038
New South Wales	Community and personal service workers	Health and welfare support workers	M	9659
New South Wales	Community and personal service workers	Hospitality workers	F	54193
New South Wales	Community and personal service workers	Hospitality workers	M	27018
New South Wales	Community and personal service workers	Protective service workers	F	7998
New South Wales	Community and personal service workers	Protective service workers	M	32757
New South Wales	Community and personal service workers	Sports and personal service workers	F	32743
New South Wales	Community and personal service workers	Sports and personal service workers	M	19071
New South Wales	Labourers	Cleaners and laundry workers	F	43071
New South Wales	Labourers	Cleaners and laundry workers	M	33194
New South Wales	Labourers	Construction and mining labourers	F	770
New South Wales	Labourers	Construction and mining labourers	M	40923
New South Wales	Labourers	Factory process workers	F	18352
New South Wales	Labourers	Factory process workers	M	31403
New South Wales	Labourers	Farm forestry and garden workers	F	6112
New South Wales	Labourers	Farm forestry and garden workers	M	19651
New South Wales	Labourers	Food preparation assistants	F	20494
New South Wales	Labourers	Food preparation assistants	M	22709
New South Wales	Labourers	Labourers nfd	F	773
New South Wales	Labourers	Labourers nfd	M	6003
New South Wales	Labourers	Other labourers	F	11210
New South Wales	Labourers	Other labourers	M	41652
New South Wales	Machinery operators and drivers	Machine and stationary plant operators	F	6040
New South Wales	Machinery operators and drivers	Machine and stationary plant operators	M	35525
New South Wales	Machinery operators and drivers	Machinery operators and drivers nfd	F	331
New South Wales	Machinery operators and drivers	Machinery operators and drivers nfd	M	3987
New South Wales	Machinery operators and drivers	Mobile plant operators	F	1141
New South Wales	Machinery operators and drivers	Mobile plant operators	M	30140
New South Wales	Machinery operators and drivers	Road and rail drivers	F	5243
New South Wales	Machinery operators and drivers	Road and rail drivers	M	88261
New South Wales	Machinery operators and drivers	Storepersons	F	7897
New South Wales	Machinery operators and drivers	Storepersons	M	27018
New South Wales	Managers	Chief executives general managers and legislators	F	9319
New South Wales	Managers	Chief executives general managers and legislators	M	27585
New South Wales	Managers	Farmers and farm managers	F	11517
New South Wales	Managers	Farmers and farm managers	M	29760
New South Wales	Managers	Hospitality retail and service managers	F	61252
New South Wales	Managers	Hospitality retail and service managers	M	71404
New South Wales	Managers	Managers nfd	F	3292
New South Wales	Managers	Managers nfd	M	6956
New South Wales	Managers	Specialist managers	F	82837
New South Wales	Managers	Specialist managers	M	149252
New South Wales	Professionals	Arts and media professionals	F	14996
New South Wales	Professionals	Arts and media professionals	M	16671
New South Wales	Professionals	Business human resource and marketing professionals	F	102895
New South Wales	Professionals	Business human resource and marketing professionals	M	106454
New South Wales	Professionals	Design engineering science and transport professionals	F	30905
New South Wales	Professionals	Design engineering science and transport professionals	M	62614
New South Wales	Professionals	Education professionals	F	113756
New South Wales	Professionals	Education professionals	M	44453
New South Wales	Professionals	Health professionals	F	112114
New South Wales	Professionals	Health professionals	M	40325
New South Wales	Professionals	Information and Communication Technology ICT professionals	F	14045
New South Wales	Professionals	Information and Communication Technology ICT professionals	M	59334
New South Wales	Professionals	Legal social and welfare professionals	F	37559
New South Wales	Professionals	Legal social and welfare professionals	M	24514
New South Wales	Professionals	Professionals nfd	F	6319
New South Wales	Professionals	Professionals nfd	M	6222
New South Wales	Sales workers	Sales assistants and salespersons	F	128720
New South Wales	Sales workers	Sales assistants and salespersons	M	76038
New South Wales	Sales workers	Sales representatives and agents	F	25603
New South Wales	Sales workers	Sales representatives and agents	M	34939
New South Wales	Sales workers	Sales support workers	F	32352
New South Wales	Sales workers	Sales support workers	M	11959
New South Wales	Sales workers	Sales workers nfd	F	385
New South Wales	Sales workers	Sales workers nfd	M	371
New South Wales	Technicians and trades workers	Automotive and engineering trades workers	F	1178
New South Wales	Technicians and trades workers	Automotive and engineering trades workers	M	78559
New South Wales	Technicians and trades workers	Construction trades workers	F	1279
New South Wales	Technicians and trades workers	Construction trades workers	M	92161
New South Wales	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	1096
New South Wales	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	55294
New South Wales	Technicians and trades workers	Engineering ICT and science technicians	F	15817
New South Wales	Technicians and trades workers	Engineering ICT and science technicians	M	45316
New South Wales	Technicians and trades workers	Food trades workers	F	15431
New South Wales	Technicians and trades workers	Food trades workers	M	36547
New South Wales	Technicians and trades workers	Other technicians and trades workers	F	22042
New South Wales	Technicians and trades workers	Other technicians and trades workers	M	24979
New South Wales	Technicians and trades workers	Skilled animal and horticultural workers	F	8958
New South Wales	Technicians and trades workers	Skilled animal and horticultural workers	M	21600
New South Wales	Technicians and trades workers	Technicians and trades workers nfd	F	358
New South Wales	Technicians and trades workers	Technicians and trades workers nfd	M	5379
Victoria			F	19068
Victoria			M	27685
Victoria	Clerical and administrative workers	Clerical and administrative workers nfd	F	584
Victoria	Clerical and administrative workers	Clerical and administrative workers nfd	M	317
Victoria	Clerical and administrative workers	Clerical and office support workers	F	7754
Victoria	Clerical and administrative workers	Clerical and office support workers	M	11789
Victoria	Clerical and administrative workers	General clerical workers	F	50162
Victoria	Clerical and administrative workers	General clerical workers	M	10053
Victoria	Clerical and administrative workers	Inquiry clerks and receptionists	F	53442
Victoria	Clerical and administrative workers	Inquiry clerks and receptionists	M	10416
Victoria	Clerical and administrative workers	Numerical clerks	F	63931
Victoria	Clerical and administrative workers	Numerical clerks	M	19438
Victoria	Clerical and administrative workers	Office managers and program administrators	F	43204
Victoria	Clerical and administrative workers	Office managers and program administrators	M	15939
Victoria	Clerical and administrative workers	Other clerical and administrative workers	F	27926
Victoria	Clerical and administrative workers	Other clerical and administrative workers	M	25536
Victoria	Clerical and administrative workers	Personal assistants and secretaries	F	21564
Victoria	Clerical and administrative workers	Personal assistants and secretaries	M	708
Victoria	Community and personal service workers	Carers and aides	F	102826
Victoria	Community and personal service workers	Carers and aides	M	14607
Victoria	Community and personal service workers	Community and personal service workers nfd	F	158
Victoria	Community and personal service workers	Community and personal service workers nfd	M	64
Victoria	Community and personal service workers	Health and welfare support workers	F	24848
Victoria	Community and personal service workers	Health and welfare support workers	M	8308
Victoria	Community and personal service workers	Hospitality workers	F	40472
Victoria	Community and personal service workers	Hospitality workers	M	20988
Victoria	Community and personal service workers	Protective service workers	F	6700
Victoria	Community and personal service workers	Protective service workers	M	25508
Victoria	Community and personal service workers	Sports and personal service workers	F	27848
Victoria	Community and personal service workers	Sports and personal service workers	M	16603
Victoria	Labourers	Cleaners and laundry workers	F	30504
Victoria	Labourers	Cleaners and laundry workers	M	25315
Victoria	Labourers	Construction and mining labourers	F	607
Victoria	Labourers	Construction and mining labourers	M	30907
Victoria	Labourers	Factory process workers	F	19554
Victoria	Labourers	Factory process workers	M	35519
Victoria	Labourers	Farm forestry and garden workers	F	5543
Victoria	Labourers	Farm forestry and garden workers	M	13350
Victoria	Labourers	Food preparation assistants	F	19031
Victoria	Labourers	Food preparation assistants	M	20080
Victoria	Labourers	Labourers nfd	F	610
Victoria	Labourers	Labourers nfd	M	4055
Victoria	Labourers	Other labourers	F	9483
Victoria	Labourers	Other labourers	M	32163
Victoria	Machinery operators and drivers	Machine and stationary plant operators	F	6225
Victoria	Machinery operators and drivers	Machine and stationary plant operators	M	26004
Victoria	Machinery operators and drivers	Machinery operators and drivers nfd	F	213
Victoria	Machinery operators and drivers	Machinery operators and drivers nfd	M	1843
Victoria	Machinery operators and drivers	Mobile plant operators	F	848
Victoria	Machinery operators and drivers	Mobile plant operators	M	25889
Victoria	Machinery operators and drivers	Road and rail drivers	F	3230
Victoria	Machinery operators and drivers	Road and rail drivers	M	63679
Victoria	Machinery operators and drivers	Storepersons	F	7141
Victoria	Machinery operators and drivers	Storepersons	M	23548
Victoria	Managers	Chief executives general managers and legislators	F	7975
Victoria	Managers	Chief executives general managers and legislators	M	23077
Victoria	Managers	Farmers and farm managers	F	9878
Victoria	Managers	Farmers and farm managers	M	24501
Victoria	Managers	Hospitality retail and service managers	F	48145
Victoria	Managers	Hospitality retail and service managers	M	58581
Victoria	Managers	Managers nfd	F	3881
Victoria	Managers	Managers nfd	M	8397
Victoria	Managers	Specialist managers	F	63468
Victoria	Managers	Specialist managers	M	121610
Victoria	Professionals	Arts and media professionals	F	9951
Victoria	Professionals	Arts and media professionals	M	11343
Victoria	Professionals	Business human resource and marketing professionals	F	76793
Victoria	Professionals	Business human resource and marketing professionals	M	81276
Victoria	Professionals	Design engineering science and transport professionals	F	27522
Victoria	Professionals	Design engineering science and transport professionals	M	52318
Victoria	Professionals	Education professionals	F	90411
Victoria	Professionals	Education professionals	M	38556
Victoria	Professionals	Health professionals	F	95946
Victoria	Professionals	Health professionals	M	31253
Victoria	Professionals	Information and Communication Technology ICT professionals	F	11258
Victoria	Professionals	Information and Communication Technology ICT professionals	M	48484
Victoria	Professionals	Legal social and welfare professionals	F	31262
Victoria	Professionals	Legal social and welfare professionals	M	17770
Victoria	Professionals	Professionals nfd	F	5592
Victoria	Professionals	Professionals nfd	M	5041
Victoria	Sales workers	Sales assistants and salespersons	F	112916
Victoria	Sales workers	Sales assistants and salespersons	M	65268
Victoria	Sales workers	Sales representatives and agents	F	18690
Victoria	Sales workers	Sales representatives and agents	M	27452
Victoria	Sales workers	Sales support workers	F	28975
Victoria	Sales workers	Sales support workers	M	11303
Victoria	Sales workers	Sales workers nfd	F	352
Victoria	Sales workers	Sales workers nfd	M	396
Victoria	Technicians and trades workers	Automotive and engineering trades workers	F	944
Victoria	Technicians and trades workers	Automotive and engineering trades workers	M	62310
Victoria	Technicians and trades workers	Construction trades workers	F	1180
Victoria	Technicians and trades workers	Construction trades workers	M	84895
Victoria	Technicians and trades workers	Electrotechnology and telecommunications trades workers	F	873
Victoria	Technicians and trades workers	Electrotechnology and telecommunications trades workers	M	40558
Victoria	Technicians and trades workers	Engineering ICT and science technicians	F	13995
Victoria	Technicians and trades workers	Engineering ICT and science technicians	M	35604
Victoria	Technicians and trades workers	Food trades workers	F	13386
Victoria	Technicians and trades workers	Food trades workers	M	29157
