STE_NAME16	IndustryOfEmployment	Occupation	workers
New South Wales		Clerical and administrative workers	18565
New South Wales		Community and personal service workers	6725
New South Wales		Labourers	18046
New South Wales		Machinery operators and drivers	14795
New South Wales		Managers	19220
New South Wales		Professionals	18341
New South Wales		Sales workers	10968
New South Wales		Technicians and trades workers	21474
New South Wales	Accommodation and food services		1683
New South Wales	Accommodation and food services	Clerical and administrative workers	10032
New South Wales	Accommodation and food services	Community and personal service workers	71138
New South Wales	Accommodation and food services	Labourers	44674
New South Wales	Accommodation and food services	Machinery operators and drivers	4350
New South Wales	Accommodation and food services	Managers	40256
New South Wales	Accommodation and food services	Professionals	3878
New South Wales	Accommodation and food services	Sales workers	28503
New South Wales	Accommodation and food services	Technicians and trades workers	34238
New South Wales	Administrative and support services		1129
New South Wales	Administrative and support services	Clerical and administrative workers	17056
New South Wales	Administrative and support services	Community and personal service workers	10461
New South Wales	Administrative and support services	Labourers	45407
New South Wales	Administrative and support services	Machinery operators and drivers	3983
New South Wales	Administrative and support services	Managers	12888
New South Wales	Administrative and support services	Professionals	14509
New South Wales	Administrative and support services	Sales workers	3048
New South Wales	Administrative and support services	Technicians and trades workers	8343
New South Wales	Agriculture forestry and fishing	Clerical and administrative workers	3163
New South Wales	Agriculture forestry and fishing	Community and personal service workers	215
New South Wales	Agriculture forestry and fishing	Labourers	17018
New South Wales	Agriculture forestry and fishing	Machinery operators and drivers	3642
New South Wales	Agriculture forestry and fishing	Managers	40575
New South Wales	Agriculture forestry and fishing	Professionals	1944
New South Wales	Agriculture forestry and fishing	Sales workers	1069
New South Wales	Agriculture forestry and fishing	Technicians and trades workers	4700
New South Wales	Arts and recreation services		643
New South Wales	Arts and recreation services	Clerical and administrative workers	5496
New South Wales	Arts and recreation services	Community and personal service workers	13528
New South Wales	Arts and recreation services	Labourers	3490
New South Wales	Arts and recreation services	Machinery operators and drivers	683
New South Wales	Arts and recreation services	Managers	7893
New South Wales	Arts and recreation services	Professionals	12452
New South Wales	Arts and recreation services	Sales workers	2420
New South Wales	Arts and recreation services	Technicians and trades workers	4913
New South Wales	Construction		2767
New South Wales	Construction	Clerical and administrative workers	27199
New South Wales	Construction	Community and personal service workers	512
New South Wales	Construction	Labourers	44061
New South Wales	Construction	Machinery operators and drivers	19967
New South Wales	Construction	Managers	37641
New South Wales	Construction	Professionals	13141
New South Wales	Construction	Sales workers	3904
New South Wales	Construction	Technicians and trades workers	131363
New South Wales	Education and training		1469
New South Wales	Education and training	Clerical and administrative workers	30781
New South Wales	Education and training	Community and personal service workers	41150
New South Wales	Education and training	Labourers	5231
New South Wales	Education and training	Machinery operators and drivers	1219
New South Wales	Education and training	Managers	21994
New South Wales	Education and training	Professionals	170564
New South Wales	Education and training	Sales workers	1021
New South Wales	Education and training	Technicians and trades workers	6864
New South Wales	Electricity gas water and waste services		449
New South Wales	Electricity gas water and waste services	Clerical and administrative workers	5018
New South Wales	Electricity gas water and waste services	Community and personal service workers	121
New South Wales	Electricity gas water and waste services	Labourers	2417
New South Wales	Electricity gas water and waste services	Machinery operators and drivers	5032
New South Wales	Electricity gas water and waste services	Managers	4248
New South Wales	Electricity gas water and waste services	Professionals	5681
New South Wales	Electricity gas water and waste services	Sales workers	722
New South Wales	Electricity gas water and waste services	Technicians and trades workers	8013
New South Wales	Financial and insurance services		3060
New South Wales	Financial and insurance services	Clerical and administrative workers	61034
New South Wales	Financial and insurance services	Community and personal service workers	796
New South Wales	Financial and insurance services	Labourers	1281
New South Wales	Financial and insurance services	Machinery operators and drivers	1084
New South Wales	Financial and insurance services	Managers	29665
New South Wales	Financial and insurance services	Professionals	61589
New South Wales	Financial and insurance services	Sales workers	6152
New South Wales	Financial and insurance services	Technicians and trades workers	2533
New South Wales	Health care and social assistance		2859
New South Wales	Health care and social assistance	Clerical and administrative workers	57667
New South Wales	Health care and social assistance	Community and personal service workers	129397
New South Wales	Health care and social assistance	Labourers	17878
New South Wales	Health care and social assistance	Machinery operators and drivers	3232
New South Wales	Health care and social assistance	Managers	21564
New South Wales	Health care and social assistance	Professionals	170275
New South Wales	Health care and social assistance	Sales workers	2761
New South Wales	Health care and social assistance	Technicians and trades workers	14348
New South Wales	Information media and telecommunications		882
New South Wales	Information media and telecommunications	Clerical and administrative workers	9164
New South Wales	Information media and telecommunications	Community and personal service workers	410
New South Wales	Information media and telecommunications	Labourers	1293
New South Wales	Information media and telecommunications	Machinery operators and drivers	711
New South Wales	Information media and telecommunications	Managers	13099
New South Wales	Information media and telecommunications	Professionals	32279
New South Wales	Information media and telecommunications	Sales workers	5864
New South Wales	Information media and telecommunications	Technicians and trades workers	9339
New South Wales	Manufacturing		2370
New South Wales	Manufacturing	Clerical and administrative workers	20934
New South Wales	Manufacturing	Community and personal service workers	1866
New South Wales	Manufacturing	Labourers	33964
New South Wales	Manufacturing	Machinery operators and drivers	26549
New South Wales	Manufacturing	Managers	32293
New South Wales	Manufacturing	Professionals	20861
New South Wales	Manufacturing	Sales workers	11653
New South Wales	Manufacturing	Technicians and trades workers	46424
New South Wales	Mining		368
New South Wales	Mining	Clerical and administrative workers	1809
New South Wales	Mining	Community and personal service workers	109
New South Wales	Mining	Labourers	1020
New South Wales	Mining	Machinery operators and drivers	12803
New South Wales	Mining	Managers	2701
New South Wales	Mining	Professionals	3387
New South Wales	Mining	Sales workers	161
New South Wales	Mining	Technicians and trades workers	8083
New South Wales	Other services		982
New South Wales	Other services	Clerical and administrative workers	13483
New South Wales	Other services	Community and personal service workers	18700
New South Wales	Other services	Labourers	10015
New South Wales	Other services	Machinery operators and drivers	2050
New South Wales	Other services	Managers	10187
New South Wales	Other services	Professionals	11956
New South Wales	Other services	Sales workers	2725
New South Wales	Other services	Technicians and trades workers	53745
New South Wales	Professional scientific and technical services		2556
New South Wales	Professional scientific and technical services	Clerical and administrative workers	48757
New South Wales	Professional scientific and technical services	Community and personal service workers	904
New South Wales	Professional scientific and technical services	Labourers	2649
New South Wales	Professional scientific and technical services	Machinery operators and drivers	1054
New South Wales	Professional scientific and technical services	Managers	35888
New South Wales	Professional scientific and technical services	Professionals	153446
New South Wales	Professional scientific and technical services	Sales workers	5734
New South Wales	Professional scientific and technical services	Technicians and trades workers	21207
New South Wales	Public administration and safety		3713
New South Wales	Public administration and safety	Clerical and administrative workers	49404
New South Wales	Public administration and safety	Community and personal service workers	43574
New South Wales	Public administration and safety	Labourers	8865
New South Wales	Public administration and safety	Machinery operators and drivers	7731
