STE_NAME16	IndustryOfEmployment	YearOfArrival.max	workers_born_overseas
New South Wales		1991	17586
New South Wales		1995	4545
New South Wales		2000	6312
New South Wales		2005	7009
New South Wales		2010	10541
New South Wales		2015	11734
New South Wales		2016	1294
New South Wales			3549
New South Wales	Accommodation and food services	1991	16346
New South Wales	Accommodation and food services	1995	4752
New South Wales	Accommodation and food services	2000	7396
New South Wales	Accommodation and food services	2005	9195
New South Wales	Accommodation and food services	2010	18094
New South Wales	Accommodation and food services	2015	26069
New South Wales	Accommodation and food services	2016	3458
New South Wales	Accommodation and food services		2695
New South Wales	Administrative and support services	1991	13476
New South Wales	Administrative and support services	1995	3358
New South Wales	Administrative and support services	2000	4723
New South Wales	Administrative and support services	2005	4738
New South Wales	Administrative and support services	2010	7882
New South Wales	Administrative and support services	2015	10398
New South Wales	Administrative and support services	2016	1295
New South Wales	Administrative and support services		1160
New South Wales	Agriculture forestry and fishing	1991	3865
New South Wales	Agriculture forestry and fishing	1995	589
New South Wales	Agriculture forestry and fishing	2000	700
New South Wales	Agriculture forestry and fishing	2005	692
New South Wales	Agriculture forestry and fishing	2010	1271
New South Wales	Agriculture forestry and fishing	2015	1785
New South Wales	Agriculture forestry and fishing	2016	269
New South Wales	Agriculture forestry and fishing		463
New South Wales	Arts and recreation services	1991	4161
New South Wales	Arts and recreation services	1995	977
New South Wales	Arts and recreation services	2000	1352
New South Wales	Arts and recreation services	2005	1508
New South Wales	Arts and recreation services	2010	1818
New South Wales	Arts and recreation services	2015	1946
New South Wales	Arts and recreation services	2016	187
New South Wales	Arts and recreation services		287
New South Wales	Construction	1991	26245
New South Wales	Construction	1995	5903
New South Wales	Construction	2000	8377
New South Wales	Construction	2005	7709
New South Wales	Construction	2010	10890
New South Wales	Construction	2015	12290
New South Wales	Construction	2016	1007
New South Wales	Construction		1859
New South Wales	Education and training	1991	26185
New South Wales	Education and training	1995	6318
New South Wales	Education and training	2000	7656
New South Wales	Education and training	2005	8210
New South Wales	Education and training	2010	9060
New South Wales	Education and training	2015	8655
New South Wales	Education and training	2016	666
New South Wales	Education and training		1141
New South Wales	Electricity gas water and waste services	1991	2787
New South Wales	Electricity gas water and waste services	1995	613
New South Wales	Electricity gas water and waste services	2000	785
New South Wales	Electricity gas water and waste services	2005	956
New South Wales	Electricity gas water and waste services	2010	1027
New South Wales	Electricity gas water and waste services	2015	763
New South Wales	Electricity gas water and waste services	2016	73
New South Wales	Electricity gas water and waste services		120
New South Wales	Financial and insurance services	1991	21350
