STE_NAME16	IndustryOfEmployment	workers_born_overseas
New South Wales		62577
New South Wales	Accommodation and food services	88005
New South Wales	Administrative and support services	47028
New South Wales	Agriculture forestry and fishing	9630
New South Wales	Arts and recreation services	12236
New South Wales	Construction	74282
New South Wales	Education and training	67880
New South Wales	Electricity gas water and waste services	7125
New South Wales	Financial and insurance services	70417
New South Wales	Health care and social assistance	150799
New South Wales	Information media and telecommunications	28182
New South Wales	Manufacturing	75064
New South Wales	Mining	3603
New South Wales	Other services	35718
New South Wales	Professional scientific and technical services	111227
New South Wales	Public administration and safety	46144
New South Wales	Rental hiring and real estate services	17764
New South Wales	Retail trade	93060
New South Wales	Transport postal and warehousing	58949
New South Wales	Wholesale trade	41146
Victoria		47618
Victoria	Accommodation and food services	68813
Victoria	Administrative and support services	35704
Victoria	Agriculture forestry and fishing	9850
Victoria	Arts and recreation services	11159
Victoria	Construction	47759
Victoria	Education and training	58610
Victoria	Electricity gas water and waste services	8405
Victoria	Financial and insurance services	38644
Victoria	Health care and social assistance	116883
Victoria	Information media and telecommunications	17478
Victoria	Manufacturing	79406
Victoria	Mining	1631
Victoria	Other services	28559
Victoria	Professional scientific and technical services	77844
Victoria	Public administration and safety	32512
Victoria	Rental hiring and real estate services	12239
Victoria	Retail trade	71797
Victoria	Transport postal and warehousing	47707
Victoria	Wholesale trade	29552
Queensland		26484
Queensland	Accommodation and food services	51097
Queensland	Administrative and support services	25219
Queensland	Agriculture forestry and fishing	10893
Queensland	Arts and recreation services	7873
Queensland	Construction	39916
Queensland	Education and training	42092
Queensland	Electricity gas water and waste services	4855
Queensland	Financial and insurance services	14298
Queensland	Health care and social assistance	85930
Queensland	Information media and telecommunications	6450
Queensland	Manufacturing	38966
Queensland	Mining	8978
Queensland	Other services	20603
Queensland	Professional scientific and technical services	38238
Queensland	Public administration and safety	26228
Queensland	Rental hiring and real estate services	11387
Queensland	Retail trade	44595
Queensland	Transport postal and warehousing	29501
Queensland	Wholesale trade	14826
South Australia		6364
South Australia	Accommodation and food services	13553
South Australia	Administrative and support services	7693
South Australia	Agriculture forestry and fishing	4733
South Australia	Arts and recreation services	1729
South Australia	Construction	10784
South Australia	Education and training	13707
South Australia	Electricity gas water and waste services	1940
South Australia	Financial and insurance services	4078
South Australia	Health care and social assistance	33112
South Australia	Information media and telecommunications	2139
South Australia	Manufacturing	15897
South Australia	Mining	1475
South Australia	Other services	6440
South Australia	Professional scientific and technical services	10491
South Australia	Public administration and safety	10464
South Australia	Rental hiring and real estate services	1960
South Australia	Retail trade	13957
South Australia	Transport postal and warehousing	7237
South Australia	Wholesale trade	4613
Western Australia		21865
Western Australia	Accommodation and food services	35882
Western Australia	Administrative and support services	17583
Western Australia	Agriculture forestry and fishing	6368
Western Australia	Arts and recreation services	5838
Western Australia	Construction	41309
Western Australia	Education and training	33864
Western Australia	Electricity gas water and waste services	5322
Western Australia	Financial and insurance services	10391
Western Australia	Health care and social assistance	63926
Western Australia	Information media and telecommunications	4107
Western Australia	Manufacturing	27687
Western Australia	Mining	25634
Western Australia	Other services	17514
Western Australia	Professional scientific and technical services	31625
Western Australia	Public administration and safety	24899
Western Australia	Rental hiring and real estate services	6865
Western Australia	Retail trade	36939
Western Australia	Transport postal and warehousing	21382
Western Australia	Wholesale trade	11447
Tasmania		845
Tasmania	Accommodation and food services	2737
Tasmania	Administrative and support services	835
Tasmania	Agriculture forestry and fishing	1408
Tasmania	Arts and recreation services	509
Tasmania	Construction	1073
Tasmania	Education and training	2653
Tasmania	Electricity gas water and waste services	415
Tasmania	Financial and insurance services	404
Tasmania	Health care and social assistance	5048
Tasmania	Information media and telecommunications	333
Tasmania	Manufacturing	1458
Tasmania	Mining	147
Tasmania	Other services	798
Tasmania	Professional scientific and technical services	1656
Tasmania	Public administration and safety	1883
Tasmania	Rental hiring and real estate services	270
Tasmania	Retail trade	1909
Tasmania	Transport postal and warehousing	914
Tasmania	Wholesale trade	399
Northern Territory		1486
Northern Territory	Accommodation and food services	3737
Northern Territory	Administrative and support services	1227
Northern Territory	Agriculture forestry and fishing	502
Northern Territory	Arts and recreation services	639
Northern Territory	Construction	3372
Northern Territory	Education and training	2347
Northern Territory	Electricity gas water and waste services	447
Northern Territory	Financial and insurance services	274
Northern Territory	Health care and social assistance	4603
Northern Territory	Information media and telecommunications	264
Northern Territory	Manufacturing	785
Northern Territory	Mining	881
Northern Territory	Other services	958
Northern Territory	Professional scientific and technical services	1986
Northern Territory	Public administration and safety	3901
Northern Territory	Rental hiring and real estate services	406
Northern Territory	Retail trade	2357
Northern Territory	Transport postal and warehousing	1293
Northern Territory	Wholesale trade	492
Australian Capital Territory		1863
Australian Capital Territory	Accommodation and food services	5402
Australian Capital Territory	Administrative and support services	2262
Australian Capital Territory	Agriculture forestry and fishing	136
Australian Capital Territory	Arts and recreation services	746
Australian Capital Territory	Construction	2565
Australian Capital Territory	Education and training	6206
Australian Capital Territory	Electricity gas water and waste services	367
Australian Capital Territory	Financial and insurance services	985
Australian Capital Territory	Health care and social assistance	8859
Australian Capital Territory	Information media and telecommunications	988
Australian Capital Territory	Manufacturing	916
Australian Capital Territory	Mining	21
Australian Capital Territory	Other services	1747
Australian Capital Territory	Professional scientific and technical services	6490
Australian Capital Territory	Public administration and safety	16406
Australian Capital Territory	Rental hiring and real estate services	662
Australian Capital Territory	Retail trade	4236
Australian Capital Territory	Transport postal and warehousing	1692
Australian Capital Territory	Wholesale trade	581
Other Territories		59
Other Territories	Accommodation and food services	142
Other Territories	Administrative and support services	45
Other Territories	Agriculture forestry and fishing	15
Other Territories	Arts and recreation services	14
Other Territories	Construction	59
Other Territories	Education and training	52
Other Territories	Electricity gas water and waste services	14
Other Territories	Financial and insurance services	13
Other Territories	Health care and social assistance	47
Other Territories	Information media and telecommunications	13
Other Territories	Manufacturing	26
Other Territories	Mining	100
Other Territories	Other services	36
Other Territories	Professional scientific and technical services	39
Other Territories	Public administration and safety	215
Other Territories	Rental hiring and real estate services	12
Other Territories	Retail trade	77
Other Territories	Transport postal and warehousing	34
Other Territories	Wholesale trade	10
