STE_NAME16	IncomeTotPersonal.max	PublicSector	LevelOfGovt	workers
New South Wales				9049
New South Wales		0		39535
New South Wales		1	Local	513
New South Wales		1	National	896
New South Wales		1	State territory	2701
New South Wales	0			1877
New South Wales	0	0		21649
New South Wales	0	1	Local	78
New South Wales	0	1	National	295
New South Wales	0	1	State territory	482
New South Wales	7875			1797
New South Wales	7875	0		100978
New South Wales	7875	1	Local	349
New South Wales	7875	1	National	1370
New South Wales	7875	1	State territory	1569
New South Wales	15750			2592
New South Wales	15750	0		118273
New South Wales	15750	1	Local	556
New South Wales	15750	1	National	2160
New South Wales	15750	1	State territory	3306
New South Wales	21000			3222
New South Wales	21000	0		134767
New South Wales	21000	1	Local	748
New South Wales	21000	1	National	1897
New South Wales	21000	1	State territory	4440
New South Wales	26250			3276
New South Wales	26250	0		162267
New South Wales	26250	1	Local	1093
New South Wales	26250	1	National	2523
New South Wales	26250	1	State territory	6161
New South Wales	34125			4342
New South Wales	34125	0		248285
New South Wales	34125	1	Local	2130
New South Wales	34125	1	National	4619
New South Wales	34125	1	State territory	12405
New South Wales	42000			4638
New South Wales	42000	0		310004
New South Wales	42000	1	Local	3735
New South Wales	42000	1	National	6123
New South Wales	42000	1	State territory	18863
New South Wales	52500			4521
New South Wales	52500	0		361590
New South Wales	52500	1	Local	7487
New South Wales	52500	1	National	9020
New South Wales	52500	1	State territory	29919
New South Wales	65625			3770
New South Wales	65625	0		363516
New South Wales	65625	1	Local	10177
New South Wales	65625	1	National	14953
New South Wales	65625	1	State territory	43617
New South Wales	78750			2039
New South Wales	78750	0		242590
New South Wales	78750	1	Local	6978
New South Wales	78750	1	National	16595
New South Wales	78750	1	State territory	41210
New South Wales	91875			1497
New South Wales	91875	0		201309
New South Wales	91875	1	Local	5399
New South Wales	91875	1	National	15437
New South Wales	91875	1	State territory	43435
New South Wales	105000			932
New South Wales	105000	0		137591
New South Wales	105000	1	Local	3441
New South Wales	105000	1	National	10951
New South Wales	105000	1	State territory	41697
New South Wales	157500			1087
New South Wales	157500	0		229109
New South Wales	157500	1	Local	3706
New South Wales	157500	1	National	18229
New South Wales	157500	1	State territory	47151
New South Wales	Inf			952
New South Wales	Inf	0		169955
New South Wales	Inf	1	Local	1253
New South Wales	Inf	1	National	7286
New South Wales	Inf	1	State territory	14194
Victoria				7754
Victoria		0		36678
Victoria		1	Local	487
