STE_NAME16	EnglishProficiency	IndustryOfEmployment	SpeaksEnglishOnly	YearOfArrival.max	workers_born_overseas
New South Wales			0	1991	7923
New South Wales			0	1995	1127
New South Wales			0	2000	1759
New South Wales			0	2005	1784
New South Wales			0	2010	2030
New South Wales			0	2015	2305
New South Wales			0	2016	261
New South Wales			0		1171
New South Wales		Accommodation and food services	1	1991	6188
New South Wales		Accommodation and food services	1	1995	1259
New South Wales		Accommodation and food services	1	2000	2282
New South Wales		Accommodation and food services	1	2005	2351
New South Wales		Accommodation and food services	1	2010	2804
New South Wales		Accommodation and food services	1	2015	3918
New South Wales		Accommodation and food services	1	2016	470
New South Wales		Accommodation and food services	1		666
New South Wales		Administrative and support services	1	1991	6421
New South Wales		Administrative and support services	1	1995	945
New South Wales		Administrative and support services	1	2000	1471
New South Wales		Administrative and support services	1	2005	1402
New South Wales		Administrative and support services	1	2010	1892
New South Wales		Administrative and support services	1	2015	2723
New South Wales		Administrative and support services	1	2016	291
New South Wales		Administrative and support services	1		417
New South Wales		Agriculture forestry and fishing	1	1991	2422
New South Wales		Agriculture forestry and fishing	1	1995	195
New South Wales		Agriculture forestry and fishing	1	2000	307
New South Wales		Agriculture forestry and fishing	1	2005	268
New South Wales		Agriculture forestry and fishing	1	2010	344
New South Wales		Agriculture forestry and fishing	1	2015	426
New South Wales		Agriculture forestry and fishing	1	2016	70
New South Wales		Agriculture forestry and fishing	1		191
New South Wales		Arts and recreation services	1	1991	2836
New South Wales		Arts and recreation services	1	1995	444
New South Wales		Arts and recreation services	1	2000	693
New South Wales		Arts and recreation services	1	2005	682
New South Wales		Arts and recreation services	1	2010	739
New South Wales		Arts and recreation services	1	2015	884
New South Wales		Arts and recreation services	1	2016	74
New South Wales		Arts and recreation services	1		179
New South Wales		Construction	1	1991	13745
New South Wales		Construction	1	1995	1823
New South Wales		Construction	1	2000	2875
New South Wales		Construction	1	2005	2532
New South Wales		Construction	1	2010	3533
New South Wales		Construction	1	2015	4283
New South Wales		Construction	1	2016	313
New South Wales		Construction	1		879
New South Wales		Education and training	1	1991	16946
New South Wales		Education and training	1	1995	2301
New South Wales		Education and training	1	2000	3076
New South Wales		Education and training	1	2005	2942
New South Wales		Education and training	1	2010	3022
New South Wales		Education and training	1	2015	3047
New South Wales		Education and training	1	2016	252
New South Wales		Education and training	1		610
New South Wales		Electricity gas water and waste services	1	1991	1672
New South Wales		Electricity gas water and waste services	1	1995	192
New South Wales		Electricity gas water and waste services	1	2000	331
New South Wales		Electricity gas water and waste services	1	2005	328
New South Wales		Electricity gas water and waste services	1	2010	310
New South Wales		Electricity gas water and waste services	1	2015	259
New South Wales		Electricity gas water and waste services	1	2016	27
New South Wales		Electricity gas water and waste services	1		79
New South Wales		Financial and insurance services	1	1991	11033
New South Wales		Financial and insurance services	1	1995	2220
New South Wales		Financial and insurance services	1	2000	3211
New South Wales		Financial and insurance services	1	2005	3441
New South Wales		Financial and insurance services	1	2010	3588
New South Wales		Financial and insurance services	1	2015	3588
New South Wales		Financial and insurance services	1	2016	308
New South Wales		Financial and insurance services	1		465
New South Wales		Health care and social assistance	1	1991	27529
New South Wales		Health care and social assistance	1	1995	3926
New South Wales		Health care and social assistance	1	2000	4750
New South Wales		Health care and social assistance	1	2005	4851
New South Wales		Health care and social assistance	1	2010	5299
New South Wales		Health care and social assistance	1	2015	4898
New South Wales		Health care and social assistance	1	2016	362
New South Wales		Health care and social assistance	1		1122
New South Wales		Information media and telecommunications	1	1991	4633
New South Wales		Information media and telecommunications	1	1995	900
New South Wales		Information media and telecommunications	1	2000	1341
New South Wales		Information media and telecommunications	1	2005	1426
New South Wales		Information media and telecommunications	1	2010	1657
New South Wales		Information media and telecommunications	1	2015	1691
New South Wales		Information media and telecommunications	1	2016	169
New South Wales		Information media and telecommunications	1		224
New South Wales		Manufacturing	1	1991	11482
New South Wales		Manufacturing	1	1995	1470
New South Wales		Manufacturing	1	2000	2113
New South Wales		Manufacturing	1	2005	2036
New South Wales		Manufacturing	1	2010	2147
New South Wales		Manufacturing	1	2015	2188
New South Wales		Manufacturing	1	2016	170
New South Wales		Manufacturing	1		504
New South Wales		Mining	1	1991	1129
New South Wales		Mining	1	1995	152
New South Wales		Mining	1	2000	179
New South Wales		Mining	1	2005	226
New South Wales		Mining	1	2010	284
New South Wales		Mining	1	2015	170
New South Wales		Mining	1	2016	3
New South Wales		Mining	1		54
New South Wales		Other services	1	1991	6330
New South Wales		Other services	1	1995	880
New South Wales		Other services	1	2000	1167
New South Wales		Other services	1	2005	1097
New South Wales		Other services	1	2010	1445
New South Wales		Other services	1	2015	1578
New South Wales		Other services	1	2016	128
New South Wales		Other services	1		337
New South Wales		Professional scientific and technical services	1	1991	17865
New South Wales		Professional scientific and technical services	1	1995	3342
New South Wales		Professional scientific and technical services	1	2000	5044
New South Wales		Professional scientific and technical services	1	2005	4905
New South Wales		Professional scientific and technical services	1	2010	6097
New South Wales		Professional scientific and technical services	1	2015	7302
New South Wales		Professional scientific and technical services	1	2016	911
New South Wales		Professional scientific and technical services	1		824
New South Wales		Public administration and safety	1	1991	12216
New South Wales		Public administration and safety	1	1995	1546
New South Wales		Public administration and safety	1	2000	1872
New South Wales		Public administration and safety	1	2005	1651
New South Wales		Public administration and safety	1	2010	1648
New South Wales		Public administration and safety	1	2015	1251
New South Wales		Public administration and safety	1	2016	96
New South Wales		Public administration and safety	1		447
New South Wales		Rental hiring and real estate services	1	1991	3564
New South Wales		Rental hiring and real estate services	1	1995	467
New South Wales		Rental hiring and real estate services	1	2000	630
New South Wales		Rental hiring and real estate services	1	2005	627
New South Wales		Rental hiring and real estate services	1	2010	698
New South Wales		Rental hiring and real estate services	1	2015	674
New South Wales		Rental hiring and real estate services	1	2016	64
New South Wales		Rental hiring and real estate services	1		157
New South Wales		Retail trade	1	1991	13179
New South Wales		Retail trade	1	1995	1963
New South Wales		Retail trade	1	2000	3324
New South Wales		Retail trade	1	2005	3001
New South Wales		Retail trade	1	2010	3233
New South Wales		Retail trade	1	2015	3489
New South Wales		Retail trade	1	2016	316
New South Wales		Retail trade	1		728
New South Wales		Transport postal and warehousing	1	1991	9613
New South Wales		Transport postal and warehousing	1	1995	1212
New South Wales		Transport postal and warehousing	1	2000	1665
New South Wales		Transport postal and warehousing	1	2005	1401
New South Wales		Transport postal and warehousing	1	2010	1466
New South Wales		Transport postal and warehousing	1	2015	1335
New South Wales		Transport postal and warehousing	1	2016	105
New South Wales		Transport postal and warehousing	1		495
New South Wales		Wholesale trade	1	1991	6489
New South Wales		Wholesale trade	1	1995	1015
New South Wales		Wholesale trade	1	2000	1566
New South Wales		Wholesale trade	1	2005	1439
New South Wales		Wholesale trade	1	2010	1583
New South Wales		Wholesale trade	1	2015	1541
New South Wales		Wholesale trade	1	2016	107
New South Wales		Wholesale trade	1		300
New South Wales	Speaks English not well or not at all		0	1991	1592
New South Wales	Speaks English not well or not at all		0	1995	622
New South Wales	Speaks English not well or not at all		0	2000	890
New South Wales	Speaks English not well or not at all		0	2005	907
New South Wales	Speaks English not well or not at all		0	2010	1623
New South Wales	Speaks English not well or not at all		0	2015	2377
New South Wales	Speaks English not well or not at all		0	2016	257
New South Wales	Speaks English not well or not at all		0		580
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	1991	2271
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	1995	813
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2000	1043
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2005	1072
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2010	1946
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2015	3368
New South Wales	Speaks English not well or not at all	Accommodation and food services	0	2016	476
New South Wales	Speaks English not well or not at all	Accommodation and food services	0		586
New South Wales	Speaks English not well or not at all	Administrative and support services	0	1991	1077
New South Wales	Speaks English not well or not at all	Administrative and support services	0	1995	400
New South Wales	Speaks English not well or not at all	Administrative and support services	0	2000	705
New South Wales	Speaks English not well or not at all	Administrative and support services	0	2005	647
New South Wales	Speaks English not well or not at all	Administrative and support services	0	2010	1101
New South Wales	Speaks English not well or not at all	Administrative and support services	0	2015	1491
New South Wales	Speaks English not well or not at all	Administrative and support services	0	2016	218
New South Wales	Speaks English not well or not at all	Administrative and support services	0		194
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	1991	310
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	1995	140
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	2000	116
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	2005	102
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	2010	237
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	2015	419
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0	2016	75
New South Wales	Speaks English not well or not at all	Agriculture forestry and fishing	0		133
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	1991	81
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	1995	27
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	2000	40
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	2005	21
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	2010	47
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	2015	50
New South Wales	Speaks English not well or not at all	Arts and recreation services	0	2016	6
New South Wales	Speaks English not well or not at all	Arts and recreation services	0		20
New South Wales	Speaks English not well or not at all	Construction	0	1991	1348
New South Wales	Speaks English not well or not at all	Construction	0	1995	535
New South Wales	Speaks English not well or not at all	Construction	0	2000	986
New South Wales	Speaks English not well or not at all	Construction	0	2005	932
New South Wales	Speaks English not well or not at all	Construction	0	2010	1562
New South Wales	Speaks English not well or not at all	Construction	0	2015	2222
New South Wales	Speaks English not well or not at all	Construction	0	2016	188
New South Wales	Speaks English not well or not at all	Construction	0		236
New South Wales	Speaks English not well or not at all	Education and training	0	1991	251
New South Wales	Speaks English not well or not at all	Education and training	0	1995	98
New South Wales	Speaks English not well or not at all	Education and training	0	2000	133
New South Wales	Speaks English not well or not at all	Education and training	0	2005	133
New South Wales	Speaks English not well or not at all	Education and training	0	2010	182
New South Wales	Speaks English not well or not at all	Education and training	0	2015	217
New South Wales	Speaks English not well or not at all	Education and training	0	2016	19
New South Wales	Speaks English not well or not at all	Education and training	0		64
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	1991	37
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	1995	9
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	2000	12
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	2005	20
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	2010	22
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	2015	41
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0	2016	3
New South Wales	Speaks English not well or not at all	Electricity gas water and waste services	0		3
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	1991	125
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	1995	39
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	2000	56
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	2005	46
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	2010	101
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	2015	94
New South Wales	Speaks English not well or not at all	Financial and insurance services	0	2016	14
New South Wales	Speaks English not well or not at all	Financial and insurance services	0		26
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	1991	921
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	1995	389
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	2000	528
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	2005	592
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	2010	836
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	2015	1082
New South Wales	Speaks English not well or not at all	Health care and social assistance	0	2016	69
New South Wales	Speaks English not well or not at all	Health care and social assistance	0		116
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	1991	64
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	1995	40
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	2000	42
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	2005	27
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	2010	71
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	2015	83
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0	2016	10
New South Wales	Speaks English not well or not at all	Information media and telecommunications	0		8
New South Wales	Speaks English not well or not at all	Manufacturing	0	1991	3038
New South Wales	Speaks English not well or not at all	Manufacturing	0	1995	1079
New South Wales	Speaks English not well or not at all	Manufacturing	0	2000	1021
New South Wales	Speaks English not well or not at all	Manufacturing	0	2005	841
New South Wales	Speaks English not well or not at all	Manufacturing	0	2010	1281
New South Wales	Speaks English not well or not at all	Manufacturing	0	2015	1716
New South Wales	Speaks English not well or not at all	Manufacturing	0	2016	152
New South Wales	Speaks English not well or not at all	Manufacturing	0		313
New South Wales	Speaks English not well or not at all	Mining	0	1991	22
New South Wales	Speaks English not well or not at all	Mining	0	1995	3
New South Wales	Speaks English not well or not at all	Mining	0	2000	8
New South Wales	Speaks English not well or not at all	Mining	0	2005	8
New South Wales	Speaks English not well or not at all	Mining	0	2010	6
New South Wales	Speaks English not well or not at all	Mining	0	2015	16
New South Wales	Speaks English not well or not at all	Mining	0	2016	3
New South Wales	Speaks English not well or not at all	Other services	0	1991	686
New South Wales	Speaks English not well or not at all	Other services	0	1995	347
New South Wales	Speaks English not well or not at all	Other services	0	2000	438
New South Wales	Speaks English not well or not at all	Other services	0	2005	417
New South Wales	Speaks English not well or not at all	Other services	0	2010	759
New South Wales	Speaks English not well or not at all	Other services	0	2015	961
New South Wales	Speaks English not well or not at all	Other services	0	2016	75
New South Wales	Speaks English not well or not at all	Other services	0		94
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	1991	216
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	1995	95
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	2000	126
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	2005	143
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	2010	232
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	2015	346
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0	2016	29
New South Wales	Speaks English not well or not at all	Professional scientific and technical services	0		36
New South Wales	Speaks English not well or not at all	Public administration and safety	0	1991	139
New South Wales	Speaks English not well or not at all	Public administration and safety	0	1995	49
New South Wales	Speaks English not well or not at all	Public administration and safety	0	2000	43
New South Wales	Speaks English not well or not at all	Public administration and safety	0	2005	37
New South Wales	Speaks English not well or not at all	Public administration and safety	0	2010	39
New South Wales	Speaks English not well or not at all	Public administration and safety	0	2015	45
New South Wales	Speaks English not well or not at all	Public administration and safety	0	2016	7
New South Wales	Speaks English not well or not at all	Public administration and safety	0		19
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	1991	124
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	1995	34
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	2000	73
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	2005	80
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	2010	116
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	2015	158
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0	2016	13
New South Wales	Speaks English not well or not at all	Rental hiring and real estate services	0		21
New South Wales	Speaks English not well or not at all	Retail trade	0	1991	1344
New South Wales	Speaks English not well or not at all	Retail trade	0	1995	563
New South Wales	Speaks English not well or not at all	Retail trade	0	2000	641
New South Wales	Speaks English not well or not at all	Retail trade	0	2005	537
New South Wales	Speaks English not well or not at all	Retail trade	0	2010	911
New South Wales	Speaks English not well or not at all	Retail trade	0	2015	1155
New South Wales	Speaks English not well or not at all	Retail trade	0	2016	85
New South Wales	Speaks English not well or not at all	Retail trade	0		136
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	1991	1127
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	1995	294
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	2000	338
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	2005	318
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	2010	438
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	2015	472
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0	2016	36
New South Wales	Speaks English not well or not at all	Transport postal and warehousing	0		82
New South Wales	Speaks English not well or not at all	Wholesale trade	0	1991	642
New South Wales	Speaks English not well or not at all	Wholesale trade	0	1995	244
New South Wales	Speaks English not well or not at all	Wholesale trade	0	2000	281
New South Wales	Speaks English not well or not at all	Wholesale trade	0	2005	224
New South Wales	Speaks English not well or not at all	Wholesale trade	0	2010	361
New South Wales	Speaks English not well or not at all	Wholesale trade	0	2015	490
New South Wales	Speaks English not well or not at all	Wholesale trade	0	2016	41
New South Wales	Speaks English not well or not at all	Wholesale trade	0		56
New South Wales	Speaks English well or very well		0	1991	7933
New South Wales	Speaks English well or very well		0	1995	2765
New South Wales	Speaks English well or very well		0	2000	3601
New South Wales	Speaks English well or very well		0	2005	4266
New South Wales	Speaks English well or very well		0	2010	6802
New South Wales	Speaks English well or very well		0	2015	6961
New South Wales	Speaks English well or very well		0	2016	776
New South Wales	Speaks English well or very well		0		1698
New South Wales	Speaks English well or very well	Accommodation and food services	0	1991	7817
New South Wales	Speaks English well or very well	Accommodation and food services	0	1995	2667
New South Wales	Speaks English well or very well	Accommodation and food services	0	2000	4029
New South Wales	Speaks English well or very well	Accommodation and food services	0	2005	5722
New South Wales	Speaks English well or very well	Accommodation and food services	0	2010	13266
New South Wales	Speaks English well or very well	Accommodation and food services	0	2015	18666
New South Wales	Speaks English well or very well	Accommodation and food services	0	2016	2496
New South Wales	Speaks English well or very well	Accommodation and food services	0		1406
New South Wales	Speaks English well or very well	Administrative and support services	0	1991	5914
New South Wales	Speaks English well or very well	Administrative and support services	0	1995	1992
New South Wales	Speaks English well or very well	Administrative and support services	0	2000	2520
New South Wales	Speaks English well or very well	Administrative and support services	0	2005	2668
New South Wales	Speaks English well or very well	Administrative and support services	0	2010	4873
New South Wales	Speaks English well or very well	Administrative and support services	0	2015	6156
New South Wales	Speaks English well or very well	Administrative and support services	0	2016	778
New South Wales	Speaks English well or very well	Administrative and support services	0		519
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	1991	1121
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	1995	254
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	2000	276
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	2005	315
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	2010	675
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	2015	930
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0	2016	121
New South Wales	Speaks English well or very well	Agriculture forestry and fishing	0		135
New South Wales	Speaks English well or very well	Arts and recreation services	0	1991	1229
New South Wales	Speaks English well or very well	Arts and recreation services	0	1995	502
New South Wales	Speaks English well or very well	Arts and recreation services	0	2000	618
New South Wales	Speaks English well or very well	Arts and recreation services	0	2005	804
New South Wales	Speaks English well or very well	Arts and recreation services	0	2010	1022
New South Wales	Speaks English well or very well	Arts and recreation services	0	2015	1012
New South Wales	Speaks English well or very well	Arts and recreation services	0	2016	101
New South Wales	Speaks English well or very well	Arts and recreation services	0		89
New South Wales	Speaks English well or very well	Construction	0	1991	11057
New South Wales	Speaks English well or very well	Construction	0	1995	3515
New South Wales	Speaks English well or very well	Construction	0	2000	4469
New South Wales	Speaks English well or very well	Construction	0	2005	4208
New South Wales	Speaks English well or very well	Construction	0	2010	5749
New South Wales	Speaks English well or very well	Construction	0	2015	5719
New South Wales	Speaks English well or very well	Construction	0	2016	497
New South Wales	Speaks English well or very well	Construction	0		720
New South Wales	Speaks English well or very well	Education and training	0	1991	8927
New South Wales	Speaks English well or very well	Education and training	0	1995	3899
New South Wales	Speaks English well or very well	Education and training	0	2000	4416
New South Wales	Speaks English well or very well	Education and training	0	2005	5110
New South Wales	Speaks English well or very well	Education and training	0	2010	5825
New South Wales	Speaks English well or very well	Education and training	0	2015	5360
New South Wales	Speaks English well or very well	Education and training	0	2016	383
New South Wales	Speaks English well or very well	Education and training	0		455
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	1991	1063
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	1995	412
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	2000	440
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	2005	607
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	2010	684
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	2015	459
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0	2016	38
New South Wales	Speaks English well or very well	Electricity gas water and waste services	0		39
New South Wales	Speaks English well or very well	Financial and insurance services	0	1991	10122
New South Wales	Speaks English well or very well	Financial and insurance services	0	1995	4713
New South Wales	Speaks English well or very well	Financial and insurance services	0	2000	5832
New South Wales	Speaks English well or very well	Financial and insurance services	0	2005	6906
New South Wales	Speaks English well or very well	Financial and insurance services	0	2010	7488
New South Wales	Speaks English well or very well	Financial and insurance services	0	2015	5799
New South Wales	Speaks English well or very well	Financial and insurance services	0	2016	525
New South Wales	Speaks English well or very well	Financial and insurance services	0		449
New South Wales	Speaks English well or very well	Health care and social assistance	0	1991	22005
New South Wales	Speaks English well or very well	Health care and social assistance	0	1995	8766
New South Wales	Speaks English well or very well	Health care and social assistance	0	2000	10176
New South Wales	Speaks English well or very well	Health care and social assistance	0	2005	12970
New South Wales	Speaks English well or very well	Health care and social assistance	0	2010	21151
New South Wales	Speaks English well or very well	Health care and social assistance	0	2015	15843
New South Wales	Speaks English well or very well	Health care and social assistance	0	2016	727
New South Wales	Speaks English well or very well	Health care and social assistance	0		1197
New South Wales	Speaks English well or very well	Information media and telecommunications	0	1991	3132
New South Wales	Speaks English well or very well	Information media and telecommunications	0	1995	1475
New South Wales	Speaks English well or very well	Information media and telecommunications	0	2000	1822
New South Wales	Speaks English well or very well	Information media and telecommunications	0	2005	2377
New South Wales	Speaks English well or very well	Information media and telecommunications	0	2010	3311
New South Wales	Speaks English well or very well	Information media and telecommunications	0	2015	3115
New South Wales	Speaks English well or very well	Information media and telecommunications	0	2016	323
New South Wales	Speaks English well or very well	Information media and telecommunications	0		169
New South Wales	Speaks English well or very well	Manufacturing	0	1991	13435
New South Wales	Speaks English well or very well	Manufacturing	0	1995	4676
New South Wales	Speaks English well or very well	Manufacturing	0	2000	4515
New South Wales	Speaks English well or very well	Manufacturing	0	2005	4969
New South Wales	Speaks English well or very well	Manufacturing	0	2010	7605
New South Wales	Speaks English well or very well	Manufacturing	0	2015	6702
New South Wales	Speaks English well or very well	Manufacturing	0	2016	586
New South Wales	Speaks English well or very well	Manufacturing	0		658
New South Wales	Speaks English well or very well	Mining	0	1991	262
New South Wales	Speaks English well or very well	Mining	0	1995	98
New South Wales	Speaks English well or very well	Mining	0	2000	143
New South Wales	Speaks English well or very well	Mining	0	2005	213
New South Wales	Speaks English well or very well	Mining	0	2010	334
New South Wales	Speaks English well or very well	Mining	0	2015	250
New South Wales	Speaks English well or very well	Mining	0	2016	13
New South Wales	Speaks English well or very well	Mining	0		17
New South Wales	Speaks English well or very well	Other services	0	1991	5679
New South Wales	Speaks English well or very well	Other services	0	1995	1834
New South Wales	Speaks English well or very well	Other services	0	2000	2138
New South Wales	Speaks English well or very well	Other services	0	2005	2091
New South Wales	Speaks English well or very well	Other services	0	2010	3452
New South Wales	Speaks English well or very well	Other services	0	2015	3049
New South Wales	Speaks English well or very well	Other services	0	2016	248
New South Wales	Speaks English well or very well	Other services	0		337
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	1991	11667
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	1995	5416
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	2000	6801
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	2005	8948
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	2010	12791
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	2015	15006
New South Wales	Speaks English well or very well	Professional scientific and technical services	0	2016	1941
New South Wales	Speaks English well or very well	Professional scientific and technical services	0		850
New South Wales	Speaks English well or very well	Public administration and safety	0	1991	8642
New South Wales	Speaks English well or very well	Public administration and safety	0	1995	3472
New South Wales	Speaks English well or very well	Public administration and safety	0	2000	3424
New South Wales	Speaks English well or very well	Public administration and safety	0	2005	3609
New South Wales	Speaks English well or very well	Public administration and safety	0	2010	3440
New South Wales	Speaks English well or very well	Public administration and safety	0	2015	1894
New South Wales	Speaks English well or very well	Public administration and safety	0	2016	99
New South Wales	Speaks English well or very well	Public administration and safety	0		299
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	1991	2928
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	1995	854
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	2000	1197
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	2005	1530
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	2010	2050
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	2015	1443
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0	2016	80
New South Wales	Speaks English well or very well	Rental hiring and real estate services	0		132
New South Wales	Speaks English well or very well	Retail trade	0	1991	12789
New South Wales	Speaks English well or very well	Retail trade	0	1995	4536
New South Wales	Speaks English well or very well	Retail trade	0	2000	6497
New South Wales	Speaks English well or very well	Retail trade	0	2005	7727
New South Wales	Speaks English well or very well	Retail trade	0	2010	12782
New South Wales	Speaks English well or very well	Retail trade	0	2015	11845
New South Wales	Speaks English well or very well	Retail trade	0	2016	923
New South Wales	Speaks English well or very well	Retail trade	0		950
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	1991	12312
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	1995	3951
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	2000	4703
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	2005	4933
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	2010	7174
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	2015	4227
New South Wales	Speaks English well or very well	Transport postal and warehousing	0	2016	358
New South Wales	Speaks English well or very well	Transport postal and warehousing	0		610
New South Wales	Speaks English well or very well	Wholesale trade	0	1991	6394
New South Wales	Speaks English well or very well	Wholesale trade	0	1995	2234
New South Wales	Speaks English well or very well	Wholesale trade	0	2000	2959
New South Wales	Speaks English well or very well	Wholesale trade	0	2005	3630
New South Wales	Speaks English well or very well	Wholesale trade	0	2010	4828
New South Wales	Speaks English well or very well	Wholesale trade	0	2015	3983
New South Wales	Speaks English well or very well	Wholesale trade	0	2016	293
New South Wales	Speaks English well or very well	Wholesale trade	0		303
Victoria			0	1991	6567
Victoria			0	1995	730
Victoria			0	2000	1026
Victoria			0	2005	1286
Victoria			0	2010	1613
Victoria			0	2015	1774
Victoria			0	2016	181
Victoria			0		859
Victoria		Accommodation and food services	1	1991	4002
Victoria		Accommodation and food services	1	1995	749
Victoria		Accommodation and food services	1	2000	1651
Victoria		Accommodation and food services	1	2005	2041
Victoria		Accommodation and food services	1	2010	2677
Victoria		Accommodation and food services	1	2015	3727
Victoria		Accommodation and food services	1	2016	482
Victoria		Accommodation and food services	1		520
Victoria		Administrative and support services	1	1991	5229
Victoria		Administrative and support services	1	1995	577
Victoria		Administrative and support services	1	2000	866
