STE_NAME16	Sex	workers
New South Wales	F	1590377
New South Wales	M	1767803
Victoria	F	1294475
Victoria	M	1435859
Queensland	F	1026718
Queensland	M	1104150
South Australia	F	357780
South Australia	M	385040
Western Australia	F	538376
Western Australia	M	627869
Tasmania	F	105795
Tasmania	M	109572
Northern Territory	F	48880
Northern Territory	M	60869
Australian Capital Territory	F	112484
Australian Capital Territory	M	114986
Other Territories	F	1173
Other Territories	M	1633
