STE_NAME16	HoursWorked.min	IndustryOfEmployment	workers
New South Wales	35	Health care and social assistance	84868
New South Wales	35	Information media and telecommunications	15858
New South Wales	35	Manufacturing	52087
New South Wales	35	Mining	4308
New South Wales	35	Other services	24220
New South Wales	35	Professional scientific and technical services	44488
New South Wales	35	Public administration and safety	64510
New South Wales	35	Rental hiring and real estate services	10449
New South Wales	35	Retail trade	58557
New South Wales	35	Transport postal and warehousing	30192
New South Wales	35	Wholesale trade	24301
New South Wales	40		29075
New South Wales	40	Accommodation and food services	23229
New South Wales	40	Administrative and support services	20961
New South Wales	40	Agriculture forestry and fishing	11912
New South Wales	40	Arts and recreation services	8311
New South Wales	40	Construction	80522
New South Wales	40	Education and training	44409
New South Wales	40	Electricity gas water and waste services	8906
New South Wales	40	Financial and insurance services	47131
New South Wales	40	Health care and social assistance	74834
New South Wales	40	Information media and telecommunications	19837
New South Wales	40	Manufacturing	46750
New South Wales	40	Mining	4981
New South Wales	40	Other services	24164
New South Wales	40	Professional scientific and technical services	71905
New South Wales	40	Public administration and safety	39862
New South Wales	40	Rental hiring and real estate services	13887
New South Wales	40	Retail trade	41974
New South Wales	40	Transport postal and warehousing	32439
New South Wales	40	Wholesale trade	27507
New South Wales	41		9436
New South Wales	41	Accommodation and food services	13033
New South Wales	41	Administrative and support services	7795
New South Wales	41	Agriculture forestry and fishing	5556
New South Wales	41	Arts and recreation services	3657
New South Wales	41	Construction	32442
New South Wales	41	Education and training	22692
New South Wales	41	Electricity gas water and waste services	3761
New South Wales	41	Financial and insurance services	18582
New South Wales	41	Health care and social assistance	23748
New South Wales	41	Information media and telecommunications	8543
New South Wales	41	Manufacturing	25129
New South Wales	41	Mining	6122
New South Wales	41	Other services	11893
New South Wales	41	Professional scientific and technical services	29214
New South Wales	41	Public administration and safety	25064
New South Wales	41	Rental hiring and real estate services	6461
New South Wales	41	Retail trade	21972
New South Wales	41	Transport postal and warehousing	17251
New South Wales	41	Wholesale trade	12869
New South Wales	49		17553
New South Wales	49	Accommodation and food services	25045
New South Wales	49	Administrative and support services	11592
New South Wales	49	Agriculture forestry and fishing	25347
New South Wales	49	Arts and recreation services	6362
New South Wales	49	Construction	62008
New South Wales	49	Education and training	38319
New South Wales	49	Electricity gas water and waste services	5232
New South Wales	49	Financial and insurance services	29959
New South Wales	49	Health care and social assistance	34027
New South Wales	49	Information media and telecommunications	13065
New South Wales	49	Manufacturing	32198
New South Wales	49	Mining	10890
New South Wales	49	Other services	17843
New South Wales	49	Professional scientific and technical services	52789
New South Wales	49	Public administration and safety	21360
New South Wales	49	Rental hiring and real estate services	12001
New South Wales	49	Retail trade	32489
New South Wales	49	Transport postal and warehousing	33450
New South Wales	49	Wholesale trade	18592
Victoria			25386
Victoria		Accommodation and food services	2871
Victoria		Administrative and support services	1225
Victoria		Agriculture forestry and fishing	1145
Victoria		Arts and recreation services	595
Victoria		Construction	3195
Victoria		Education and training	1947
Victoria		Electricity gas water and waste services	255
Victoria		Financial and insurance services	755
Victoria		Health care and social assistance	3356
Victoria		Information media and telecommunications	423
Victoria		Manufacturing	1937
Victoria		Mining	72
Victoria		Other services	1139
Victoria		Professional scientific and technical services	1440
Victoria		Public administration and safety	1165
Victoria		Rental hiring and real estate services	375
Victoria		Retail trade	3191
Victoria		Transport postal and warehousing	1847
Victoria		Wholesale trade	601
Victoria	0		4152
Victoria	0	Accommodation and food services	4978
Victoria	0	Administrative and support services	2739
Victoria	0	Agriculture forestry and fishing	2182
Victoria	0	Arts and recreation services	1754
Victoria	0	Construction	5643
Victoria	0	Education and training	7992
Victoria	0	Electricity gas water and waste services	1125
Victoria	0	Financial and insurance services	3999
Victoria	0	Health care and social assistance	16691
Victoria	0	Information media and telecommunications	1448
Victoria	0	Manufacturing	5222
Victoria	0	Mining	430
Victoria	0	Other services	2500
Victoria	0	Professional scientific and technical services	5821
Victoria	0	Public administration and safety	7781
Victoria	0	Rental hiring and real estate services	1133
Victoria	0	Retail trade	8688
Victoria	0	Transport postal and warehousing	4428
Victoria	0	Wholesale trade	2144
Victoria	1		12817
Victoria	1	Accommodation and food services	56454
Victoria	1	Administrative and support services	15876
Victoria	1	Agriculture forestry and fishing	5893
Victoria	1	Arts and recreation services	12821
Victoria	1	Construction	11356
Victoria	1	Education and training	35659
Victoria	1	Electricity gas water and waste services	897
Victoria	1	Financial and insurance services	3822
Victoria	1	Health care and social assistance	37197
Victoria	1	Information media and telecommunications	3924
Victoria	1	Manufacturing	12133
Victoria	1	Mining	246
Victoria	1	Other services	13102
Victoria	1	Professional scientific and technical services	18224
Victoria	1	Public administration and safety	8563
Victoria	1	Rental hiring and real estate services	3604
Victoria	1	Retail trade	63562
Victoria	1	Transport postal and warehousing	7554
Victoria	1	Wholesale trade	5249
Victoria	16		10199
Victoria	16	Accommodation and food services	30174
Victoria	16	Administrative and support services	14154
Victoria	16	Agriculture forestry and fishing	4770
Victoria	16	Arts and recreation services	6116
Victoria	16	Construction	12231
Victoria	16	Education and training	30521
Victoria	16	Electricity gas water and waste services	1320
Victoria	16	Financial and insurance services	7139
Victoria	16	Health care and social assistance	56386
Victoria	16	Information media and telecommunications	3444
Victoria	16	Manufacturing	11870
Victoria	16	Mining	277
Victoria	16	Other services	10471
Victoria	16	Professional scientific and technical services	17254
Victoria	16	Public administration and safety	11533
Victoria	16	Rental hiring and real estate services	3493
Victoria	16	Retail trade	39268
Victoria	16	Transport postal and warehousing	9541
Victoria	16	Wholesale trade	5816
Victoria	25		9973
Victoria	25	Accommodation and food services	21360
Victoria	25	Administrative and support services	12235
Victoria	25	Agriculture forestry and fishing	5866
Victoria	25	Arts and recreation services	6211
Victoria	25	Construction	16861
Victoria	25	Education and training	30694
Victoria	25	Electricity gas water and waste services	1696
Victoria	25	Financial and insurance services	8377
Victoria	25	Health care and social assistance	71023
Victoria	25	Information media and telecommunications	3802
Victoria	25	Manufacturing	13971
Victoria	25	Mining	294
Victoria	25	Other services	11037
Victoria	25	Professional scientific and technical services	19430
Victoria	25	Public administration and safety	13565
Victoria	25	Rental hiring and real estate services	3533
Victoria	25	Retail trade	35952
Victoria	25	Transport postal and warehousing	12612
Victoria	25	Wholesale trade	6305
Victoria	35		21919
Victoria	35	Accommodation and food services	19995
Victoria	35	Administrative and support services	17580
Victoria	35	Agriculture forestry and fishing	6510
Victoria	35	Arts and recreation services	7322
Victoria	35	Construction	35219
Victoria	35	Education and training	41951
Victoria	35	Electricity gas water and waste services	8425
Victoria	35	Financial and insurance services	22262
Victoria	35	Health care and social assistance	63009
Victoria	35	Information media and telecommunications	11963
Victoria	35	Manufacturing	57305
Victoria	35	Mining	881
Victoria	35	Other services	20081
Victoria	35	Professional scientific and technical services	36930
Victoria	35	Public administration and safety	37499
Victoria	35	Rental hiring and real estate services	7984
Victoria	35	Retail trade	47985
Victoria	35	Transport postal and warehousing	24785
Victoria	35	Wholesale trade	20672
Victoria	40		23014
Victoria	40	Accommodation and food services	15935
Victoria	40	Administrative and support services	14842
Victoria	40	Agriculture forestry and fishing	9637
Victoria	40	Arts and recreation services	7745
Victoria	40	Construction	69257
Victoria	40	Education and training	33535
Victoria	40	Electricity gas water and waste services	8372
Victoria	40	Financial and insurance services	32190
Victoria	40	Health care and social assistance	49308
Victoria	40	Information media and telecommunications	13526
Victoria	40	Manufacturing	51587
Victoria	40	Mining	1576
Victoria	40	Other services	18434
Victoria	40	Professional scientific and technical services	56630
Victoria	40	Public administration and safety	32314
Victoria	40	Rental hiring and real estate services	9299
Victoria	40	Retail trade	35274
Victoria	40	Transport postal and warehousing	28121
Victoria	40	Wholesale trade	22381
Victoria	41		7684
Victoria	41	Accommodation and food services	10034
Victoria	41	Administrative and support services	6202
Victoria	41	Agriculture forestry and fishing	4681
Victoria	41	Arts and recreation services	3718
Victoria	41	Construction	27488
Victoria	41	Education and training	20828
Victoria	41	Electricity gas water and waste services	3855
Victoria	41	Financial and insurance services	11433
Victoria	41	Health care and social assistance	19813
Victoria	41	Information media and telecommunications	5905
Victoria	41	Manufacturing	28253
Victoria	41	Mining	1200
Victoria	41	Other services	8946
Victoria	41	Professional scientific and technical services	23441
Victoria	41	Public administration and safety	17004
Victoria	41	Rental hiring and real estate services	4805
Victoria	41	Retail trade	19583
Victoria	41	Transport postal and warehousing	15571
Victoria	41	Wholesale trade	10972
Victoria	49		13819
Victoria	49	Accommodation and food services	18264
Victoria	49	Administrative and support services	8502
Victoria	49	Agriculture forestry and fishing	19641
Victoria	49	Arts and recreation services	6181
Victoria	49	Construction	46151
Victoria	49	Education and training	33095
Victoria	49	Electricity gas water and waste services	4768
Victoria	49	Financial and insurance services	16534
Victoria	49	Health care and social assistance	24684
Victoria	49	Information media and telecommunications	7679
Victoria	49	Manufacturing	30672
Victoria	49	Mining	2835
Victoria	49	Other services	12530
Victoria	49	Professional scientific and technical services	37832
Victoria	49	Public administration and safety	14634
Victoria	49	Rental hiring and real estate services	8805
Victoria	49	Retail trade	26173
Victoria	49	Transport postal and warehousing	25197
Victoria	49	Wholesale trade	14177
Queensland			17432
Queensland		Accommodation and food services	2185
Queensland		Administrative and support services	914
Queensland		Agriculture forestry and fishing	1074
Queensland		Arts and recreation services	389
Queensland		Construction	2382
Queensland		Education and training	1480
Queensland		Electricity gas water and waste services	156
Queensland		Financial and insurance services	330
Queensland		Health care and social assistance	2604
Queensland		Information media and telecommunications	184
Queensland		Manufacturing	1205
Queensland		Mining	623
Queensland		Other services	902
Queensland		Professional scientific and technical services	834
Queensland		Public administration and safety	1293
Queensland		Rental hiring and real estate services	344
Queensland		Retail trade	2140
Queensland		Transport postal and warehousing	1526
Queensland		Wholesale trade	403
Queensland	0		2964
Queensland	0	Accommodation and food services	4078
Queensland	0	Administrative and support services	2227
Queensland	0	Agriculture forestry and fishing	1564
Queensland	0	Arts and recreation services	1158
Queensland	0	Construction	4814
Queensland	0	Education and training	7373
Queensland	0	Electricity gas water and waste services	857
Queensland	0	Financial and insurance services	2017
Queensland	0	Health care and social assistance	13279
Queensland	0	Information media and telecommunications	745
Queensland	0	Manufacturing	2960
Queensland	0	Mining	3088
Queensland	0	Other services	2116
Queensland	0	Professional scientific and technical services	3482
Queensland	0	Public administration and safety	7289
Queensland	0	Rental hiring and real estate services	958
Queensland	0	Retail trade	6174
Queensland	0	Transport postal and warehousing	4007
Queensland	0	Wholesale trade	1213
Queensland	1		8848
Queensland	1	Accommodation and food services	44158
Queensland	1	Administrative and support services	12605
Queensland	1	Agriculture forestry and fishing	4781
Queensland	1	Arts and recreation services	7310
Queensland	1	Construction	9852
Queensland	1	Education and training	26831
Queensland	1	Electricity gas water and waste services	576
Queensland	1	Financial and insurance services	2338
Queensland	1	Health care and social assistance	24076
Queensland	1	Information media and telecommunications	2176
Queensland	1	Manufacturing	6360
Queensland	1	Mining	841
Queensland	1	Other services	10582
Queensland	1	Professional scientific and technical services	11864
Queensland	1	Public administration and safety	5303
Queensland	1	Rental hiring and real estate services	3730
Queensland	1	Retail trade	44142
Queensland	1	Transport postal and warehousing	5948
Queensland	1	Wholesale trade	2927
Queensland	16		6546
Queensland	16	Accommodation and food services	24194
Queensland	16	Administrative and support services	10522
Queensland	16	Agriculture forestry and fishing	4164
Queensland	16	Arts and recreation services	3886
Queensland	16	Construction	9710
Queensland	16	Education and training	21998
Queensland	16	Electricity gas water and waste services	790
Queensland	16	Financial and insurance services	3744
Queensland	16	Health care and social assistance	38586
Queensland	16	Information media and telecommunications	1756
Queensland	16	Manufacturing	5918
Queensland	16	Mining	964
Queensland	16	Other services	8136
Queensland	16	Professional scientific and technical services	10694
Queensland	16	Public administration and safety	7392
Queensland	16	Rental hiring and real estate services	3204
Queensland	16	Retail trade	28558
Queensland	16	Transport postal and warehousing	7570
Queensland	16	Wholesale trade	2921
Queensland	25		7683
Queensland	25	Accommodation and food services	23206
Queensland	25	Administrative and support services	10498
Queensland	25	Agriculture forestry and fishing	5696
Queensland	25	Arts and recreation services	4692
Queensland	25	Construction	14965
Queensland	25	Education and training	32881
Queensland	25	Electricity gas water and waste services	1215
Queensland	25	Financial and insurance services	5066
Queensland	25	Health care and social assistance	55123
Queensland	25	Information media and telecommunications	2298
Queensland	25	Manufacturing	8853
Queensland	25	Mining	1215
Queensland	25	Other services	10051
Queensland	25	Professional scientific and technical services	12456
Queensland	25	Public administration and safety	9772
Queensland	25	Rental hiring and real estate services	4067
Queensland	25	Retail trade	31822
Queensland	25	Transport postal and warehousing	10637
Queensland	25	Wholesale trade	4024
Queensland	35		14519
Queensland	35	Accommodation and food services	18860
Queensland	35	Administrative and support services	13592
Queensland	35	Agriculture forestry and fishing	5990
Queensland	35	Arts and recreation services	5549
Queensland	35	Construction	26770
Queensland	35	Education and training	32661
Queensland	35	Electricity gas water and waste services	5327
Queensland	35	Financial and insurance services	14050
Queensland	35	Health care and social assistance	63708
Queensland	35	Information media and telecommunications	6466
Queensland	35	Manufacturing	33617
Queensland	35	Mining	4029
Queensland	35	Other services	16601
Queensland	35	Professional scientific and technical services	23121
Queensland	35	Public administration and safety	43734
Queensland	35	Rental hiring and real estate services	7988
Queensland	35	Retail trade	39515
Queensland	35	Transport postal and warehousing	20874
Queensland	35	Wholesale trade	13339
Queensland	40		15093
Queensland	40	Accommodation and food services	13358
Queensland	40	Administrative and support services	11138
Queensland	40	Agriculture forestry and fishing	9164
Queensland	40	Arts and recreation services	4720
Queensland	40	Construction	46870
Queensland	40	Education and training	26576
Queensland	40	Electricity gas water and waste services	6823
Queensland	40	Financial and insurance services	12599
Queensland	40	Health care and social assistance	41928
Queensland	40	Information media and telecommunications	5083
Queensland	40	Manufacturing	28369
Queensland	40	Mining	5418
Queensland	40	Other services	14785
Queensland	40	Professional scientific and technical services	30681
Queensland	40	Public administration and safety	31188
Queensland	40	Rental hiring and real estate services	8396
Queensland	40	Retail trade	22235
Queensland	40	Transport postal and warehousing	19488
Queensland	40	Wholesale trade	13006
Queensland	41		5661
Queensland	41	Accommodation and food services	9148
Queensland	41	Administrative and support services	5147
Queensland	41	Agriculture forestry and fishing	4583
Queensland	41	Arts and recreation services	2322
Queensland	41	Construction	24828
Queensland	41	Education and training	15426
Queensland	41	Electricity gas water and waste services	3304
Queensland	41	Financial and insurance services	5630
Queensland	41	Health care and social assistance	15935
Queensland	41	Information media and telecommunications	2607
Queensland	41	Manufacturing	19068
Queensland	41	Mining	8448
Queensland	41	Other services	8042
Queensland	41	Professional scientific and technical services	13897
Queensland	41	Public administration and safety	17412
Queensland	41	Rental hiring and real estate services	4339
Queensland	41	Retail trade	14881
Queensland	41	Transport postal and warehousing	12638
Queensland	41	Wholesale trade	7664
Queensland	49		12439
Queensland	49	Accommodation and food services	17748
Queensland	49	Administrative and support services	8655
Queensland	49	Agriculture forestry and fishing	23453
Queensland	49	Arts and recreation services	3764
Queensland	49	Construction	49579
Queensland	49	Education and training	27482
Queensland	49	Electricity gas water and waste services	4755
Queensland	49	Financial and insurance services	8449
Queensland	49	Health care and social assistance	22152
Queensland	49	Information media and telecommunications	3999
Queensland	49	Manufacturing	22311
Queensland	49	Mining	23681
Queensland	49	Other services	12178
Queensland	49	Professional scientific and technical services	25650
Queensland	49	Public administration and safety	15778
Queensland	49	Rental hiring and real estate services	9520
Queensland	49	Retail trade	22038
Queensland	49	Transport postal and warehousing	24975
Queensland	49	Wholesale trade	10550
South Australia			5098
South Australia		Accommodation and food services	695
South Australia		Administrative and support services	290
South Australia		Agriculture forestry and fishing	498
South Australia		Arts and recreation services	119
South Australia		Construction	655
South Australia		Education and training	427
South Australia		Electricity gas water and waste services	71
South Australia		Financial and insurance services	109
South Australia		Health care and social assistance	1002
South Australia		Information media and telecommunications	68
South Australia		Manufacturing	486
South Australia		Mining	95
South Australia		Other services	284
South Australia		Professional scientific and technical services	253
South Australia		Public administration and safety	380
South Australia		Rental hiring and real estate services	78
South Australia		Retail trade	780
South Australia		Transport postal and warehousing	414
South Australia		Wholesale trade	149
South Australia	0		980
South Australia	0	Accommodation and food services	1478
South Australia	0	Administrative and support services	856
South Australia	0	Agriculture forestry and fishing	1186
South Australia	0	Arts and recreation services	340
South Australia	0	Construction	1564
South Australia	0	Education and training	2608
South Australia	0	Electricity gas water and waste services	355
South Australia	0	Financial and insurance services	887
South Australia	0	Health care and social assistance	5751
South Australia	0	Information media and telecommunications	313
South Australia	0	Manufacturing	1567
South Australia	0	Mining	592
South Australia	0	Other services	829
South Australia	0	Professional scientific and technical services	1231
South Australia	0	Public administration and safety	2754
South Australia	0	Rental hiring and real estate services	338
South Australia	0	Retail trade	2732
South Australia	0	Transport postal and warehousing	1211
South Australia	0	Wholesale trade	571
South Australia	1		2813
South Australia	1	Accommodation and food services	16736
South Australia	1	Administrative and support services	5375
South Australia	1	Agriculture forestry and fishing	2818
South Australia	1	Arts and recreation services	2721
South Australia	1	Construction	3679
South Australia	1	Education and training	8854
South Australia	1	Electricity gas water and waste services	326
South Australia	1	Financial and insurance services	1020
South Australia	1	Health care and social assistance	12100
South Australia	1	Information media and telecommunications	936
South Australia	1	Manufacturing	3571
South Australia	1	Mining	194
South Australia	1	Other services	3958
South Australia	1	Professional scientific and technical services	4327
South Australia	1	Public administration and safety	2044
South Australia	1	Rental hiring and real estate services	1025
South Australia	1	Retail trade	19251
South Australia	1	Transport postal and warehousing	2092
South Australia	1	Wholesale trade	1327
South Australia	16		1792
South Australia	16	Accommodation and food services	7653
South Australia	16	Administrative and support services	3948
South Australia	16	Agriculture forestry and fishing	2180
South Australia	16	Arts and recreation services	1171
South Australia	16	Construction	3209
South Australia	16	Education and training	7981
South Australia	16	Electricity gas water and waste services	366
South Australia	16	Financial and insurance services	1771
South Australia	16	Health care and social assistance	17757
South Australia	16	Information media and telecommunications	723
South Australia	16	Manufacturing	3140
South Australia	16	Mining	274
South Australia	16	Other services	2903
South Australia	16	Professional scientific and technical services	3588
South Australia	16	Public administration and safety	3468
South Australia	16	Rental hiring and real estate services	875
South Australia	16	Retail trade	10813
South Australia	16	Transport postal and warehousing	2397
South Australia	16	Wholesale trade	1182
South Australia	25		2196
South Australia	25	Accommodation and food services	7233
South Australia	25	Administrative and support services	3985
South Australia	25	Agriculture forestry and fishing	3028
South Australia	25	Arts and recreation services	1444
South Australia	25	Construction	5261
South Australia	25	Education and training	9651
South Australia	25	Electricity gas water and waste services	557
South Australia	25	Financial and insurance services	2460
South Australia	25	Health care and social assistance	24991
South Australia	25	Information media and telecommunications	820
South Australia	25	Manufacturing	4498
South Australia	25	Mining	272
South Australia	25	Other services	3652
South Australia	25	Professional scientific and technical services	4373
South Australia	25	Public administration and safety	4810
South Australia	25	Rental hiring and real estate services	1021
South Australia	25	Retail trade	12413
South Australia	25	Transport postal and warehousing	3357
South Australia	25	Wholesale trade	1642
South Australia	35		4105
South Australia	35	Accommodation and food services	4918
South Australia	35	Administrative and support services	5073
South Australia	35	Agriculture forestry and fishing	3525
South Australia	35	Arts and recreation services	1458
South Australia	35	Construction	9608
South Australia	35	Education and training	11536
South Australia	35	Electricity gas water and waste services	2453
South Australia	35	Financial and insurance services	5660
South Australia	35	Health care and social assistance	25021
South Australia	35	Information media and telecommunications	2671
South Australia	35	Manufacturing	17373
South Australia	35	Mining	838
South Australia	35	Other services	6292
South Australia	35	Professional scientific and technical services	8266
South Australia	35	Public administration and safety	17183
South Australia	35	Rental hiring and real estate services	2191
South Australia	35	Retail trade	13718
South Australia	35	Transport postal and warehousing	5955
South Australia	35	Wholesale trade	5327
South Australia	40		3363
South Australia	40	Accommodation and food services	3366
South Australia	40	Administrative and support services	3142
South Australia	40	Agriculture forestry and fishing	5054
South Australia	40	Arts and recreation services	1254
South Australia	40	Construction	14302
South Australia	40	Education and training	8462
South Australia	40	Electricity gas water and waste services	2252
South Australia	40	Financial and insurance services	3981
South Australia	40	Health care and social assistance	10781
South Australia	40	Information media and telecommunications	2083
South Australia	40	Manufacturing	12610
South Australia	40	Mining	1124
South Australia	40	Other services	4905
South Australia	40	Professional scientific and technical services	8395
South Australia	40	Public administration and safety	11308
South Australia	40	Rental hiring and real estate services	1675
South Australia	40	Retail trade	7311
South Australia	40	Transport postal and warehousing	5007
South Australia	40	Wholesale trade	4716
South Australia	41		1403
South Australia	41	Accommodation and food services	2845
South Australia	41	Administrative and support services	1766
South Australia	41	Agriculture forestry and fishing	2745
South Australia	41	Arts and recreation services	645
South Australia	41	Construction	6920
South Australia	41	Education and training	5700
South Australia	41	Electricity gas water and waste services	1301
South Australia	41	Financial and insurance services	2063
South Australia	41	Health care and social assistance	5625
South Australia	41	Information media and telecommunications	898
South Australia	41	Manufacturing	8381
South Australia	41	Mining	1161
South Australia	41	Other services	2770
South Australia	41	Professional scientific and technical services	4244
South Australia	41	Public administration and safety	6113
South Australia	41	Rental hiring and real estate services	1030
South Australia	41	Retail trade	5893
South Australia	41	Transport postal and warehousing	3845
South Australia	41	Wholesale trade	2890
South Australia	49		2534
South Australia	49	Accommodation and food services	4634
South Australia	49	Administrative and support services	2187
South Australia	49	Agriculture forestry and fishing	9003
South Australia	49	Arts and recreation services	965
South Australia	49	Construction	10900
South Australia	49	Education and training	9212
South Australia	49	Electricity gas water and waste services	1397
South Australia	49	Financial and insurance services	2290
South Australia	49	Health care and social assistance	7250
South Australia	49	Information media and telecommunications	1078
South Australia	49	Manufacturing	7901
South Australia	49	Mining	4149
South Australia	49	Other services	3462
South Australia	49	Professional scientific and technical services	6425
South Australia	49	Public administration and safety	4623
South Australia	49	Rental hiring and real estate services	1719
South Australia	49	Retail trade	6701
South Australia	49	Transport postal and warehousing	6529
South Australia	49	Wholesale trade	3251
Western Australia			8904
Western Australia		Accommodation and food services	1086
Western Australia		Administrative and support services	438
Western Australia		Agriculture forestry and fishing	466
Western Australia		Arts and recreation services	190
Western Australia		Construction	1496
Western Australia		Education and training	815
Western Australia		Electricity gas water and waste services	101
Western Australia		Financial and insurance services	153
Western Australia		Health care and social assistance	1238
Western Australia		Information media and telecommunications	100
Western Australia		Manufacturing	505
Western Australia		Mining	1008
Western Australia		Other services	489
Western Australia		Professional scientific and technical services	418
Western Australia		Public administration and safety	577
Western Australia		Rental hiring and real estate services	140
Western Australia		Retail trade	1140
Western Australia		Transport postal and warehousing	779
Western Australia		Wholesale trade	199
Western Australia	0		2122
Western Australia	0	Accommodation and food services	2366
Western Australia	0	Administrative and support services	1332
Western Australia	0	Agriculture forestry and fishing	1294
Western Australia	0	Arts and recreation services	717
Western Australia	0	Construction	3981
Western Australia	0	Education and training	3981
Western Australia	0	Electricity gas water and waste services	601
Western Australia	0	Financial and insurance services	1103
Western Australia	0	Health care and social assistance	6495
Western Australia	0	Information media and telecommunications	326
Western Australia	0	Manufacturing	1887
Western Australia	0	Mining	6192
Western Australia	0	Other services	1308
Western Australia	0	Professional scientific and technical services	2356
Western Australia	0	Public administration and safety	3849
Western Australia	0	Rental hiring and real estate services	575
Western Australia	0	Retail trade	3463
Western Australia	0	Transport postal and warehousing	2443
Western Australia	0	Wholesale trade	769
Western Australia	1		5670
Western Australia	1	Accommodation and food services	22653
Western Australia	1	Administrative and support services	6975
Western Australia	1	Agriculture forestry and fishing	2710
Western Australia	1	Arts and recreation services	4575
Western Australia	1	Construction	6332
Western Australia	1	Education and training	14556
Western Australia	1	Electricity gas water and waste services	377
Western Australia	1	Financial and insurance services	1560
Western Australia	1	Health care and social assistance	15471
Western Australia	1	Information media and telecommunications	1423
Western Australia	1	Manufacturing	4093
Western Australia	1	Mining	1622
Western Australia	1	Other services	6237
Western Australia	1	Professional scientific and technical services	6938
Western Australia	1	Public administration and safety	3873
Western Australia	1	Rental hiring and real estate services	1962
Western Australia	1	Retail trade	26070
Western Australia	1	Transport postal and warehousing	3481
