STE_NAME16	HoursWorked.min	IndustryOfEmployment	workers
New South Wales			32294
New South Wales		Accommodation and food services	3520
New South Wales		Administrative and support services	1516
New South Wales		Agriculture forestry and fishing	1379
New South Wales		Arts and recreation services	625
New South Wales		Construction	4015
New South Wales		Education and training	2472
New South Wales		Electricity gas water and waste services	286
New South Wales		Financial and insurance services	1191
New South Wales		Health care and social assistance	4191
New South Wales		Information media and telecommunications	483
New South Wales		Manufacturing	1806
New South Wales		Mining	403
New South Wales		Other services	1484
New South Wales		Professional scientific and technical services	1832
New South Wales		Public administration and safety	1734
New South Wales		Rental hiring and real estate services	483
New South Wales		Retail trade	3827
New South Wales		Transport postal and warehousing	2328
New South Wales		Wholesale trade	713
New South Wales	0		4711
New South Wales	0	Accommodation and food services	6850
New South Wales	0	Administrative and support services	3367
New South Wales	0	Agriculture forestry and fishing	2255
New South Wales	0	Arts and recreation services	1812
New South Wales	0	Construction	6439
New South Wales	0	Education and training	10088
New South Wales	0	Electricity gas water and waste services	937
New South Wales	0	Financial and insurance services	6005
New South Wales	0	Health care and social assistance	17849
New South Wales	0	Information media and telecommunications	1933
New South Wales	0	Manufacturing	4479
New South Wales	0	Mining	1353
New South Wales	0	Other services	2952
New South Wales	0	Professional scientific and technical services	6696
New South Wales	0	Public administration and safety	9384
New South Wales	0	Rental hiring and real estate services	1454
New South Wales	0	Retail trade	10224
New South Wales	0	Transport postal and warehousing	5397
New South Wales	0	Wholesale trade	2201
New South Wales	1		14817
New South Wales	1	Accommodation and food services	64015
New South Wales	1	Administrative and support services	18200
New South Wales	1	Agriculture forestry and fishing	6530
New South Wales	1	Arts and recreation services	11019
New South Wales	1	Construction	15389
New South Wales	1	Education and training	42178
New South Wales	1	Electricity gas water and waste services	713
New South Wales	1	Financial and insurance services	5510
New South Wales	1	Health care and social assistance	40344
New South Wales	1	Information media and telecommunications	4588
New South Wales	1	Manufacturing	10391
New South Wales	1	Mining	569
New South Wales	1	Other services	15354
New South Wales	1	Professional scientific and technical services	21067
New South Wales	1	Public administration and safety	8195
New South Wales	1	Rental hiring and real estate services	4895
New South Wales	1	Retail trade	64727
New South Wales	1	Transport postal and warehousing	10035
New South Wales	1	Wholesale trade	5006
New South Wales	16		13205
New South Wales	16	Accommodation and food services	43075
New South Wales	16	Administrative and support services	17251
New South Wales	16	Agriculture forestry and fishing	5771
New South Wales	16	Arts and recreation services	6050
New South Wales	16	Construction	18498
New South Wales	16	Education and training	34532
New South Wales	16	Electricity gas water and waste services	1129
New South Wales	16	Financial and insurance services	9828
New South Wales	16	Health care and social assistance	66795
New South Wales	16	Information media and telecommunications	4229
New South Wales	16	Manufacturing	11400
New South Wales	16	Mining	779
New South Wales	16	Other services	13035
New South Wales	16	Professional scientific and technical services	21895
New South Wales	16	Public administration and safety	12193
New South Wales	16	Rental hiring and real estate services	4862
New South Wales	16	Retail trade	48461
New South Wales	16	Transport postal and warehousing	12216
New South Wales	16	Wholesale trade	6191
New South Wales	25		11785
New South Wales	25	Accommodation and food services	30385
New South Wales	25	Administrative and support services	14762
New South Wales	25	Agriculture forestry and fishing	6964
New South Wales	25	Arts and recreation services	6145
New South Wales	25	Construction	21419
New South Wales	25	Education and training	35880
New South Wales	25	Electricity gas water and waste services	1596
New South Wales	25	Financial and insurance services	12347
New South Wales	25	Health care and social assistance	73320
New South Wales	25	Information media and telecommunications	4504
New South Wales	25	Manufacturing	12665
New South Wales	25	Mining	1038
New South Wales	25	Other services	12891
New South Wales	25	Professional scientific and technical services	22306
New South Wales	25	Public administration and safety	14315
New South Wales	25	Rental hiring and real estate services	4812
New South Wales	25	Retail trade	42993
New South Wales	25	Transport postal and warehousing	14989
New South Wales	25	Wholesale trade	6580
New South Wales	35		25552
New South Wales	35	Accommodation and food services	29603
New South Wales	35	Administrative and support services	21377
New South Wales	35	Agriculture forestry and fishing	7422
New South Wales	35	Arts and recreation services	7535
New South Wales	35	Construction	39818
New South Wales	35	Education and training	49710
New South Wales	35	Electricity gas water and waste services	9129
New South Wales	35	Financial and insurance services	36631
