SA2_MAINCODE_2016,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
101021007,7,0,0,0,0,7,13,0,0,0,0,10,19,0,3,4,0,21,17,3,4,0,0,23,11,4,8,0,0,26,18,9,9,0,0,38,21,7,13,3,0,40,18,3,8,3,3,38,18,10,12,11,0,52,5,7,13,8,3,34,7,4,13,11,5,29,0,0,7,5,0,13,3,0,9,7,0,20,145,48,98,50,11,347,13,0,0,0,0,13,0,0,3,0,0,4,3,0,0,0,0,3,3,0,4,0,0,3,5,0,3,0,0,4,4,0,3,0,0,3,6,3,3,3,0,14,12,0,3,0,0,16,9,3,3,0,0,12,9,0,3,0,0,9,4,0,11,5,0,19,0,3,3,4,0,17,0,0,8,5,0,13,67,5,46,22,0,144,13,4,4,0,0,26,10,4,3,3,3,23,231,59,153,72,21,540,3,0,0,0,0,3,14,0,0,0,0,13,15,0
101021008,6,0,0,0,0,6,15,3,0,0,0,22,19,4,0,0,0,24,18,3,3,0,0,24,13,3,0,0,0,20,16,0,3,0,0,23,19,5,5,0,0,25,12,3,4,0,3,27,22,7,0,0,0,30,8,0,0,0,0,8,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,160,30,25,3,3,221,29,0,0,0,0,29,15,0,0,0,0,12,9,0,0,0,0,6,3,0,0,0,0,6,0,3,0,0,0,5,4,0,0,0,0,6,3,0,3,0,0,3,4,0,0,0,0,9,7,0,3,0,0,16,11,0,0,0,0,9,5,0,0,0,0,8,0,0,0,0,0,3,0,0,3,0,0,3,80,5,17,3,0,113,8,0,0,0,0,12,3,0,3,0,0,4,260,36,44,5,5,350,3,0,0,0,0,0,12,0,0,0,0,11,14,0
101021009,58,0,0,0,0,63,162,0,3,0,0,172,221,14,8,0,0,239,206,14,11,0,0,234,190,28,12,0,3,232,171,42,14,0,0,228,182,26,22,0,0,229,154,20,10,3,0,180,108,16,12,0,4,143,70,15,14,0,0,97,35,4,0,0,0,41,9,3,3,0,0,13,3,0,0,0,0,4,1560,185,102,7,7,1862,94,0,0,0,0,98,89,0,0,0,0,91,54,3,4,0,0,62,42,5,3,0,0,48,24,0,3,0,0,28,38,3,7,0,0,48,15,0,6,0,0,22,14,0,5,0,0,21,21,3,7,3,0,31,25,7,3,0,0,40,20,0,5,0,0,32,3,0,3,0,0,10,8,0,0,4,0,10,450,32,46,18,0,545,57,3,3,0,0,64,41,3,0,0,3,57,2110,219,157,23,16,2522,29,0,0,0,0,29,139,0,4,0,0,145,169,0
101021010,56,0,0,0,4,62,161,3,3,0,0,168,225,8,14,0,0,249,194,15,3,0,0,212,147,25,3,0,3,174,147,27,4,0,0,171,134,23,11,0,0,176,94,42,9,0,0,155,105,15,4,0,0,135,68,22,4,0,0,91,16,8,4,0,0,32,5,0,0,0,0,4,3,3,0,0,0,6,1353,193,68,8,11,1632,84,0,0,0,0,84,42,0,0,0,0,42,25,0,0,0,0,23,20,0,0,0,0,27,6,0,0,0,0,8,19,3,0,0,0,24,7,0,0,0,0,14,9,0,4,0,0,10,18,0,3,0,0,18,17,0,3,0,0,26,21,3,4,0,0,27,8,3,0,0,0,11,4,0,0,3,0,7,275,9,20,5,0,316,38,0,3,0,0,47,25,0,3,3,5,28,1695,210,90,15,13,2022,6,0,0,0,0,6,32,0,0,0,0,31,39,0
101021011,21,0,0,0,0,24,58,0,4,0,0,68,120,11,11,0,0,144,123,28,12,0,0,164,108,19,12,0,0,139,132,29,10,0,0,172,140,31,22,3,3,196,136,36,22,7,3,200,82,19,17,3,0,123,32,20,17,9,0,74,16,10,17,3,0,43,3,6,6,3,0,19,0,3,8,0,0,12,978,196,166,32,13,1385,41,0,0,0,0,41,27,0,0,0,0,32,19,0,3,0,0,24,16,0,4,0,0,15,9,0,0,0,0,13,6,4,3,0,0,7,11,3,5,0,0,20,16,0,5,0,3,26,15,4,10,4,0,24,20,3,14,3,0,38,7,7,6,7,0,32,3,7,5,6,0,25,3,0,3,5,0,8,183,39,62,28,3,317,29,4,9,7,0,52,25,0,5,3,3,38,1217,244,238,67,26,1792,12,0,0,0,0,12,21,0,0,0,0,20,44,0
101021012,32,0,0,0,0,34,130,4,0,0,0,133,152,8,0,0,0,161,126,15,10,0,0,151,91,21,11,0,0,133,90,37,11,3,0,134,75,41,11,0,0,131,69,32,14,0,3,110,56,34,5,0,0,95,21,13,13,0,0,51,11,3,3,3,0,13,3,0,0,0,0,3,0,0,0,0,0,0,851,208,76,3,5,1142,50,0,0,0,0,51,35,0,0,0,0,40,12,3,0,0,0,18,14,3,3,0,0,22,5,0,3,0,0,11,5,3,0,0,0,7,6,3,5,0,0,11,6,3,3,0,0,11,5,8,6,0,0,21,3,4,9,0,0,18,7,3,3,0,0,10,0,3,3,0,0,8,0,3,0,0,0,4,155,31,36,0,3,225,32,4,0,0,0,36,20,0,0,0,0,26,1054,239,121,7,13,1431,10,0,0,0,0,9,35,0,0,0,0,35,42,0
101031013,20,0,0,0,0,20,26,0,0,0,0,25,30,0,3,0,0,36,31,0,6,0,0,38,32,0,3,0,0,34,34,3,6,0,0,46,32,6,14,0,0,53,40,7,8,3,0,60,31,6,10,7,0,49,27,8,11,5,0,49,3,3,12,4,0,19,0,3,4,3,0,14,0,0,0,6,0,9,308,40,76,28,3,453,7,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,5,7,0,0,0,0,9,6,0,3,0,0,9,11,0,3,0,0,18,6,0,4,0,0,5,0,0,0,3,0,5,0,0,3,0,0,6,50,3,18,13,3,85,10,3,5,0,3,18,12,0,0,0,3,15,373,41,94,47,10,573,6,0,0,0,0,6,11,0,0,4,0,14,3,0
101031014,44,0,0,0,0,44,88,0,3,0,0,88,79,0,6,0,0,86,91,4,9,0,0,105,63,10,13,0,0,82,96,11,19,0,0,126,100,20,19,0,0,138,103,25,18,3,0,145,104,19,19,3,0,146,63,9,21,0,0,90,16,9,7,0,0,35,0,0,10,0,0,18,3,0,3,0,0,5,846,107,138,12,7,1111,69,0,0,3,0,78,45,0,0,0,0,45,25,0,3,0,0,27,21,0,3,0,0,19,19,0,8,0,0,24,24,0,3,0,0,22,25,0,0,0,0,26,26,0,3,0,0,30,32,0,0,0,0,41,22,3,3,0,0,32,13,3,4,0,0,22,8,0,5,0,0,12,0,0,3,3,0,9,324,11,30,15,0,385,44,4,11,3,3,65,22,0,0,3,3,32,1245,125,178,32,15,1586,22,0,0,0,0,22,56,0,0,0,0,62,79,0
101031015,6,0,0,0,0,6,12,0,0,0,0,8,21,0,0,0,0,22,8,0,5,0,0,17,16,3,5,0,0,18,14,12,9,3,0,34,14,3,10,0,0,31,17,4,13,9,0,39,8,4,12,3,3,33,6,3,7,8,0,26,0,3,14,4,0,26,0,0,11,8,0,22,0,0,16,9,0,23,131,37,103,45,8,318,3,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,4,3,0,4,0,0,10,3,0,3,0,0,10,4,6,3,0,0,11,4,0,6,0,0,15,3,3,0,3,0,9,0,0,3,6,0,9,0,0,3,3,0,7,37,7,33,12,6,96,3,0,4,0,0,11,0,0,0,0,0,3,165,47,134,65,14,423,3,0,0,0,0,3,7,0,0,0,0,5,4,0
101031016,68,0,0,0,0,71,271,4,9,0,0,282,266,3,6,0,3,277,148,7,9,0,0,165,114,9,11,3,0,138,136,19,20,4,0,189,113,28,22,0,0,165,117,20,30,3,0,170,91,24,26,4,3,152,49,13,14,6,0,86,18,8,9,0,0,40,3,5,4,7,0,18,0,0,0,3,0,9,1399,150,167,30,14,1761,69,0,0,0,0,70,114,0,0,0,0,115,66,0,0,0,0,69,27,0,0,0,0,30,15,0,3,0,0,21,22,5,3,4,0,28,19,3,3,0,0,28,15,4,3,0,0,27,29,0,13,0,0,41,26,9,12,5,3,49,14,3,8,5,0,25,6,3,0,3,0,19,0,0,0,3,0,5,419,22,53,26,12,527,33,3,6,5,0,46,42,4,12,4,3,68,1905,182,235,60,26,2406,56,0,0,0,0,62,257,4,0,0,3,266,187,0
